date,GREAT BAY SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD,FORTUNE ORIGIN SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,TOTAL_CCASS_PCT
2024-09-17,27.117493419395057,3.3238961702092222,1.9480897251025202,1.9371799144917343,2.530692534966567,3.563489021029979,2.110890270085835,1.2223912081831454,0.0,0.0,43.754122263464055
2024-09-19,27.084786570862875,3.3223387012314998,1.9480897251025202,1.9371799144917343,2.530692534966567,3.563489021029979,2.1155626770190037,1.2535405877376034,0.0,0.0,43.755679732441784
2024-09-20,27.066875677619063,3.3223387012314998,1.9543196010134118,1.9371799144917343,2.530692534966567,3.563489021029979,2.1155626770190037,1.2535405877376034,0.0,0.0,43.74399871510886
2024-09-23,27.009249325443314,3.3158752049739495,1.9543196010134118,1.9371799144917343,2.530692534966567,3.563489021029979,2.1155626770190037,1.2208337392054225,0.0,0.0,43.64720201814338
2024-09-24,27.171226099126493,3.3158752049739495,1.9543196010134118,1.9371799144917343,2.530692534966567,3.563489021029979,2.1155626770190037,1.1834544837400733,0.0,0.0,43.771799536361215
2024-09-25,27.12605949877253,3.3158752049739495,1.9543196010134118,1.9371799144917343,2.530692534966567,3.563489021029979,2.1171201459967266,1.2317360220494828,0.0,0.0,43.77647194329438
2024-09-26,27.16266001974902,3.3158752049739495,1.9574345389688577,1.9371799144917343,2.530692534966567,3.563489021029979,2.1186776149744495,1.1974717045395793,0.0,0.0,43.78348055369414
2024-09-27,27.172004833615354,3.3119815325296424,1.9434173181693517,1.9371799144917343,2.530692534966567,3.563489021029979,2.1225712874187566,1.206037783917055,0.0,0.0,43.78737422613844
2024-09-30,27.225737513346793,3.3119815325296424,1.923170221458954,1.9371799144917343,2.530692534966567,3.563489021029979,2.1225712874187566,1.1889056251621033,0.0,0.0,43.80372765040453
2024-10-02,27.14942153343837,3.3119815325296424,1.9231312847345108,1.9371799144917343,2.530692534966567,3.563489021029979,2.1225712874187566,1.2286210840940373,0.0,0.0,43.7670881927036
2024-10-03,27.166553692193325,3.3119815325296424,1.9231312847345108,1.9371799144917343,2.5345862074108743,3.563489021029979,2.1225712874187566,1.2114889253390853,0.0,0.0,43.77098186514791
2024-10-04,27.136183047127727,3.3119815325296424,1.9309186296231253,1.9371799144917343,2.5345862074108743,3.563489021029979,2.1225712874187566,1.1678797939628442,0.0,0.0,43.70478943359469
2024-10-07,27.11982962286164,3.3119815325296424,1.9309186296231253,1.9371799144917343,2.5345862074108743,3.563489021029979,2.1225712874187566,1.1655435904962599,0.0,0.0,43.686099805862014
2024-10-08,27.135404312638865,3.3119815325296424,1.9114502674015894,1.9371799144917343,2.5345862074108743,3.563489021029979,2.1225712874187566,1.1647648560073987,0.0,0.0,43.68142739892884
2024-10-09,27.136183047127727,3.3119815325296424,1.9145652053570348,1.9200866924612254,2.5345862074108743,3.563489021029979,2.1225712874187566,1.1694372629405672,1.507212958116975,0.0,45.18011321439278
