date,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,QUAM SECURITIES LTD,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BOCOM INTERNATIONAL SECURITIES LTD
2024-12-06,19.796065265333425,16.58222314252316,14.843155487823026,13.993001433507981,14.122550051808943,12.783297443697645,0.0,7.879707175305821
2024-12-09,19.751114610064118,16.544570114707387,14.809451337200208,13.961227716095456,14.090482170116609,12.754270584627678,0.0,8.088883467188547
2024-12-10,19.723553991658186,16.52148389437888,14.788786293977898,13.941746280381166,14.070820373305997,12.736473331583042,0.0,8.217135834714833
2024-12-11,19.724930195697652,16.51565921029193,14.789818176337699,13.942719060822073,14.071802159846323,12.737362014528058,0.0,8.217709182476264
2024-12-13,19.728371546154246,16.5010939433204,14.792398512340368,13.945151605937825,14.074257225710053,12.739584264551231,0.0,8.219142901985874
2024-12-20,19.73146978841431,16.487980856981345,14.794721584677657,13.947341622378229,14.076467517543497,12.741584952659307,0.0,8.220433677345659
2025-01-06,19.728027357073323,16.485104297725485,14.792140438224283,13.944908313231007,14.091458081567229,12.739362004655677,0.0,8.218999507522993
2025-01-07,19.724586126683572,16.48222874200667,14.78956019224813,13.942475852985428,14.106443415875535,12.737139832165594,0.0,8.217565838035073
2025-01-13,19.755600487309117,16.5081449149917,14.81281486285818,13.96439859302875,13.971386907100078,12.757167337207049,0.0,8.230486897505122
2025-01-14,19.755607390228572,16.50815068319879,14.81278509710755,13.964403472410616,13.971391788923771,12.757171794763208,0.0,8.230489773367498
2025-01-17,19.752156532186966,16.50526708243613,14.810197638389564,13.961964206785057,13.986419042127856,12.75494340522263,0.0,8.229052092851797
2025-01-22,19.759059454265287,16.511035291713245,14.81537346008254,13.931895902299685,13.991306972245523,12.759400963074413,0.0,8.231927956319304
2025-01-27,19.762858118384706,16.514209525663105,14.798996780559309,13.93457429866779,13.993996790346545,12.761853948184147,0.0,8.233510538194402
2025-02-18,17.997901330977882,15.039379011960072,13.36593175900475,12.690122643915508,12.760154676567243,11.62213414597655,9.026174026545196,7.498202405052798
2025-03-11,17.99503717408937,15.036985669525087,13.37971856440884,12.688103158336705,12.758124046204111,11.62028461835879,9.024737615819323,7.497009153257772
2025-03-12,18.183123306999157,15.194153918628414,13.358763159529834,12.820720625804249,12.007063954958024,11.741741127508169,9.119065178594745,7.575368727977401
