date,THE HONGKONG AND SHANGHAI BANKING,GAOYU SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ONE CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-05-13,22.070864364703226,14.535409614082601,1.0870683818551117,1.1773414579101784,1.0616113744075828,0.0,0.0,0.14299255247122547,0.0,0.24879259760776348,40.324080343037686
2024-05-14,22.07357255698488,14.529090498758745,1.0870683818551117,1.1773414579101784,1.0616113744075828,0.0,0.0,0.14786729857819905,0.0,0.24879259760776348,40.32534416610246
2024-05-17,22.07357255698488,14.515549537350486,1.0870683818551117,1.1773414579101784,1.0616113744075828,0.0,0.0,0.16140825998645905,0.0,0.24879259760776348,40.32534416610246
2024-05-20,22.07429474159332,14.506341683592868,1.087610020311442,1.1773414579101784,1.0616113744075828,0.0,0.0,0.17151884450462648,0.0,0.24879259760776348,40.32751071992779
2024-05-21,22.069058903182125,14.506341683592868,1.085985104942451,1.1773414579101784,1.0616113744075828,0.0,0.0,0.18054615211013314,0.0,0.2513202437373053,40.33220491988265
2024-05-22,22.07176709546378,14.506341683592868,1.1013315278718123,1.1773414579101784,1.0616113744075828,0.0,0.0,0.1960731211916046,0.0,0.2513202437373053,40.36578650417513
2024-05-23,22.07176709546378,14.506341683592868,1.106206273978786,1.1773414579101784,1.0616113744075828,0.0,0.0,0.19968404423380726,0.0,0.2513202437373053,40.37427217332431
2024-05-24,22.07176709546378,14.49550891446626,1.1341909275558564,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2173775671406003,0.0,0.2513202437373053,40.40911758068157
2024-05-28,22.072669826224327,14.49550891446626,1.1576619273301736,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22369668246445495,0.0,0.2513202437373053,40.439810426540284
2024-05-30,22.072669826224327,14.49550891446626,1.1576619273301736,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2271270593545475,0.0,0.2513202437373053,40.44324080343038
