date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE BANK OF EAST ASIA LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-08-30,47.29830963395054,16.877374915726502,12.670321701606383,3.487851466815063,3.8974820187877603,3.4586028921854584,3.2894341123795523,3.972186312608604,2.309479447748723,2.7389574981914198
2024-09-02,47.2709785303051,16.945803426600463,12.660682202936203,3.4780628835202423,3.894516839716388,3.4559716095104753,3.286931532216343,3.970631791237832,2.2765482453053556,2.7598729386515983
2024-09-03,47.259032865519046,16.84281226202274,12.657148523085946,3.50372140794163,3.893507663740181,3.459578588678448,3.2860797982338568,3.9842234214845202,2.350454481189062,2.76344098810457
2024-09-04,47.24340229534431,16.830291256427994,12.654086584702561,3.4971585147672624,3.892565770663723,3.45874166901588,3.2852848503159495,4.055636457323057,2.283049193914069,2.799783407525193
2024-09-05,47.23665375733374,16.814182046462193,12.652965644368688,3.5081265819457466,3.89222095446973,3.4584352823782276,3.2849938290500265,4.111261893529275,2.227289626311438,2.813870384150934
2024-09-09,47.26214348652572,16.73622747441523,12.659644314339902,3.519238099678562,3.894275402410282,3.4602607633379496,3.2867277616519432,4.1270433705594245,2.2619731971386337,2.792466129942355
2024-09-10,47.24557293792604,16.709164424233215,12.65464935360567,3.544505258691578,3.8927388858826184,3.4588954906482976,3.2854309577524083,4.146557486676195,2.254797964149896,2.807687240434083
2024-09-11,47.21064621901294,16.6157333920122,12.645400378804192,3.6087326593455775,3.8898937779022846,3.454396286890762,3.2830297163358226,4.153787120464117,2.3221806820324082,2.816199767199693
2024-09-12,47.23511807408885,16.60575808749134,12.651684285496057,3.569717394973435,3.891826791394097,3.456112887654145,3.284661159531456,4.205054156723724,2.267994903740069,2.8320722589068223
2024-09-13,47.28922961706234,16.605550966195494,12.657925151713151,3.5771447127096083,3.8937465650619436,3.4578177308731424,3.2862814284539605,4.228681131654985,2.190285205201892,2.813337491073486
2024-09-16,47.29143417896812,16.587306493404796,12.65810897291352,3.5550871234351624,3.89380311091436,3.459891702350707,3.2863291525627454,4.237849444763809,2.216833178487519,2.8133566421992633
2024-09-17,47.32071680337132,16.54747165798843,12.665337071548496,3.5210737358568367,3.8960265704382975,3.4598424756491846,3.289268807921141,4.264062078179609,2.227245066803647,2.8089557322430396
2024-09-19,47.337111065973666,16.515933310310448,12.667096080347031,3.5215627555841977,3.8978840405306747,3.4603229913529385,3.2904344513170383,4.264654286872567,2.236160554263927,2.8088404634475133
2024-09-20,47.34399694721472,16.50007529566437,12.669033548311322,3.5221013885100008,3.898480232855194,3.4608522574846012,3.29093773251879,4.26530657773759,2.2349329178498265,2.814283101853585
2024-09-23,47.222069137771655,16.529006611991107,12.6372627311402,3.5080769948610575,3.888548380616281,3.4520353157049906,3.282553668644006,4.285755502147808,2.3923764963554954,2.802315160767397
2024-09-24,47.25115539051318,16.508787429340504,12.643450844423496,3.4693428957125056,3.890452493745743,3.4537256806238807,3.284161043151621,4.269763195312285,2.422643887540563,2.806517139636219
2024-09-25,47.270136845483044,16.51346622822648,12.648003178103224,3.4295408340080478,3.891619959191265,3.45476209101494,3.2851465697816398,4.267051157489175,2.432863230347233,2.8074099063549527
2024-09-26,47.10658354916105,16.649287487853805,12.608537103026599,3.5577694916979254,3.8793604750427075,3.4452333173524905,3.2752230346524094,4.211829108255967,2.46376951493592,2.8024069180211266
2024-09-27,47.125694655627186,16.648012369429896,12.616689346651045,3.5613231434034747,3.881868735235082,3.4475617426619283,3.2773406804890923,4.222469582826798,2.4159871429077437,2.8030526007677534
2024-09-30,47.19606539016111,16.429054527716794,12.635732562985066,3.615110531047222,3.887650206513775,3.4526963776937105,3.28222179634001,4.265676358254919,2.4266453540852617,2.809146895202137
2024-10-02,40.98376679670817,18.370582278712398,14.16262145652151,4.073048330026702,4.358840721586777,3.8701641447940616,3.67907737081176,4.806293795506699,2.552061571483467,3.143543533848466
2024-10-03,41.29823136149907,17.880155347778956,14.264964976867315,4.163092588401014,4.390339064280136,3.898131158112203,3.7056635314960222,4.833442053735346,2.3966206934205854,3.169359224409353
2024-10-04,41.31396577511262,17.864830103937415,14.271018711600187,4.164110310133656,4.394206950762072,3.8990841066023116,3.706569428789868,4.834623651049625,2.3868962587088363,3.1646947033034065
2024-10-07,41.125255020583616,17.7234768539515,14.205957563850596,4.145026864256055,4.373330979419855,3.8812152330665937,3.689582818969819,4.812467350684852,2.893496067586144,3.1501912476309712
2024-10-08,41.12409396918229,17.7590999710495,14.209285812214286,4.146097398231416,4.37463083591018,3.8822176325464413,3.6905357256437608,4.813710264174423,2.8493719553438783,3.150956435703827
2024-10-09,41.362366851149716,17.87272486961568,14.298742500329741,4.170183216950446,4.400044268146807,3.904484920907185,3.7119750614639653,4.8416744294249305,2.2160701197813384,3.2217337622301825
2024-10-10,41.395193256859066,17.72438722514918,14.30837009365194,4.228604974484956,4.405117114077236,3.9069578161627443,3.714326031106362,4.870059332022947,2.218123368589405,3.228860787896162
2024-10-14,41.441565867557586,17.738766828168167,14.329067808565089,4.182714829849518,4.411661023159548,3.9126094101966795,3.719698974410395,4.78781763709502,2.2450844736217737,3.231013147376226
2024-10-15,41.18446284497127,17.606833716437237,14.244852733922956,4.218485532219716,4.385732723613147,3.88961414644838,3.6978374876087914,4.692993507968156,2.795185045493293,3.2840022613170547
2024-10-16,41.036804958886826,17.50765839674958,14.19113414525992,4.2361341568404525,4.3697605805520245,3.8749460704567342,3.6838926182128056,4.6908839065561185,3.3127631291319535,3.0960220373535883
