date,EMPEROR SECURITIES LTD,THEIA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-07-31,0.0,0.0,24.722191410776762,17.787226167108617,28.170768402042174,18.928611481018688,0.0,0.0,0.11107440974292633,10.280128129310837
2024-08-01,0.0,0.0,24.424901066142297,19.440660362149163,27.550299992987874,18.421804944325544,0.0,0.0,0.10862796734148858,10.053705667053633
2024-08-02,0.0,0.0,23.424358099340694,22.250307817360557,26.569611309844326,18.063191445821285,0.0,0.0,0.10360612182136418,9.588925205811774
2024-08-05,0.0,0.0,25.611032828928636,21.750467603712746,26.54559951058314,16.64541068615865,0.0,0.0,0.10098680123401692,9.346502569382807
2024-08-06,0.0,0.0,25.430377989077968,21.638537259776967,26.358352433889394,17.191883549953832,0.0,0.0,0.1002744615745497,9.28057430572729
2024-08-07,56.59468338902508,0.0,10.255620010995537,9.287332658711808,10.02119778397609,7.244672291215372,0.0,2.7640871008070858,0.1230018759859153,3.709404889283109
2024-08-08,56.589990799117004,0.0,10.246478084956017,9.286562592675612,10.020366868971852,7.260654741356795,0.0,2.7638579144867887,0.12299167719466211,3.7090973212412703
2024-08-09,56.54779248189159,0.0,10.164268920587567,9.395633212375833,10.012894829943734,7.28838214211047,0.0,2.761796946612532,0.12289996412425766,3.7063315023540175
2024-08-12,56.416910359246906,0.0,10.124210886548694,9.398685286221792,10.179842506580595,7.304577746635582,0.0,2.755404657350276,0.12261550725208728,3.6977530501640703
2024-08-13,56.40136949962689,0.0,10.115912733927951,9.462207776860481,10.177038320701906,7.2695098466185755,0.0,2.754645641007418,0.1225817310248301,3.6967344502319546
2024-08-14,56.36333055393523,0.0,10.052658078152197,9.579701603306209,10.17017459006172,7.264607049173874,0.0,2.7527878170420137,0.12249905785836962,3.694241250470383
2024-08-15,56.348594560097055,0.0,10.058286050509807,9.684527680438658,10.020279989905415,7.320501173619445,0.0,2.7520681103832505,0.12246703091205464,3.693275404134322
2024-08-16,56.37652192516667,0.0,10.063271115864145,9.780190763281661,9.876560886230665,7.332389640376989,0.0,2.7534320842572244,0.1225277277494465,3.695105857073195
2024-08-19,56.36720972814074,0.0,10.27634110599761,9.803352080190924,9.627161534520546,7.355955281738318,0.0,2.75297727609967,0.1225074887864353,3.694495504525757
2024-08-20,56.395155552850184,0.0,10.297961979611808,10.039577142375526,9.334465551580427,7.359602228923842,0.0,2.754342151543354,0.12256822574367926,3.6963271673711815
2024-08-21,55.94214912387354,0.0,10.854580193446449,9.983521997491279,9.25948441420305,7.439827695448481,0.0,2.732217295427279,0.12158366964651393,3.666635610463408
2024-08-23,55.923813602583394,0.0,10.932962164911201,9.980249812153344,9.20728574624218,7.4373892278307485,0.0,2.731321787671961,0.12154381955140224,3.6654338390557712
2024-08-26,55.923813602583394,0.0,10.900186303459138,10.013025673605409,9.20728574624218,7.4373892278307485,0.0,2.731321787671961,0.12154381955140224,3.6654338390557712
2024-08-27,55.91465034841859,0.0,10.882015035647468,10.208007961044625,9.04192465463316,7.436170593345241,0.0,2.730874253891018,0.1215239042981503,3.664833248721746
2024-08-28,55.868879083373834,0.0,10.873107109168199,10.314254600007477,9.03452301074729,7.397339740904833,0.0,2.728638783070761,0.12142442584664886,3.661833246880961
2024-08-29,55.850591552553695,0.0,10.885914494449175,10.42544375647669,9.031565745079623,7.296719531286016,0.0,2.727745619172342,0.12138468005316921,3.660634620929283
2024-08-30,55.63207135251279,0.0,10.72920535665524,10.563980142543087,9.583116759966428,7.007331478296972,0.0,2.7170730819298066,0.12090975214587639,3.6463120759498007
2024-09-02,55.56865802844301,0.0,10.700691602496965,10.682209426127066,9.58847710937676,6.983060176175036,0.0,2.713975972085129,0.12077193075778823,3.642155754538243
2024-09-03,55.523451234681566,0.0,10.691986264352371,10.754872165897293,9.580676591557019,6.9773792442898985,0.0,2.7117680700699176,0.12067367911811133,3.6391927500338297
2024-09-09,55.50538910565434,0.0,10.769834671200714,10.979087954964594,9.512498675054509,6.763660357441151,0.0,2.7108859148060724,0.12063442320887025,3.6380088976697498
2024-09-10,55.45127315852347,0.0,11.181820323792104,11.163377189715936,8.983241663825268,6.757066008816413,0.0,2.708242889305176,0.12051680857408033,3.634461957447546
2024-09-11,54.928383850008885,0.0,11.398303618351955,11.943402437130139,8.421010837859727,6.906623893618945,0.0,2.6827049499393842,0.11938037027230261,3.600190042818654
2024-09-12,54.89304101012847,0.0,11.390969551855626,11.951803507846288,8.415592465484409,6.9504375491456925,0.0,2.6809788039134785,0.11930355677414979,3.597873554851888
2024-09-13,54.857743622636605,0.0,11.367569388012638,11.992344832963195,8.458407649165506,6.9298927413894775,0.0,2.679254877784449,0.11922684206140799,3.5955600459867307
2024-09-16,54.84892636742592,0.0,11.36574228478527,11.910052582641057,8.521339915740263,6.960924794420331,0.0,2.6788242426093247,0.11920767879611495,3.5949821335817136
2024-09-17,54.84892636742592,0.0,11.36574228478527,11.926125528096714,8.505266970284605,6.960924794420331,0.0,2.6788242426093247,0.11920767879611495,3.5949821335817136
2024-10-02,54.78728485454678,0.0,11.385078753209973,12.201710326580383,8.270940048127184,6.969156698591799,0.0,2.675813668109733,0.11907370823088313,3.5909419426032616
2024-10-03,54.76969843362674,0.0,11.461672847149607,12.197793643826031,8.139887293456713,6.999019094094476,0.0,2.674954746453077,0.16718467165331732,3.589789269740029
2024-10-07,54.76530359236319,0.0,11.894061033824496,12.180766425378362,7.649756692266604,7.0786996804488,0.0,2.6747401021911204,0.16717125638694502,3.589501217140483
2024-10-09,54.76530359236319,0.0,11.894061033824496,12.164717984765215,7.649756692266604,7.094748121061947,0.0,2.6747401021911204,0.16717125638694502,3.589501217140483
2024-10-10,54.740412808213925,0.0,11.918063961933289,12.159189130732939,7.678362177542876,7.075482417432877,0.0,2.6735244350776033,0.1670952771923502,3.587869791874143
2024-10-14,54.73748596808892,0.0,11.920100112789966,12.1585390077103,7.677951633716794,7.077777489646662,0.0,2.6733814880629505,0.1670863430039344,3.58767795698048
2024-10-16,54.724319059752006,0.0,11.821014191973713,12.17966895996532,7.676104729651173,7.172293538307424,0.0,2.6727384156167036,0.16704615097604397,3.5868149537576164
