date,CHINA SECURITIES DEPOSITORY AND CLEARING,ORIENT SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMBC SECURITIES CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TIGER BROKERS (HK) GLOBAL LTD,LIVERMORE HOLDINGS LTD,DBS BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-08-02,67.17219718922091,13.46120735338173,12.157153377726406,4.732471528038056,0.6288988359842582,0.02850135883732522,0.660359352296497,0.6175294414753798,0.009344707815516468,0.5323368552239214
2024-08-05,67.16393342932801,13.459551308320055,12.16344406046746,4.731889322750093,0.6280428367883606,0.024604703251316876,0.6602781125669845,0.6174534708320976,0.009343558196702611,0.5414591974989164
2024-08-06,67.14270802676363,13.455297769549052,12.159600122455338,4.730393933027703,0.6641170446355619,0.023040160010797738,0.6600694489579892,0.6172583408298178,0.009340605409782867,0.5381745483603229
2024-08-07,65.89247196505235,14.650795786047599,11.235444365789256,4.642311261729814,0.685361953535179,0.020319469420458938,0.6479313519711757,0.6057646334745842,0.009166677934041627,0.5027922846821833
2024-08-08,66.62761607368442,14.782581761969862,11.36079511507901,4.69410424615916,0.7279213851083381,0.021936510332212226,0.6550056606238017,0.610978157492249,0.009268948027695307,0.5097921415232419
2024-08-09,66.61886834361627,14.780640914576773,11.359303523830773,4.693487943801714,0.7551656209190608,0.023941638625987815,0.6549196630592796,0.6108979404243988,0.00926773108102754,0.4935066800647166
2024-08-12,66.59006853071847,14.783206071630362,11.35439281573456,4.69145891542011,0.7940555914567771,0.024085683894080737,0.6546365366083482,0.6106338448787776,0.009263724574646437,0.4881982850838672
2024-08-13,66.5902741553715,14.791434702930347,11.354427877165412,4.691473402259259,0.7940580434351139,0.022850591177988887,0.6546385580721141,0.6106357304658517,0.009263753180265765,0.48094318594213104
2024-08-14,66.59233047174881,14.827866816774982,11.347058470678505,4.691618275571663,0.7737016777097874,0.02393210138595431,0.6546587733964276,0.6106545869770923,0.009264039246175863,0.4689147865106016
2024-08-15,66.61218045271873,14.807266376425321,11.350440825570008,4.6930167629474395,0.7625032501372838,0.025174808542105985,0.6548539154511005,0.6108366121719581,0.009266800690345762,0.47446019534570305
2024-08-16,66.6108430356719,14.815309034261995,11.350212935221036,4.692922538128838,0.7624879408524343,0.023629867318295007,0.6548407675135348,0.6108243479990638,0.009266614634625494,0.46966291839826874
2024-08-19,66.61701617784219,14.810194807697224,11.351264813187429,4.693357453477477,0.7625586042196505,0.02594892556388521,0.6549014547075791,0.6108809559831311,0.00926747341567329,0.4646093339057543
2024-08-20,66.60374533639748,14.832261647723477,11.349003516537175,4.692422485113805,0.7585460161547755,0.02687031897616672,0.654770991143373,0.6107592617858586,0.009265627233160939,0.46235479893473086
2024-08-21,66.56622468542203,14.8930503959866,11.34261015235454,4.689779048991646,0.7619771988702612,0.017594774290299733,0.6545564716242207,0.6119585970266529,0.009260407521210386,0.45298826791254126
2024-08-22,66.55040673232125,14.964811484003398,11.339914838382953,4.688664629398217,0.7201342007964682,0.017899200191212834,0.6540923242288897,0.6118131789496456,0.009258206995454914,0.4430052047325177
2024-08-23,66.56571099741305,14.98229771008095,11.342522622036375,4.6758523541279065,0.695914254844294,0.01790331638100202,0.6540884036438497,0.6119538745747672,0.009260336059138974,0.44449613083867084
2024-08-26,66.54065265266995,15.056575167589484,11.338252783438385,4.674092151787964,0.6570820726982091,0.017125172592040667,0.653842175180796,0.6117235074544256,0.009256850049751712,0.44139746653899414
2024-08-27,66.53603329704643,15.11307267287568,11.337465664291395,4.673767669039367,0.6068986668207311,0.01727825385966494,0.6537967844398217,0.6116810406568884,0.009256207424820504,0.440749743545203
2024-08-28,66.55348756214184,15.157775251713367,11.340439799078348,4.674993729203273,0.5431732877870187,0.018054339395193516,0.6539682936481207,0.6118415017260025,0.009258635587278729,0.4370075997195559
2024-08-29,66.51304871023451,15.196526605140834,11.333549185492236,4.672153136080238,0.5419179469298243,0.01881445347906618,0.6535709331498565,0.611469738069651,0.009253009907737466,0.4496962815160409
2024-08-30,66.51920373874701,15.202251342254009,11.334597976966048,4.6725854908786575,0.5279330649352272,0.017736576823707603,0.653477182626514,0.6115263226608751,0.009253866168890923,0.45143443793906224
2024-09-02,66.56807402790223,15.158010478905249,11.342925272686061,4.676018343216135,0.5283209264862962,0.017595263108220207,0.6539572788555177,0.6096604322585072,0.009260664793800107,0.43617731178798513
2024-09-03,66.62504297343166,15.089882538385673,11.35263254605157,4.68002007885562,0.5287730634381695,0.017301368128856263,0.6545169353746785,0.6086374145329793,0.009268590069030141,0.4339244917317612
2024-09-04,66.66829745180934,15.035684438592167,11.360002930775954,4.68305845329072,0.5291163548195845,0.017003446985145866,0.6552510160912121,0.6051681358804187,0.009274607446443199,0.4371431643090228
2024-09-05,66.72419940015686,14.970165256608034,11.369528392222197,4.686985238611037,0.5264658953985133,0.01701770452360754,0.6558004497779306,0.6053661618261482,0.009282384285604113,0.4351891165900728
2024-09-09,66.78122919113923,14.90894752851605,11.379246033401945,4.690991248288162,0.5222707116608123,0.017187088346976038,0.6560512912264637,0.6038706716505093,0.009290318025392453,0.4309159177444532
2024-09-10,66.82375494569334,14.864213395671813,11.386492246592214,4.693978434131496,0.5210539171502581,0.01719803294786757,0.6564690594604946,0.6027058393441879,0.009296234025874364,0.4248378949824584
2024-09-11,66.86519457882602,14.828936627264175,11.393553389171682,4.69688932628955,0.5178112737591463,0.01674359807364904,0.6568761577597314,0.6015292641273915,0.009301998929805023,0.4131637857988398
2024-09-12,66.87939947182883,14.793940600166867,11.395973844355197,4.697887137045149,0.5421116131208689,0.01659208884551858,0.6570157050323573,0.5966949334350982,0.00930397505356182,0.4110806311165398
2024-09-13,66.91177183553812,14.763712416726932,11.401489961620367,4.70016110649264,0.5415983107593678,0.014738424383311355,0.6573337274956865,0.5926398015184144,0.009308478557880856,0.4072459369072875
2024-09-16,66.92848906674939,14.748624192898758,11.404338508873158,4.701335394331567,0.5417336236338626,0.013655846141443686,0.6574979556965556,0.5868910239425003,0.009310804187347968,0.4081235835454193
2024-09-17,66.96142878778952,14.708840216511321,11.409951301487597,4.703649217317335,0.5621835825160441,0.013662567042643434,0.657821551814548,0.5760014060023538,0.00931538661998416,0.397145982898658
2024-09-19,66.99460907754265,14.715973311551453,11.415605086018575,4.70597993884991,0.5158621394547317,0.011805336524709307,0.6581475112525439,0.5742674885769777,0.009320002519507348,0.3984301077089391
2024-09-20,67.03313526523233,14.719462411524656,11.422169789510257,4.708686178484478,0.4814995306622958,0.011656702646763132,0.6591476789989659,0.5694687799698682,0.009325362117410505,0.38544830085296755
2024-09-23,67.00918134478513,14.75413185374077,11.418088140257396,4.70700355549983,0.47946306351572743,0.011341802863463415,0.6589121362184704,0.5681777133107632,0.009322029750791848,0.3843783600576506
2024-09-24,66.98243568639015,14.790951890890677,11.413530790371981,4.705124829232281,0.479271693392224,0.010871360511165159,0.6588044469766087,0.5679509341332999,0.009318309009570137,0.3817400590920566
2024-09-25,66.97806683012503,14.79635426303855,11.41278635528255,4.70481794260032,0.47846395831633176,0.011181241479641637,0.6587614771755532,0.5665162349685097,0.009317701233034699,0.383733995780479
2024-09-26,66.9639239671549,14.824437622739644,11.410376469760779,4.7038244890921685,0.47836292747864306,0.011023618257378662,0.6584671130921536,0.5590992865467684,0.009315733738629857,0.38116877213893824
2024-09-27,66.91986982379167,14.88435181835595,11.402869825420854,4.700729942863075,0.475410501219054,0.009464765200509886,0.6580339215633185,0.5587314670005918,0.009309605115255627,0.3812283294697179
2024-09-30,65.89247196505235,14.658587462291534,11.227805467510887,4.628561244828752,0.46658390684271883,0.009319455899608987,0.6479313519711757,0.550153454008065,0.009166677934041627,0.3697226766730123
2024-10-02,66.89381790506394,14.880728732751072,11.398430685913606,4.698899947754672,0.513224845759183,0.009305980884119366,0.6577777488258373,0.5591343514541719,0.009305980884119366,0.37937382070926623
2024-10-03,66.90097756607508,14.899694444192379,11.399650662621855,4.699402872117561,0.513279776334731,0.00837627921489135,0.6572276858054564,0.5591941957348762,0.009306976905434833,0.3528895409977374
2024-10-04,66.9105261651419,14.898252854372418,11.401277704522277,4.700073605423887,0.5147492811855182,0.007912059475726771,0.6570112133275073,0.5592740080391179,0.009308305265560908,0.3416148032460853
2024-10-07,66.89132794738718,14.902818544857771,11.39800640739463,4.698725042772961,0.5146015874016598,0.007909789318108694,0.6566676073112199,0.5817572496514846,0.009305634491892582,0.33888018941308823
2024-10-08,66.86612756179656,14.928056173694928,11.39371236562203,4.696954862893212,0.5413838916432234,0.007906809414033331,0.6564202168434731,0.5592129716944749,0.009302128722392155,0.34092301767567246
2024-10-09,66.86757892039165,14.929775543289054,11.393959671140907,4.697832006575507,0.5421708368368883,0.00790698103479591,0.65643446473188,0.5592251096570362,0.009302330629171658,0.33581413571309693
2024-10-10,66.87297023254523,14.892216445784397,11.394878328496896,4.698210777262309,0.5812874889923236,0.007907618548575222,0.6564873908758331,0.5592701981315849,0.009303080645382614,0.327468438717468
2024-10-14,66.87576991060838,14.853610285234314,11.395355382092355,4.698407470748533,0.621781919992793,0.007907949605893376,0.65651487512456,0.5592936123226944,0.009303470124580443,0.322055124145893
2024-10-15,66.87576991060838,14.813760421534028,11.395355382092355,4.698407470748533,0.6610115523514404,0.008218065276712724,0.6566699329599696,0.5592936123226944,0.009303470124580443,0.3222101819813027
2024-10-16,66.87815500645723,14.76404821757375,11.395761792588328,4.698575037449741,0.7004212218791618,0.008218358370510421,0.656693352813427,0.5593135592911527,0.009303801928879722,0.32950965164782353
2024-10-17,66.88645231717835,14.71082561093047,11.397175620115236,4.699157971249701,0.7397440191036955,0.00821937799004106,0.6567748261853564,0.5593829511335491,0.009304956215140823,0.3329623498984558
2024-10-18,66.90025115380055,14.695401852673239,11.399526884966162,4.700127418886117,0.7398966300810792,0.008221073667567545,0.6569103204178974,0.559498353187097,0.009306875850076468,0.3308594364702184
2024-10-21,66.89049800268666,14.701169153165974,11.397864988240539,4.699442203925332,0.7400989471348035,0.008219875146300206,0.6568145517845543,0.5594167859000915,0.009305519033547404,0.3371699729822009
2024-10-22,66.9296315426877,14.649248647951167,11.404533182061218,4.702191560186105,0.7405319337714297,0.0082246840925997,0.6571988138143345,0.5597440664529645,0.009310963123697774,0.3393846058587839
2024-10-23,66.95986939511091,14.609135868192832,11.40968558740645,4.698726841420803,0.7483186312786476,0.007917894231371582,0.6574957268599736,0.5599969508344568,0.009315169683966567,0.3395379349805814
2024-10-24,66.97130662833959,14.574208892491026,11.4116344447789,4.699529418176829,0.768788043925111,0.007919246665356627,0.6576080319173591,0.5600926023910069,0.009316760782772502,0.3395959305320577
2024-10-25,66.95716661984689,14.554520380108785,11.409225045648311,4.698537181512649,0.80635064003888,0.007917574632649764,0.6574691876327795,0.5599743470581903,0.009314793685470312,0.3395242298353929
2024-10-28,66.93399408234207,14.562985127948345,11.40527654082623,4.696911111674979,0.8270226107423083,0.007914834518269416,0.6572416506837447,0.5597805511254468,0.009311570021493432,0.33956192011712716
2024-10-29,66.89412916280757,14.59045001839103,11.398483722949424,4.694113699297387,0.8499502088931004,0.00791012055721681,0.6568502070551606,0.5594471539192359,0.009306024184960954,0.3393596819449094
2024-10-30,66.85700617879368,14.59599429020217,11.392158119576969,4.691508694792518,0.8886971533866019,0.007905730825521838,0.6564856871781369,0.5591366879932798,0.009300859794731574,0.34180659745638536
2024-10-31,65.89247196505235,14.405587151311986,11.227805467510887,4.626116797379674,0.8946677663624627,0.007791676243935383,0.6470146841777715,0.5510701218014691,0.009166677934041627,0.34176430897418536
2024-11-01,66.79788124833846,14.620721506478555,11.382083475271873,4.689682922143287,0.9295732132993398,0.007898739399911085,0.6560600019220266,0.5586422159897898,0.009292634588130688,0.34816404256862976
2024-11-04,66.77078710671428,14.647456983458001,11.377466745281431,4.687780722090075,0.9284220934733878,0.00789553556230495,0.6557938949396815,0.5584156230045872,0.009288865367417586,0.3566924301088353
2024-11-05,66.79695016886417,14.5751393120743,11.381924823169436,4.6896175537898594,0.9676595269510911,0.007898629301297318,0.6560508572606949,0.5586344292113614,0.009292505060349787,0.35683219431743185
2024-11-06,66.86975607642206,14.526217263160571,11.394330649549406,4.692403384205043,0.9307284822528622,0.007907238479909375,0.6567659255077668,0.5592433175888845,0.009302633505775733,0.35334502932771494
2024-11-07,66.87670318872361,14.558428274632657,11.39551440883414,4.69289087892892,0.891284875998131,0.00790805996449281,0.6568341570508146,0.5593014174887366,0.009303599958226836,0.3518311384202782
2024-11-08,66.91447094718288,14.56494333661755,11.401949879112895,4.6932139152163534,0.8503638171669696,0.007912525939703605,0.6572050956977347,0.5596172757747235,0.009308854046710124,0.3410143532444808
2024-11-11,66.93544838860944,14.569509392978752,11.405524348616305,4.694685220579979,0.81788400371757,0.007759810281950379,0.657411127086836,0.5597927137399004,0.009311772338340454,0.3426732220509287
2024-11-12,66.93960389762219,13.063365190108142,11.406232430213828,4.69497667760635,2.3172231998896797,0.0077602920291014055,0.6574519407054711,0.5598274669793754,0.009312350434921688,0.3442465544109383
2024-11-13,66.95093027882092,13.085134795407583,11.408162398857554,4.695771081703079,2.2780310950080227,0.007761605093724098,0.6575631835403056,0.5599221914612564,0.009313926112468918,0.34740944399509066
2024-11-14,66.94604595637071,13.10466932813385,11.407330130456078,4.69542850752196,2.2575309822611365,0.007605818078300034,0.6576704326072907,0.5598813430291475,0.009313246626489838,0.3545242549150465
2024-11-15,66.95882984034125,13.129062078664921,11.409508451561054,4.696325137223903,2.217907468111758,0.007607270470213927,0.6577960200468654,0.5599882568584007,0.009315025065568073,0.35366045165606785
2024-11-18,66.97380254392765,13.148302815016663,11.412059738501389,4.697375285268495,2.1802032728981713,0.007608971536467976,0.657943110204384,0.5601134761640815,0.009317108003838339,0.3532736784788703
2024-11-19,66.99929232934252,13.153306971934656,11.41640309281049,4.699163075172706,2.142196985343194,0.007611867460610334,0.6581935189919589,0.5603266516412545,0.009320654033400409,0.35418485326921556
2024-11-20,67.03157253101446,13.150474498332471,11.421903506044599,4.701427127918372,2.104685162521342,0.007615534851834719,0.6585106360657897,0.5605966165422005,0.009325144716532308,0.3538892419924011
2024-11-21,67.05971289974923,13.151019670088695,11.42669850881981,4.702467917170079,2.069029909197932,0.007618731911828261,0.6587870838860477,0.5608319593053986,0.009329059483871338,0.3545042603871109
2024-11-22,67.06138121872112,13.179334717333738,11.426982783492099,4.700408070987824,2.0448252246629464,0.007618921451485391,0.6588034732641551,0.5569587069228707,0.009329291573247417,0.3543575915905144
2024-11-25,67.04042898846195,13.245320315576611,11.423412609867633,4.698939505467316,2.0056373284500424,0.007616541044257311,0.6585976409085352,0.5567846942965242,0.009326376788886504,0.35393599913824275
2024-11-26,67.00137398476477,13.314967967412116,11.416757798309227,4.6962020960782676,1.985360991990746,0.007612103959901922,0.658213968940907,0.5564603343748711,0.0093209436243697,0.35372981054483016
2024-11-27,67.02303087169746,13.287104121320834,11.4204480425247,4.697720051782146,1.9860027211966864,0.007614564423993555,0.6584267237645038,0.5566401993213247,0.009323956437543128,0.35368874753080265
2024-11-28,67.01063892018094,13.267712067000751,11.418336505093475,4.696851485882295,1.985635527276736,0.007613156559981225,0.6581496160832749,0.5565372815888316,0.00932223252242599,0.3892032078112851
2024-11-29,67.00241486098413,13.241072164410328,11.4169351593242,4.693944780163294,1.9853918348663548,0.008388979583942344,0.6580688429181438,0.5564689790681755,0.009321088426602604,0.4279933102548363
2024-12-02,67.007932044913,13.201923129956072,11.41787526471158,4.6943312939442965,1.985555318107169,0.007612849028736408,0.6581230303209679,0.5565148004272207,0.009321855953554784,0.4608104126373916
2024-12-03,67.00324758524494,13.16169578494366,11.4170770521039,4.694003117787475,1.9861932768794597,0.007612316821829764,0.6580770215769567,0.5564758950162084,0.00932120427162828,0.5062967453539428
2024-12-04,66.97328254617193,13.167611219978085,11.411971133028402,4.6919038764536225,2.0252129854942296,0.007608912458918666,0.657782717877132,0.5562270291397278,0.00931703566398204,0.4990825437339713
2024-12-05,66.92672349883343,13.190423500842954,11.404037663381876,4.688642119430725,2.061357667202308,0.007603622831444828,0.6573254349795978,0.5558403465762322,0.009310558569116115,0.49873558735232
2024-12-06,66.8925729030545,13.198116845737548,11.398218542705864,4.685939459672236,2.097218858560486,0.007599742942572387,0.6569900225456455,0.5555567187815161,0.009305807684782516,0.49848109831485005
2024-12-09,66.86084100252587,13.200537341489726,11.39281155772526,4.683251515952704,2.134514734298337,0.007596137844478069,0.6566783654940632,0.5552931787534785,0.009301393278952737,0.4991747726371303
2024-12-10,66.82862143931213,13.20099387077898,11.387321477034344,4.680994704402002,2.174702438804439,0.0075924773424593875,0.6563619188297544,0.5550255885855006,0.009296911031582923,0.49908917387881
2024-12-11,66.82955340193053,13.169877929081089,11.387480279620894,4.681059983499302,2.174112963537859,0.007592583223815486,0.6563710721649468,0.5534838219483451,0.009297040682223043,0.5311709243110099
2024-12-12,66.84156769156296,13.154577992288733,11.389527465024637,4.681901521525007,2.174503814912856,0.007748926715532948,0.6563340928056407,0.5535833245576738,0.009298712058639538,0.5309564585483176
2024-12-13,66.85213555046577,13.143482513681148,11.391328184597457,4.681866729473897,2.1731425772959456,0.00790515488174702,0.6562828582218998,0.5536708477960854,0.009300182213820023,0.5308854013722264
2024-12-16,66.86384698272103,13.169659692452656,11.393323764353179,4.6826869181571595,2.1321302163686613,0.007906539739315184,0.6563978285541272,0.5537678421339968,0.009301811458017863,0.530978404061853
2024-12-17,66.88904564901601,13.1553918922618,11.39761751316489,4.684451660545448,2.1174248806961433,0.00790951944008667,0.6566452021436658,0.5539765380390115,0.009305316988337258,0.5282318277046117
2024-12-18,66.92121967907127,13.145117250247157,11.403099835193391,4.686704909744273,2.095789545304284,0.007913323966130042,0.6569610524038156,0.5542430040591473,0.009309792901329461,0.5196416071092061
2024-12-19,66.91914300119635,13.183033459986548,11.40274597784819,4.686559473417216,2.0605035526230964,0.007913078402392915,0.6569406657986588,0.5542258049675979,0.009309504002815194,0.5196254817571347
2024-12-20,66.89942098765978,13.248793824468141,11.399385428079565,4.6851782783625655,2.021893688411059,0.007910746306786651,0.6565919434632922,0.5540624668204298,0.009306760360925474,0.5174558760674564
2024-12-23,66.88054027243899,13.311734303713132,11.396168232074249,4.68385600209281,1.9828659724800781,0.00790851369332009,0.6564066365455674,0.5539060963243012,0.009304133756847164,0.5173098368807023
2024-12-27,66.8399102913501,13.372456177612774,11.389245050863856,4.681010555868648,1.9793367594621543,0.0075937598820580605,0.6560078689949341,0.5535695979328856,0.00929848148823436,0.5115714565443604
2024-12-30,66.80398563444253,13.433575947472608,11.383123637488147,4.678494638395579,1.978272919105722,0.007589678440039179,0.6556552823813437,0.5532720691391826,0.009293483804129605,0.49673670933072744
2025-01-02,66.75373527907034,13.454271334151008,11.374561184176466,4.674975446898942,2.0182645200318556,0.007583969438770011,0.6551620945778256,0.5528558945976831,0.009286493190330624,0.4993037838667766
2025-01-03,66.72812224195447,13.496916094612551,11.370196828285831,4.672408107308815,2.017490123155859,0.007581059511858673,0.6549107125244441,0.552643766864473,0.009282930014520824,0.49044813576718355
2025-01-06,66.6809754691776,13.562209238910079,11.362163212648516,4.669106816099729,2.0160646649649165,0.0075757031122147935,0.65444798518378,0.552253296261862,0.009276371157814033,0.4859272424834918
