date,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,GAOYU SECURITIES LIMITED,INNOVAX SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD
2024-10-29,102010000.0,51905000.0,0.0,100295000.0,39625000.0,0.0,0.0,0.0,0.0,66190000.0
2024-10-30,102290000.0,51750000.0,0.0,100795000.0,39615000.0,0.0,0.0,49810000.0,0.0,66755000.0
2024-11-01,100095000.0,52320000.0,0.0,102415000.0,39585000.0,0.0,0.0,0.0,46275100.0,66305000.0
2024-11-04,100395000.0,51630000.0,0.0,0.0,39570000.0,0.0,0.0,0.0,46375100.0,66505000.0
2024-11-11,100515000.0,0.0,0.0,102065000.0,39555000.0,0.0,0.0,0.0,46475100.0,66710000.0
2024-11-12,100765000.0,50935000.0,0.0,101815000.0,0.0,0.0,0.0,0.0,46500100.0,66810000.0
2024-11-14,100410000.0,50950000.0,0.0,100985000.0,39635000.0,0.0,0.0,49510000.0,0.0,66695000.0
2024-12-12,99255000.0,49310000.0,0.0,0.0,38260000.0,0.0,0.0,0.0,46690100.0,68025000.0
2024-12-19,99100000.0,0.0,0.0,101545000.0,38270000.0,0.0,0.0,48985000.0,46840100.0,0.0
2025-01-09,104965000.0,48295000.0,0.0,103285000.0,35670000.0,0.0,0.0,48895000.0,45665100.0,67975000.0
2025-01-27,105065000.0,49990000.0,0.0,104585000.0,34345000.0,0.0,0.0,0.0,47085100.0,67445000.0
2025-02-03,104635000.0,46165000.0,0.0,104640000.0,34045000.0,0.0,0.0,54630000.0,47475100.0,67275000.0
2025-02-04,104390000.0,44850000.0,0.0,107865000.0,33995000.0,0.0,0.0,54635000.0,47365100.0,66795000.0
2025-02-05,100675000.0,45115000.0,0.0,108065000.0,34010000.0,0.0,0.0,55585000.0,44935100.0,67080000.0
2025-02-06,91870000.0,48275000.0,0.0,110165000.0,33975000.0,0.0,0.0,0.0,47365100.0,66880000.0
2025-02-07,91595000.0,47360000.0,0.0,110565000.0,0.0,0.0,0.0,0.0,46865100.0,67935000.0
2025-02-10,92525000.0,46785000.0,0.0,111765000.0,34305000.0,0.0,0.0,0.0,47865100.0,0.0
2025-02-11,92725000.0,46330000.0,0.0,111265000.0,34300000.0,0.0,0.0,55885000.0,0.0,67635000.0
2025-02-13,92260000.0,47130000.0,0.0,112345000.0,0.0,0.0,0.0,0.0,47365100.0,68195000.0
2025-02-14,93430000.0,46540000.0,0.0,113495000.0,0.0,0.0,0.0,0.0,45365100.0,67865000.0
2025-02-20,90570000.0,47535000.0,0.0,112445000.0,33855000.0,0.0,0.0,56385000.0,44775100.0,69080000.0
