date,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,PLANETREE SECURITIES LTD,VALUABLE CAPITAL LTD
2024-06-17,17.367944802624137,24.623911322248617,16.983372921615203,15.33763148965049,8.992195453003054,6.605587603212307,6.15315009614297,3.9362063115032235
2024-06-18,17.610240216533214,24.551708582384123,16.933573925792263,15.29265817074546,8.965828352317583,6.58621856321191,6.135107702717943,3.924664486297508
2024-06-19,17.762119503945886,24.54340473506201,16.92784667418264,15.129650507328071,8.962795941375424,6.5839909808342725,6.133032694475761,3.957158962795941
2024-06-20,17.766754974353194,24.542021306577983,16.926892508877742,15.128797700242377,8.962290738966235,6.583619863592808,6.132686996223438,3.9569359111662252
2024-06-21,17.762119503945886,24.54340473506201,16.92784667418264,15.129650507328071,8.962795941375424,6.5839909808342725,6.133032694475761,3.957158962795941
2024-06-24,17.940779103805447,24.510245440216167,16.904976356676425,15.024769196127,8.950686782256248,6.591983787435263,6.124746678675974,3.951812654807476
2024-06-25,18.052350126653533,24.50886574725584,16.904024767801857,14.950745848578666,8.950182943990994,6.557838446383338,6.124401913875598,3.9515902054601746
2024-06-26,18.074390861515955,24.50059085026166,16.898317483540602,14.945698047380565,8.952788250520511,6.55562433177649,6.122334139890833,3.9502560351133873
2024-06-27,17.99099606077659,24.50196961170512,16.899268429938097,14.946539110861002,9.0320765334834,6.555993247045583,6.1226786719189645,3.9504783342712435
2024-07-02,17.976136875281405,24.504727600180097,16.90117064385412,14.94822152183701,9.033093201260693,6.562359297613687,6.123367852318776,3.9509230076542097
2024-07-03,17.984356535929322,24.50059085026166,16.898317483540602,14.945698047380565,9.037195430757977,6.561251477125654,6.122334139890833,3.9502560351133873
2024-07-04,18.00899887514061,24.488188976377952,16.88976377952756,14.938132733408324,9.032620922384702,6.55793025871766,6.119235095613049,3.965129358830146
2024-07-10,18.05415121896416,24.45792607572183,16.868891135827436,14.919671946972251,9.072014380406696,6.549825862262668,6.111672845747669,3.9658465340972926
2024-07-11,18.12875343772801,24.437335129370826,16.854689341640004,14.907111185946006,9.086827187517539,6.54431161250491,6.106527473761015,3.9344446315316834
2024-07-15,17.974432444346483,23.969583425170818,16.54727793696275,14.635221512012341,8.92109323341415,6.424950407758431,5.9951509808243335,5.532290059510689
2024-07-16,17.92333498322609,23.923444976076556,16.515426497277677,14.60705054171479,8.903921245119067,6.396084254523456,5.983611065280757,5.747126436781609
2024-07-17,17.930693613048494,23.889285518150366,16.491844692185182,14.586193640507442,9.001043440057115,6.386951507496293,5.975067274424735,5.738920314130375
2024-07-18,19.749354147199472,23.91029516847139,16.506348595613698,14.599021601714945,9.014456109492661,6.436541526960919,5.980322101907327,3.8036607486395866
2024-07-19,19.7537649774651,23.90898098274156,16.505441354292625,14.598219193140597,9.013960646366934,6.436187754204682,5.979993404419039,3.8034516873694626
2024-07-22,18.415609101582152,24.31933806675239,16.788729244702857,14.848772851791804,9.146307374070554,6.546653994521161,6.082629842902667,3.8519595236764133
2024-07-23,18.369972590479385,24.332941768753148,16.798120490015105,14.857078928231807,9.151423616937965,6.550316048554008,6.086032332046764,3.8541142249818203
2024-07-25,18.371000223763705,24.334302976057284,16.799060192436787,14.857910046990378,9.151935556052807,6.550682479301857,6.086372790333408,3.8487357350637725
2024-07-26,18.35729871873776,24.338387511889444,16.801879930621606,14.860403961282382,9.1534717171152,6.5517820175684,6.087394393778324,3.849381749006882
2024-07-29,18.348161826422697,24.341111297633038,16.803760282021152,14.862067035980079,9.154496111017849,6.552515248167421,6.0880756532930445,3.8498125454647196
2024-08-01,18.03224563913498,23.93660925548891,16.5245143894789,14.615088317834148,9.002366147581577,6.443625158201728,5.9869036482694105,5.458647444010345
2024-08-02,19.987939257716132,23.84737678855326,16.462913217477112,14.560605229976426,9.056521024066663,6.408639877199715,5.964585274930102,3.7114193300805876
2024-08-05,20.001096250822187,23.843455382591536,16.46020609515457,14.558210918658187,9.055031791273843,6.407586055689542,5.963604472703354,3.7108090331067745
2024-08-07,19.926523002686846,23.852607336733016,16.46652409935845,14.563798870428249,9.102374294017658,6.410045511871471,5.965893513187476,3.7122333717168394
2024-08-08,19.92215339071323,23.84737678855326,16.462913217477112,14.560605229976426,9.100378268735266,6.408639877199715,5.964585274930102,3.7333479524148894
2024-08-09,19.9440973364025,23.840841828345937,16.458401841499505,14.556615148525703,9.097884467828566,6.406883700537104,5.962950783733421,3.7323248931272612
2024-08-12,19.957257931941477,23.836922571099787,16.455696202531644,14.554222149158857,9.096388843224286,6.405830456463368,5.961970518932544,3.731711326648036
2024-08-14,19.93972602739726,23.835616438356162,16.454794520547942,14.553424657534247,9.117808219178082,6.405479452054795,5.961643835616439,3.7315068493150685
2024-08-16,19.948498794652643,23.833004602235373,16.45299145299145,14.551829936445321,9.116809116809117,6.404777558623713,5.960990576375192,3.7310979618671927
2024-08-23,18.46085161002288,24.275908253808804,16.758747697974215,14.822255706233605,9.28623249065238,6.52380155142586,6.071767397734249,3.8004352921479994
2024-08-26,18.597136330714804,24.235333444760155,16.730737088417182,14.797481753858154,9.270711460248481,6.51289765446543,6.06161903170093,3.7940832358348655
2024-08-27,18.606205782407663,24.232633279483036,16.728873043284498,14.795833101219987,9.269678569439028,6.512172023842683,6.060943680017826,3.7936605203052753
2024-08-28,18.54267714779506,24.251547081451747,16.741930088643585,14.807381390422034,9.276913642192117,6.5172548363717455,6.06567430451023,3.7966215086134807
2024-08-29,18.53813559322034,24.252899197145407,16.742863514719,14.80820695807315,9.27743086529884,6.517618198037467,6.066012488849242,3.796833184656557
2024-09-02,18.562506970001117,24.25560388089662,16.74473067915691,14.80985836957734,9.245009479201517,6.5183450429352074,6.066688970670235,3.7972566075610574
2024-09-03,18.58066674099677,24.250195116512433,16.740996766640652,14.806555914817707,9.242947931764968,6.516891515219088,6.065336157877132,3.7964098561712567
2024-09-05,18.59881841489243,24.244788763794446,16.737264519005684,14.803254932560472,9.240887303533608,6.515438635603611,6.063983948277784,3.795563482331959
2024-09-09,18.60335506882907,24.243437552248785,16.736331717104164,14.802429916959259,9.240372290029537,6.515075516914674,6.063645990079697,3.7953519478348103
2024-09-11,18.631983512504874,24.229933715813512,16.7270094134685,14.794184815908205,9.235225310533059,6.5114465548933325,6.060268478805771,3.8099481980727457
2024-09-12,18.730529595015575,24.19893190921228,16.705607476635514,14.775255896751224,9.228971962616821,6.503115264797507,6.052514463729417,3.8050734312416554
2024-09-16,19.63362306084278,23.930025305314114,16.519969193530642,14.611068324348114,9.12641654747497,6.430850478600505,5.985256903949829,3.7627901859390476
2024-09-20,19.522788498543076,23.904557699708615,16.509978558469403,14.602232118313266,9.30232558139535,6.426961350266645,5.981637253284952,3.7495189400186923
2024-09-23,19.527212754260585,23.90324354040682,16.50907091808686,14.601429356789444,9.301814183617372,6.426608026388125,5.981308411214954,3.7493128092358443
2024-09-24,19.531636523555605,23.901929525589576,16.508163377494363,14.600626683524819,9.301302842064757,6.426254741355615,5.980979605299324,3.7491067011159362
2024-09-25,19.55816892894433,23.894048469527945,16.50272022860911,14.595812496565369,9.298235972962576,6.424135846568116,5.979007528713525,3.747870528109029
