date,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,MASON SECURITIES LTD
2024-06-19,9.508300228624542,34.04600121209438,11.650855053479548,14.288679173895117,6.929828636801655,7.342945298433441,7.986047871407112,4.410727361235678,3.8366151640285318,0.0
2024-06-20,9.50824190813679,34.04579238618975,11.650783591332466,14.288591532285292,6.92917276775974,7.34228689548277,7.985998887866851,4.412540399332882,3.836591631613453,0.0
2024-06-21,9.505093663865555,34.03451959024334,11.677583980821261,14.283860481385432,6.926878471013688,7.339855813808597,7.9833546687260535,4.413532020390947,3.83532130974512,0.0
2024-06-24,9.504685710763168,34.03305884841943,11.677082785695593,14.283247426385293,6.926581173410737,7.339540791457824,7.983012027777976,4.417634536109087,3.835156699980894,0.0
2024-06-25,9.503578585985121,34.02909460974069,11.675722615766698,14.281583685193006,6.92454822510878,7.338685867085047,7.9833082768806145,4.428768160972628,3.8347099732674126,0.0
2024-06-26,9.498745221569648,34.01178796956411,11.69490733987852,14.274320305640128,6.921026513294472,7.335566283000272,7.9804735997474285,4.450413064724016,3.832759702581401,0.0
2024-06-28,9.498454212036949,34.01074596303668,11.694549047341923,14.27388298858563,6.920814476373336,7.3365670111354255,7.9802291049390295,4.452114916806433,3.832642279744597,0.0
2024-07-03,9.494963487959387,33.99824686295379,11.702501396601084,14.268637273239083,6.914596001957807,7.3338707901987625,7.977296335326288,4.478654085066479,3.8312337666973226,0.0
2024-07-04,9.49490533096192,33.998038622452476,11.702429718353459,14.268549877315673,6.9145536498052484,7.333825869972845,7.977247474095452,4.4792391567920795,3.8312103002508486,0.0
2024-07-08,9.490719898578353,33.983052007329086,11.719311602404057,14.262260183143757,6.901709919295391,7.328756358249241,7.973731037780819,4.510937521987798,3.829521471231497,0.0
2024-07-09,9.48740904727665,33.97119697070629,11.743376226892535,14.260344873492988,6.899302247852712,7.321915570552237,7.9776816109961946,4.510587915078017,3.828185537152374,0.0
2024-07-10,9.478823226797136,33.94045405689165,11.768213864000234,14.24743968932209,6.877771931107729,7.3159009228948175,7.990640433474022,4.556034731390797,3.8247211441215185,0.0
2024-07-11,9.479402860251227,33.94252952788079,11.773214019726598,14.245253407382913,6.878192509338326,7.313290774863701,7.991129064014333,4.552032809345172,3.824955027196944,0.0
2024-07-12,9.475926122480528,33.93008050802349,11.778676455506266,14.240028710078162,6.875669811227074,7.308774658843559,7.983307942267566,4.583983633925304,3.8235521576480567,0.0
2024-07-15,9.477432395676725,33.93547396193537,11.780548769030275,14.242292274956341,6.8767627531737165,7.308713693242868,7.979685940115874,4.574930270447984,3.824159941420839,0.0
2024-07-16,9.477374453237502,33.935266489694435,11.789647337239803,14.242205201462163,6.871829728506877,7.308669009758852,7.99003049126836,4.560840727283034,3.824136561548978,0.0
2024-07-17,9.475984047211544,33.93028791685734,11.806256194188538,14.240115756961181,6.870821576564476,7.307596770027999,7.988858290402237,4.556503917412065,3.823575530374626,0.0
2024-07-22,9.158172216624584,32.7923114427019,14.764156400182458,13.762521320969936,6.640383410775574,7.0625097484476544,7.7209226686322046,4.403684870455617,3.6953379212100725,0.0
2024-07-23,9.154440507863953,32.778358917412376,14.770541758715108,13.75691346383785,6.631772226060556,7.063765750757998,7.708918489670036,4.441456715245009,3.6938321704371133,0.0
2024-07-24,8.989031111086526,32.18609458719737,14.503656371204416,13.508343083636248,6.511944319315665,6.937291997053249,7.569627884625708,4.34148950300235,3.627089200117497,1.825431942760972
2024-07-25,8.989031111086526,32.18609458719737,14.509455074961597,13.508343083636248,6.511944319315665,6.937291997053249,7.56556879199568,4.293940132193455,3.627089200117497,1.871241702442712
2024-07-26,8.991377336095873,32.16317429929293,14.50628192387024,13.511868893257557,6.513644000452892,6.937942654638049,7.5675434794219845,4.308401392285314,3.62803590586223,1.8717301148229282
2024-07-29,8.985123455900839,32.14080346207401,14.492714486352886,13.502470821514953,6.509113487752864,6.936015115911966,7.5350378754040275,4.315837847712184,3.6255124546655533,1.9573709927107232
2024-07-30,8.985123455900839,32.14080346207401,14.492714486352886,13.502470821514953,6.509113487752864,6.936015115911966,7.536776730298351,4.31409899281786,3.6255124546655533,1.9573709927107232
2024-08-01,8.983717531592927,32.121286121618695,14.515945990333845,13.500358056783558,6.508094990798391,6.930873127385856,7.490394279258165,4.318639703600144,3.673625480558415,1.9570647180700058
2024-08-02,8.983821659045708,32.1216584293735,14.516114240111888,13.500514535200333,6.508170424086613,6.93211252960475,7.490481098069409,4.316371622314968,3.67366806039938,1.957087401793454
2024-08-05,8.984394403185748,32.1237062763068,14.527471966434803,13.501375231336235,6.5085853384308905,6.929656615122563,7.490958637508394,4.3027370928326745,3.673902267169494,1.957212171672406
2024-08-06,8.984134055887463,32.12277540442333,14.527050993366656,13.500983992215726,6.508396734443524,6.930035363921336,7.490741566579034,4.304930627199154,3.673795805844835,1.9571554561189475
2024-08-07,8.982988707004065,32.11868020896962,14.535629652263927,13.499262809423476,6.507567006738424,6.927413441543067,7.489207123338145,4.309017654684498,3.6733274493067554,1.9569059467280194
2024-08-08,8.993672607325893,32.156880499431274,14.567421820213161,13.54432662127455,6.515306769027493,6.9356525473809505,7.331025497188905,4.318783934874502,3.6776963142355545,1.9592333890477154
2024-08-12,8.993255198125764,32.1553880526463,14.573707439736738,13.543698009717502,6.515004384328184,6.93242993950366,7.327204396621992,4.322644494000828,3.6775256270931758,1.9591424582258483
2024-08-13,8.9933595467934,32.15576115135491,14.576777286333375,13.543855157136434,6.515079977871586,6.930769927640465,7.315686422169251,4.331977043167154,3.677568297393409,1.959165190140013
2024-08-14,8.995499228247922,32.163411583369076,14.58024536295858,13.547077483070552,6.516630032190092,6.932418882049834,7.206011731054013,4.316179357028487,3.6784432568168297,2.0640830832146175
2024-08-15,8.995342631667487,32.16285167222448,14.579991545298455,13.546841651133388,6.516516588571999,6.932298200244019,7.201244066267008,4.3224872723306165,3.6783792212785307,2.0640471509840252
2024-08-16,8.99586464147305,32.16471811852177,14.580837638533955,13.547627789523647,6.516894749326585,6.932700489271107,7.195858850547608,4.3227381111071885,3.6785926817436523,2.064166929951439
2024-08-19,8.996908842862155,32.1684516610636,14.582530119637582,13.549200340058887,6.517651202521592,6.933505207413237,7.19379222219547,4.285515269761303,3.679019677006622,2.0934254574795528
2024-08-20,8.988653208392062,32.143080650553664,14.600025031122248,13.539674031553764,6.512510781126695,6.917598230445855,7.181739404583524,4.232842047323574,3.6761180624721383,2.207758552426476
2024-08-21,8.984641215423174,32.12873391689083,14.651474657603018,13.53247141326682,6.509603988878965,6.913930969602992,7.104916838084548,4.272688424045133,3.674477264960263,2.227061311244255
2024-08-22,8.992094912393917,32.1553880526463,14.663629583954982,13.543698009717502,6.515004384328184,6.919666796453328,6.983179677128971,4.320904065403056,3.6775256270931758,2.2289088908805774
2024-08-23,8.992668785984517,32.15744020269351,14.66456541368571,13.544562365652638,6.515420170526531,6.920108408121012,6.977243363379524,4.321179824584292,3.677760325998903,2.229051139373369
2024-08-26,8.992825309676626,32.15799992543978,16.115295633096487,12.282884892258531,6.514953385984279,6.964903486599232,6.889756118849704,4.1367546212546005,3.677824339990591,2.266802286850172
2024-08-27,8.98940992259267,32.145786631640675,16.11845471567194,12.278219972728783,6.512479070418167,6.949779947629786,6.886559487233532,4.144463036531145,3.6764275382830855,2.298419677270211
2024-08-28,9.002410523286354,32.19227628330646,16.148154325368132,12.295976892979297,6.57881672474257,6.945891407566443,6.523639926927566,4.184143699571419,3.6817444352558617,2.4469457809958897
2024-08-29,9.599257862221815,34.32657957732606,17.22123183401461,13.123569420618871,7.014983154317181,0.7598114854107612,6.899790529023369,4.483222658612348,3.925838987835845,2.64571449061914
2024-08-30,9.599436214521639,34.327217358340015,17.221551801073257,13.123813253925743,7.0151134913074715,0.761064255949887,6.895583438882086,4.484544609389723,3.9259119291425852,2.645763647467601
2024-09-02,9.599376763018647,34.32700476203541,17.221445144065957,13.12373197515004,7.015070045105904,0.7616788653658368,6.8881088586269845,4.491948709910225,3.9258876150725097,2.645747261648488
2024-09-03,9.600684866214538,34.33168248911531,17.824616941519345,13.141624929457258,7.016025985868719,0.7617826590373036,6.2671626136682,4.483889124366881,3.926422594192797,2.6461077965596513
2024-09-04,9.600565933010573,34.33125718851928,17.824396130313495,13.138365133204669,7.015319671814847,0.7877880045466407,6.2392119948959,4.489408174228679,3.9263739537024827,2.647313815763434
2024-09-05,9.020138917863237,32.25567234537253,16.740956693711315,12.344051328019386,6.590608445815549,6.78766443760844,5.860840411285509,4.219153309683243,3.688994873114769,2.49191923752602
2024-09-09,9.02008642527359,32.25548463387633,16.740859269915735,12.343979491961555,6.590570091849182,6.787624936877106,5.859060457813471,4.220874602753388,3.688973405053595,2.4924866846260527
2024-09-10,9.019194144717204,32.25229387267753,16.73920323886243,12.342758406888771,6.589918142713532,6.786953494778919,5.858480870714334,4.223948414830686,3.6886084862393886,2.4986409275772097
2024-09-11,9.018984222005491,32.25154319707613,16.738813632110492,12.342471127862154,6.592092272394086,6.788541160757358,5.856017003210705,4.224431979661141,3.6885226334809875,2.4985827714414515
2024-09-12,9.021346416073653,32.259990312865874,16.743197754013416,12.352688149162343,6.5990571013681265,6.790319171591691,5.856386713173936,4.188288490160966,3.6894887074944918,2.499237184095496
2024-09-13,8.988270548300983,32.145860180733045,17.504042230887435,12.297967077942348,6.599489615690911,6.656101741569004,4.930913148132888,4.194350022029762,3.554642047154371,3.1283633875592556
2024-09-16,8.988009909061768,32.144928024486035,17.503534653792848,12.297610465091648,6.599298245622174,6.655908729878407,4.9307701629563,4.197128166233209,3.554538970684446,3.1282726721931637
2024-09-17,8.99103425387372,32.15574436172698,17.509424358494623,12.30174844611145,6.601518820990204,6.689476415812945,4.8662922814364915,4.199700742169618,3.555735025384389,3.129325293999575
2024-09-19,8.989458837738532,32.150110006760016,17.50705704085535,12.29959292401624,6.600362097639623,6.688304280463011,4.87007998697445,4.211145867726835,3.5551119866801337,3.1287769711458058
2024-09-20,8.989093850551253,32.14880465808066,17.50808629708605,12.299093539803348,6.6000941118086045,6.6880327240310775,4.870462277604083,4.212714960371377,3.554967643138671,3.1286499375248806
2024-09-23,8.987008777918582,32.141347555743074,17.52374143925368,12.299140141226012,6.59856318156865,6.686481395918241,4.869332545534051,4.212317686168792,3.5541430477049185,3.1279242289639955
2024-09-24,8.985653999338126,32.13650229406686,17.52964517428584,12.297286063630994,6.596988655576993,6.682146223981361,4.876135928405917,4.214581696026469,3.553607265778819,3.1274526989086224
2024-09-25,8.981592113259858,32.13994101122753,17.524039212084602,12.306795224294527,6.589370224418041,6.679125618389141,4.875670334039488,4.225426412157603,3.5520008887826013,3.126038961346606
2024-09-26,8.980967533628696,32.13770600074729,17.527511351566798,12.305939410144314,6.588911999821283,6.679185889216195,4.8759107798149754,4.22629157561096,3.551753882753266,3.125821576696218
2024-09-27,8.98112367039261,32.13826472422512,17.52781607251047,12.309050901577459,6.582072432264829,6.676404459774217,4.87020045084994,4.237375737341119,3.551815631039896,3.125875920024343
2024-09-30,8.982685336676875,32.14385302768207,17.525647369590263,12.311191238409437,6.569306290036872,6.675246931856764,4.872786128493028,4.2404309879927435,3.5524332320130574,3.126419457248887
2024-10-02,8.992588515587093,32.12938933242764,17.528141705884163,12.316060265476079,6.589314271631628,6.718581693621751,4.816071544077361,4.223636719197484,3.556349698030138,3.1298662540666613
2024-10-03,8.979666605021656,32.29760481244217,17.629846680931788,12.298362688299811,6.57984574879663,6.733842298926025,4.5634787880875525,4.240744191215439,3.5512393971798644,3.125368789099068
2024-10-04,8.95517560977139,32.209516855411096,17.61444223568428,12.267709513366729,6.561899985544001,6.731913636763327,4.130946019430615,4.869997629285385,3.5415538051601954,3.1168447095829817
2024-10-07,8.954968629818861,32.208772400521525,17.611146004346118,12.267425971195884,6.561748321098021,6.737536264298624,4.168408981014541,4.831748807768727,3.541471949631012,3.1167726703066863
2024-10-08,8.955796607041128,32.21175042657691,17.62687998635289,12.268560218528272,6.561777145376432,6.740234079769915,4.121408595405083,4.85473269910237,3.541799394452854,3.1170608473941415
2024-10-09,8.955486097640856,32.2250799907364,17.53092267508456,12.325342549512794,6.561549639820476,6.740000386874283,4.101040756830112,4.87305575628411,3.570569372474744,3.1169527747416685
2024-10-10,8.96138946056798,32.24632242698908,17.591628974925687,12.364113818733829,6.56471847192112,6.741552142479544,4.0898664451597,4.7484777672347604,3.572923054523086,3.1190074374652093
2024-10-14,8.962114971590461,32.248933078212104,17.607510268901287,12.36222339681192,6.576815614654468,6.742097936232791,4.097136958570904,4.710695506636357,3.573212317150264,3.119259951239444
2024-10-15,8.960508640800462,32.243152918694804,17.620310686842263,12.362898543367512,6.5692768388052425,6.7417004086270005,4.099293503531875,4.711585720773096,3.5725718700033084,3.1187008685544337
2024-10-16,8.957867220106603,32.22439998420301,17.629566718682195,12.360988177790365,6.582368555329488,6.744337132062657,4.098085094598355,4.713086863378701,3.5715187305392435,3.1177815233093833
2024-10-17,8.954089071750994,32.19752013559345,17.633686426469467,12.37715201901634,6.576125725678753,6.7449591738694386,4.104445365948151,4.7255431655532,3.5700123755903195,3.1164665405298884
2024-10-18,8.95297657485048,32.19351976871436,17.6306330402115,12.375614225149425,6.573575596967131,6.744121149351826,4.1039354109196315,4.739976076378883,3.5695688209561385,3.116079336500633
2024-10-21,8.951632036685753,32.18868501731921,17.62798531084544,12.382419785664018,6.587028563314515,6.74310833219576,4.094654988191564,4.7398418441388035,3.569032751027744,3.1156113706171955
2024-10-22,33.02163579300982,23.682252242040292,12.994196252255966,9.110145026836145,4.830990354361281,4.96112196980215,3.0134194759655033,3.4681309185382134,2.6258523398661464,2.292255627324485
2024-10-23,33.021495463553386,23.682151601429844,12.994899164330825,9.110106312167144,4.830969824480365,4.961192678737474,3.013406670073036,3.4676912181350965,2.6258411809873485,2.2922458861054795
2024-10-24,33.012516858471145,23.675712381044995,12.976496196064705,9.128871588134135,4.848349525827317,4.959843721363679,3.0125873192815895,3.468872579598672,2.6251272099620566,2.2916226202517125
2024-10-25,33.00087999948544,23.667366730589276,12.987211088790673,9.136271096946254,4.848763974700392,4.958095384445774,3.0119500839603384,3.4744449572588167,2.624201856851513,2.2908148269715265
2024-10-28,32.99138731773197,23.66055882788124,13.003748767361492,9.144257421723196,4.847369230884159,4.957518340899505,3.025519237915435,3.47726670762383,2.6022182724086025,2.2901558755705667
2024-10-29,32.9904068353101,23.65985565157043,13.003362304465524,9.14398566038207,4.847225170245623,4.957371006701566,3.0254293214653853,3.4801353000353306,2.6021409361859877,2.290087813637986
2024-10-30,32.98424513715557,23.655436643049796,12.988623634531503,9.14227781604266,4.84971570446549,4.958567520391871,3.0337783929816067,3.496040134965232,2.6016549280235437,2.2896600883927225
2024-10-31,32.98074519759474,23.652926578072066,12.990465415902003,9.141307734124114,4.849201103880204,4.959490187804975,3.0364275446091007,3.4986402362612274,2.6013788678933714,2.2894171338581897
2024-11-01,32.97906549041805,23.651721936082172,12.993610824923197,9.140842167924399,4.848954134387955,4.959250333780464,3.036272899554611,3.4997352990952364,2.60124637983928,2.2893005339946284
2024-11-04,32.97808574024181,23.65101928491875,12.993224807541976,9.140570609540562,4.848810080467776,4.9591030031537064,3.036182697213695,3.502602152656503,2.601169101373041,2.289232522892182
2024-11-06,32.98340508391642,23.648467099408336,12.988279889741456,9.14204497760538,4.849592190364453,4.960152068269677,3.0366724314982316,3.5001958163453195,2.6015886682489042,2.289601774601826
2024-11-07,32.97374754625994,23.64154283064501,12.990842137891697,9.139368187765038,4.843928753475999,4.962094517678567,3.037056337155298,3.5216613863422968,2.6008269233512396,2.2889313794349135
2024-11-08,32.974112120533185,23.637560699681355,12.999472818562957,9.140317941939887,4.8223403394786715,4.941523521932529,3.040060382965963,3.5547998085016568,2.6008556793967594,2.2889566870070355
2024-11-11,32.96026522151771,23.627634521387783,12.994156016706594,9.136479626019547,4.831343810836915,4.9410030142919465,3.060840819929691,3.5605179936931584,2.5997634957523665,2.287995479864295
2024-11-12,32.95746928007386,23.668044063920103,12.978208916509558,9.135704600033998,4.830933979353478,4.907076963700226,3.0605811760328976,3.5746366618078245,2.59954296395588,2.2878013946121745
2024-11-13,32.95131987828454,23.6992488989752,12.967730242671099,9.134000005614542,4.830032594790111,4.894711777537061,3.060010114486869,3.576514039021931,2.5990579256776636,2.2873745229409885
2024-11-14,32.95984580005938,23.743556102220502,12.955391306849315,9.09097730496005,4.830858162907905,4.889615718106663,3.0637710519522168,3.578287774369224,2.5997304135975545,2.287966364977192
2024-11-15,32.96515926070635,23.78768633333669,12.878147499231854,9.09286709964254,4.831636946124775,4.890403973635968,3.0642649628465404,3.6013491997236997,2.6001495164455832,2.2883352083060005
2024-11-18,32.64030325995682,23.59107505790458,13.710228452179093,9.00284115293848,4.784023456895781,4.841791306740906,3.0340680857984217,3.5553581999443225,2.574526276873671,2.26578475076792
2024-11-19,32.642885133885606,23.58832014371673,13.591732931637376,9.003553284828696,4.784401876953329,4.948803150615805,3.0343080829953375,3.565301495276399,2.5747299239482797,2.265963976142441
2024-11-20,32.64162996812927,23.58321240325359,13.697698960475016,9.007407821008735,4.784217909838416,4.848069722870491,3.031250894494162,3.5660045514635454,2.574630921889512,2.2658768465772603
2024-11-21,32.643001214340885,23.580842383547502,13.689872564404585,9.013667491364542,4.784418890631679,4.848273386022351,3.03137823468243,3.5678347210584644,2.5747390798736993,2.2659720340738674
2024-11-22,32.63453060664337,23.570943496477753,13.710348799864827,9.013848407241309,4.783177370735362,4.847255946181077,3.030591615350458,3.569848770853505,2.574070954889545,2.265384031762801
2024-11-25,32.6353529827003,23.56733754614243,13.703134424474186,9.023735386531936,4.784137890319802,4.847798087726201,3.02982799936503,3.569098743915168,2.5741358203643285,2.265441118460628
2024-11-26,32.61480600756121,23.55249972597509,13.695766218216496,9.045336453829064,4.781545561108191,4.859856171386542,3.0140694061023456,3.5995904785870656,2.572515163626414,2.2640148136075826
2024-11-27,32.571575782248985,23.52128139312393,13.700248063490209,9.037538774774754,4.832634292720016,4.855599889704103,3.03690133149072,3.614101211885851,2.569105349994013,2.261013910567418
2024-11-28,32.600353781627454,23.53786775238864,13.672447255803513,9.04384555161566,4.779426769515634,4.851298784052073,3.067693867512142,3.6126794164588425,2.5713752344067173,2.2630115866193234
2024-11-29,32.59830232623623,23.53638657564982,13.671586884292761,9.043276445959982,4.779545528609094,4.850573988472305,3.075891145068189,3.6103545000623063,2.5712134244575733,2.262869181191736
2024-12-02,32.59980670161049,23.533277400322767,13.671798277475167,9.043693783103855,4.779766099316165,4.850797837063752,3.0760330940214264,3.610521113904582,2.5713320830956525,2.2629736100861395
