date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-04-12,12.093730025905053,9.35965540843696,4.095369410770465,4.582242008963572,3.7972376192408204,1.937344901399019,2.1204661161331604,1.5949923354004156,1.2426088956001624,1.1797711357066707,42.00341785755629
2024-04-15,12.134640470669183,9.340951050601168,4.068295066323221,4.583779353443226,3.7976646593740573,1.928718690707626,2.121661828506225,1.5949923354004156,1.2469647049591825,1.1797711357066707,41.997439295690974
2024-04-16,12.125638464660542,9.343171659294,4.076835868987967,4.582071192910277,3.796383538974346,1.9329036840133513,2.1235408050924685,1.5949923354004156,1.2516621464247928,1.1797711357066707,42.00697083146483
2024-04-17,12.127773665326728,9.344452779693714,4.077262909121203,4.583096089230046,3.798518739640532,1.9914081822668577,2.132252423810509,1.5949923354004156,1.2521745945846774,1.1810522561063825,42.082983975181065
2024-04-18,12.107190330904691,9.343598699427238,4.087255648238956,4.579508952110853,3.80083833623625,2.003109081917559,2.137120681329414,1.5949923354004156,1.2543952032775112,1.1810522561063825,42.08906152494927
2024-04-19,12.104969722211859,9.347954508786259,4.091355233518033,4.564391731394254,3.80083833623625,2.003365305997501,2.13959751410219,1.5949923354004156,1.1975988655569538,1.1810522561063825,42.0261158093101
2024-04-22,12.112741852636777,9.353078990385107,4.0892200328518475,4.558238083074304,3.802973536902437,2.00575673074363,2.140195370288722,1.5949923354004156,1.1975988655569538,1.1810522561063825,42.03584805394658
2024-04-23,12.120770207141637,9.350431341559036,4.086657792052423,4.556487218528032,3.805108737568623,2.002682041784322,2.140195370288722,1.5949923354004156,1.1975988655569538,1.1810522561063825,42.03597616598655
2024-04-24,12.118378782395508,9.335057896762493,4.0845225913862375,4.5484588640231705,3.805108737568623,2.0031944899442067,2.140195370288722,1.5949923354004156,1.1975988655569538,1.1810522561063825,42.008560189432714
2024-04-25,12.223772287278468,9.332581063989718,4.083668511119763,4.550594064689357,3.8127100519402464,1.9059147475927556,2.140195370288722,1.5949923354004156,1.198025905690191,1.1810522561063825,42.02350659409602
2024-04-26,12.22368687925182,9.339840746254751,4.081960350586813,4.547604783756697,3.813137092073484,1.8970323128214204,2.1402807783153697,1.5949923354004156,1.1977696816102488,1.180198175839908,42.016503135910924
2024-04-29,12.220697598319159,9.329677191083704,4.0790564776808,4.547092335596811,3.813137092073484,1.9002778178340236,2.1442949555678,1.5949923354004156,1.1945241765976455,1.180198175839908,42.003948155993754
2024-04-30,12.216170972906843,9.328054438577402,4.070174042909465,4.54948376034294,3.81527229273967,1.895067928208529,2.1400245542354273,1.5949923354004156,1.1905954073718625,1.1789170554401962,41.97875278813275
2024-05-02,12.22735942439766,9.333136216162925,4.069917818829523,4.5623803723667065,3.802461088742552,1.9096727007652434,2.1397683301554853,1.5956755996135954,1.1905954073718625,1.1789170554401962,42.00988401384575
2024-05-03,12.244355621700503,9.328353366670667,4.067697210136688,4.613040186076657,3.8117705636471246,1.8942992559687017,2.137547721462651,1.5956755996135954,1.1863250060394899,1.1767818547740097,42.05584638609009
2024-05-06,12.249480103299351,9.340908346587844,4.071113531202586,4.609474400964126,3.8147598445797857,1.8938722158354646,2.1396829221288374,1.5956755996135954,1.1937555043578183,1.1767818547740097,42.08550432334342
2024-05-07,12.25451917687155,9.352353022158603,4.067270170003452,4.609218176884183,3.814845252606433,1.8767906105059735,2.1400245542354273,1.5956755996135954,1.1946095846242928,1.1767818547740097,42.08208800227752
2024-05-08,12.24751571868646,9.358416992050572,4.067270170003452,4.609218176884183,3.8004967041296607,1.882854580397943,2.1407932264752545,1.5960172317201853,1.2097268053408925,1.1767818547740097,42.08909146046261
2024-05-09,12.237352163515412,9.38497888833793,4.068124250269926,4.603666655152098,3.8013507843961354,1.8924202793824576,2.137120681329414,1.5960172317201853,1.207591604674706,1.1767818547740097,42.10540439355228
2024-05-10,12.251529895938889,9.328780406803906,4.0655620094705025,4.5572900966825305,3.8013507843961354,1.8914807910893359,2.137120681329414,1.5960172317201853,1.2067375244082315,1.1767818547740097,42.01265127661314
2024-05-13,12.23239849796986,9.215273139389438,4.092209313784508,4.557546320762473,3.8026319047958466,1.8937013997821697,2.1392558819956,1.5960172317201853,1.205883444141757,1.1767818547740097,41.91169898911585
2024-05-14,12.230177889277027,9.221678741387999,4.096906755250118,4.5668557956670455,3.8081834265279313,1.901131898100498,2.1392558819956,1.5960172317201853,1.205883444141757,1.1767818547740097,41.94287291884217
2024-05-16,12.23239849796986,9.2376671239764,4.098614915783068,4.569332628439822,3.799813439916481,1.8999361857274337,2.143526283327973,1.5960172317201853,1.2054564040085196,1.1767818547740097,41.95954456564375
2024-05-17,12.222474085273426,9.242364565442012,4.091611457597976,4.570955380946123,3.803229760982379,1.8937868078088171,2.143526283327973,1.5960172317201853,1.2038336515022179,1.1767818547740097,41.94458107937512
2024-05-20,12.086931546983916,9.254492505225949,4.071967611469061,4.570607471349575,3.8813781053648,1.9017297542870304,2.145917708074102,1.5960172317201853,1.2153637350996245,1.180198175839908,41.90460384541415
