date,CHIYU BANKING CORPORATION LTD,BANK OF CHINA (HONG KONG) LTD,GET NICE SECURITIES LTD,CHONG HING BANK LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,SHANGHAI COMMERCIAL BANK LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-07-15,21.194538344386636,16.460877485608744,15.797560342964475,15.711134355852282,6.945577528058523,7.382312416007165,6.163151141684454,5.146589616135057,0.7668677478151957,4.431391021487467
2024-07-18,21.194758240415844,16.459751378417014,15.797724244660952,15.711297360868153,6.945649589308181,7.382389008436794,6.163474463338478,5.146643012656471,0.7668757041655504,4.4314369977325585
2024-07-19,21.19387868367526,16.46295882991921,15.797068658280217,15.710645361098194,6.945361353280917,7.382082648253756,6.163478054043224,5.146429433218488,0.7668438797546682,4.431253098476072
2024-07-22,21.19354881374953,16.462702593904673,15.796822786444164,15.710400834388583,6.946809692548929,7.38196775059433,6.163382123228564,5.146349332151559,0.7668319442926682,4.431184128697
2024-07-29,21.193634152384906,16.462366219896406,15.79688639444638,15.710464094401347,6.9468376647995695,7.381997475066611,6.163406940904185,5.14637005460975,0.7668350320432034,4.431201971447639
2024-07-30,21.193359312216387,16.462152735060652,15.796681539588194,15.710260360272116,6.946747577841347,7.3819017449329545,6.164623818805551,5.146303316210714,0.7668250876859535,4.431144507386128
2024-08-08,21.193084479176058,16.462976686539154,15.796476690043077,15.71005663142689,6.946657493219599,7.381806017282135,6.164803234368887,5.14623657954259,0.7668151435866183,4.4310870448149915
2024-08-12,21.19313944521388,16.46301938464665,15.796517659527066,15.710097376773223,6.946675509957034,7.3818251626136755,6.164559864934877,5.146249926737745,0.7668171323858527,4.431098537209992
2024-08-14,21.193068236766457,16.462964069290784,15.796464583601235,15.710044591217503,6.946988166927086,7.3818003598556725,6.164539152159492,5.146232635459674,0.7668145558984191,4.431083648823679
2024-08-21,21.193343069385516,16.46317756171586,15.796669432832358,15.710248319750452,6.945781451473339,7.381896087359761,6.1646190941679615,5.146299372025503,0.766824499982512,4.431141111306737
2024-08-23,21.19312320272003,16.464303558174002,15.796505553022424,15.710085336501384,6.945709393667171,7.381560146989634,6.164555140395316,5.146245982634371,0.766816544694605,4.431095141201064
2024-08-26,21.193013271098003,16.46421815558476,15.79642361439256,15.710003846144973,6.945673365324747,7.381521857829878,6.165041877652415,5.146219288354211,0.7668125671125493,4.431072156505908
2024-08-29,21.19251859291175,16.463833854897022,15.796054901077333,15.70963715000275,6.988118683512829,7.381349561526483,6.164897975900683,5.14609916752047,0.7667946685039352,4.390695444146744
2024-09-03,21.192537582631434,16.46384847776679,15.796069055254119,15.709651226744242,6.988035469174935,7.3813561756416695,6.164903500005047,5.146103778722306,0.76679535559621,4.390699378463251
2024-09-12,21.192592545832447,16.463891177033442,15.79611002262366,15.709691969987698,6.9877942410877765,7.381375319312484,6.164919488785483,5.146117125228609,0.766797344292802,4.390710765815594
2024-09-13,21.192537582631434,16.46384847776679,15.796069055254119,15.709651226744242,6.9877761181734295,7.3813561756416695,6.165162851006553,5.146103778722306,0.76679535559621,4.390699378463251
2024-09-23,21.192592545832447,16.463631825359304,15.79611002262366,15.709691969987698,6.9877942410877765,7.381375319312484,6.16517884045962,5.146117125228609,0.766797344292802,4.390710765815594
2024-09-24,21.192592545832447,16.463631825359304,15.79611002262366,15.709691969987698,7.0163229252428865,7.381375319312484,6.16517884045962,5.146117125228609,0.766797344292802,4.362182081660484
2024-09-25,21.192867366114005,16.46384532165165,15.796314862658903,15.709895689375077,7.016413911177602,7.381471039156065,6.165258788969041,5.144887083611842,0.7668072879304952,4.362238649355319
2024-09-26,21.192812401487487,16.47236131598521,15.796273894226845,15.70985494507492,7.016395713801877,7.37444932714193,6.165242799101277,5.144873740122632,0.7668052991823252,4.3609305638755
2024-09-27,21.192702473089764,16.472275872852325,15.796191958000247,15.709773457108628,7.016359319333603,7.374411075427939,6.165729525653391,5.144847053351851,0.7668013217169324,4.360907943465316
2024-09-30,21.192719896664748,16.469873021461297,15.796204944835477,15.709786372894907,7.018699266925379,7.374417138298142,6.165734594806363,5.144851283186558,0.7668019521424454,4.360911528784681
2024-10-02,21.193489607864244,16.471514557335837,15.797779336882384,15.711352151688644,7.019398813705386,7.374633380960607,6.15876228929337,5.145364065400454,0.7668783785308863,4.360827418338185
2024-10-03,21.198933182096553,16.47055637230937,15.801837016203585,15.715387632079558,7.0160128409641604,7.380678696003372,6.160603620770798,5.146685658576495,0.7670753521986458,4.342229628797463
2024-10-04,21.197626324086617,16.47905196194959,15.803764118995883,15.717304191993245,7.012197882062362,7.433733748132779,6.099080370515277,5.147313319290471,0.7671689003760893,4.342759182597687
2024-10-07,21.197516318581737,16.478966443580532,15.803682105046569,15.717222626729447,7.009878362815744,7.435978299928882,6.099567671211819,5.1472866072052685,0.7671649191377692,4.342736645762233
2024-10-08,21.2047791318001,16.48461256048936,15.809096852206869,15.722607750653111,6.9800940793503035,7.438526056971573,6.099581020459734,5.149050199724679,0.7674277695317325,4.344224578812536
2024-10-09,21.204435906893156,16.488498708362364,15.808840962920673,15.722353261297261,6.977965868842571,7.437886534062798,6.099482291389502,5.148966856141392,0.7674153477883535,4.344154262301926
2024-10-10,21.20416071855353,16.489322952150992,15.808635797892226,15.722149218694668,6.977875309732682,7.4377900061638895,6.099662690453403,5.148900033536624,0.7674053883743757,4.344097884447605
2024-10-15,21.205943790594254,16.483960492239124,15.809965156637773,15.723471304725988,6.975763758587002,7.439194192366981,6.1004351943215545,5.149333007980279,0.7674699200061659,4.344463182540876
2024-10-16,21.207595305510846,16.477456278779737,15.811196433752569,15.724695845715855,6.976307029757373,7.439773555412428,6.100910295067865,5.149734037067084,0.7675296904192842,4.344801528516958
2024-10-17,21.207540250869226,16.477413503517518,15.81115538809224,15.724655024609932,6.976288919355047,7.439754241857028,6.101154055883636,5.149720668424493,0.7675276979221891,4.344790249468692
2024-10-18,21.207320035161136,16.47698280868557,15.810991207581992,15.724491742305629,6.976216478686018,7.440455776649952,6.101609894482999,5.1496671945482175,0.7675197280372579,4.344745133861225
2024-10-22,21.207546059120432,16.47609263477362,15.81115971839935,15.724659331226606,6.976290829998055,7.440535075744361,6.101674924388905,5.149722078813011,0.7675279081301446,4.34479143940552
2024-10-23,21.21272244799001,16.47544024069236,15.815018944306644,15.728497443911268,6.977993619849491,7.42002023591154,6.105760857227174,5.150979035368752,0.7677152481887096,4.345851926554052
2024-10-25,21.21539519691101,16.477516104138665,15.817011596354144,15.730479194470409,6.978738437161425,7.3825203015995235,6.106530167521176,5.151628045588569,0.793781463443279,4.346399492811801
2024-10-28,21.21517481804455,16.47734494087315,15.816847294202141,15.730315791189838,6.978665944216947,7.38322269075563,6.1067264269557295,5.151574532093365,0.79377321789058,4.346354343778068
