date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-05-24,0.0,0.544991178502135,0.0008639433583403205,0.007461329003848221,0.21614292019568743,0.02332647067518865,0.24528137346334733,0.030787799679036873,0.016493464113769753,0.09723289796593788,1.1825813769572913
2024-05-27,0.0,0.5459336621657789,0.0008639433583403205,0.007461329003848221,0.2148862753108288,0.036207080744989795,0.24465305102091803,0.030787799679036873,0.016257843197858758,0.09707581735533055,1.1941268018369302
2024-05-28,0.0,0.5588928125408837,0.0008639433583403205,0.004633878012916264,0.21975577423965606,0.03353671036466517,0.24457451071561434,0.030787799679036873,0.0134303922069268,0.0962904143022939,1.2027662354203335
2024-05-29,0.0,0.5559082809393444,0.0008639433583403205,0.004633878012916264,0.22014847576617438,0.032515686395717516,0.24457451071561434,0.030787799679036873,0.01327331159631947,0.09613333369168657,1.19883922015515
2024-05-30,0.0,0.5505675401786951,0.00015708061060733098,0.0029059912962356234,0.22022701607147804,0.03125904151085887,0.24614531682168767,0.030787799679036873,0.01358747281753413,0.09613333369168657,1.1917705926778202
2024-05-31,0.0,0.5526881284218941,0.0002356209159109965,0.006126143813685909,0.22006993546087072,0.027960348688104916,0.2464594780429023,0.03086633998434054,0.014451416175874452,0.09613333369168657,1.1949907451952706
2024-06-03,0.0,0.5335242939277997,0.000471241831821993,0.006126143813685909,0.20553997897969262,0.02741056655097926,0.24598823621108032,0.03086633998434054,0.013980174344052458,0.09754705918715253,1.1614540348306053
2024-06-04,0.0,0.53438823728614,0.000471241831821993,0.003769934654575944,0.20569705959029994,0.025604139528994953,0.2466950989588133,0.03086633998434054,0.015629520755429435,0.09754705918715253,1.1606686317775687
2024-06-05,0.0,0.5006944463108676,0.000471241831821993,0.003769934654575944,0.21496481561613245,0.025054357391869293,0.246066776516384,0.0311805012055552,0.013508932512230464,0.0978612204083672,1.133572226447804
2024-06-06,0.0,0.4190125287950554,0.0002356209159109965,0.005811982592471247,0.29641111221603356,0.024975817086565624,0.246066776516384,0.0311805012055552,0.013508932512230464,0.0978612204083672,1.1350644922485738
2024-06-07,0.0,0.4476011999255897,0.0002356209159109965,0.005026579539434591,0.2962540316054263,0.0134303922069268,0.246066776516384,0.031101960900251534,0.007461329003848221,0.09770413979775987,1.144882030411532
2024-06-11,0.0,0.4374695005414168,0.0002356209159109965,0.005183660150041923,0.30536470702065144,0.004948039234130926,0.24685217956942068,0.031651743037377195,0.01256644884858648,0.09770413979775987,1.1419760391152964
2024-06-12,0.0,0.4245888904716157,0.0002356209159109965,0.005654901981863916,0.30599302946308077,0.003609241189924644,0.25344956521492856,0.031651743037377195,0.014137254954659789,0.09770413979775987,1.1370243870271215
2024-06-13,0.0,0.4321287597807676,0.0002356209159109965,0.00628322442429324,0.29821753923801786,0.003609241189924644,0.2547847504050909,0.03228006547980652,0.013823093733445127,0.09801830101897455,1.1393805961862313
2024-06-14,0.0,0.4352703719929142,0.0002356209159109965,0.00628322442429324,0.28918540412809635,0.003609241189924644,0.246066776516384,0.032122984869199185,0.013508932512230464,0.0978612204083672,1.1241437769573202
2024-06-17,0.0,0.42176143948068373,0.0002356209159109965,0.0022776688538062996,0.3211513083866882,0.004630265158872296,0.2464594780429023,0.030787799679036873,0.008796514194010535,0.09746851888184888,1.1335686135937602
2024-06-18,0.0,0.4356630735194325,0.0002356209159109965,0.0030630719068429546,0.3241358399882275,0.0038448621058356403,0.2471663407906353,0.030787799679036873,0.00628322442429324,0.09063551232042998,1.141815345650645
2024-06-19,0.0,0.4326000016125896,0.0002356209159109965,0.001727886716680641,0.32900533891705475,0.021203997464662394,0.24708780048533166,0.029216993572963566,0.004398257097005268,0.08733681949767604,1.152812716279875
2024-06-20,0.0,0.49268333516989365,0.0002356209159109965,0.001727886716680641,0.334110458761793,0.011971270414995303,0.24528137346334733,0.02419041403352897,0.005026579539434591,0.0826244011794561,1.1978513401950406
2024-06-21,0.0,0.5010871478373858,0.004869498928827261,0.001727886716680641,0.3194234216700076,0.011814189804387972,0.23059433637156188,0.02945261448887456,0.003455773433361282,0.07932570835670215,1.1817505776077892
2024-06-24,0.0,0.55645806307647,0.004869498928827261,0.002199128548502634,0.36199226714459426,0.00031416122121466196,0.23098703789808023,0.01916383449409438,0.009660457552350855,0.07461329003848222,1.2602577389026166
2024-06-25,0.0,0.5459336621657789,0.004869498928827261,0.003377233128057616,0.3737733129401441,0.0003927015265183275,0.23232222308824255,0.020970261516078687,0.008560893278099538,0.0762626364498592,1.2664624230216062
2024-06-26,0.0,0.5493894355991401,0.004869498928827261,0.001099564274251317,0.36725446759993985,0.0008639433583403205,0.2367204801852478,0.020263398768345698,0.015236819228911107,0.07390642729074923,1.2696040352337528
2024-06-27,0.0,0.5278693919459357,0.004869498928827261,0.001099564274251317,0.38704662453646355,0.024409384404715594,0.24268954338832635,0.020184858463042032,0.016257843197858758,0.07751928133471785,1.3019459904741384
2024-06-28,0.0,0.5423993484271139,0.004869498928827261,0.001099564274251317,0.3832766898818876,0.011074183047816835,0.24261100308302272,0.021127342126686016,0.012016666711460821,0.07940424866200582,1.2978785451430723
2024-07-02,0.0,0.5637623114697109,0.004869498928827261,0.0005497821371256584,0.39537189689865215,0.010917102437209504,0.24080457606103842,0.02159858395850801,0.014765577397089114,0.08270294148475976,1.3353422707729208
2024-07-03,0.0,0.5691030522303602,0.004869498928827261,0.0005497821371256584,0.3850045765985683,0.010917102437209504,0.24080457606103842,0.02144150334790068,0.013351851901623133,0.08270294148475976,1.3287448851274128
2024-07-04,0.0,0.4771323547197679,0.004869498928827261,0.0007068627477329895,0.44013987092174145,0.010917102437209504,0.24308224491484473,0.02144150334790068,0.012880610069801143,0.08254586087415243,1.293715908961978
2024-07-05,0.0,0.4752473873924799,0.004869498928827261,0.000785403053036655,0.45050719122182525,0.010917102437209504,0.24308224491484473,0.02144150334790068,0.011466884574335163,0.08254586087415243,1.3008630767446117
2024-07-08,0.0,0.48427952250240147,0.004869498928827261,0.0007068627477329895,0.44343856374449536,0.03127632037802568,0.23106557820338386,0.022619607927455664,0.013037690680408474,0.0803467323256498,1.3116403774383807
2024-07-09,0.0,0.4755615486136946,0.004869498928827261,0.0016493464113769753,0.4427317009967624,0.031920350881515736,0.23137973942459855,0.020656100294864026,0.012252287627371818,0.08050381293625714,1.3015243861152686
2024-07-10,0.0,0.4733624200651919,0.004869498928827261,0.0014922658007696444,0.43998279031113413,0.021914315985828745,0.2357779965216038,0.020656100294864026,0.012959150375104806,0.08411666698022574,1.2951312052635502
2024-07-11,0.0,0.491662311200946,0.004869498928827261,0.0003927015265183275,0.3976495657524584,0.044925525875528484,0.23028017515034724,0.020499019684256693,0.013037690680408474,0.06526699370734604,1.2685834825066369
2024-07-12,0.0,0.48577178830317114,0.004869498928827261,0.000942483663643986,0.45121405396955827,0.010383028361144579,0.23004455423443626,0.020341939073649364,0.0111527233531205,0.066916340118723,1.2816364100062743
2024-07-15,0.0,0.4440668861869247,0.004869498928827261,0.000942483663643986,0.49747429379341723,0.0355943092830106,0.22808104660184458,0.019713616631220038,0.012487908543282812,0.06809444469827798,1.3113244883304491
2024-07-16,0.0,0.42372494711327535,0.004869498928827261,0.0007068627477329895,0.5014798493639042,0.03504452714588494,0.22792396599123727,0.018771132967576053,0.010210239689476515,0.07092189568920994,1.2936529196371245
2024-07-17,0.0,0.425924075661778,0.004869498928827261,0.0006283224424293239,0.49904509989949053,0.00925189088416119,0.2284737481283629,0.01900675388348705,0.009817538162958188,0.0762626364498592,1.2732795644413537
2024-07-18,0.0,0.42560991444056334,7.854030530366549e-05,0.001413725495465979,0.5021867121116371,0.010508535769019835,0.23137973942459855,0.019085294188790715,0.011388344269031497,0.07571285431273353,1.2773636603171443
2024-07-19,0.0,0.4472084983990713,7.854030530366549e-05,0.001413725495465979,0.5189943374466216,0.009723132715983181,0.22965185270791788,0.01900675388348705,0.013037690680408474,0.07508453187030421,1.3141990635045633
2024-07-22,0.0,0.4102160146010449,7.854030530366549e-05,0.001413725495465979,0.5197012001943546,0.00925189088416119,0.22965185270791788,0.018928213578183382,0.012644989153890146,0.07257124210058692,1.2744576690209086
2024-07-23,0.0,0.40872374880027523,7.854030530366549e-05,0.001413725495465979,0.4918193918115534,0.000471241831821993,0.22965185270791788,0.018928213578183382,0.019713616631220038,0.07257124210058692,1.2433715732623285
2024-07-24,0.0,0.4082525069684533,7.854030530366549e-05,0.00015708061060733098,0.4920550127274643,0.000471241831821993,0.2617748375771171,0.019635076325916375,0.020027777852434703,0.07257124210058692,1.2750233162997056
2024-07-25,0.0,0.4084095875790606,7.854030530366549e-05,0.00015708061060733098,0.4872640541039407,0.000785403053036655,0.28015326901817483,0.01955653602061271,0.020263398768345698,0.07288540332180159,1.2895532727808836
2024-07-26,0.0,0.40746710391541663,7.854030530366549e-05,0.00015708061060733098,0.4805095878478255,0.012719759524539234,0.38641830209403427,0.01955653602061271,0.02042047937895303,0.07555577370212621,1.4028831633994185
