date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-04-10,15.478680712825918,19.426635960584406,3.319982794282446,5.533674457173273,8.800218782974351,5.796963979968496,3.3240478937637192,1.8564605518006232,0.09205612578711082,2.452491780389556
2024-04-11,15.485883148095326,19.43297230301266,3.353935074142431,5.549654860427271,0.0,5.797864284377173,3.324948198172396,0.0,0.10623592022375626,2.4558679219220907
2024-04-12,15.476652777145377,19.44962793457317,3.383870195730905,5.565860339783437,8.78761452125289,0.0,3.3269738830919158,1.8301266478468532,0.12716799772547094,0.0
2024-04-15,15.477102929349714,19.450978391186183,3.390172326591636,5.561808969944395,8.790540510581087,5.796963979968496,3.3211219044355227,1.8317021805620362,0.14761773714023751,0.0
2024-04-16,15.47597754883887,19.456830369842574,3.379593749789694,5.562259122148734,8.78311299920951,5.785710174860048,3.3152699257791296,1.831927256664205,0.17038260934191415,0.0
2024-04-17,15.477328005451884,19.62698790308232,3.38499557624175,5.561358817740057,8.77861147716613,5.779687138366006,3.315495001881299,1.8308018761533602,0.029484969384135737,2.469372488052229
2024-04-18,15.465173895934758,19.627438055286657,3.4111044040933516,5.557532524003184,8.777261020553116,5.768883485461895,3.316845458494312,1.8305768000511913,0.055818873337905826,2.478375532138988
2024-04-19,15.458421612869689,19.62878828682357,3.4090787191738303,5.556857295696678,8.752502649314529,5.767082876644544,3.3157200779834675,1.8294514195403466,0.09385673460446263,2.4896293372474365
2024-04-22,15.451219177600281,19.61348311187608,3.427309883449517,5.54110196854485,8.770283661385879,5.76573242003153,3.3121188603487637,1.8274257346208256,0.11703957312786707,2.497507000823351
2024-04-23,15.446717655556903,19.60020362184811,3.4615214509792014,5.530523391742908,8.771409041896723,5.764156887316347,3.313694393063947,1.8281009629273326,0.1701575332397452,2.5020085228667304
2024-04-24,15.47372678781718,19.58489844690062,3.4475667326447255,5.525121565290853,8.770058585283708,5.75267800610573,3.302890740159836,0.0,0.17668474020264546,2.507635425420955
2024-04-25,15.480704146984417,19.78296541680932,3.4495924175642454,0.0,8.856262732414427,5.751777701697054,3.2983892181164562,1.8303517239490223,0.006977359167238228,2.515513088996869
2024-04-26,15.481604451393094,19.785216177831007,3.4347373948210933,5.516343597306262,8.861664558866481,5.753353234412236,3.2875855652123454,1.8269755824164877,0.02759162921269032,0.0
2024-04-29,15.479353690371402,19.781840036298473,3.432036481595066,5.509591314241193,8.853336743086231,5.751777701697054,3.2774571406147417,1.8278758868251637,0.037587709062218845,2.5200146110402484
