date,UBS SECURITIES HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,LONG BRIDGE HK LTD
2024-05-02,31.33285867544313,1.3764409078142403,13.449608703664747,1.862209659381133,0.0,13.7497726131805,14.726171368226149,23.07226455280472,0.4247591267943245,0.005914392691052693
2024-05-03,31.339755088579057,1.3767438646958898,13.450481030834787,1.862619534754773,0.0,13.752798960487258,14.709490413476974,23.077342795744045,0.424852616968712,0.005915694458499707
2024-05-06,31.325692671317242,1.3891699622095017,13.47053339309923,1.861783761372891,0.0,13.741410419757441,14.665323838388295,23.12177198193764,0.4184009318821701,0.0059130400355907305
2024-05-07,31.295484854188437,1.3878303655844713,13.549283746082752,1.8599884164466982,0.0,13.728159379551972,14.65118185515131,23.104166583157905,0.417997461830624,0.005907338005824157
2024-05-08,31.28602628746818,1.3874109157446477,13.523302761872136,1.8594262642826451,0.0,13.724010259893246,14.646753766506789,23.149293062936042,0.41787112869023496,0.005905552606079512
2024-05-09,31.280810214893297,1.3871796036578645,13.537720340016632,1.859116256797098,0.0,13.721722163831561,14.644311828693066,23.145433563760147,0.41780146033049603,0.005904568019839474
2024-05-10,31.269406117588705,1.3866738772693734,13.56924203794086,1.8584384756735461,0.0,13.716719612629474,14.638972927433608,23.136995394329603,0.4176491417532317,0.005902415381599696
2024-05-13,31.249224971942326,1.3857789236723663,13.536542400184883,1.857239047151899,0.0,13.707866898406118,14.629524994727403,23.177233810493068,0.44340361984119925,0.013185333580742026
2024-05-14,31.269406117588705,1.3866738772693734,13.494244436692263,1.8584384756735461,0.0,13.716719612629474,14.638972927433608,23.185952161811326,0.4436899755201059,0.005902415381599696
2024-05-17,31.26549805532872,1.3865005702412103,13.497244685145546,1.8582062073265884,0.0,13.715005291799478,14.637143343033843,23.190865646450785,0.4436345229783485,0.00590167769548219
2024-05-20,31.29956358668516,1.388011241159284,13.405080308640224,1.8602308282589144,0.0,13.745588136189848,14.653091339916491,23.19840856331889,0.44411788792352147,0.005908107907668009
2024-05-21,31.284722106247564,1.3743262861102674,13.390907873827535,1.8593487527190895,0.0,13.739070317599136,14.646143205707865,23.25566885317589,0.44390729818391217,0.005905306428737096
2024-05-22,30.931586006637573,1.4489714002103655,13.522593124858293,1.7914784799901822,0.0,13.287236809836065,14.718838063522115,23.86641028132564,0.42704718518697227,0.005838648432793779
2024-05-23,30.836425162885085,1.465057849569307,13.480990946062581,1.7859670069062057,0.0,13.2206784516047,14.742892323921595,23.98507369264111,0.47709388054443636,0.0058206858649797796
2024-05-24,30.83990986014336,1.4652234097159402,13.422929460483592,1.7861688316734885,0.0,13.235014042855045,14.739421726636207,24.01809026838541,0.4874210564702642,0.005821343636688654
2024-05-27,30.96301111990053,1.471072027574413,13.406371694024893,1.7932985423086731,0.0,13.287843214826289,14.762155985560044,23.82103617852928,0.48936665703640614,0.005844580239467506
2024-05-28,30.9662050574311,1.4712237735444949,13.407754605833327,1.7934835270149607,0.0,13.289213900028058,14.75336341858493,23.823493397601844,0.4868383037238334,0.008424016237447316
2024-05-29,30.971636263743925,1.4714818135539705,13.394630498303345,1.7937980886164162,0.0,13.291544713968365,14.750792460940628,23.828703547824112,0.48692369097950794,0.01048892206973355
2024-05-30,30.94067725388236,1.4700109316286827,13.483278932860637,1.7920050218167738,0.0,13.278258587902211,14.710280610214557,23.82857325847525,0.48643696579577883,0.010478437423748793
2024-05-31,4.850181000499049,0.23043513342025215,2.111746109688099,0.28091009897089453,0.0,2.0814656703959393,2.322748748532808,3.7342556806056937,0.07625260785612092,0.0013194385113379458
2024-06-03,30.94240467358319,1.4185559816378748,13.42579487157683,1.7921050695550074,0.0,13.282607505259032,14.833330692061017,23.810319541124674,0.4864641235981447,0.008417541604226345
2024-06-04,30.92662539883799,1.4178325800531617,13.433371309625775,1.8004631073003468,0.0,13.275833955647451,14.823190804405867,23.82805354695867,0.48621604814502745,0.008413249025706563
2024-06-05,30.94336151078233,1.4185998478837794,13.429302356564493,1.8462760323152267,0.0,13.283018245571448,14.779673840455262,23.80487119791588,0.4864791666102963,0.008417801901285257
2024-06-06,30.94814658456842,1.4188192198140948,13.431379060566076,1.8465615399851365,0.0,13.285072328234214,14.766495390253393,23.82762461354559,0.4674821594049771,0.008419103628093455
2024-06-07,30.967621140744832,1.419712031747919,13.437767783769397,1.8477235147853197,0.0,13.293432146702083,14.77578741500261,23.81167106872118,0.4378604970592866,0.008424401467371563
2024-06-11,30.97672831183425,1.42012955043016,13.439139945498477,1.84826690602931,0.0,13.29734157068965,14.710480624382564,23.86149694607543,0.4379892660868426,0.008426878973316903
2024-06-12,31.00904602109486,1.4216111573145664,13.447996063388128,1.8501951843130509,0.0,13.311214553481587,14.72582792094393,23.783095371550026,0.4384462158853548,0.012567512028500408
2024-06-13,31.019940426331093,1.4221106118294071,13.41138781642134,1.8508452132139828,0.0,13.31589118124477,14.74133477723036,23.78731779120438,0.43860025515334455,0.012571927371325098
2024-06-14,31.06825627159533,1.4243256540031004,13.432277042177779,1.853728041153065,0.0,13.326282336634899,14.764295493475979,23.67896024448216,0.4392834074021752,0.012591509075519172
2024-06-17,31.06150549216461,1.4240161642060667,13.451604579668688,1.8533252470914685,0.0,13.333733765272127,14.750740301133614,23.673297721275834,0.4391879561040714,0.012588773083523817
2024-06-18,31.03533380174721,1.4228163218414274,13.524528212157627,1.8517636790399177,0.0,13.32249907633212,14.738311675976146,23.653351160112642,0.4388179067120641,0.012578166080847787
2024-06-20,31.042233706385524,1.4231326482905404,13.525983942766523,1.85217537085157,0.0,13.325460989800103,14.741588358796559,23.637928554061805,0.43891546653627095,0.012580962511104897
2024-06-21,31.100926448852746,1.4258234197992166,13.464014262901472,1.8556773498996548,0.0,13.350655950237838,14.761690687893356,23.588861789744453,0.43974534085156525,0.012604749819699966
2024-06-24,31.103182097397962,1.4259268301117003,13.458256138772647,1.8558119361127563,0.0,13.373900297243038,14.752400343414074,23.578139458802937,0.4397772341438757,0.012605664001007086
2024-06-25,31.14432445421796,1.4122510031330198,13.465683649693668,1.858266748505497,0.0,13.39159089161313,14.771914376318474,23.502987579837924,0.4403589582848912,0.012622338395435872
2024-06-26,31.15870957898191,1.412903301978286,13.47190325929276,1.859125055740937,0.0,13.397776278810944,14.763168127380869,23.48322387545376,0.4405623538847914,0.012628168475741454
2024-06-27,31.155152469166474,1.412742003507597,13.4667328973507,1.8781126226922775,0.0,13.396246775113575,14.761482749168408,23.480543006853164,0.4405120588406612,0.0084754173071467
2024-06-28,31.16048843850423,1.4129839650264933,13.45710229709238,1.87843428863108,0.0,13.393351135986329,14.764010960815177,23.484564539331377,0.4405875057138939,0.008476868899043751
2024-07-02,31.16275273530983,1.413086640409284,13.462232488262229,1.8785707862590835,0.0,13.382905486268726,14.765083797106634,23.48627106022152,0.4406195212865555,0.008477484876139472
2024-07-03,31.40169230968381,1.4239214444871142,12.851531487569579,1.972996738577995,0.0,13.48551855668445,14.878294682808631,23.560178355052393,0.4178469593774284,0.008019465758599333
2024-07-04,31.410727951208074,1.4243311690205633,12.835348956686845,2.0096632207605563,0.0,13.48939893071797,14.882575819504085,23.521964986552558,0.4179671922393934,0.00802177330995982
2024-07-05,69.44347320380363,0.6329416552540483,5.76094011573479,0.9093244196826676,0.0,5.994394192371673,6.613491566092937,10.456134657020764,0.18573548922600971,0.0035647008134843472
2024-07-08,69.37685995109364,0.6323345096075687,5.8420478912565414,0.9312138835392699,0.0,5.988644104181126,6.607147612303434,10.43263344309867,0.18555732352504148,0.00356128139470863
2024-07-09,69.34014028544233,0.6319998286809753,5.878419554139916,0.942095852646139,0.0,5.985474444883124,6.603650592527624,10.429433072731484,0.18545911206254817,0.003327256885855392
2024-07-10,69.09089836675992,0.6227889610297614,5.688899508366626,1.539177748256812,0.0,5.963959761919893,6.521856286507546,10.385005503039322,0.18479248253544708,0.0026213815846729323
2024-07-11,69.08370762807291,0.6227241433362335,5.671886469193849,1.6197346615961368,0.0,5.963339053878726,6.5211775145503275,10.330036170630178,0.18477324998116507,0.0026211087604599047
2024-07-12,68.90156338060577,0.62108228559058,5.65139601414961,1.9374812687683554,0.0,5.9476162743457,6.4534669350834974,10.30049356164642,0.18428608179454903,0.0026141980155231417
2024-07-15,68.84534589205059,0.6205755382169515,5.694034019652488,1.9704729242561634,0.0,5.94276355354477,6.448201485567349,10.291858800746835,0.18413572090016792,0.002612065064689982
2024-07-16,68.81235691337717,0.6271893538340434,5.68531589074369,2.053384373165478,0.0,5.939915928950996,6.445111667678674,10.250067571182706,0.18404748763921058,0.0026108134280310893
2024-07-17,68.81029615189536,0.6202595980313171,5.6851456294632285,2.053322879334814,0.0,5.939738043023226,6.466342668733279,10.238242318410297,0.18404197586791887,0.002610735240566075
2024-07-18,68.61934098249766,0.634619171788945,5.765394473963978,2.2038387179975936,0.0,5.9232547004478695,6.4483979478303795,10.219019273534803,0.1835312417388204,0.0026034901999545026
2024-07-19,68.6090961204933,0.6207428922759171,5.693329124606918,2.3034257842451953,0.0,5.922370359004861,6.447435202543428,10.217493574791881,0.18350384053941832,0.0026031014990802836
2024-07-22,68.46128029544194,0.6194055240848919,5.671895159444083,2.524910087095233,0.0,5.909610825497254,6.433545352542021,10.193646774555758,0.18310848812810263,0.002597493210711301
2024-07-23,68.45092570815139,0.6193118406401811,5.664162420735303,2.5465278158235525,0.0,5.908717012514473,6.43257229584993,10.192105012484106,0.18308079345432812,0.002597100346743948
2024-07-24,68.22578456230224,0.6538202959362315,5.759280130377819,2.7231632833287516,0.0,5.889282719918231,6.42283544275706,10.14076638258559,0.18247862453995847,0.002588558254114783
2024-07-25,68.22001919984709,0.6377777723319542,5.734355758424712,2.7327539181671647,0.0,5.888785051042761,6.39945372492831,10.20180303141034,0.18246320433750066,0.0025883395101799636
2024-07-26,68.15277673034427,0.637149133511435,5.728703572354895,2.828627386175411,0.0,5.882980648554346,6.393145971324893,10.191747413759405,0.182283355715396,0.0025857882599367426
2024-07-29,68.08908113507572,0.6365536538364918,5.689156836775952,2.9536364538408204,0.0,5.877482413965229,6.3871709361492375,10.182222205110682,0.1821129936640333,0.00258337158184442
2024-07-30,68.03084965544535,0.6360092572826086,5.661287941094585,3.0939136342939633,0.0,5.872455844480651,6.3817084683340815,10.139236790758863,0.1819572460918208,0.0025811622180648246
2024-07-31,24.13007535881812,0.22558811752113522,2.0225610171443478,1.1106384373013933,0.0,2.0829197751656743,2.2635481849605754,3.5963176864766577,0.06453898609992167,0.0009155205197448686
2024-08-01,68.0272861174619,0.6359759423503738,5.699707939928931,3.1311016490357635,0.0,5.856661620587667,6.339696965929526,10.125041022740415,0.181947714951741,0.0025810270136736972
2024-08-02,68.03038482497067,0.6360049116587267,5.699967567040334,3.1312442736904327,0.0,5.85692839708833,6.339985745149053,10.125502227977817,0.1774009078427323,0.0025811445819061527
2024-08-05,68.06914250130576,0.6135788003730807,5.680426452305498,3.1330281788145626,0.0,5.860265155151895,6.332203481200607,10.131270840621887,0.17750197513766838,0.002582615089041119
2024-08-06,68.06960786157144,0.6135829951547845,5.679781628818776,3.133049598018215,0.0,5.860305219334421,6.332246771828139,10.13134010388446,0.1775031886444539,0.00258263274530062
2024-08-07,68.12176850691215,0.6094919601754315,5.685274257538795,3.135450403517924,0.0,5.8647958769382615,6.318626154936098,10.084369021724033,0.177639206482085,0.00258461177522168
2024-08-08,68.12254531063918,0.6094989103124675,5.684198771213703,3.1354861575744133,0.0,5.86486275416995,6.318698207269066,10.084484015442083,0.17764123213116437,0.002584641247974721
2024-08-09,68.12223458702246,0.6094961302386322,5.684628968687074,3.1354718558539676,0.0,5.864836003094248,6.31866938613869,10.084438017640155,0.17764042186598894,0.002584629458792845
2024-08-12,68.10670201944275,0.6093571588750256,5.70613383979456,3.134756936139567,0.0,5.863498760384667,6.317228664767042,10.082138662430188,0.17759991802940392,0.002584040136789823
2024-08-13,68.10716789340934,0.6093613270938388,5.706172871771251,3.134778378987404,0.0,5.863538868793157,6.318183924078142,10.080611545178582,0.1776011328757527,0.0025840578125396773
