date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-06-06,56.0887747737584,14.594145032441011,6.481037000577529,9.363377836369734,2.7545806560180366,3.6085406581801385,3.0421428905686687,0.980209806575157,1.5785349140762839,1.5086564314350435
2024-06-07,55.68692952826756,14.480645753438104,6.546677757435308,9.872079558031913,2.7587896014705615,3.596028471921579,3.035213783894616,0.9742588837202242,1.5528855757130426,1.4964910861070946
2024-06-11,55.67949739975319,14.478768443179813,6.610422029387649,9.623529778348777,2.8156778840475245,3.822406285221923,2.8975611688129703,0.9785346326151899,1.5974460045267962,1.4961563741061672
2024-06-12,55.43277666132461,14.524246827219583,6.784780376262976,9.835790740267432,2.9036581783309834,3.5309854648148784,2.761063820867031,0.9983574021818761,1.7289040536475373,1.4994364750830917
2024-06-13,54.96066875155824,14.50039323183323,6.863722910900834,9.322089792057845,3.1377332330840586,4.298305057806407,2.6936208495381884,1.0095702785105192,1.7168574362181912,1.4970384584924896
2024-06-14,55.94918674780909,14.828140865327704,7.202340139151684,7.491551838730658,3.2750341121075293,4.389886821084179,2.633196164043051,1.052503609387406,1.6477346768709848,1.5304250254877103
2024-06-17,55.69265394101698,14.877431695266615,7.453202780111037,7.329203874382246,3.3826833041945457,4.387071108298366,2.453908940692673,1.0733684241671138,1.8153963168311231,1.5350796150392996
2024-06-18,53.874921602271485,14.423180572484373,7.493706130491484,9.84336487339811,3.44765181596189,4.317330509863523,2.348934885075171,1.0471645127163278,1.7157272070153606,1.4880178907222745
2024-06-19,54.25196502712467,14.525415795016908,7.565733648558239,9.89025325181816,3.547314940740684,3.6522790614518637,2.2522857206475013,1.0507395478518757,1.7543407692742783,1.509672237515815
2024-06-20,54.236415022814334,14.465387295018035,7.697885565080186,9.887081798228696,3.5924217854808935,3.6089357362407157,2.245952865173782,1.048973212979318,1.7135803212538134,1.5033663977302327
