date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE CORE SECURITIES COMPANY LTD
2024-04-08,11.239059117969397,12.06641570463345,4.089445677343757,1.697712460608825,0.7479972105291667,0.5379830683143236,0.5189306939837801,2.299316527519776,0.0
2024-04-09,0.0,12.126756509280403,4.089643409849263,1.692072376285101,0.7283839349913372,0.5384444441605047,0.518874198982207,2.313741584588131,3.154353781787975
2024-04-10,11.245960923994922,12.19786488459386,4.090010627359488,1.6872420536505932,0.7291842808469575,0.5381619691526388,0.0,2.3096739444748615,3.1150897556946067
2024-04-11,11.243126758082665,12.216687135951329,4.0677384145726165,1.6868089253051985,0.7418391611993527,0.5379736524807281,0.5178102097859117,2.3097116078092434,3.0860042457180077
2024-04-12,11.24760869487414,12.28147739276385,4.069904056299589,1.6792291792607952,0.7347778509527193,0.5372203857930855,0.5175277347780459,2.319890123926014,3.082237912279795
2024-04-15,11.04312503667997,12.260037539666824,4.1376980581874205,1.6822045826769834,0.8027140319278432,0.5366460199437582,0.5146935688657907,2.3053049976865343,3.0860042457180077
2024-04-16,11.01730682096102,12.246323378034932,4.17405259169977,1.690829486250491,0.8576218064318372,0.5357232682513959,0.5159647064011875,2.3059029031198506,0.0
2024-04-17,11.0575971729163,12.15092375273671,4.193759931415219,1.6829484335310305,0.8866009174888063,0.5337271115291431,0.5164354980809641,2.3431001537390004,0.0
2024-04-18,11.010518004938639,12.200206225775725,4.227798169863068,1.6866488561340747,0.8798055103829108,0.5328796865055453,0.5170004480966961,2.376902996346961,0.0
2024-04-19,11.025282032016435,12.276154339557287,4.2308771474488065,1.6880235678390223,0.8357824395153521,0.5352053974036417,0.0,2.382486585669111,0.0
2024-04-22,10.975717083969553,12.314702762297397,4.241694998666714,1.6913191095974587,0.8270549975139893,0.5344238832152125,0.49755675172192226,2.3905699846525397,0.0
2024-04-23,10.936509552877759,12.37901290575488,4.238992654424796,1.6946146513558948,0.7980259825389637,0.5378041674760086,0.4928488349241562,2.42030518714723,0.0
2024-04-24,11.001535299688502,12.313130506403615,4.258069792397695,1.6945675721879172,0.7981709863763349,0.5376158508040979,0.4891672439883031,2.4181112979194714,0.0
2024-04-25,10.979323348236642,12.32873913375493,4.248347002626949,1.6833062352076607,0.8522495084155703,0.5377288408072443,0.4967469900327064,2.420069791307342,3.0859665823836258
2024-04-26,10.944776654774635,12.387375295887745,4.193411733888857,1.6644086571814276,0.8540196851315303,0.5363352974351056,0.4983006025759693,2.4257475389654477,3.0671349151925615
2024-04-29,10.93532315784472,12.4553317209051,4.185728413674902,1.6631469354796264,0.8557898618474904,0.5333504781853219,0.49316897326640424,2.4181018820858755,0.0
2024-04-30,10.86504207130554,12.472616783003126,4.167285233831084,1.6426704487002568,0.9313488668165295,0.5290448577326862,0.4830855091710092,2.416994521498346,3.0512475356119944
2024-05-02,10.747335378388069,12.43077966267882,4.1544106231401825,1.629607612706857,1.0521869699790176,0.5271626047077006,0.4862853393134846,2.417003932763471,3.027719372799675
2024-05-03,10.761885194271208,12.398955657884178,4.155944659355546,1.6326098062817092,1.0258460623588113,0.5281037312201933,0.48347137104113125,2.4169192313773467,0.0
2024-05-06,0.0,12.353193757664823,4.1546553160334305,1.6276218357654975,1.0180450646967587,0.5247156757752194,0.4789539637811659,2.4169662877029716,0.0
2024-05-07,0.0,12.335288072863438,4.110196499583273,1.632788620319083,1.0933916532869299,0.5238310168534762,0.47699642063518094,2.4169756989680966,0.0
2024-05-08,10.765564998935055,12.306119362411144,4.094714968452767,1.6346144057533187,1.069421161013739,0.5231722282947313,0.4768081953326824,2.4169380539075966,0.0
2024-05-09,10.70946444752536,12.291840214512998,4.094075002424271,1.6330897808030802,1.1228905109198057,0.52593914024146,0.4699003267309854,2.416994521498346,0.0
2024-05-10,10.654888521065903,12.193202532879004,4.099015916614858,1.6333438849614534,1.1704131647313845,0.5249039010777179,0.0,2.4169286426424716,3.048932364391262
2024-05-13,10.635077807977932,12.15221760261176,4.095232588034638,1.6305581504844748,1.1743189338708806,0.0,0.4690721353999918,2.425267023543158,0.0
2024-05-14,10.715007682683943,12.103280341539254,4.095514925988385,1.6314804544667179,1.1311724242297423,0.5239627745652252,0.4709732109552272,2.4219166131586833,0.0
2024-05-16,10.740982774428744,12.117604287059393,4.092879771753406,1.6452397240793621,1.0766247315656612,0.5261273655439586,0.473476607478458,2.418057994457463,3.0282275811164214
2024-05-17,10.749547025692426,12.112475147566307,4.074480748434172,1.6468584616808497,1.0795328124892638,0.5251109489104664,0.46821571027362335,2.4192720476585787,3.0235219485539573
2024-05-20,10.763240416449197,12.13970240813598,4.0752430609092904,1.6457196986007334,1.125506183835977,0.5258638501204606,0.4681404201526239,2.4169474651727216,3.004699418304102
2024-05-21,10.71278662411446,12.156841263054986,4.075464225639727,1.653051074133052,1.1763760482018875,0.5254215206595889,0.47079439691785363,2.418321509880961,2.9843522631040083
2024-05-22,10.754036199157017,12.159410538434091,4.0717373646502555,1.651789964606312,1.18447914747445,0.5250074249940921,0.47060617161535506,2.428203338262135,2.9631392715124214
2024-05-23,10.856139014497359,12.139760005078545,4.066147073166048,1.6682126222493106,1.109509009489276,0.5291389703839354,0.472177852891218,2.4226883368989274,2.9349054761376383
2024-05-24,10.847047732386677,12.184369401770702,4.075210121481353,1.67025486678142,1.092334579988098,0.5286307620671893,0.47238490072396633,2.4284009748297586,2.908403353545842
2024-05-27,10.818399841346398,12.220988634371796,4.076744157696717,1.6673938421834418,1.0292791036510822,0.5262779457859573,0.5107640399034216,2.4301985264686197,2.9287505087459356
2024-05-28,10.760831132577216,12.397186340040692,4.073290223395869,1.658697833208009,0.965922466830069,0.0,0.5102934766471752,2.426179916260276,2.9522786715582545
2024-05-29,10.74183919955511,12.428619965557951,4.0885256499433575,1.6572955547043946,0.9575652633991332,0.5263720584372067,0.5077053787378201,2.416994521498346,0.0
2024-05-30,10.74325088932385,12.337160067609437,4.083980008888018,1.6571732082577704,1.035341181856002,0.5261838331347082,0.5076112660865707,2.4256622966784045,0.0
2024-05-31,10.739796955023003,12.411603174747615,4.0752651773823345,1.6537851528127965,0.9691799880277602,0.5261650106044582,0.5077242012680699,2.416994521498346,0.0
2024-06-03,10.779164277040575,12.40897743177776,4.072714724533479,1.6520817138251844,0.9256799912685293,0.525412109394464,0.5076300886168206,2.4170980454147206,0.0
2024-06-04,10.86097640477157,12.404384734396794,4.063802256460173,1.6521005363554344,0.890698318799173,0.5256944473482118,0.5072536380118235,2.4194320391657023,2.947573038995791
2024-06-05,10.858171847764343,12.408924916918364,4.063899663054215,1.6525428658163062,0.9240763116912416,0.5264379372930812,0.46841334684124686,2.4206366811016933,0.0
2024-06-06,10.8345213385054,12.449594287465969,4.051956767610682,1.6546980455299145,0.9206882562462677,0.5263438246418318,0.4681310088874991,2.417003932763471,0.0
2024-06-07,10.767597832202037,12.537147286923172,4.05168384092206,1.6552062538466603,0.9050843786691376,0.5263155908464571,0.0,2.418745016811583,0.0
2024-06-11,10.674755701744626,12.654505763031022,4.042554913750879,1.6551874313164108,0.9093899383511408,0.5269649681400771,0.46888391009749325,2.416914619857436,2.9362795208458774
2024-06-12,10.631708575063207,12.776219772638687,4.026621641894377,1.6549521496882875,0.8897956843610413,0.5266638076560793,0.0,0.0,2.9362726506223362
