date,SDICS INTERNATIONAL SECURITIES (HONG,BOCI SECURITIES LTD,SOLOMON JFZ (ASIA) HOLDINGS LTD,PHILLIP SECURITIES (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-06-27,8.3332546,6.7804,1.4096,0.7204,0.0,0.5488,0.0,0.1936,0.58446,18.5705146
2024-07-16,8.3332546,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.194,0.5840599999999999,18.8245146
2024-07-29,8.3332546,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.194,0.5888599999999999,18.8293146
2024-08-07,8.349654600000001,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.18359999999999999,0.58726,18.8337146
2024-08-15,8.3728546,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.18359999999999999,0.58726,18.8569146
2024-08-16,8.3744546,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.18359999999999999,0.58726,18.8585146
2024-10-02,8.3784546,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.1796,0.58726,18.8585146
2024-10-09,8.3796546,6.7804,1.4096,0.7204,0.0,0.5488,0.254,0.1796,0.58726,18.8597146
2024-10-15,8.3796546,6.7804,1.4096,0.72,0.0,0.5488,0.254,0.1796,0.58726,18.859314599999998
2024-10-16,8.3796546,6.7804,1.4096,0.72,0.0,0.5496,0.254,0.1796,0.58726,18.8601146
2024-10-28,8.3796546,6.7804,1.4096,0.72,0.0,0.5508,0.254,0.1796,0.58726,18.8613146
2024-11-13,8.380054600000001,6.7804,1.4096,0.72,0.0,0.5508,0.254,0.1796,0.58726,18.861714600000003
2024-11-14,8.380054600000001,6.7804,1.4096,0.72,0.0,0.5516,0.254,0.1796,0.58726,18.8625146
2024-11-22,8.380054600000001,7.0036000000000005,1.4096,0.72,0.0,0.32439999999999997,0.254,0.1796,0.58726,18.8585146
2024-11-25,8.3812546,7.0036000000000005,1.4096,0.72,0.0,0.32439999999999997,0.254,0.1796,0.58726,18.8597146
2024-11-27,8.3788546,7.0036000000000005,1.4096,0.72,0.0,0.3252,0.254,0.1796,0.58726,18.8581146
2024-12-02,8.3788546,7.0036000000000005,1.4096,0.72,0.0,0.3252,0.254,0.1796,0.58846,18.859314599999998
2024-12-16,8.3788546,7.0036000000000005,1.4096,0.72,0.0,0.326,0.254,0.1796,0.58846,18.8601146
2024-12-20,8.3788546,7.0036000000000005,1.4096,0.72,0.0,0.3264,0.254,0.1796,0.58846,18.860514600000002
2024-12-23,8.3664546,7.016799999999999,1.4096,0.72,0.0,0.3264,0.254,0.1796,0.58846,18.8613146
2024-12-27,8.3664546,7.016799999999999,1.4096,0.72,0.0,0.3264,0.254,0.1796,0.58806,18.8609146
2025-01-02,8.3664546,7.016799999999999,1.4096,0.72,0.0,0.3268,0.254,0.1796,0.58806,18.8613146
2025-02-11,8.3664546,7.026000000000001,1.4096,0.72,0.0,0.3268,0.254,0.1796,0.58006,18.8625146
2025-02-12,8.3664546,7.026000000000001,1.4096,0.72,0.0,0.3268,0.254,0.1796,0.57846,18.8609146
2025-02-24,8.3664546,7.026000000000001,1.4096,0.7188,0.0,0.3268,0.254,0.1796,0.58046,18.861714600000003
2025-02-26,8.3664546,7.026000000000001,1.4096,0.7188,0.0,0.3264,0.254,0.1796,0.58046,18.8613146
2025-03-04,8.3664546,7.026000000000001,1.4096,0.724,0.0,0.3264,0.254,0.1796,0.58046,18.866514600000002
2025-03-05,8.3664546,7.026000000000001,1.4096,0.7188,0.0,0.3264,0.254,0.1848,0.58046,18.866514600000002
2025-03-06,8.3664546,7.026000000000001,1.4096,0.7243999999999999,0.0,0.3264,0.254,0.1796,0.58046,18.8669146
2025-03-12,8.3664546,7.026000000000001,1.4096,0.7188,0.0,0.3264,0.2572,0.1796,0.58046,18.8645146
2025-03-14,8.3664546,7.026000000000001,1.4096,0.7243999999999999,0.0,0.3264,0.254,0.1796,0.58046,18.8669146
2025-03-18,8.3664546,7.026000000000001,1.4096,0.7188,0.0,0.3264,0.254,0.184,0.58046,18.8657146
2025-03-19,8.3664546,7.026000000000001,1.4096,0.7243999999999999,0.0,0.3264,0.254,0.1796,0.58046,18.8669146
2025-03-24,8.3664546,7.146800000000001,1.4096,0.7243999999999999,0.0,0.3264,0.254,0.1796,0.58046,18.9877146
2025-03-26,8.3664546,7.146800000000001,1.4096,0.7188,0.0,0.3264,0.254,0.1796,0.58046,18.9821146
2025-03-28,8.3664546,7.150399999999999,1.4096,0.724,0.0,0.3264,0.254,0.1796,0.58046,18.9909146
2025-04-02,8.3664546,7.150399999999999,1.4096,0.724,0.3824,0.3264,0.254,0.1996,0.17526,18.9881146
2025-04-03,8.3664546,7.1708,1.4096,0.7188,0.3824,0.3264,0.2592,0.1796,0.17526,18.988514600000002
2025-04-08,8.3664546,7.1708,1.4096,0.7248,0.3824,0.326,0.254,0.1796,0.17526,18.9889146
2025-04-09,8.3664546,7.1908,1.4096,0.7448,0.3824,0.2876,0.2552,0.1796,0.17526,18.9917146
2025-04-10,8.3664546,7.2008,1.4096,0.7288,0.3824,0.2876,0.2552,0.1796,0.17526,18.9857146
2025-04-16,8.391654599999999,7.2008,1.4096,0.7292,0.3824,0.2876,0.2552,0.1796,0.16646,19.0025146
2025-04-17,8.391654599999999,7.2008,1.4096,0.7288,0.3824,0.2876,0.2552,0.1796,0.16646,19.0021146
2025-04-23,8.391654599999999,7.2008,1.4096,0.7224,0.3824,0.2876,0.2604,0.1796,0.16646,19.000914599999998
2025-04-24,8.391654599999999,7.2064,1.4096,0.7188,0.3824,0.2876,0.2604,0.1796,0.16646,19.0029146
2025-04-25,8.391654599999999,7.2064,1.4096,0.724,0.3824,0.2876,0.2552,0.1796,0.16646,19.0029146
2025-04-29,8.391654599999999,7.2064,1.4096,0.7188,0.3824,0.2876,0.2556,0.1796,0.16646,18.998114599999997
2025-04-30,8.383254599999999,7.2064,1.4096,0.724,0.3824,0.2876,0.2552,0.1696,0.16646,18.9845146
