date,BNP PARIBAS,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-07-19,36.292494748457145,26.479892303032738,11.00824886042874,7.3292405185325284,5.17575912070215,3.3952623462573057,2.6509531428096014,2.7152344137766957,2.285835500305388,2.6670790456977156
2024-07-22,36.28047385403176,26.47112156428974,11.038537556285771,7.326812908441182,5.174044792315733,3.3941377586395705,2.6500750872204994,2.7143350667779735,2.284265763152613,2.666195648845152
2024-07-23,36.27879071100046,26.471672254210187,11.038767195644041,7.326965331224171,5.174152430154506,3.3945659271413233,2.6501302178516437,2.7143915342366096,2.2843132836979105,2.666251114839148
2024-07-24,36.277328802706265,26.47051066946667,11.03727518975087,7.3266438218362016,5.173925386828124,3.394384468671717,2.6500139293603153,2.719570565060748,2.284213047360959,2.666134118958131
2024-07-25,36.276833564186894,26.470149308337188,11.039594779096982,7.326543802447838,5.173887258667597,3.393200508662257,2.649977752799968,2.719533438950739,2.284181864516884,2.6660977223336526
2024-07-29,36.2762086396379,26.469725822004825,11.038917061247533,7.326417591402618,5.173863136294434,3.393142055536965,2.6499321028358085,2.721599280409332,2.28414251595249,2.6660517946780935
2024-07-30,36.27618505800101,26.469708615149802,11.038909885312023,7.326412828806807,5.173924778776122,3.393139849798084,2.6499303802264467,2.7215975112121535,2.2841410311275476,2.6660500615899982
2024-07-31,36.275630898359985,26.469304260496717,11.037766181522501,7.326300909587716,5.173878243639382,3.395558198136438,2.6498898995511517,2.7215559357406027,2.2841061382971177,2.6660093346683897
2024-08-01,36.27614869288124,26.46908918326769,11.04739463232119,7.326241379481329,5.1738687052519206,3.3857799667356505,2.649868367780947,2.721533821645592,2.2840875787152646,2.6659876719191686
2024-08-02,36.27613690236204,26.46908058025123,11.047391041683174,7.326238998297195,5.173899525759674,3.3857788662852126,2.649867506517417,2.7215329370892665,2.284086836338264,2.6659868054165226
2024-08-07,36.27573158889196,26.46923543540315,11.04745567352457,7.326281859848416,5.173962297543209,3.385798674502543,2.649883009346615,2.721548859191099,2.284100199198109,2.6660024025503364
2024-08-08,36.2755783136556,26.46912359538946,11.047408994896594,7.326250904233339,5.174005440443343,3.3861418925008775,2.6498718128406655,2.7215373598766432,2.2840905482280927,2.6659911379353867
2024-08-09,36.27555473296497,26.469106389317393,11.047401813604225,7.326246141854238,5.174067081430069,3.3861396913625876,2.6498700903096863,2.7215355907599674,2.2840890634707134,2.665989404926151
2024-08-12,36.275613684749025,26.469116902329958,11.047419766852656,7.3262580478135995,5.174107992070231,3.386145194213677,2.6498743966413327,2.7215400135559698,2.2839302643200847,2.6659937374534644
