date,THE HONGKONG AND SHANGHAI BANKING,SHANGHAI COMMERCIAL BANK LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-09-23,66.64554586943254,15.913789193080719,9.15707505989219,5.318548933801788,2.2027859568234103,0.762254986969362
2024-09-26,55.26951805904591,13.197392979839561,7.594012754915104,4.410701908280134,1.8293688493851001,0.6321422567449319
2024-09-30,55.26951805904591,13.197392979839561,7.562761273163813,4.410701908280134,1.8649308803434645,0.6321422567449319
2024-10-02,66.62900762228601,15.910398542985499,9.135636490559468,5.314557573339248,2.2483071926942073,0.7620925781355644
2024-10-07,66.61723414483886,15.908579765341083,9.134592161508149,5.311871614038302,2.2657168538139616,0.7620054604596405
2024-10-08,66.69260662760924,15.926579148978915,9.144927278226005,5.317881604648796,2.1551377271499157,0.7628676133871329
2024-10-10,55.26111248809211,13.197392979839561,7.577848195388574,4.406606886533413,1.785832302393648,0.6321422567449319
2024-10-14,55.26111248809211,13.197392979839561,7.577848195388574,4.406606886533413,1.7862633573143554,0.6321422567449319
2024-10-15,55.322279891685454,13.212000906217297,7.586235961723108,4.411484470240471,1.789535132102748,0.6328419621762161
2024-10-16,66.685496303518,15.92575069788556,9.144451587562527,5.3176049849937845,2.163868494652662,0.7628279313874716
2024-10-22,55.322279891685454,13.212000906217297,7.586235961723108,4.411484470240471,1.797518474965747,0.6328419621762161
2024-10-23,66.68280805059284,15.92504658221766,9.14404728940671,5.31736988091256,2.1679339919367684,0.762794204933467
2024-10-24,66.67552497144736,15.923183047125583,9.142977260950627,5.316747646916604,2.18120251273513,0.7603645608246902
2024-10-28,66.67379116944315,15.922768987443378,9.142739510857076,5.3166093924712134,2.1811457936723286,0.7629451461128454
2024-10-29,66.66893700350138,15.921609734886086,9.142073876370576,5.316222318273301,2.1882674668548994,0.7628896001137543
2024-11-08,66.71577450643446,15.932795280601594,9.148496536326538,5.319957169759112,2.119550947358431,0.7634255595198726
2024-11-11,66.70840131884621,15.93246363109058,9.148306105560977,5.319846432053462,2.127572844033315,0.7634096684154523
2024-11-14,66.70701277730161,15.932131995386195,9.148115682723084,5.319735698957842,2.1296100676586907,0.7633937779725817
2024-11-15,55.35092683548184,13.219873528948225,7.590756365112298,4.414113137401795,1.767068950255727,0.6330031585378755
2024-11-18,66.70800195289132,15.931907651661154,9.147986866168592,5.319660790632749,2.129580080168278,0.7628626584779147
2024-11-22,55.35231115160334,13.219873528948225,7.590756365112298,4.414113137401795,1.7705232637217203,0.6330031585378755
2024-11-26,55.347993259770845,13.219873528948225,7.590756365112298,4.414113137401795,1.7759206285123352,0.6330031585378755
2024-11-27,66.69464258721557,15.930083953399944,9.146939711734474,5.3190518581466835,2.146506554611158,0.7627753348921755
2024-11-28,66.51175347482126,15.930083953399944,9.146939711734474,5.3190518581466835,2.3293956670054574,0.7627753348921755
2024-12-10,66.65290188609387,15.963890099291328,9.16635095773036,5.330339723524315,2.1221232691298546,0.7643940642302725
2024-12-12,55.29295842119492,13.243146796431468,7.604119708029197,4.421884076777507,1.760447472289808,0.6341175452825087
2025-01-03,66.64586474135155,15.962391954932556,9.16549073400717,5.3282753964193095,2.1349582584154225,0.7630189148739984
2025-02-03,66.64621221182061,15.962475177797797,9.165538519978243,5.328303176362724,2.134969389412827,0.7625015246277944
2025-02-06,66.6549001512417,15.964556031499047,9.16673333121778,5.328997769103664,2.122211793306912,0.7626009236308975
2025-02-19,66.65420503273307,15.964389543238552,9.166637734855204,5.328942195020238,2.1221896615702587,0.7636358325826803
2025-02-24,66.65400116271722,15.964487146560119,9.166693777980944,5.328974775186066,2.122202636244887,0.7636405013107596
2025-03-10,66.65365340427219,15.964653636856388,9.166789375512446,5.329030349949038,2.1222247682521607,0.7636484651577744
2025-03-19,66.6535664635276,15.96469525997305,9.166813275206874,5.329044243820899,2.1222303013261077,0.7636504561454823
2025-03-20,66.65478294207364,15.964986627866898,9.166980576557373,5.329141502952519,2.1222690336515977,0.761839316897975
2025-03-24,66.6553043036149,15.965111503077157,9.167052279005587,5.329183186524274,2.122285633652461,0.761063094125614
2025-03-27,66.64748473677432,15.963238580016942,9.165976860045674,5.328558001408578,2.122036660903172,0.7727051608513187
2025-04-07,66.64618125347445,15.963238580016942,9.165976860045674,5.328558001408578,2.123340144203028,0.7727051608513187
2025-04-14,66.6404481825286,15.96186538236955,9.173790629554512,5.328099625542375,2.1231574891812404,0.772638690823718
2025-04-23,66.63871108303067,15.96144930851204,9.173551498703336,5.327960739333821,2.125708819771304,0.7726185506488168
2025-04-30,66.63871108303067,15.96144930851204,9.165731475525387,5.327960739333821,2.133528842949253,0.7726185506488168
2025-05-02,55.29583550532634,13.244579029903205,7.601913913372628,4.421064510896015,1.780104688260423,0.6411076623587303
