date,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA GALAXY INTERNATIONAL SECURITIES,VALUABLE CAPITAL LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,HANTEC SECURITIES CO LTD
2025-03-07,0.0,0.0,0.31291842086314214,0.0,0.0,0.12190886958804371,0.04353422699750531,0.009285582122827629,0.005240942057056085
2025-03-10,0.0,0.0,0.3251662745834362,0.0,0.10626556901591515,0.14002429974178104,0.04028712159259013,0.00843108070048153,0.005127008534076606
2025-03-11,0.0,0.0,0.3355911919360587,0.0,0.09914472382969765,0.12720677840658956,0.04034408835407986,0.015153158556270856,0.004899141488117645
2025-03-12,0.0,0.0,0.336616593642874,0.015608892648188776,0.08980217494538027,0.11285115451117504,0.04239489176771051,0.022729737834406284,0.005127008534076606
2025-03-13,0.0,0.5757630583768027,0.3313186848243282,0.015836759694147735,0.0830231303281012,0.09917913175363745,0.049173936384989576,0.016064626740106697,0.0
2025-03-14,0.0,0.6052148740669984,0.31206391944079603,0.03623086030747468,0.06584195506279561,0.08613374337248697,0.05971278726059148,0.004329473873220245,0.0
2025-03-17,0.0,0.63335645424293,0.2893911483678795,0.042725071117305044,0.06293665022681885,0.07941166551669765,0.055497246910350725,0.015267092079250335,0.0
2025-03-18,0.0,0.6577382281605387,0.2840932395493337,0.027571912561034185,0.04288435018243036,0.09126075190656358,0.05185137417500736,0.01731789549288098,0.005582742625994525
2025-03-19,0.0,0.6794425642881297,0.27714329464758536,0.02791371312997263,0.06150906318388598,0.08843520053667246,0.04330635995154635,0.0006870191435662651,0.0
2025-03-20,0.0,0.6866773429973266,0.27156055202159085,0.023926039825690824,0.051323406229520446,0.09099870480371078,0.04028712159259013,0.004332891878909628,0.005867576433443226
2025-03-21,0.0,0.6936842546605646,0.266490510249004,0.033040721664049234,0.04788603184122953,0.09559022577978382,0.04000228778514143,0.005183975295566345,0.0
2025-03-24,0.0,0.6441801389259806,0.30072753390433776,0.0756518592583748,0.044650319788612294,0.08607677661099722,0.03305234288339314,0.0039876733042818035,0.0059245431949329665
2025-03-25,0.0,0.6178045283562309,0.28329570488847733,0.21937899849698897,0.02590825525848782,0.06254950411573458,0.017955923221566066,0.0008545014223461008,0.005810609671953486
2025-03-26,0.0,0.6200262320543308,0.30408857283223245,0.18098340125290419,0.04855368228588929,0.0684170805491778,0.02883657466610642,0.0032471054049151835,0.0
2025-03-27,0.0,0.6560861920773362,0.2941763563330177,0.16076020092404644,0.04249686227077714,0.064429407244896,0.03054557751079862,0.010652784398581392,0.0
2025-03-28,0.0,0.0,0.3053418415850067,0.17112815151517913,0.041346133688684394,0.06232163706977562,0.03043164398781914,0.006608144332809847,0.0
2025-03-31,0.0,0.6653148074386742,0.3277867456119643,0.16349460547555397,0.04089039959676648,0.06209377002381666,0.02131696214946073,0.007519612516645687,0.0
2025-04-01,0.0,0.0,0.33217318624667425,0.15181641937015727,0.04395749003537408,0.06175196945487823,0.042394663900664556,0.008793389303556274,0.0
2025-04-02,0.0,0.657681261399049,0.39460875683942936,0.13899889803496576,0.049617707456994654,0.06921461521003416,0.025988236591619418,0.010766717921560871,0.0
