date,CHINA SECURITIES DEPOSITORY AND CLEARING,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,SDICS INTERNATIONAL SECURITIES (HONG,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-08-09,87.17690550726971,5.608520668976637,0.5626442288959723,0.5618232318119561,2.5752872332001577,1.1368779511743108,0.24740243333161285,0.005780192651966383,0.2239456136900398,0.12611354866596614,98.22530060966834
2024-08-12,87.17690550726971,5.608520668976637,0.5688763431246403,0.5692495236173749,2.5752872332001577,1.1301233842558145,0.24739683562422185,0.005780192651966383,0.22390829564076634,0.12611354866596614,98.23216153302725
2024-08-13,87.17690550726971,5.608520668976637,0.5670477587102407,0.5677568016464365,2.5752499151508843,1.1301233842558145,0.24788197026477682,0.005817510701239844,0.22390829564076634,0.1260389125674192,98.22925072518393
2024-08-14,87.17690550726971,5.608520668976637,0.5674209392029753,0.5680926640898977,2.5752499151508843,1.1301233842558145,0.2474341536734953,0.005780192651966383,0.22390829564076634,0.1260389125674192,98.22947463347957
2024-08-15,87.17690550726971,5.608520668976637,0.5674209392029753,0.5682419362869915,2.5752499151508843,1.1301739502125798,0.2474341536734953,0.006773785713872283,0.22390829564076634,0.12503207159802124,98.22966122372593
2024-08-16,87.17686818922044,5.608520668976637,0.5683165723855385,0.5683165723855385,2.5752499151508843,1.1301739502125798,0.2476207439198626,0.0067364676645988225,0.2232738888031175,0.12503207159802124,98.23010904031722
2024-08-19,87.17686818922044,5.608520668976637,0.5689882972724607,0.568279254336265,2.5752499151508843,1.1301366321633064,0.2473221995256749,0.006661831566051901,0.2232738888031175,0.12503207159802124,98.23033294861285
2024-08-20,87.17686818922044,5.608520668976637,0.5674582572522487,0.5677941196957099,2.5752499151508843,1.1301366321633064,0.2473221995256749,0.0067364676645988225,0.22249020976837483,0.12499475354874777,98.22757141296663
2024-08-21,87.17686818922044,5.608520668976637,0.5721230134114315,0.5667492143160531,2.5752499151508843,1.1293902711778372,0.24777001611695645,0.006661831566051901,0.22137066829017096,0.12499475354874777,98.2296985417752
2024-08-22,87.17627110043206,5.608520668976637,0.5797732135124909,0.5630920454872539,2.5752499151508843,1.1293818746167508,0.2479939244125972,0.0066702281271384285,0.22028844486124063,0.12499475354874777,98.2322361691258
2024-08-23,87.17612182823497,5.608520668976637,0.5795119871675768,0.5629800913394335,2.5752499151508843,1.1293818746167508,0.24784465221550336,0.0066702281271384285,0.22028844486124063,0.12499475354874777,98.23156444423888
2024-08-26,87.17612182823497,5.608520668976637,0.5797732135124909,0.5632786357336211,2.5752499151508843,1.1293818746167508,0.24769538001840952,0.0066702281271384285,0.2199899004670529,0.12499475354874777,98.2316763983867
2024-08-27,87.1759352379886,5.608483350927363,0.5807808008428744,0.5632413176843477,2.5755857775943456,1.1293818746167508,0.24728488147640146,0.0066702281271384285,0.21804936190483296,0.12499475354874777,98.2304075847114
2024-08-28,87.17563669359441,5.608520668976637,0.5815644798776171,0.5632786357336211,2.5760709122349006,1.1293818746167508,0.24728488147640146,0.0066702281271384285,0.21756422726427796,0.12488279940092739,98.23085540130269
2024-08-29,87.17507692285531,5.608483350927363,0.5867890067759017,0.5623456845017847,2.5762575024812677,1.1293818746167508,0.24728488147640146,0.0066702281271384285,0.21700445652517603,0.12484548135165392,98.23413938963876
2024-08-30,87.17500228675677,5.608483350927363,0.5826467033065474,0.5647713577045597,2.576444092727635,1.1293818746167508,0.2473221995256749,0.0066702281271384285,0.21700445652517603,0.12480816330238047,98.23253471352
2024-09-02,87.17425592577129,5.608483350927363,0.5818630242718048,0.5664879879711389,2.5765560468754556,1.1293818746167508,0.2473221995256749,0.0066702281271384285,0.21644468578607412,0.12480816330238047,98.23227348717508
2024-09-03,87.17257661355399,5.608483350927363,0.5800717579066786,0.5662267616262247,2.5767426371218227,1.1293818746167508,0.2473221995256749,0.0066702281271384285,0.21610882334261297,0.12499475354874777,98.228579000297
2024-09-04,87.1724273413569,5.608483350927363,0.579362714970483,0.5661148074784043,2.5767426371218227,1.1293818746167508,0.2473221995256749,0.0066702281271384285,0.21610882334261297,0.12499475354874777,98.22760873101589
2024-09-05,87.17141975402652,5.608483350927363,0.5790641705762952,0.5660774894291308,2.5767426371218227,1.1293818746167508,0.2473221995256749,0.0066702281271384285,0.2155490526035111,0.12499475354874777,98.22570551050295
2024-09-09,87.17127048182942,5.608483350927363,0.5780939012951852,0.5648833118523799,2.5765187288261817,1.1293818746167508,0.24825515075751142,0.0066702281271384285,0.2155490526035111,0.12499475354874777,98.22410083438419
2024-09-10,87.17056143889323,5.608483350927363,0.5783178095908259,0.5648833118523799,2.5763321385798146,1.1293818746167508,0.24825515075751142,0.00704340861987304,0.21517587211077643,0.12499475354874777,98.22342910949726
