date,CITIBANK N.A.,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,YUANTA SECURITIES (HONG KONG) CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCOM INTERNATIONAL SECURITIES LTD,HANG SENG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD
2024-12-23,187162945.0,0.0,60719797.0,23290000.0,0.0,518000.0,0.0,0.0,62865000.0,0.0
2025-01-02,0.0,169490265.0,0.0,23388000.0,8726000.0,490000.0,0.0,0.0,0.0,9944000.0
2025-01-08,187088945.0,169528265.0,60651797.0,23548000.0,0.0,0.0,0.0,0.0,0.0,9880000.0
2025-01-22,186964945.0,0.0,60311797.0,23678000.0,0.0,862000.0,0.0,0.0,62885000.0,9814000.0
2025-01-23,186936945.0,0.0,60159797.0,23702000.0,0.0,1098000.0,0.0,0.0,62933000.0,0.0
2025-01-24,186898945.0,169486265.0,59997797.0,23722000.0,0.0,1322000.0,0.0,0.0,0.0,0.0
2025-02-06,186646945.0,0.0,58722005.0,23728000.0,0.0,2686000.0,0.0,0.0,62965000.0,0.0
2025-02-10,187268945.0,169288265.0,58044005.0,23730000.0,0.0,2916000.0,0.0,0.0,0.0,0.0
2025-02-13,187154945.0,169090265.0,57588005.0,23734000.0,0.0,0.0,0.0,0.0,0.0,9738000.0
2025-02-14,186816945.0,168850265.0,56460005.0,23730000.0,8890000.0,2984000.0,0.0,0.0,0.0,9588000.0
2025-02-17,185494945.0,167926265.0,56826005.0,23720000.0,8560000.0,3624000.0,0.0,0.0,62915000.0,9536000.0
2025-02-18,183418945.0,163578265.0,56846005.0,23486000.0,10174000.0,4920000.0,0.0,0.0,62923000.0,9508000.0
2025-02-19,183448945.0,160442265.0,56912005.0,22666000.0,10420000.0,5832000.0,354355774.0,0.0,62915000.0,9498000.0
2025-02-20,183488945.0,159120265.0,56884005.0,22452000.0,10446000.0,6788000.0,0.0,0.0,62471000.0,0.0
2025-02-21,183442945.0,158402265.0,56776005.0,22228000.0,10358000.0,7966000.0,0.0,0.0,62205000.0,9294000.0
2025-02-24,183408945.0,157922265.0,56590005.0,22208000.0,0.0,7978000.0,0.0,0.0,62231000.0,0.0
2025-02-25,184226945.0,157530265.0,56248005.0,22016000.0,10326000.0,7958000.0,354345774.0,0.0,62485000.0,0.0
2025-02-26,184172945.0,156722265.0,55750005.0,0.0,10436000.0,8076000.0,0.0,0.0,62745000.0,9314000.0
2025-02-27,184044945.0,155636265.0,55638005.0,0.0,10486000.0,8204000.0,0.0,6968004.0,0.0,9294000.0
2025-02-28,183994945.0,0.0,55700005.0,0.0,10448000.0,8219000.0,0.0,0.0,62985000.0,0.0
2025-03-03,183920945.0,155608265.0,55738005.0,22012000.0,10388000.0,8217000.0,0.0,0.0,63111000.0,0.0
2025-03-04,183868945.0,155572265.0,55498005.0,0.0,10394000.0,8233000.0,0.0,0.0,63109000.0,0.0
2025-03-05,183828945.0,155454265.0,55472005.0,21746000.0,10408000.0,8401000.0,0.0,0.0,63133000.0,0.0
2025-03-06,183732906.0,155384265.0,55336074.0,0.0,10420000.0,8203000.0,0.0,0.0,63231000.0,0.0
2025-03-07,183712906.0,155350265.0,54922074.0,21486000.0,0.0,8237000.0,0.0,0.0,63403000.0,0.0
2025-03-10,183694906.0,155276265.0,54549263.0,0.0,10566000.0,8239000.0,0.0,0.0,63407000.0,0.0
2025-03-11,183678906.0,155266265.0,54398305.0,21368000.0,10562000.0,8319000.0,0.0,0.0,0.0,0.0
2025-03-12,183660906.0,155276265.0,54322305.0,0.0,0.0,8289000.0,0.0,0.0,63431000.0,0.0
2025-03-14,183634906.0,154522265.0,53730305.0,0.0,10660000.0,8399000.0,0.0,0.0,0.0,0.0
2025-03-17,183762906.0,154174265.0,51572305.0,21240000.0,11194000.0,8901000.0,0.0,0.0,62971000.0,0.0
2025-03-18,183758906.0,154176265.0,50958305.0,20828000.0,11260000.0,9493000.0,0.0,0.0,62923000.0,0.0
2025-03-19,183704906.0,154016265.0,50990305.0,0.0,11466000.0,9937000.0,0.0,0.0,62945000.0,9308000.0
2025-03-20,183646906.0,153880265.0,51024305.0,20788000.0,11538000.0,10323000.0,0.0,0.0,62853000.0,0.0
2025-03-21,184160906.0,153756265.0,51114305.0,19102000.0,11892000.0,10755000.0,0.0,0.0,63139000.0,9310000.0
2025-03-24,183844906.0,153048265.0,51117980.0,18830000.0,11858000.0,10805000.0,0.0,0.0,63019000.0,0.0
2025-03-25,183753645.0,152512265.0,51133241.0,18728000.0,11800000.0,10853000.0,0.0,0.0,62959000.0,9308000.0
2025-03-26,183689645.0,152316265.0,51022918.0,18576000.0,11780000.0,10843000.0,0.0,0.0,62861000.0,9310000.0
2025-03-27,183687645.0,152378265.0,51018918.0,18302000.0,11788000.0,10807000.0,0.0,0.0,62823000.0,0.0
2025-03-28,183707645.0,152380265.0,50998918.0,18304000.0,0.0,0.0,0.0,0.0,62815000.0,0.0
2025-03-31,183657645.0,152422265.0,50992918.0,18236000.0,0.0,0.0,0.0,0.0,62785000.0,0.0
2025-04-01,183641645.0,152416265.0,51124918.0,17878000.0,11772000.0,10623000.0,0.0,0.0,62695000.0,0.0
2025-04-02,183605645.0,152678265.0,51082918.0,17148000.0,11838000.0,10635000.0,0.0,0.0,62633000.0,0.0
2025-04-03,183595645.0,152810265.0,51062918.0,17050000.0,11724000.0,0.0,0.0,0.0,0.0,9312000.0
2025-04-07,183599645.0,152774265.0,50998733.0,17032000.0,0.0,10641000.0,0.0,0.0,0.0,9298000.0
2025-04-09,183569645.0,152782265.0,50790733.0,16922000.0,11870000.0,10671000.0,0.0,0.0,0.0,0.0
2025-04-10,183535645.0,152910265.0,50324733.0,15920000.0,11888000.0,0.0,0.0,0.0,63729000.0,0.0
2025-04-11,183523645.0,153100265.0,50342733.0,15600000.0,12008000.0,10871000.0,0.0,0.0,63851000.0,0.0
2025-04-14,183507645.0,153286265.0,50360733.0,14870000.0,11958000.0,11801000.0,0.0,0.0,63871000.0,0.0
2025-04-17,183535645.0,153314265.0,50316733.0,14980000.0,0.0,0.0,0.0,0.0,63881000.0,0.0
2025-04-23,183525645.0,153420265.0,50290733.0,14862000.0,11978000.0,0.0,0.0,0.0,0.0,0.0
2025-04-28,183519645.0,153468265.0,49986733.0,14790000.0,12022000.0,11929000.0,0.0,0.0,0.0,0.0
2025-04-29,183479645.0,153502265.0,49940733.0,14572000.0,12068000.0,11951000.0,0.0,0.0,0.0,0.0
2025-05-02,183483645.0,153566265.0,49827155.0,14566000.0,12094000.0,11991000.0,0.0,0.0,0.0,0.0
