date,CMB WING LUNG BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),DEUTSCHE BANK AG,THE CORE SECURITIES COMPANY LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-07-03,52.27477630474182,35.3482475959383,7.7193527986022605,3.2504761930640202,0.0,0.0,1.0897204454612892,0.0641094442466911,0.2533172179456175
2024-07-04,52.26942105560794,35.34728495049582,7.719188933399429,3.278003387284319,0.0,0.0,1.0896973130476677,0.06262213438990248,0.23378222577491387
2024-07-05,52.26942105560794,35.34728495049582,7.718552098134445,3.289254143632335,0.0,0.0,1.0896973130476677,0.06262213438990248,0.22316830469187957
2024-07-09,52.26942105560794,35.34728495049582,7.7149433649662145,3.3119679347500286,0.0,0.0,1.0896973130476677,0.06262213438990248,0.2040632467424178
2024-07-15,52.26942105560794,35.34728495049582,7.7149433649662145,3.3121802131716893,0.0,0.0,1.0896973130476677,0.06262213438990248,0.2038509683207571
2024-07-26,52.26986488618468,35.34758509167874,7.715008874162491,3.312208337586014,0.0,0.0,1.089706565895263,0.0626226661275315,0.20300357836528266
2024-07-29,52.269256948614625,35.34803531301033,7.7151071400428775,3.3122505251030505,0.0,0.0,1.0897204454612892,0.06262346375090687,0.20300616401692284
2024-08-06,52.27014463336248,35.348635625959965,7.713539872845461,3.3123067767975236,0.0,0.0,1.089738952099327,0.06262452728034798,0.20300961165490428
2024-08-15,52.27014463336248,35.348635625959965,7.713539872845461,3.3123067767975236,0.0,0.0,1.0886775194335583,0.06262452728034798,0.20407104432067288
2024-09-03,52.266357451457345,35.347510055905154,7.713294258570859,3.323452134434913,0.0,0.0,1.088642853800967,0.06262253319227767,0.19812071263848388
2024-09-04,52.26591365160481,35.347209915996515,7.71322876407265,3.3259712502603587,0.0,0.0,1.087784498120958,0.06262200145690618,0.19726991848780648
2024-09-05,52.26458229726633,35.346309526852096,7.713032287251309,3.330768797733201,0.0,0.0,1.0877567893044515,0.06262040630497064,0.19492989528764249
2024-09-09,52.26146114093814,35.34563426509585,7.712035862170152,3.3404695175629264,0.0,0.0,1.0839151754662435,0.06261920999434856,0.19386482877233405
2024-09-10,49.92439613469754,33.76502317690668,7.351752598190895,3.2328599213536813,4.449565398020759,0.0,1.0317939191005954,0.0598189598444042,0.1847898918854425
2024-09-11,49.92236837334688,33.76502317690668,7.351752598190895,3.235698787244602,4.449565398020759,0.0,1.0317939191005954,0.0598189598444042,0.1839787873451794
2024-09-23,49.92034384246977,33.758179150640906,7.346588028404054,3.2505723935381274,4.449384952203953,0.0,1.0317520761609253,0.059816533971289845,0.18336302261097426
2024-09-24,49.91700372548944,33.749837796524176,7.310817220040045,3.3071261177441515,4.449087248600833,0.0,1.0245866406622055,0.05981253171077952,0.1817287192283786
2024-09-25,49.9087618245663,33.74244080238476,7.268660500460087,3.3722616323301575,4.448352650496688,0.0,1.0208593123503829,0.05980265593852699,0.17886062147309276
2024-09-26,49.90534617195647,33.73405032959245,7.2361353433245315,3.4227075901545945,4.445615730500566,0.0,1.0174978906816994,0.05979856316823247,0.17884838062146277
2024-09-27,49.89391752594243,33.72632501458295,7.234478221679416,3.4486749636310403,4.444597655837317,0.0,1.0172648771049062,0.05978486891174454,0.1749568723102002
2024-09-30,24.619449600000003,16.6407792,3.5697512000000002,1.7049,2.193124,0.0,0.501955,0.029500000000000002,0.08613
2024-10-02,49.881483443647426,33.715893963534924,7.2197082702734825,3.4895531919200162,4.443490015953314,0.0,1.017011364135291,0.05976996990166665,0.17308978063387734
2024-10-03,49.876904208862854,33.70185882776639,7.142871092726755,3.628210589551624,4.4333577029258855,0.0,0.9843643876258397,0.05976448288110609,0.1726687076595482
2024-10-04,49.8746812881919,33.66794360860146,7.140526923890775,3.6823409804233167,4.433160116434986,0.0,0.9691268334693187,0.059761819289480024,0.1724584296987605
2024-10-07,49.8746812881919,33.66470228958915,7.140526923890775,3.6857848818738965,4.433160116434986,0.0,0.9689242510310494,0.059761819289480024,0.1724584296987605
2024-10-08,49.8746812881919,33.64403888088567,7.140526923890775,3.7104999393427667,4.433160116434986,0.0,0.9644674373891221,0.059761819289480024,0.17286359457529935
2024-10-09,49.874782325742025,33.6309391527747,7.1405413893736265,3.726511501223912,4.433169097257036,0.0,0.9640642255373979,0.05976194035667595,0.17023036773462644
2024-10-10,49.874782325742025,33.6309391527747,7.1405413893736265,3.726511501223912,4.433169097257036,0.0,0.9632538941427311,0.05976194035667595,0.17104069912929326
2024-10-14,49.87275649725535,33.62324100452537,7.1405413893736265,3.736032895111247,4.433169097257036,0.0,0.9630513112940643,0.05976194035667595,0.17144586482662666
2024-10-15,49.86770532635461,33.6068716143175,7.139615624689142,3.758949173392148,4.432720100724362,0.0,0.9629537723348973,0.05975588759770888,0.17142850058963058
2024-10-17,49.86568514447225,33.59052116698302,7.138921284720441,3.786344256242765,4.424438362581299,0.0,0.9629147622831677,0.05975346683740521,0.17142155587964755
2024-10-18,49.8618185688065,33.57211856774033,7.138165195713847,3.8245329634193257,4.415993755724344,0.0,0.9582392353341849,0.059748833565042694,0.1693828796964244
2024-10-21,49.861717579672096,33.572050571439924,7.138150738216205,3.8245252172864217,4.415984811658529,0.0,0.9580347565268723,0.05974871255094499,0.1697876126490074
2024-10-22,49.861717579672096,33.572050571439924,7.138150738216205,3.8245252172864217,4.415984811658529,0.0,0.9576296805095778,0.05974871255094499,0.17019268866630197
2024-10-25,49.85757737735252,33.55913690069605,7.137355510041033,3.850535407703349,4.415618136151789,0.0,0.9494493173383285,0.05974375139496597,0.17058359932196554
2024-10-28,49.85353881812634,33.546293307025635,7.136574865792787,3.876751634003023,4.415260462628503,0.0,0.9412722186631781,0.05973891203671603,0.17056978172381665
2024-10-30,49.85353881812634,33.546293307025635,7.136574865792787,3.876751634003023,4.415260462628503,0.0,0.941069713876613,0.05973891203671603,0.1707722865103818
2024-10-31,24.6184496,16.5600792,3.5241512000000004,1.9245,2.180324,0.0,0.4642148,0.029500000000000002,0.08432999999999999
2024-11-04,49.84546366214222,33.51899258492517,7.13541890060757,3.9154032522767244,4.414545289387215,0.0,0.939702449762003,0.0597292356718189,0.17074462522727074
2024-11-05,49.823124056422756,33.50397013306202,7.131816205289379,3.975981879916928,4.412566790363431,0.0,0.9233846546528035,0.059702466383767375,0.1694538139089099
2024-11-06,49.79449571822086,33.486078973837465,7.119310060780255,4.046677042201505,4.402119547731755,0.0,0.9228915661675792,0.05967058519691313,0.16875650586367671
2024-11-07,49.78241214263414,33.4779529438306,7.117582425626937,4.0721863946305135,4.40105129021595,0.0,0.922667609084828,0.05965610500153954,0.16649108897548304
2024-11-08,49.970369088691655,33.60414828698565,7.1282163435300365,4.1332334255451855,4.01169257268793,0.0,0.926151204566961,0.059881340759052624,0.16630773723353157
2024-11-11,48.0293535875514,32.29885128964137,6.819921124899535,4.038824755493361,3.8558650770859684,3.8505801302246176,0.8901764083577611,0.05755535012175941,0.15887227662423287
2024-11-12,48.02925988108128,32.29878827377466,6.817566589049429,4.038816875645248,3.855857554196763,3.8505726176464763,0.8905648766035602,0.0575552378298318,0.1610180941727464
2024-11-13,48.027385828461824,32.2975280080758,6.803839027269996,4.056022730208905,3.8557071025769045,3.8504223722394397,0.8905301276725142,0.05755299208329135,0.1610118114113232
2024-11-14,48.02363816193037,32.29500777170073,6.791798410792094,4.078920711298225,3.8515046412612546,3.850121916597154,0.890460637944994,0.057548501115929816,0.16099924735924365
2024-11-15,48.01801775864515,32.29122815452212,6.779300128746092,4.11394368223906,3.839350473851176,3.849671321042615,0.8903564236853831,0.05754176597887832,0.1605902912895272
2024-11-18,48.01239867076366,32.28744942192817,6.7625140236278085,4.149738592408202,3.831099831176222,3.8492208309458245,0.8902522338161618,0.05753503241812377,0.15979136291582643
2024-11-19,48.01239867076366,32.28744942192817,6.760563683545838,4.163390972981993,3.8193977906844,3.8492208309458245,0.8902522338161618,0.05753503241812377,0.15979136291582643
2024-11-20,48.01239867076366,32.28744942192817,6.7430106228081055,4.192646074211548,3.8076957501925786,3.8492208309458245,0.8902522338161618,0.05753503241812377,0.15979136291582643
2024-11-21,47.992772816217034,32.27687367401305,6.728908773346006,4.240795185498203,3.806448540174058,3.847960019395004,0.8899606318663554,0.05751618682920187,0.15876417266108164
2024-11-22,47.9865978872496,32.27272081118534,6.622772685670393,4.351368221368171,3.8059587883223833,3.8474649265217447,0.8898461262155438,0.05750878658230413,0.16576176688451932
2024-11-25,47.9865978872496,32.27272081118534,6.621797960474082,4.351368221368171,3.8059587883223833,3.8474649265217447,0.8898461262155438,0.05750878658230413,0.16673649208082955
2024-11-27,47.986488639008435,32.27232471595581,6.621251848762346,4.351393669846465,3.805981047036123,3.8474874279793756,0.8898513303786197,0.05750912291585087,0.1677121981169712
2024-11-28,47.986488639008435,32.27232471595581,6.620861956403594,4.351393669846465,3.805981047036123,3.8474874279793756,0.8898513303786197,0.05750912291585087,0.16810209047572272
2024-12-02,47.986488639008435,32.27232471595581,6.620472064044841,4.351393669846465,3.805981047036123,3.8474874279793756,0.8898513303786197,0.05750912291585087,0.16849198283447425
2024-12-03,47.98087642588304,32.26855033759443,6.618528232893331,4.3621903128491395,3.8055359222230143,3.847037448827837,0.8897472586814059,0.057502396992291704,0.17003166405551207
2024-12-04,47.97881894330439,32.26716662005729,6.618244421767944,4.374087987743557,3.797576135035193,3.8468724828430534,0.8897091051581586,0.05749993121448906,0.17002437287592817
2024-12-10,47.96929634460363,32.26207304631284,6.616809922053081,4.396588736689571,3.7930789788779222,3.8462652299997053,0.8895686590200893,0.0574908544912865,0.16882822795186947
2024-12-11,47.95434347039247,32.25201639014289,6.583575585320137,4.459704822286169,3.791896609379802,3.8450662814107215,0.8892913648074547,0.05747293357976584,0.1666325426805889
2024-12-12,47.95015319931251,32.248560288505466,6.571189274784947,4.4820947765328105,3.7917193175296418,3.844886503588368,0.8892497855853292,0.05747024640662317,0.1646766077543002
2024-12-16,47.949966372439114,32.24843463932005,6.570774044368401,4.4820773130692455,3.791704543957137,3.8448715228620074,0.8892463208256562,0.0574700224868704,0.16545522067152213
2024-12-17,47.949966372439114,32.24843463932005,6.570579230732851,4.483051381246988,3.791704543957137,3.8448715228620074,0.8892463208256562,0.0574700224868704,0.16467596612932728
2024-12-18,47.956852292748366,32.250445143789335,6.561832056856896,4.483330873722789,3.791940934932919,3.8451112284932116,0.8893017602205391,0.056304650725964106,0.16488105850997725
2024-12-19,47.95675886061835,32.2503823117301,6.561624447339757,4.4833221390554145,3.7919335472687687,3.8451037372398225,0.8893000276348142,0.05630454103020228,0.16527038808277023
2024-12-20,47.956852292748366,32.250445143789335,6.561637231075837,4.483330873722789,3.791940934932919,3.8451112284932116,0.8893017602205391,0.056304650725964106,0.16507588429103595
2025-01-02,47.93902644587791,32.23976720948218,6.508826779656668,4.57182617824164,3.7906854454034167,3.8438381345895922,0.88900731759401,0.05628600858446937,0.1607364805701127
2025-01-03,47.90320044237244,32.21567364524665,6.4724348271442205,4.67661588444366,3.787852573730304,3.840965540615667,0.8883429407462142,0.05624394467766198,0.15867020102317583
2025-01-06,47.86341221789945,32.19205429363685,6.434823531234778,4.787342835737266,3.7850754590012983,3.838149485405277,0.8876916402488654,0.056202708678070826,0.15524782815814514
2025-01-07,47.81965305904373,32.163406780616974,6.37197302684154,4.932499293156103,3.781707143406901,3.8347339395580793,0.8869016888655301,0.05615269422997375,0.15297237428117072
2025-01-08,47.8045129411104,32.15322356638087,6.36898441246435,4.9633754443098015,3.780509822044703,3.8335198294511708,0.8872036034684557,0.056134915798752884,0.1525354649714901
2025-01-09,47.787433770969955,32.1417361493554,6.362048900889297,5.00198933976094,3.7789649861367556,3.83215022366762,0.886886631275652,0.05611486041655649,0.15267513752781442
2025-01-10,47.79560054688286,32.14722910714513,6.330898588649128,5.033916529682225,3.7796108036203306,3.8176573548785036,0.8870381984096499,0.056124450332863826,0.1519244203993058
2025-01-13,47.79541490734029,32.147104246345435,6.330679797753591,5.0338969777998095,3.7795961234988837,3.817642526983113,0.887034753126747,0.05612423234381948,0.1525064348083095
2025-01-14,47.79541490734029,32.147104246345435,6.330291394761592,5.035838992759803,3.7795961234988837,3.817642526983113,0.887034753126747,0.05612423234381948,0.1509528228403145
2025-01-16,47.793472892380294,32.147104246345435,6.311259648153652,5.135658561703482,3.7795961234988837,3.739961928583363,0.887034753126747,0.05612423234381948,0.14978761386431824
2025-01-20,47.79254475401141,32.14647995689556,6.310748689478017,5.138277596527862,3.7795227246021557,3.7398892993736816,0.8870175271136727,0.056123142423997595,0.1493963095736379
2025-01-21,47.79217350875735,32.146230247904754,6.2912800469221555,5.207954124763751,3.779493365841676,3.6893692322801366,0.8870106368957755,0.0561227064679217,0.15036613016647674
2025-01-24,47.791523843440736,32.14579326650552,6.290806138937441,5.217593008993967,3.779441989108335,3.681551337600305,0.8868043856956918,0.05612194356108592,0.15036408615691635
2025-01-27,47.791431035551625,32.14573084156117,6.290017149822842,5.21758287678318,3.7794346496890228,3.6815441882779814,0.8868026635818843,0.05612183457608824,0.15133476015621306
2025-02-03,47.79163380574477,32.14560599239979,6.289992720346653,5.217562612479663,3.7794199709359155,3.6815298897166344,0.8867992193743348,0.05612161660736275,0.15133417239487126
2025-02-05,47.79181942195008,32.14573084156117,6.290017149822842,5.21758287678318,3.7794346496890228,3.6815441882779814,0.8868026635818843,0.05612183457608824,0.1509463737577626
2025-02-07,47.791076965779645,32.14523145073434,6.289919433056636,5.217501820513541,3.779375935360706,3.681486994698989,0.8867888869122055,0.05612096271134484,0.15249755023259207
2025-02-10,47.79088277559725,32.14523145073434,6.289919433056636,5.217501820513541,3.779375935360706,3.681486994698989,0.8867888869122055,0.05612096271134484,0.15269174041498426
2025-02-11,47.790502976485065,32.14510660545205,6.289895004339474,5.217481556839638,3.7793612570636697,3.6814726965819,0.8871738216680649,0.05612074474939167,0.15288533682074762
2025-02-12,47.78948215314161,32.14441997373326,6.289760649786825,5.21737010944663,3.779280528467939,3.6813940589231002,0.8871548712973751,0.05611954598891157,0.1550181092143533
2025-02-13,47.78847687112134,32.14491933934687,6.289858361619513,5.217451161623906,3.7793392398318906,3.681451249614507,0.88716865330486,0.05612041780963632,0.15521470572748206
2025-02-14,47.788384071672176,32.14485691779667,6.2898461474744,5.217441029964027,3.779331900811638,3.6814441006809058,0.8871669305305067,0.05612030883056439,0.1554085922391027
2025-03-07,47.788384071672176,32.14485691779667,6.2898461474744,5.217441029964027,3.779331900811638,3.6814441006809058,0.8906623130874277,0.05612030883056439,0.15191320968218172
2025-03-25,47.78847687112134,32.14491933934687,6.289858361619513,5.217451161623906,3.7793392398318906,3.681451249614507,0.8904698543524856,0.05612041780963632,0.1519135046798564
2025-03-31,24.609349599999998,16.553479199999998,3.2352512,2.6868,1.946224,1.8958152,0.45846000000000003,0.0289,0.07823
2025-04-01,47.791817891341616,32.147166676624046,6.270683713251364,5.217815927587808,3.779603463545353,3.681708629716788,0.8903379076082725,0.05845476381583781,0.16241102650892078
2025-04-02,47.79963251762425,32.1449752988499,6.2376674788181985,5.218626701252298,3.778248439153194,3.68228071436652,0.897274375059741,0.09497947211971021,0.1463150027561916
2025-04-03,47.79535359420513,32.142228356461146,6.132840742871616,5.218180744558803,3.777925569693931,3.681966045809847,0.8971976986587706,0.19479809761770434,0.15950915012305142
2025-04-07,47.798129982076766,32.1442260861811,6.113022253820364,5.259681303867692,3.7567953509203043,3.6821948903353734,0.890455498733819,0.194810204866296,0.1606844291982918
2025-04-08,47.812253893012844,32.153593755453315,6.105866678829371,5.261214112739799,3.757890179468251,3.6832679783554743,0.8907150007853353,0.17446714450665948,0.16073125684895254
2025-04-14,47.82423145944686,32.16177932079681,6.085267063279749,5.262553496829599,3.7588468518654854,3.6842056536568335,0.8907474227499317,0.17295689114395654,0.15941184023077254
2025-04-15,47.825127093124365,32.16146681813864,6.071604716455168,5.286210829852082,3.7471504268732816,3.6841698557599405,0.8907387677270056,0.17295521059364577,0.16057628147587585
2025-04-16,47.825127093124365,32.16146681813864,6.071410384757871,5.286210829852082,3.7471504268732816,3.6841698557599405,0.8907387677270056,0.17295521059364577,0.1607706131731721
2025-04-17,47.82549885353901,32.16074515373984,6.071457579824133,5.28625192130441,3.7471795547037994,3.6841984940218016,0.8907456917318908,0.1729565550312817,0.16096619610383217
2025-04-23,47.82531297260923,32.16062015621018,6.071433982199288,5.286231375498391,3.7471649907319353,3.684184174835217,0.8907422297159925,0.17295588280985108,0.16135423538990937
2025-04-25,47.828388633562554,32.16255772711488,6.0717997659987475,5.295878373143167,3.7473907450185724,3.67274548510724,0.8904072056657883,0.17063417290347527,0.16019789148557478
2025-04-28,47.82773798065156,32.162120190697536,6.071522824287836,5.3068837949593455,3.73956610520081,3.672695521422292,0.8903950926497138,0.17063185161219852,0.1584466385187078
2025-04-29,47.82959703593723,32.163370326331446,6.067871841838291,5.307090072546077,3.7397114614402547,3.6728382784145746,0.8904297021414695,0.17063848404055573,0.15845279731009693
2025-04-30,24.6101496,16.5492792,3.1221512,2.7389,1.9162240000000001,1.8898152000000001,0.45816,0.0878,0.08133
2025-05-02,47.82959703593723,32.163370326331446,6.067871841838291,5.334687640579971,3.7125025915476826,3.6728382784145746,0.8904297021414695,0.17063848404055573,0.15806409916877445
