date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-05-16,19.977760102303943,3.1280395070144893,2.933494122380474,0.8550360651519938,1.1457058432872298,1.2100241834365049,0.9633087884859521,0.0,1.7434223003352987,0.0
2024-05-17,19.965456383743266,3.1345532403701415,2.9462320898315277,0.8370871110164179,1.1449820951366019,1.2082871878749974,0.9997856952776064,0.0,1.7398035595821582,51.15642317827655
2024-05-20,0.0,3.1368692344521514,2.9478243357629093,0.8388241065779252,1.1436793484654713,1.2097346841762535,1.0022464389897419,0.0,1.740961556623163,51.15627842864642
2024-05-21,19.967772377825277,3.1263025114529817,2.957667310611451,0.8422980977009399,1.1446925958763505,1.1946807226431897,0.94984707288427,0.0,1.7138933757896737,51.15598892938616
2024-05-22,19.98123409342696,3.1199335277274547,2.913663423053265,0.8394031050984275,1.1410738551232102,1.2698057806783827,0.95809780180143,0.0,0.0,0.0
2024-05-23,20.003525536466302,3.1132750447416764,2.926401390504319,0.8386793569477996,1.1323888773156734,1.2538833213645655,0.9598347973629373,0.0,0.0,0.0
2024-05-24,20.024514232834516,0.0,0.0,0.0,0.0,0.0,0.9541895617880384,0.0,1.7131696276390458,0.0
2024-05-27,20.04781892328474,3.112406546960923,2.905557443766231,0.0,0.0,1.2973082104022493,0.9475310788022603,0.0,1.7104193846666589,51.15569943012592
2024-05-28,20.036817951395193,3.116749035864691,2.910334181560376,0.8415743495503117,0.0,1.2987557067035054,0.9478205780625115,0.0,0.0,0.0
2024-05-29,20.058964644804412,3.111538049180169,2.884568747398017,0.8386793569477996,1.1354286195483114,1.3251001393863668,0.947241579542009,0.0,1.7094061372557798,0.0
2024-05-30,20.032041213601048,3.109801053618662,2.8884769874114085,0.8369423613862922,1.1373103647399443,1.3531815676307357,0.9515840684457775,0.0,1.707379642434021,51.15584417975604
2024-05-31,20.02856722247803,3.1090773054680336,0.0,0.8346263673042824,0.0,1.3473915824257112,0.9565055558700483,0.0,1.7117221313377895,51.15598892938616
2024-06-03,20.03001471877929,3.11052480176929,2.887463740000529,0.8273888857980018,1.129928133603538,1.3647615380407847,0.9595452981026862,0.0,1.7108536335570357,51.15497568197529
2024-06-04,20.008736523150823,3.132381995918257,2.8420149616344292,0.826520388017248,1.126164643220272,1.3634587913696543,0.9952984567437125,0.0,1.7079586409545235,0.0
2024-06-05,19.9961433053299,3.116025287714063,2.8396989675524194,0.8433113451118193,1.1095184357558268,1.39559320925754,1.0180241486734336,0.0,1.7063663950231418,51.153672935304165
2024-06-06,19.981668342317334,0.0,2.8273926434984,0.8381003584272971,1.102280954249546,1.3883557277512595,1.0458160776575514,0.0,1.7056426468725139,51.15338343604391
2024-06-07,19.95575815852485,0.0,2.828840139799656,0.8414295999201862,0.0,1.3984882018600524,1.0618832866014942,0.0,1.7068006439135186,51.15208068937278
2024-06-11,19.8972793079541,3.076363889059645,2.819102976930736,1.1287576157195274,1.0546583259382194,1.2709637777193876,1.107189920830811,0.0,1.6966681698047257,0.0
2024-06-12,19.90726703243277,3.073034647566756,2.800035108154289,1.1312183594316627,1.0561058222394755,1.267489786596373,1.1261521223772661,0.0,1.6879831919971888,51.15193593974266
2024-06-13,19.97689160452319,3.0704291542244952,2.80495645082893,1.1309288601714116,1.0517633333357073,1.273424521431523,1.120651636432493,0.0,0.0,0.0
