date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-05-21,45.38721877325859,20.86361522219237,23.42449397565291,2.387552594871174,1.9616508874788705,1.2919325906460595,1.1481858465771966,1.425987980009342,1.4672434292459735,0.6421187000675175
2024-05-22,45.39204985386138,20.864182233897772,23.418303364033736,2.3875898415021064,1.9650836918385512,1.2841782743683492,1.1482705716709638,1.4321673965449682,1.465036167195266,0.6431386050869056
2024-05-23,45.39157134065286,20.863470402058724,23.404327406485876,2.3993229732372683,1.967222937493172,1.2886707010149034,1.1481676831804657,1.4334514171089177,1.460135330067502,0.6436598087003133
2024-05-24,45.394276497942414,20.863454286620588,23.397067996226124,2.398979146286662,1.9695411106235117,1.289714462704716,1.1481693446698111,1.4386571875178575,1.4548816520631096,0.6452583153452075
2024-05-27,45.39906171241454,20.864927363573692,23.389985696692367,2.400140707609337,1.9742892413171917,1.291365725941237,1.1482376692761305,1.4387427983090026,1.4469104129754848,0.6463386718910158
2024-05-28,45.39991708986819,20.865723821879623,23.38934946852107,2.4001790545568995,1.9743207844537134,1.292243093472672,1.1482560146212824,1.4367281440070867,1.4469335302025537,0.6463489984169066
2024-05-29,45.44892461551738,20.885952245502782,23.410763174566426,2.403472389948624,1.9761909435259837,1.2936757525866518,1.149343690656475,1.3368058225410877,1.4479101179821838,0.646961247172408
2024-05-30,45.44553105616404,20.880980825709404,23.39869619543825,2.4036217755583364,1.9778686983191314,1.3161950731750316,1.148971940607665,1.3353771524153693,1.446005292146748,0.6467519904660203
2024-05-31,16.728741789071012,7.685920941661724,8.61244690269058,0.8858955895608932,0.7280016374625273,0.48509652033540085,0.4229064623307543,0.49188636252749013,0.5322366552223272,0.23825713304921292
2024-06-03,45.452706262408576,20.879785999818328,23.396033336764336,2.409765441357768,1.9776436095032763,1.3080990687937786,1.1488411833264656,1.334049975492988,1.445840731365132,0.6472343911693488
2024-06-04,45.47246133494781,20.884444624905772,23.39838005256827,2.4100713800170586,1.9780848544534564,1.3035248113293991,1.149097508767645,1.3105091707530632,1.446047462406397,0.6473787998511324
2024-06-05,45.428655301078756,20.863955820255615,23.398764631962145,2.4081503712965953,1.9784811195989762,1.30265397139621,1.1479829172897333,1.3815111848389705,1.4440892499168756,0.6457554323661251
2024-06-06,45.44101875942704,20.86931848819965,23.37750815449339,2.4086606818791267,1.9789764745266958,1.303628467006925,1.1482240286857794,1.3820191627210567,1.444450808447269,0.6461949746130702
2024-06-07,45.43898622894233,20.86844711003188,23.376117062276922,2.408748892352224,1.9807110282014624,1.30579682434447,1.148155702947274,1.382376849399552,1.4443648555619815,0.6462954459418989
2024-06-11,45.47881561364676,20.889808903951366,23.399711982321733,2.4089360789182295,1.9826945681094672,1.311716730966644,1.1493054984626085,1.2859321963703876,1.4458112832800767,0.6472671439727273
2024-06-12,45.497667465001584,20.89710497691165,23.39584585104467,2.4016162432160915,1.985705573814002,1.3137514612440482,1.149706910309361,1.264907978808237,1.446200328109041,0.647493211541317
2024-06-13,45.494051463454554,20.898289489263018,23.3915863112227,2.401392115790618,1.9856352766062582,1.3162320501503597,1.1496662088143434,1.2704550405612791,1.4452217549086095,0.6474702892282588
2024-06-14,45.49313614151289,20.89839087914753,23.39118973863501,2.403954060957228,1.985644910089969,1.3180700111798564,1.1496717865207962,1.2708802408729696,1.4415888005965924,0.6474734304871586
2024-06-17,45.50048955556833,20.918454983508468,23.355438612382038,2.4044303037172856,1.988920301138607,1.3170926539375265,1.1513118133497218,1.2780143726140043,1.4383643496805103,0.6474830541035091
2024-06-18,45.453281495097585,20.899500989253834,23.30251985238881,2.4016968702331067,1.9868891369012032,1.3158402313744666,1.1501360480965652,1.4071824413087137,1.4361311165984283,0.6468218187472874
2024-06-19,45.457071714343634,20.903907494844447,23.296795998464148,2.3997429730321236,1.9884446036109389,1.3148612900637144,1.1503246070349076,1.4070913143755832,1.4348842488602627,0.6468757553702449
2024-06-20,45.413959283424994,20.914764405038525,23.27026636653716,2.400984069377434,1.9936544582589124,1.31311361460458,1.1493220481765376,1.4660035293665075,1.431620250724732,0.6463119744906174
2024-06-21,45.44630281700334,20.93858546931617,23.268224622232516,2.403268010956208,1.9950509427648564,1.312273311314107,1.1501271076621318,1.408702182239703,1.430700843318445,0.6467646931925185
2024-06-24,45.435921848759946,20.97247835399635,23.256942068197123,2.4021800770521162,1.9945322110163037,1.3124183231105853,1.149828063947093,1.4079886101582775,1.421113915388444,0.6465965283737609
2024-06-25,45.434199488159244,21.001584156554642,23.233184052813215,2.4001144369007426,1.9942971845656403,1.309230975553975,1.1496925735262065,1.4156938245258104,1.4164089857043465,0.6455943216961756
2024-06-26,45.42882526320395,21.059642512734005,23.231272120428564,2.3998052000125654,1.9931449437493334,1.3108257718373735,1.1495887977505301,1.3791060643013746,1.4162348384984111,0.6315544874838944
2024-06-27,45.41899965946104,21.155146521952766,23.151925390893847,2.3991144575379755,1.9927250244004935,1.3086749891712601,1.149346600322341,1.3788386551658987,1.4136684102311545,0.6315602908632185
