date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-03-26,0.0,0.0,25.86972363998677,23.070029410513403,15.912967936639077,11.020365030721155,10.999779043739732,7.774778323230189,5.352356615169676
2024-03-28,0.0,0.0,25.76364960889823,22.975435009314552,15.847719746163131,10.975178056204392,11.02301507139333,8.084592244116388,5.330410263909979
2024-04-03,0.0,0.0,25.765410380794997,22.977005225525936,15.848802831051351,10.97592813569145,11.023768420218124,8.078310445174349,5.330774561543793
2024-04-05,0.0,0.0,25.665559283335455,23.010029416153014,15.871581860814645,10.991703522409797,11.039612566405358,8.083077019947957,5.338436330933774
2024-04-09,0.0,0.0,25.6199128374944,22.893515695964247,16.002170157322706,11.00149198315936,11.049443691678734,8.09027525650739,5.343190377873164
2024-04-15,0.0,0.0,25.58694825353803,22.943810320183548,16.037325226794966,11.025661093421538,11.073718146755256,7.977608159263822,5.354928800042839
2024-04-17,0.0,0.0,25.630939232598536,22.941994440555064,16.06489778571242,11.044617227677287,11.092756904261186,7.860659018418241,5.364135390777263
2024-04-18,0.0,0.0,25.648578007600292,22.95778272963632,16.07595337422975,11.052217944782953,11.1003907502708,7.797250296262753,5.367826897217126
2024-04-19,0.0,0.0,25.666241076728767,22.97359276414467,16.087024189760772,11.059829130460534,11.10803511048122,7.7337542404046005,5.371523488019437
2024-04-24,0.0,0.0,25.660939602121175,22.96884746784981,16.083701344393635,11.057544674270622,11.105740697134815,7.752812237934126,5.3704139762958185
2024-04-30,73.61263029886301,0.0,6.7026746098744105,6.082225558048301,4.251900855161279,2.9307093448021515,2.954432396783738,2.04204381757192,1.423383118895192
2024-05-02,73.60994375652132,0.0,6.702429991266586,6.082003583144986,4.251745679186263,2.9306023865979136,2.9543245727907985,2.0456188589190494,1.4233311715730839
2024-05-20,73.6072574102668,0.0,6.702185390513151,6.074482756607209,4.251590514537337,2.9304954362004136,2.9542167566677895,2.056492507164751,1.4232792280425421
2024-05-21,73.60591431066553,0.0,6.702063096831218,6.0743719165126935,4.25151293645977,2.9304419639289234,2.9541628515572396,2.0582796663456437,1.423253257698979
2024-05-23,73.60591431066553,0.0,6.702063096831218,6.0743719165126935,4.25151293645977,2.9304419639289234,2.952338167893523,2.0601043500093605,1.423253257698979
2024-06-06,73.6072574102668,0.0,6.702185390513151,6.07265803964818,4.251590514537337,2.9304954362004136,2.9523920397087604,2.060141941082809,1.4232792280425421
2024-06-07,73.60629418941473,0.0,6.702429991266586,6.072879665378491,4.251745679186263,2.9306023865979136,2.9524997892375,2.06021712734544,1.4233311715730839
2024-06-19,73.49364179880047,0.0,6.371501732166627,6.008925568397351,4.243416509641429,2.926117180972149,2.947981070244668,2.587263337063556,1.4211528027137459
2024-06-27,73.49899837867446,0.0,6.3355236473374585,5.998430787182891,4.240081543673933,2.913575585876502,2.929974697992129,2.6621589759082465,1.421256383354391
2024-06-28,73.55126598181468,0.0,6.34002905071695,6.013636988571902,4.243096807885633,2.9156475272063282,2.9320583012806605,2.581998256081742,1.4222670864421114
2024-07-02,73.57809872748213,0.0,6.305860309415815,6.015830865042916,4.244644761356842,2.9167112047312376,2.933127965733477,2.5829402127101484,1.422785953527433
2024-07-03,73.57675662522787,0.0,6.287504774454235,6.030313543471338,4.244567336859589,2.9166580024230697,2.9385466178258697,2.5828930985560445,1.4227600011819852
2024-07-05,73.51909250935277,0.0,6.2607056243554755,6.02376480014406,4.401631465158216,2.9271304898733317,2.9289531115980347,2.5170770542496066,1.421644945268492
