date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANTEC SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-08-19,89.80428094267535,7.951934328913413,1.1799601875994694,0.5633954883976197,0.24823306493486366,0.009356900452090203,0.07474512243493232,0.00033024354536788955,0.020365018631019853,0.003302435453678895,99.8559037330378
2024-08-20,89.80428094267535,7.951934328913413,1.1804005123266266,0.5628450824886732,0.24823306493486366,0.011118199360718948,0.07617617779819319,0.00033024354536788955,0.019154125631337594,0.003302435453678895,99.85777511312823
2024-08-21,89.80428094267535,7.951934328913413,1.1811710805991515,0.5624047577615159,0.24823306493486366,0.015411365450501513,0.07507536598030022,0.00033024354536788955,0.019154125631337594,0.003302435453678895,99.86129771094548
2024-08-22,89.80428094267535,7.951934328913413,1.1811710805991515,0.5626249201250945,0.24823306493486366,0.015521446632290808,0.07683666488892897,0.001541136545050151,0.01992469390386267,0.003302435453678895,99.86537071467168
2024-08-23,89.80428094267535,7.951934328913413,1.1811710805991515,0.5616341894889908,0.24823306493486366,0.015521446632290808,0.07694674607071826,0.0017612989086287442,0.01992469390386267,0.003302435453678895,99.86471022758096
2024-08-26,89.80428094267535,7.951934328913413,1.1759972650550545,0.5696701157596095,0.24823306493486366,0.015631527814080105,0.07364431061703937,0.001541136545050151,0.01970453154028408,0.003302435453678895,99.86393965930843
2024-08-27,89.80428094267535,7.951934328913413,1.1767678333275797,0.5686793851235058,0.24823306493486366,0.015521446632290808,0.07364431061703937,0.0020915424539966337,0.019484369176705485,0.003302435453678895,99.86393965930843
2024-08-28,89.80428094267535,7.951934328913413,1.1767678333275797,0.5690096286688736,0.24823306493486366,0.015521446632290808,0.07342414825346077,0.00220162363578593,0.019374287994916188,0.003302435453678895,99.86404974049023
2024-08-29,89.80428094267535,7.951934328913413,1.176877914509369,0.5781463667573853,0.24823306493486366,0.015301284268712216,0.07342414825346077,0.00033024354536788955,0.018933963267759,0.003302435453678895,99.87076469257936
2024-08-30,89.80428094267535,7.951934328913413,1.176877914509369,0.5802379092113819,0.24823306493486366,0.014971040723344325,0.07342414825346077,0.00044032472715718605,0.018933963267759,0.003302435453678895,99.87263607266979
