date,CHINA INTERNATIONAL CAPITAL CORPORATION,ADVENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,BRADBURY SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,KOALA SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD
2024-10-09,58.641461581310516,0.0,6.838554440013689,10.985502718088531,6.909743607169724,2.650258439000293,5.304032392428044,4.738343934876839,3.9321028871123564
2024-10-10,58.65328854397085,0.0,6.834765407285186,10.982944759163393,6.908134683046363,2.649641330033873,5.302797355912593,4.737240618126606,3.931187302461133
2024-10-14,58.66954306447233,0.0,6.829878921614058,10.979327040869977,6.905859183554719,2.6487685535498926,5.301050645224209,4.735680198546947,3.9298923921678726
2024-10-15,58.67063215679414,0.0,6.829259767864334,10.97903772636282,6.9056772083536195,2.6491379369619077,5.300910958078618,4.735555409388414,3.9297888361961455
2024-10-16,58.678834929875514,0.0,6.827751696968563,10.978025245649665,6.905040370667205,2.6488936349443257,5.300422111037468,4.731605577587726,3.929426433269533
2024-10-17,58.67110547772755,0.0,6.840024783774689,10.976579168526342,6.904130806269945,2.6485447102149777,5.299723914505104,4.730982308244721,3.928908830736675
2024-10-18,50.70388141855634,0.0,8.156346224380668,13.093157957968254,8.235432352928889,3.1592551483634614,6.322176541096708,5.643242553728842,4.6865078029768314
2024-10-21,50.702553647471746,0.0,8.158751313387176,13.092815090399615,8.235216693522915,3.159172417662822,6.322010983688317,5.643094775411353,4.686385078456057
2024-10-22,50.706005996944924,0.0,8.148307650815994,13.093706583431583,8.235777431473334,3.1593875264975297,6.322441450986685,5.647669184269731,4.686704175580222
2024-10-23,50.62199541566032,0.0,8.30048911166096,13.072012705564132,8.222132254028471,3.15415299900151,6.311966321443506,5.638312029002914,4.678939163638182
2024-10-24,50.62226012115366,0.0,8.320925852657874,13.072081059913728,8.222175248058175,3.1541694922594066,6.311999327099353,5.617425268762118,4.6789636300956845
2024-10-29,50.620956102963554,0.0,8.322015181147348,13.07214941497819,8.222218242537517,3.1541859856897925,6.31203233310038,5.617454642774152,4.6789880968090625
2024-10-30,50.635597549846736,0.0,8.307373734264173,13.07214941497819,8.222218242537517,3.1541859856897925,6.31203233310038,5.617454642774152,4.6789880968090625
2024-11-01,50.639733987228816,0.0,8.30624274838692,13.07119250912408,8.221616360741319,3.1539550933599365,6.311570280495323,5.617043434558713,4.678645586104892
2024-11-04,50.64052834043981,0.0,8.304804406895652,13.071397548584669,8.221745327993741,3.1540045674420147,6.3116692860730375,5.617131545536737,4.678718977034341
2024-11-06,50.62967433648039,0.0,8.324457835654062,13.068595899285246,8.219983125677377,3.153328555970869,6.310316478634674,5.615927601383037,4.677716166914346
2024-11-07,50.74427276719543,0.0,8.339108344433772,12.876021419961914,8.23858875921249,3.1604660007358016,6.324599651008267,5.628639049729526,4.688304007722803
2024-11-08,50.753922389036454,0.0,8.331816795259831,12.875279359767397,8.238113959693463,3.1602838593787186,6.324235156923162,5.628314664668965,4.688033815272012
2024-11-11,50.754986050596116,0.0,8.347709328586014,12.875549189941706,8.238286607731894,3.1425364457629037,6.32436769536579,5.628432618546671,4.6881320634689
2024-11-15,50.76003905189901,0.0,8.3385847246759,12.876831037734298,8.239106784747033,3.142849306468628,6.32499732884008,5.628992966988622,4.688598798646429
2024-11-18,50.76083698618369,0.0,8.33714383165854,12.877033458086116,8.239236301309697,3.142898711222053,6.325096756112271,5.6290814532577516,4.6886725021698785
2024-11-19,50.761102969853425,0.0,8.336663523919166,12.877100932950949,8.239279474402132,3.1429151798183654,6.325129899230992,5.629110949299012,4.688697070525964
2024-11-20,50.43598195873076,0.6246878825081034,8.308270543143168,12.793039367792874,8.185493553797848,3.118233680186283,6.283839524796096,5.59236417847611,4.658089310568758
2024-11-21,50.428568996567314,0.6245058259378278,8.327706917484083,12.789311014905111,8.183108005872002,3.1173249144729906,6.2820081874129325,5.590734361938005,4.656731775409736
2024-11-22,50.43880627828891,0.6246326041154385,8.309096928959239,12.791907316614438,8.18476922259263,3.117957748876231,6.283283470231216,5.591869312301115,4.6576771180207865
2024-11-25,50.45041732420037,0.6244928259575588,8.30671713684461,12.789044787139185,8.182937662797213,3.117260022904815,6.281877418444745,5.59061798282131,4.656634838890198
