date,CONSTANCE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,INTERACTIVE BROKERS HONG KONG LTD,HING WAI ALLIED SECURITIES LTD,TAI YIP STOCK CO LTD,TOTAL_CCASS_PCT
2024-12-12,9.071691951507589,7.232328017675959,5.0754427014730945,2.387171405767469,1.5799151658943091,1.1934302731199644,0.785997502878931,0.683350335322145,28.009327353639463
2024-12-16,9.071691951507589,7.232328017675959,5.0754427014730945,2.38715518700951,1.5799151658943091,1.1934302731199644,0.785997502878931,0.683350335322145,28.009311134881504
2024-12-20,9.071691951507589,7.232328017675959,5.0754427014730945,2.38715518700951,1.5799151658943091,1.1947818362831808,0.785997502878931,0.683350335322145,28.01066269804472
2024-12-30,9.071691951507589,7.2174608228805806,5.0754427014730945,2.38715518700951,1.5799151658943091,1.196133399446397,0.785997502878931,0.683350335322145,27.99714706641256
2024-12-31,9.071691951507589,7.2174608228805806,5.0754427014730945,2.387153835446347,1.5799151658943091,1.196133399446397,0.785997502878931,0.683350335322145,27.997145714849392
2025-01-03,9.071691951507589,7.2174608228805806,5.0754427014730945,2.387153835446347,1.5799151658943091,1.196133399446397,0.7859893934999517,0.683350335322145,27.997137605470414
2025-01-10,9.071691951507589,7.2174608228805806,5.0754427014730945,2.387153835446347,1.5799151658943091,1.2245162258739386,0.7859339794102598,0.683350335322145,28.025465017808266
2025-01-13,9.071691951507589,7.2174608228805806,5.0754427014730945,2.387148429193694,1.5799151658943091,1.2245162258739386,0.7859339794102598,0.683350335322145,28.025459611555608
2025-01-14,9.071691951507589,7.216109259717364,5.0754427014730945,2.387148429193694,1.5421430301719041,1.2299224785268037,0.7859339794102598,0.683350335322145,27.991742165322854
2025-01-15,9.071691951507589,7.214757696554148,5.0754427014730945,2.387148429193694,1.5421430301719041,1.2299224785268037,0.7940433583895573,0.683350335322145,27.998499981138934
2025-01-17,9.071691951507589,7.214757696554148,5.0754427014730945,2.3872835855100156,1.5421430301719041,1.2299224785268037,0.7940433583895573,0.683350335322145,27.998635137455256
2025-01-27,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872835855100156,1.5421430301719041,1.2299224785268037,0.7940433583895573,0.683350335322145,27.99728357429204
2025-02-03,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872835855100156,1.5421430301719041,1.2326256048532362,0.7940433583895573,0.683350335322145,27.99998670061847
2025-02-04,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872822339468525,1.5421430301719041,1.2326256048532362,0.7940433583895573,0.683350335322145,27.99998534905531
2025-02-11,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872754761310366,1.5421430301719041,1.2326256048532362,0.7940433583895573,0.683350335322145,27.999978591239493
2025-02-18,9.071691951507589,7.213406133390931,5.0754427014730945,2.387261960499404,1.5421430301719041,1.2326256048532362,0.7940433583895573,0.683350335322145,27.999965075607864
2025-02-25,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872592573730778,1.5421430301719041,1.2326256048532362,0.7940433583895573,0.683350335322145,27.999962372481534
2025-03-04,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872592573730778,1.5421430301719041,1.2637115576072104,0.7940433583895573,0.683350335322145,28.03104832523551
2025-03-17,9.071691951507589,7.213406133390931,5.0754427014730945,2.3872592573730778,1.5421430301719041,1.2975006366876172,0.7940433583895573,0.683350335322145,28.064837404315917
2025-03-26,9.071691951507589,7.205296754411634,5.0754427014730945,2.3872592573730778,1.5421430301719041,1.24208654699575,0.7940433583895573,0.683350335322145,28.00131393564475
2025-03-27,9.071691951507589,7.205296754411634,5.0754427014730945,2.3872497964309356,1.5421430301719041,1.24208654699575,0.7940433583895573,0.683350335322145,28.00130447470261
2025-04-22,8.706769897439196,7.205296754411634,5.0754427014730945,3.0630313780390694,1.5421430301719041,1.2299224785268037,0.7940433583895573,0.683350335322145,28.299999933773407
2025-04-25,8.16614463215269,7.205296754411634,5.0754427014730945,3.738812959647203,1.5421430301719041,1.2299224785268037,0.7940433583895573,0.683350335322145,28.435156250095034
2025-04-29,8.16614463215269,7.205296754411634,5.0754427014730945,3.738812959647203,1.5421430301719041,1.2299224785268037,0.8008011742056388,0.683350335322145,28.44191406591111
