date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,ROCTEC SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD
2024-07-25,35.944977573389195,9.900114900047406,15.53341141943865,10.051186080771588,7.956098617661817,6.048788409876646,3.0736725633623387,2.1082162326210834,6.992924409981326,2.3906097928499443
2024-07-26,36.21146086306825,9.953619367289408,15.025913484488479,10.205246176521616,7.972144113278469,6.052374726160186,3.0800499683784053,2.1097593284864695,6.997072387389134,2.392359584939588
2024-07-29,35.88965726029501,10.052978047959767,13.878154689445699,11.557992525226144,7.950967371291011,6.03146996406364,3.1992009219863684,2.099554661278187,6.959236546194569,2.380788012259604
2024-07-30,35.52951404920751,10.175232608046457,13.784601585556933,11.852925897302956,7.985985382948445,6.048636923772313,3.09600806766807,2.1069249010136994,7.031025095882286,2.389145488601328
2024-07-31,35.524065321648806,10.216865726270468,13.709363958705248,11.844895791304367,8.00322518910132,6.057969159180243,3.101992436859952,2.1095446643324647,7.039961585870909,2.39211616672622
2024-08-01,35.44479674774655,10.184300626621576,13.391097595239545,12.198865225570191,8.027008718205133,6.071669730478583,3.1336737283604696,2.1136610125926705,7.0381427192625186,2.3967838959227614
2024-08-02,35.57099832230205,10.263689022074086,13.262691508324195,12.159956094906509,8.023263986328521,6.069988772070348,3.107480820920166,2.113391692328028,7.03569053311091,2.392849247635182
2024-08-05,35.48565683656541,10.331822772043656,13.251071285780332,12.27513186857075,8.000683908790366,6.047097759961803,3.11170984823152,2.106208779995334,7.00590041407564,2.3847165259851875
2024-08-06,35.67620979545109,10.314763502757794,13.045404516454104,12.255974846881417,8.006771921267557,6.063756110878167,3.115591519201312,2.1107934688065395,7.0208268619216945,2.3899074563803238
2024-08-07,35.75531615111143,10.297287151895343,12.594389288663654,12.628616103564536,8.01542961526575,6.063826817640983,3.116244685549481,2.110209887124601,7.029433592533177,2.389246706651048
2024-08-08,35.96103762893397,10.447798338655433,12.250476265833056,12.617515753839918,8.009492000755868,6.054533024570306,3.1372642826902184,2.1078979272205833,7.027355745337946,2.3866290321627
2024-08-09,35.99457419690768,10.347209209895782,12.294958662345625,12.55823645188916,8.007927587970793,6.0571508531922715,3.2091391809200385,2.1095300283817373,7.0327968795236675,2.3884769489732514
2024-08-12,40.52271796766863,9.57286980789462,11.388977622124532,11.73291272790497,7.465298857349459,5.648479524644235,2.9238915677254904,1.966823555133419,6.551128225479654,2.2269001440749823
2024-08-13,40.529442815623895,9.607898245937323,11.428780609945829,11.705532010169323,7.463097126269856,5.642347536882454,2.88358629321504,1.9654019038419723,6.5486229528183015,2.225290505296006
2024-08-14,40.51960725843033,9.645471891681359,11.455159445014235,11.665695462079526,7.466399281952239,5.6399185815256425,2.87495624966915,1.9642411027600837,6.544574517472089,2.223976209415344
2024-08-15,40.34180754116845,9.76181309426602,11.45519193434624,11.719981690335812,7.464482077162758,5.6384874145593376,2.890360853977154,1.9636168349356782,6.540989165706177,2.2232693935423686
2024-08-16,40.24762129949315,9.75768586085658,11.412022294757374,11.792106126160567,7.478170993288254,5.649040783026369,2.9153480118803365,1.9673130804985273,6.553237149786057,2.227454400252789
2024-08-19,40.303040004674685,9.95104957099027,11.343076936049378,11.637869259010674,7.484750240528859,5.6482967943908875,2.9213497320191792,1.9668859401697305,6.516710743770348,2.2269707783959856
2024-08-20,40.40160748213778,9.8889128791419,11.623975866886518,11.419672580354144,7.449247216999663,5.632537351491444,2.9051447851291785,1.9615237634012912,6.496478523034657,2.2208995514234253
2024-08-21,40.31476779885761,9.929626253759807,11.776601495456456,11.34340102802434,7.430810823364937,5.618983691216132,2.9230472960759384,1.9571590340992846,6.489644912969538,2.215957666175957
2024-08-22,40.50129746377562,9.89213111819546,11.856637894562546,11.082930015520478,7.4235295175073865,5.617353633630961,2.98804287784768,1.9567584688673045,6.4658148766041075,2.2155041334884524
