date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-05-10,30.803920227918574,36.71915764667764,4.474169369605993,2.4353102535867803,1.3689886195161365,1.5639135002141562,5.386505969400325,0.5867434770539888,0.6566540959621473
2024-05-13,30.74701977011681,36.76030004026779,4.510696430581865,2.4204093225749626,1.3264502196768106,1.5634519669527285,5.386901569338692,0.5871390769923556,0.0
2024-05-14,30.72143764076909,36.89124361986721,4.511026097197171,2.422255455620674,1.3195931540784518,1.5676716996286415,5.379187370540539,0.5890511433611287,0.6588298956231651
2024-05-16,30.585310647043883,36.930144280473286,4.5567178900785414,2.414541256822521,1.3551331272747758,1.541850693851468,5.38334116989339,0.5841720774546043,0.0
2024-05-17,0.0,36.94886914642269,4.546498225004065,2.4150687234070096,1.3426454218203188,1.539938627482695,5.3816269034938005,0.5811391445937918,0.0
2024-05-20,30.490021105289678,36.972473276078574,4.624827012800701,2.41737638971415,1.4026678224690288,1.5317628954231135,5.374440171280137,0.5844358107468488,0.0
2024-05-21,30.377116355413197,37.10335092235494,4.629837945353348,2.403991925132738,1.399242058869418,1.526554162901283,5.363363373005865,0.5848314106852157,0.6586980289770428
2024-05-22,30.250981556797914,37.28092182275665,4.5381246929753,2.418497256206189,1.3176377035831046,1.533411228499642,5.363561172975047,0.5858204105311328,0.6618628284839776
2024-05-23,30.21449939641504,37.3183574449243,4.299907596755396,2.409464390946813,1.4332967520971436,1.5427078270512629,5.348923975255474,0.5870072103462333,0.6619287618070387
2024-05-24,30.35959312427659,37.361030810275935,4.115030558891956,2.4185631895292503,1.4297238912537835,1.5486418261267656,5.350110775070575,0.5876665435768447,0.0
2024-05-27,30.32927144393394,37.37679164368712,4.191183547027574,2.418431322883128,1.334543798815858,1.5444220934508526,5.349912975101391,0.5865456770848053,0.0
2024-05-28,30.729801942132625,37.223013178511955,4.237336873170372,2.4336619205102514,1.1243571999622293,1.5504879591724776,5.332902177751618,0.587336876961539,0.0
2024-05-29,30.77461959101685,37.25301284050478,4.165469551033729,2.442694785769628,1.1304889990069156,1.5491692927112548,5.335869177289369,0.5878643435460282,0.6602804287305101
2024-05-30,30.767498792126247,37.25354030708927,4.158810285404554,2.441178319339222,1.1472489200624425,1.549762692618805,5.335605443997124,0.5895126766225567,0.6596210954998987
2024-05-31,30.74443960138546,37.2860454353584,4.141931354700901,2.4502771179216594,1.145600586985914,1.548839626095949,5.336198843904675,0.5897764099148013,0.0
2024-06-03,30.730857336834866,37.28716630185045,4.146019220730692,2.447837584968397,1.0564293938784886,1.545608893265953,5.337517510365897,0.0,0.6598188954690821
2024-06-04,30.65754304199032,37.28512236883555,4.1239974908282715,2.4606945829653193,1.1262383436024868,1.5444880267739138,5.3394955100577315,0.5918203429296967,0.6575112291619423
2024-06-05,30.67828962142474,37.29613316785344,4.128151290181123,2.4541671839822667,1.095405680006113,1.5437627602202413,5.341341643103443,0.5879962101921504,0.0
2024-06-06,30.536258298619412,37.294551031833265,4.16032675183496,2.4547605838898168,1.1738298073878954,1.543169360312691,5.34173724304181,0.0,0.0
2024-06-07,30.526185005522127,37.29619929897647,4.150766419991093,2.47401311422367,1.2153105048586743,1.5421803604667736,5.338176843596509,0.5880621435152116,0.0
