date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,THE CORE SECURITIES COMPANY LTD,MERRILL LYNCH FAR EAST LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS
2024-06-25,41.520705067825695,12.189003796372075,9.545390662777464,10.42512971485405,9.337439666564306,5.8768924040218895,4.046416578433538,3.4187826378592656,2.7364214326767953,0.9038180386149199
2024-06-26,41.46662842663447,12.28153698088462,9.570859164633601,10.385592489812144,9.273092124354287,5.914554147433869,4.041155232755207,3.4166882842512556,2.739335075636159,0.9105580736043863
2024-06-27,41.44362861024863,12.37096622225385,9.464697537616189,10.397605680855353,9.273896252220828,5.8977079641891175,4.035395974142394,3.4092953291787667,2.7266793381711327,0.9801270911237422
2024-06-28,41.4252774347384,12.457290660479147,9.410852485888196,10.379615846849955,9.230630383355429,5.908146200144851,4.028273852625646,3.3907466351004736,2.7265312648143287,1.0426352360035789
2024-07-02,41.38618924398262,12.555533823373665,9.29499225220395,10.397526513032373,9.201611922764457,5.914535288627494,4.027482305643531,3.454628783347907,2.6975106300551657,1.069989236968835
2024-07-03,41.44827973134039,12.562633889731428,9.282150939923138,10.417004992611222,9.187179010712683,5.929859258179423,3.9403005648519454,3.4788521604715843,2.6757746156574234,1.0779648365207553
2024-07-04,41.599938244408854,12.766770038660184,9.072966426496814,10.411901257427731,9.181454729925049,5.863049175110806,3.9393092059230397,3.361205425756552,2.6574988727914026,1.1459066234995754
2024-07-05,41.64015716905753,12.724564126228103,9.095364285681969,10.437429976622429,9.126368649750841,5.926091712289854,3.930574284602981,3.339767035135239,2.6314489661958786,1.1482337944351784
2024-07-08,41.67279789060067,12.779785516256965,9.029253786866061,10.388080584324525,9.024377544496645,6.058279731324586,3.908466136853362,3.3380992156421025,2.630297264877513,1.1705623287575682
2024-07-09,41.875360144367214,12.933585400076153,8.851051247462523,10.34332688129472,8.973821046004266,6.028789740291539,3.8906926420760426,3.3236265788132457,2.619744715040829,1.160001604573469
2024-07-10,41.875306445686114,12.929615065671248,9.598078233331686,10.348580855267354,8.93569260967591,6.020083908614984,3.8893499022813054,2.655917738535787,2.6062990178254095,1.1410762231102076
2024-07-11,41.97188840388051,13.197034086841347,9.016721070978816,10.378906667499677,8.988303417222369,6.050420570068411,3.897987946839717,2.72884091259099,2.6109692476142947,1.1589276764638679
2024-07-12,41.99615709647843,13.138029773813379,9.122148895539382,10.370006068551474,8.937785080336843,6.05401019765393,3.8910858553459895,2.757945704352303,2.613613637264674,1.1192176906635998
2024-07-15,41.97178517662054,13.261386589870092,8.885002926380924,10.396793814352636,8.972095593109302,6.123983035662013,3.890744083030669,2.784413630329894,2.6019437843725113,1.1118513662714113
2024-07-16,41.984891985550874,13.246404495779387,8.910022835428771,10.388967342226115,8.89025049746784,6.202139495098303,3.8716204047005736,2.7993952910938704,2.60356643632676,1.1027412163275017
2024-07-17,41.94922398913696,13.35707705078166,8.835155442115267,10.401639236860682,8.867171825356449,6.254963219657355,3.8657907421636906,2.7800023019644384,2.596291994796381,1.0926841971671188
2024-07-18,41.91249006357608,13.43903647419096,8.768473223681589,10.431695870105004,8.86988069761014,6.25865779096703,3.8635078468993993,2.7753341008445047,2.6305199245730875,1.0504040075522076
2024-07-19,41.90604526652749,13.532940244350316,8.700103444161876,10.412683384725769,8.863673126484793,6.235191366651171,3.8582265866799146,2.8264010650840383,2.625674726787956,1.0390607885466732
2024-07-22,44.78514288062616,12.95022541195237,8.250157612063317,9.876076377181214,8.422787325280167,5.9381651843385805,3.665404572669093,2.6576874675397053,2.4746864046898325,0.9796667636595608
