date,SUCCESS SECURITIES LTD,GET NICE SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-05-10,0.0,0.0,52.29998718373109,15.946252300255766,10.183180546430918,0.0,5.687748442243059,3.957566657970804,4.215012194964101,7.710252674404256
2024-05-13,0.0,0.0,49.89291033534675,15.202576191812483,9.684880902695001,4.651047928609537,5.422492221051587,3.7729999199255633,4.0180930942292985,7.354999406329781
2024-05-14,0.0,0.0,49.89777959267906,15.186023763874312,9.676064331319166,4.645983909544351,5.468435450255103,3.7688919116184634,4.013718230683019,7.343102810026527
2024-05-16,0.0,0.0,49.90521823067282,15.184869067782932,9.675155783882627,4.64563064396645,5.466723566935018,3.7686053372770263,4.013413040540758,7.340384328942365
2024-05-17,0.0,0.0,49.918415146809345,15.181130631992717,9.672773810847698,4.6444869138631475,5.464513846623949,3.767677526242951,4.012424959123349,7.338577164496838
2024-05-20,0.0,0.0,49.970214755167156,15.196883868926486,9.682811106576377,4.6423885275478725,5.420461869341483,3.771587190035439,4.016588593742686,7.299064088662501
2024-05-21,0.0,0.0,49.98923274841195,15.205693657400735,9.688424330867672,4.688341722165229,5.423604166335623,3.773773617571701,4.018917051089872,7.2120127061572195
2024-05-22,0.0,0.0,50.02838101115247,15.20365466396217,9.684097239815761,4.687713043314753,5.422876893147191,3.7732675768860067,4.0283270534265965,7.17168251829505
2024-05-24,0.0,0.0,50.026649842796786,15.203128560872026,9.683762133974716,4.687550830980132,5.422689241404632,3.773137007771145,4.033810763671301,7.169271618529259
2024-05-28,0.0,0.0,50.02470242160116,15.202536738415548,9.683385167623934,4.687368355522102,5.422478148717051,3.772990128317773,4.037546504352908,7.16899253544952
2024-05-29,0.0,0.0,50.03572621220316,15.200104174549612,9.681835725365445,4.683591104236949,5.421610495861783,3.772386410687577,4.036900454953223,7.16784542214225
2024-05-31,0.0,0.0,50.05097943788625,15.19672578049308,9.679424409876747,4.679091208251699,5.420405481970714,3.771547955392636,4.036003208437858,7.165822517691021
2024-06-03,0.0,0.0,50.02245639799514,15.205535385624202,9.685035612459412,4.681371081839618,5.423547713569577,3.773734337426505,4.038342896281664,7.169976574803876
2024-06-04,0.0,0.0,50.00749222186083,15.214276181698827,9.688871532784795,4.6720285237112815,5.42666540218514,3.775903642317567,4.040664309559172,7.174098185882394
2024-06-05,0.0,0.0,50.021991348137874,15.213025000018721,9.677686870548598,4.671644308489474,5.426219127629966,3.7755931220268413,4.040332016054098,7.173508207094429
2024-06-06,0.0,0.0,50.05865799451066,15.237096911316508,9.693000091943773,4.722387656806152,5.434805156084038,3.7815673278622923,4.0467251241903135,7.025759737286263
2024-06-07,0.0,0.0,50.05844098465862,15.237030856806086,9.691224027205042,4.722367184730237,5.436949151230083,3.7815509343471803,4.046707581186652,7.025729279836101
2024-06-13,0.0,0.0,50.06289136501339,15.238385485145612,9.692085612827288,4.722787020620719,5.437432516097558,3.7818871281969644,4.047067348442016,7.017463523656449
2024-06-14,0.0,0.0,50.06419034423213,15.237989099639657,9.691833499356136,4.722664170052035,5.43729107595345,3.7817887526017127,4.04696207489843,7.0172809832664536
2024-06-17,0.0,0.0,50.07220047488117,15.235809347918849,9.69044710968163,4.721121653405809,5.436513286672867,3.7812477782981273,4.046383168292767,7.016277180848783
2024-06-18,0.0,0.0,50.087142944191044,15.23363021972362,9.689061116588721,4.712644948015218,5.43573571988162,3.7807069587421283,4.045804427285357,7.015273665572294
2024-06-19,0.0,0.0,50.093212361412434,15.233894323274589,9.68922909463529,4.705791900342646,5.435829958555202,3.780772504388082,4.045874568893126,7.015395288498633
2024-06-20,0.0,0.0,50.12387289728871,15.239526529873846,9.69269428547553,4.70753170446846,5.43783966905439,3.782170314521042,4.047370391363935,6.968994207954081
2024-06-21,0.0,0.0,50.13115959152663,15.237300098580873,9.691278223248919,4.706843953711968,5.437045223348901,3.7816177552058226,4.0467790874231,6.967976066953787
2024-06-24,0.0,0.0,50.13288905788021,15.236771664439953,9.690942126811283,4.706680718950887,5.436856664988618,3.7814866075670133,4.0466387439097,6.967734415452336
2024-06-25,0.0,0.0,50.13829873501173,15.23512232697795,9.689893109720007,4.706171234067709,5.436256437289001,3.781077272331093,4.046200706704542,6.966980177897963
2024-06-26,0.0,0.0,50.28671592617715,15.221398862951313,9.6854953303232,4.7019320182447055,5.4313595767285445,3.777671360857912,4.042555977856866,6.852870946860314
2024-06-27,0.0,0.0,50.30344548890441,15.2242338975986,9.687299285076953,4.702807768253028,5.432371184972999,3.7783749643368383,4.04330891695031,6.82815849390686
2024-06-28,0.0,0.0,50.30693193667346,15.22528906381618,9.687970695606637,4.696202879064537,5.432747693544419,3.7786368371933996,4.043589151936524,6.828631742164837
2024-07-02,0.0,0.0,50.318178000908965,15.224497675441494,9.678804038130005,4.695958777271258,5.4324653072232625,3.778440429148036,4.043378972055312,6.828276799821666
2024-07-03,0.0,0.0,50.322319495754144,15.225750745030819,9.679600663099825,4.709340989317339,5.432912432456336,3.778751417983121,4.04371176695837,6.807612489400053
2024-07-04,0.0,0.0,50.32253748805191,15.225816701775729,9.67964259436236,4.7093613898090805,5.432502775331638,3.7787677872346306,4.0437292839971,6.807641979437551
2024-07-09,0.0,0.0,50.32265498668376,15.225852252698246,9.679431704392332,4.709372385747437,5.432515459740562,3.778776610320015,4.043738725743922,6.807657874673732
2024-07-10,0.0,0.0,50.283228938762434,15.213923327630269,9.671848206694737,4.913019674130861,5.428259273040839,3.7758160704247765,4.040570597257365,6.673333912058717
2024-07-11,0.0,0.0,50.21205846911189,15.216360316985373,9.673397458036176,5.093036781638107,5.429128779859052,3.7764208863800235,4.041217821994996,6.558379485994388
2024-07-12,0.0,0.0,50.187940927207606,15.209051689959036,9.668751192265287,5.133862034722832,5.426521094676568,3.7793668854697713,4.039276769523981,6.5552294061749175
2024-07-15,0.0,0.0,50.1664502251523,15.20253910561359,9.66461098951377,5.174484141716744,5.424197433934804,3.7777485435694507,4.0375471330422075,6.55242242745713
2024-07-16,0.0,0.0,50.19597753321084,15.211487118746447,9.670299451517211,5.20782468095298,5.427390044691262,3.779972076319188,4.039923579800213,6.467125514761853
2024-07-17,0.0,0.0,50.20701168520235,15.24321881845007,9.690472037921435,5.319737500425284,5.382766125795867,3.7878572316545935,4.048351003158565,6.3205855973918394
2024-07-18,0.0,0.0,50.191676662338125,15.227382616757431,9.680317945425571,5.387861043425711,5.377173962418326,3.7839220213937006,4.04414516554827,6.30752058269286
2024-07-19,0.0,0.0,50.260531757274066,15.248272193384974,9.693504113318312,5.416943890069943,5.384550600305125,3.789112967927845,4.049693097353415,6.1573913803663265
2024-07-22,0.0,0.0,50.25747908421939,15.247346059338485,9.692915792929965,5.422688145720866,5.384223558947734,3.7888828286385476,4.049447131213269,6.1570173989917425
2024-07-24,0.0,0.0,50.25651981778992,15.247055032659876,9.692470506079372,5.424753624292386,5.384120790066308,3.788810510086784,4.049369839260676,6.156899879764673
2024-07-25,0.0,0.0,50.26126437684509,15.245467809959559,9.691461517184376,5.424622657087648,5.383560301583716,3.7884160938512608,4.048948298725991,6.156258944762353
2024-07-26,0.0,0.0,50.26614857922838,15.245502064026917,9.686487335140137,5.424634845325635,5.38357239756132,3.788424605801282,4.048957396049174,6.156272776867159
2024-07-30,0.0,0.0,50.26440439578316,15.244973060849516,9.675307796755588,5.435723780467059,5.383385593158807,3.788293151379814,4.048816901408939,6.1590953201971255
2024-07-31,0.0,0.0,50.264186381363274,15.244906938033619,9.675265831539013,5.435700203819114,5.383362243520009,3.788276720218565,4.048799340264456,6.159502341241939
2024-08-01,0.0,0.0,50.26091639199569,15.24391516462225,9.674636396971872,5.437515113604429,5.383012023242601,3.788030269902974,4.048535941376554,6.163438698283629
2024-08-02,0.0,0.0,50.26980387487174,15.24371682542478,9.6701735063885,5.437444365875107,5.382941984655195,3.7879809836877465,4.048483265711486,6.159455193385437
2024-08-05,0.0,0.0,50.28092539652934,15.24708929386007,9.648020254100066,5.440382516906859,5.3841328885626965,3.788819023809277,4.049378938478225,6.161251687753467
2024-08-07,0.0,31.31984069064087,34.48790960902071,10.48418676971663,6.634161075106136,3.7453841506462395,3.702231534736053,2.605263569766594,2.784429491697066,4.236593108669702
2024-08-08,0.0,31.34022017480158,34.51035052162162,10.491008717513932,6.638477852508844,3.7478212319113644,3.704640537057191,2.6069587868074136,2.786241290080179,4.1742808876978765
2024-08-12,0.0,31.35029331139276,34.5214425775381,10.494380658208712,6.6406115418637,3.7500266592162483,3.70583125460617,2.607796695788289,2.7871368226876214,4.1424804786983955
2024-08-14,0.0,31.437588213831624,34.337321060185985,10.523602264737724,6.659102326971306,3.761965652924805,3.716150143001009,2.6150581065788705,2.794897606122839,4.1543146256458305
2024-08-15,0.0,31.43749408725848,34.33721825158818,10.52357075625776,6.659082389103362,3.762253797050815,3.71613901655976,2.61505027689243,2.7948892379830137,4.154302187306196
2024-08-16,0.0,31.52518131374023,34.15166598507032,10.552923691632934,6.677656276194782,3.775750115595756,3.7259037947572904,2.6223443221892517,2.802684900223846,4.16588960059559
2024-08-19,0.0,31.525189453823643,34.15167480333554,10.552926416492095,6.677658000425282,3.775751090528163,3.7258789359256723,2.6223449993019803,2.8026856239021223,4.165890676265498
2024-08-20,0.0,31.52594668926958,34.1524951269925,10.553179897916928,6.677818397854176,3.7773430349003005,3.7259684315844277,2.6224079880617417,2.8027529444459476,4.162087488974402
2024-08-21,0.0,31.52765060203575,34.14743487246889,10.553750275648294,6.678179320243927,3.7790485244680156,3.72616981253706,2.6225497238355477,2.8029044274948007,4.162312441267708
2024-08-22,0.0,31.53446809535854,34.13319500953992,10.556032403262016,6.6796234000296,3.7798657004259475,3.7269755540792135,2.623116820174461,2.8035105234725846,4.163212493657716
2024-08-23,0.0,31.533994563057732,34.13268245387169,10.55587389028833,6.679523096532246,3.781310574696272,3.726919588546392,2.6230774305599156,2.8034684250048216,4.163149977442604
2024-08-27,0.0,31.533545953495008,34.13245693425427,10.555804146088049,6.679478963947726,3.782186565483951,3.726894964244423,2.6230600995042797,2.8034499020795427,4.163122470902752
2024-08-28,0.0,31.53343827647778,34.132340382783696,10.5557681013785,6.679797623808109,3.7821736505213095,3.7268822380849915,2.6230511425893828,2.8034403291909173,4.163108255165306
2024-08-29,0.0,31.538079377949895,34.12264595969752,10.557321702684042,6.680780758546333,3.782730312041798,3.727430761797817,2.6234372040905916,2.8038529404299677,4.1637209827620305
2024-08-30,0.0,31.54831356996691,34.10277090755143,10.560747582116836,6.682948689963056,3.782455490923765,3.728640323156618,2.6242885165554215,2.8047627982889693,4.165072121476986
2024-09-02,0.0,31.641801585034102,33.907294468277776,10.592042545852,6.702752461928075,3.7942668605686602,3.7392881031119636,2.6320651453705333,2.8130742316771533,4.177414598179742
2024-09-03,0.0,31.64161087734711,33.91010364655912,10.591978706758356,6.702712063899059,3.791833159995501,3.739265566121356,2.6320492817018817,2.813057277052158,4.177389420565456
2024-09-04,0.0,31.637701876303918,33.905914396174786,10.590670174902169,6.701884011605783,3.814867427629385,3.727654896133719,2.6317241186301352,2.812709752273057,4.176873346347045
2024-09-09,0.0,31.659833840572077,33.84731604479106,10.598078814594242,6.706572274301162,3.829898726111696,3.7302625547205475,2.6335651254259163,2.8146773664814906,4.179795253001814
2024-09-10,0.0,31.651149078601502,33.838031224009235,10.595171604394919,6.704732562060912,3.8562796111932722,3.7292392883781327,2.632842699453515,2.8139052587352857,4.1786486731732255
2024-09-11,0.0,31.27575063924153,34.60963896318104,10.469507576363469,6.625211084534989,3.823648470236844,3.685008647481638,2.601615869805066,2.780530936684204,4.129087812471224
2024-09-16,0.0,31.264482225936323,34.597169375458606,10.4657354930062,6.622824071746841,3.858300072742725,3.68368096710229,2.6006785275420294,2.779529132693506,4.127600133771483
2024-09-20,0.0,31.2675546242119,34.60056928090916,10.46676397342206,6.623474904634796,3.8491499037683714,3.684042966861932,2.60093409934922,2.7798022803648,4.127707966477751
2024-09-23,0.0,31.267182180138775,34.6001571355684,10.466639298363404,6.620120341243342,3.8535708741965684,3.6839990843138835,2.6009031182731,2.7797691686969306,4.1276587992056
2024-09-24,0.0,31.267461512361795,34.60046624365348,10.466732804378942,6.619583902264827,3.853605300916337,3.684031996126911,2.600926354010996,2.77979400237388,4.127397883912836
