date,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ENLIGHTEN SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA CITIC BANK INTERNATIONAL LTD,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-05-22,0.0,3.0842592592592593,1.498148148148148,0.0,0.6078703703703703,0.6287037037037038,0.44212962962962965,0.19722222222222224,0.3398148148148148,6.798148148148147
2024-05-23,0.0,3.0842592592592593,1.4995370370370371,0.0,0.6078703703703703,0.6300925925925926,0.44212962962962965,0.19722222222222224,0.3375,6.798611111111111
2024-06-05,0.0,3.0800925925925924,1.4995370370370371,0.0,0.6078703703703703,0.637037037037037,0.44212962962962965,0.19722222222222224,0.3375,6.801388888888889
2024-06-06,0.0,3.0800925925925924,1.4967592592592593,0.0,0.6078703703703703,0.6444444444444445,0.44212962962962965,0.19722222222222224,0.3375,6.806018518518518
2024-06-07,0.0,3.0800925925925924,1.4986111111111111,0.0,0.6078703703703703,0.6509259259259259,0.44212962962962965,0.19722222222222224,0.3282407407407407,6.805092592592593
2024-06-11,0.0,3.0800925925925924,1.4986111111111111,0.0,0.6171296296296296,0.600925925925926,0.44212962962962965,0.19722222222222224,0.3282407407407407,6.764351851851852
2024-06-12,0.0,3.0800925925925924,1.5004629629629629,0.0,0.6171296296296296,0.600925925925926,0.44212962962962965,0.19722222222222224,0.3282407407407407,6.766203703703703
2024-06-17,0.0,3.0800925925925924,1.5004629629629629,0.0,0.6171296296296296,0.6055555555555555,0.44212962962962965,0.19722222222222224,0.3282407407407407,6.770833333333333
2024-06-19,0.0,3.0800925925925924,1.5004629629629629,0.0,0.6217592592592592,0.6055555555555555,0.44212962962962965,0.19722222222222224,0.3282407407407407,6.775462962962962
2024-06-28,6.38611111111111,3.0800925925925924,1.5027777777777778,0.0,0.6217592592592592,0.6083333333333333,0.44212962962962965,0.19722222222222224,0.3282407407407407,13.166666666666666
2024-07-03,6.38611111111111,3.0800925925925924,1.5032407407407407,0.0,0.6217592592592592,0.6083333333333333,0.44212962962962965,0.19722222222222224,0.3282407407407407,13.16712962962963
2024-07-04,6.38611111111111,3.0800925925925924,1.5032407407407407,0.0,0.6217592592592592,0.6083333333333333,0.4425925925925926,0.19722222222222224,0.3282407407407407,13.167592592592591
2024-07-09,6.38611111111111,3.0800925925925924,1.5046296296296295,0.0,0.6199074074074074,0.6060185185185185,0.4472222222222222,0.19722222222222224,0.3282407407407407,13.169444444444444
2024-07-17,6.38611111111111,3.0800925925925924,1.5046296296296295,0.0,0.6171296296296296,0.6027777777777777,0.4472222222222222,0.19722222222222224,0.3282407407407407,13.163425925925926
2024-07-22,6.38611111111111,3.0800925925925924,1.5046296296296295,0.0,0.6171296296296296,0.6111111111111112,0.4472222222222222,0.19722222222222224,0.3282407407407407,13.171759259259257
2024-08-12,6.38611111111111,3.0800925925925924,1.5050925925925926,0.0,0.6171296296296296,0.6111111111111112,0.4472222222222222,0.19722222222222224,0.3282407407407407,13.17222222222222
2024-08-15,6.38611111111111,3.0800925925925924,1.5138888888888888,0.0,0.6171296296296296,0.6111111111111112,0.4472222222222222,0.19722222222222224,0.3282407407407407,13.18101851851852
2024-08-22,6.38611111111111,3.0800925925925924,1.5138888888888888,0.0,0.6171296296296296,0.6111111111111112,0.4476851851851852,0.19722222222222224,0.3282407407407407,13.18148148148148
