date,ABN AMRO CLEARING HONG KONG LTD,CITIBANK N.A.,CATHAY SECURITIES (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-23,25.11619766243364,66.14223760720328,0.0,0.0,1.8572178681861495,1.2964871680182546,0.0,5.033611429830874,0.5542482643278038
2024-04-24,27.739376841420466,63.82527539205445,0.0,0.0,1.7921595366032166,1.2510712297404654,0.0,4.857284049467356,0.5348329507140489
2024-04-29,22.247374475822912,69.8636830321248,0.0,0.0,1.4318229611212132,1.2369960787224303,0.0,4.691307628554817,0.528815823653839
2024-04-30,22.8952242739025,68.97019228933148,0.0,0.0,1.6167325453353447,1.273017752232555,0.0,4.700618050118709,0.5442150890794172
2024-05-02,22.900083920351957,68.89225135416932,0.0,0.0,1.6148310149276504,1.2715204841950003,0.0,4.777738219362714,0.5435750069933626
2024-05-06,21.72600894581681,68.86118735386805,0.0,0.0,1.6138050218562567,1.270712615634848,0.0,5.943758259632002,0.5845278031920301
2024-05-07,21.722832164277726,68.86436413540714,0.0,0.0,1.6138050218562567,1.270712615634848,0.0,5.943758259632002,0.5845278031920301
2024-05-08,21.940019815562838,68.84129766532023,0.0,0.0,1.4226557935116735,1.270228387063994,0.0,5.941493280491832,0.5843050580494373
2024-05-10,21.370720098265007,69.3433645529454,0.0,0.0,1.4330313731511337,1.2794922974563694,0.0,5.9848252213521675,0.5885664568299299
2024-05-13,26.36387366222918,64.61510733241353,0.0,0.0,1.3921517445401548,1.2429926290537097,0.0,5.814098022398728,0.5717766093647065
2024-05-14,26.51002964855913,64.48685663246951,0.0,0.0,1.3893885449876568,1.240525486596122,0.0,5.802557963553361,0.5706417238342162
2024-05-16,31.6875707108186,59.54428778238707,0.0,0.0,1.3625138380311674,1.2165302125278281,0.0,5.629493558472524,0.559603897762801
2024-05-20,27.32572261355356,62.914608803605645,0.0,0.0,1.5113486087496288,1.3494184006693115,0.0,6.278169109113972,0.6207324643078833
2024-05-21,27.282839450070203,63.245318339358505,0.0,0.0,1.5192929861567992,1.3565115947828565,0.0,5.972042296031526,0.6239953336001139
2024-05-23,26.85214701872664,63.25210089733242,0.0,0.0,1.5192929861567992,1.3565115947828565,0.0,6.395952169401167,0.6239953336001139
2024-05-24,22.541948802918295,68.87955022999603,0.0,0.0,1.4965609163763183,0.16702688798842838,0.0,6.300254214923519,0.6146589477974165
2024-05-27,25.543219586623145,66.46334259374905,0.0,0.0,0.8371505824610203,0.16878035936714117,0.0,6.366395155328565,0.6211117224710795
2024-05-28,25.974873215836947,67.61123872505091,0.0,0.0,0.8515226117022555,0.1716779459077128,0.0,4.758912660561799,0.631774840940383
2024-05-29,14.805417429102016,78.84114361901135,0.0,0.0,0.8434972484303468,0.17005992911902154,0.0,4.714061235179277,0.6258205391579993
2024-05-30,17.666117555383913,75.94960935630942,0.0,0.0,0.8475908596895356,0.17088525396966445,0.0,4.736939240039098,0.6288577346083651
2024-05-31,17.658678623668848,75.95726647619307,0.0,0.0,0.847561892523684,0.17087941381525887,0.0,4.736777350958976,0.6288362428401526
2024-06-04,14.18338303986055,75.67784723073362,0.0,0.0,1.1166945840312674,0.17022783293159566,0.0,8.225408887254702,0.626438425188272
2024-06-05,8.033014433633454,85.18626615850864,0.0,0.0,1.1131511340227178,0.16968767286931674,0.0,4.8734299648067765,0.6244506361590856
2024-06-06,18.179767004336732,75.19070671811905,0.0,0.0,1.0883306401574098,0.16590406099960517,0.0,4.76476463190866,0.6105269444785469
2024-06-07,33.31243011523314,60.05826357299039,0.0,0.0,1.088294529661003,0.16589855635076264,0.0,4.7646065383939025,0.6105066873708065
2024-06-12,32.458607630242724,60.827208909230826,0.0,0.0,1.1022283158421797,0.1680226091222835,0.0,4.8256093339919826,0.6183232015700033
2024-06-13,33.497601864407365,59.47965833070342,0.0,0.0,1.137510447409216,0.17340098283677072,0.0,5.073712757803911,0.6381156168393162
2024-06-14,30.295188996596266,62.52911085013635,0.0,0.0,1.0881320620766073,0.16587378995070232,0.0,5.311278754221488,0.6104155470185845
2024-06-17,30.132632682444584,62.52579337433733,0.0,0.0,1.0881320620766073,0.16587378995070232,0.0,5.47715254417219,0.6104155470185845
2024-06-18,28.57104095725197,63.923295030592456,0.0,0.0,1.1124526868445686,0.16958120226289156,0.0,5.599571298720679,0.624058824327441
2024-06-19,10.441745248581451,82.04359386195163,0.0,0.0,1.113786159848688,0.16978447558669024,0.0,5.606283383872512,0.6248068701590201
2024-06-20,3.5298857823558265,90.00887580874968,0.0,0.0,0.9576530493074534,0.1459836965407703,0.0,4.820381659776237,0.5372200032700348
2024-06-25,3.5298857823558265,90.00887580874968,0.0,0.0,0.9576530493074534,0.1459836965407703,0.0,4.820381659776237,0.5372200032700348
2024-06-26,3.1180601997251594,90.63735407901531,0.0,0.0,0.9255418511401378,0.14108869682014294,0.0,4.658748769001121,0.519206404298126
2024-06-27,3.401542370163212,90.37214392828908,0.0,0.0,0.9228336620459335,0.14067586311675814,0.0,4.645117000115354,0.51768717626967
2024-06-28,4.347613416314915,89.34244864723333,0.0,0.0,0.9437572472212391,0.14386543402762791,0.0,4.692890457981223,0.5294247972216708
2024-07-03,5.201367640307177,88.54501435794192,0.0,0.0,0.9353336546166414,0.14258134978912218,0.0,4.651003630121166,0.5246993672239696
2024-07-04,5.185145044307606,88.56016679168437,0.0,0.0,0.9354937153646286,0.1426057492933885,0.0,4.651799541950333,0.5247891573996698
2024-07-05,5.807797019116472,87.72369162338103,0.0,0.0,0.9674745669223985,0.14748087910402416,0.0,4.810826276373268,0.5427296351028089
2024-07-09,11.87876845415757,81.84560176507453,0.0,0.0,0.9386258860428048,0.1430832143357934,0.0,4.667374451633581,0.5265462287557198
2024-07-10,37.79085008441075,39.32911803873457,0.0,0.0,3.439344846749924,0.5242903729801713,0.0,16.98700808455755,1.9293885725670306
2024-07-11,45.288969632136634,34.58874738327324,0.0,0.0,3.0247978088659777,0.46109722696127703,0.0,14.939550153545378,1.6968377952174996
2024-07-12,39.86783783344969,42.55654235196701,0.0,0.0,2.6627266970823658,0.40590345992109234,0.0,13.013264925070223,1.49372473250962
2024-07-15,39.70666709788005,42.38450219110299,0.0,0.0,2.651962290389871,0.8085250885334972,0.0,12.960657169191961,1.4876861629016347
2024-07-17,32.12764704727886,51.20339659424699,0.0,2.178478205404981,2.1457683224409423,0.6541976592807751,0.0,10.486788478270824,1.2037236930766262
2024-07-18,35.29836485973397,48.717469920763854,0.0,2.0727130132765668,2.0415911962604025,0.6224363403232934,0.0,9.977654535382394,1.2697701342595185
2024-07-19,61.88184728957261,22.214171141209768,0.0,2.062315367036397,2.0313496708346492,0.6193139240349541,0.0,9.927602202280314,1.2634004050313064
2024-07-22,69.68520273241303,13.791501774334392,0.0,2.062315367036397,2.0313496708346492,1.2386278480699082,0.0,9.927602202280314,1.2634004050313064
2024-07-24,61.330912080293984,22.301090177360873,0.0,2.0429322519493747,2.012257593511696,1.226986337507132,0.0,9.834295495119662,1.2515260642572745
2024-07-25,61.0239224519445,22.189462889373157,0.0,2.0327064295786257,2.502731640021731,1.220844702449625,0.0,9.785070290133744,1.2452615964986173
2024-07-26,61.54037753304748,21.5578130837796,0.0,1.9748429910865193,2.431488367403823,1.779137829807675,0.0,9.506526470605678,1.209813724269219
2024-07-29,61.58054963770911,21.5718855148922,0.0,1.9761321219386272,2.4330755855700814,1.780299208953718,0.0,9.512732106509366,1.145325824426892
2024-07-31,51.541220062185225,34.357833252207776,0.0,1.653968033218433,2.036417097956629,1.4900612911877775,0.0,7.961894165913358,0.9586060973308035
2024-08-01,37.59259022349585,44.247572505021296,0.0,2.1300548824951706,2.6225900955646244,1.9189683626082619,0.0,10.253687617536812,1.2345363132779819
2024-08-02,34.25963169584303,49.1905819532129,0.0,1.9412042461656847,2.3900712940778694,1.748832654203319,0.0,9.344595815626402,1.1250823408708022
2024-08-05,20.662290791667544,59.364864959934714,0.0,2.3427112133555648,2.884419211638983,2.1105506426626706,0.0,11.277375600627536,1.3577875801129848
2024-08-06,28.32664942196348,53.62996765029268,0.0,2.1163953909611486,2.605772102985198,1.906662514379413,0.0,10.187933368500664,1.2266195509174225
2024-08-07,60.340195824352264,22.188580494680885,0.0,2.104890552012288,2.5916069859610755,1.896297794605665,0.0,9.65847676719152,1.219951581196311
2024-08-08,5.3246694643743515,52.79996390054601,0.0,5.008799241911466,6.467818840906698,4.512431749469789,0.0,22.983319043966127,2.902997758825564
2024-08-09,9.702531380878126,73.66455768047365,0.0,1.989496890290897,2.5690200084837405,1.7923395408026097,0.0,9.128982727821292,1.1530717712496787
2024-08-12,17.01025782548192,66.64298422279504,0.0,1.9552695394841142,2.52482252846297,1.7615040896253282,0.0,8.97192749649167,1.1332342976589609
2024-08-13,21.17229683164638,62.1439572359156,0.0,1.995577369073944,2.5768716777831715,1.797817449616166,0.0,9.156883543378338,1.1565958925864002
2024-08-14,7.7689508410520345,72.71050841753203,0.0,2.3348922654064324,3.0150260484227207,2.1035065454112005,0.0,10.713860004627715,1.3532558775478722
2024-08-15,6.543563364570974,73.67654477118842,0.0,2.36591378979602,3.055083872709575,2.131453864681099,0.0,10.856205017442397,1.371235319611507
2024-08-16,34.97792870948447,51.26026327366917,0.0,1.646078329601234,2.1255666117973893,1.4829534500912016,0.0,7.553176239131187,0.9540333862253397
2024-08-19,34.98756975025824,51.25266274236516,0.0,1.645834260041813,2.12525144690084,1.4827335676052371,0.0,7.552056304336007,0.9538919284927024
2024-08-21,34.488941127252986,51.645757486714906,0.0,1.6584573856137537,2.141551579020763,1.4941057528051835,0.0,7.609978634287735,0.9612080343046682
2024-08-22,34.98756975025824,51.25266274236516,0.0,1.645834260041813,2.12525144690084,1.4827335676052371,0.0,7.552056304336007,0.9538919284927024
2024-08-23,30.917389448403,56.02328537721467,0.0,1.562052903401335,2.0170653106984204,1.4072548679291306,0.0,7.167618127319039,0.9053339650344074
2024-08-26,31.590237678050492,55.21518624509364,0.0,1.5395213152042755,1.987970467080596,1.3869561398236716,0.0,7.3878530381274246,0.8922751166198953
2024-08-27,31.629719808731156,55.28419532381926,0.0,1.5414454407006402,1.9904550735774031,1.388689586216793,0.0,7.2721044664886065,0.8933903004661369
2024-08-28,27.820809163811933,58.36407973376468,0.0,1.6273194188563804,2.1013433937184494,1.4660535305012439,0.0,7.677233654724846,0.9431611046224667
2024-08-29,23.20466598922591,63.678039319404036,0.0,1.5451217305363383,1.9952022346265026,1.392001559041746,0.0,7.289448164181945,0.8955210029835233
2024-08-30,23.357583110670674,63.55124173987136,0.0,1.542045038828972,1.9912293294187926,1.3892297647107854,0.0,7.274933201202146,0.893737815297272
2024-09-02,17.693065703150662,69.75844038244719,0.0,1.4781211437905597,1.9086849604502722,1.3316406700815853,0.0,6.973358308993902,0.8566888310858198
2024-09-04,37.04668838219327,1.9109663409337678,0.0,7.231270358306189,9.337676438653638,6.514657980456026,0.0,33.76764386536373,4.191096634093377
2024-09-10,36.15943624752257,1.9378991411583353,0.0,7.333186522792337,9.46927989429641,6.606474344857961,0.0,34.24355868751376,4.250165161858622
2024-09-11,21.361951351625844,31.056079354063343,0.0,5.636711410532017,7.278636355942244,5.078118387866683,0.0,26.321580310442304,3.266922829527566
2024-09-12,46.28144470326517,31.061442607623302,0.0,2.684033626991867,3.465869248067576,2.418048312605286,0.0,12.533550420337397,1.5556110811094006
2024-09-16,36.29496256785845,44.636982685096186,0.0,2.2540512001299633,2.910636684852505,2.0306767568738406,0.0,10.566288058266885,1.3064020469221709
2024-09-17,36.73798676646057,44.70658422822432,0.0,2.2575658965180603,2.372817008352316,2.0338431500162706,0.0,10.58276385725133,1.3084390931771341
2024-09-19,36.49257489757306,44.880014156015626,0.0,2.2663236555188044,2.3820218601548997,2.0417330229899138,0.0,10.623817496290853,1.3135149114568445
2024-09-24,36.514178413977035,44.8647471833669,0.0,2.2655527132204867,2.381211560441953,2.0410384803788166,0.0,10.62020355957111,1.3130680890437054
2024-09-26,36.0683161714008,48.46333826903731,0.0,1.8819726237976286,1.978049304291802,1.695470832250116,0.0,8.822099897141436,1.090752902080908
2024-09-27,32.154880138012004,51.3663428016916,0.0,1.9947047477567057,2.0965365216662075,1.7970313042853205,0.0,9.434414347497935,1.156090139090223
2024-09-30,31.946981349740433,51.52374543357047,0.0,2.0008171505479715,2.1029609690444144,1.802537973466641,0.0,9.463324360699865,1.1596327629302057
2024-10-02,31.530195929598175,50.85155842307509,0.0,1.974714170501447,2.07552540443095,1.779021775226529,1.5418188718629915,9.339864319939275,0.9073011053655297
2024-10-04,56.91729564112692,24.955429108261896,0.0,1.777497838178305,2.9358072402344377,1.6013494037642386,1.3878361499290068,9.608096422585433,0.8166881959197618
2024-10-07,47.68635701215169,33.6149370500641,0.0,1.8243976200650867,3.013269342449843,1.698388174835366,1.4244545982490167,9.899959457830665,0.838236744354229
2024-10-08,48.183768666673785,22.926251294258297,0.0,1.7772701557379675,2.935431188155802,1.6545157605969065,1.38765837985547,20.31852096965298,0.8165835850687959
2024-10-09,42.65607613816615,25.424370842112737,0.0,1.9709273420298774,3.1369113852127177,1.8347972253130993,1.5388621889722767,22.532493666990224,0.9055612112029167
2024-10-10,53.72769241369806,16.454213463791085,0.0,1.9120788258802452,1.8948528905119548,1.7800133213900182,1.4929143985851765,21.85971198236064,0.8785227037828154
2024-10-14,49.71678031532994,23.61572835650117,0.0,1.7163267515037186,1.7008643483370185,1.5977816605590174,1.3400749411140147,19.523861065153415,0.7885825615017087
2024-10-16,54.13920911774112,18.987779752449555,0.0,1.7457496500636962,1.5203225180734894,1.6251723469061439,1.3630477748245076,19.816617649371686,0.8021011905698063
2024-10-17,44.79781448931728,28.78018607767841,0.0,1.71645060694312,1.4948068348753898,1.5978969614185201,1.3401716450606944,19.484033916651633,0.7886394680549471
2024-10-18,43.88378003091514,29.256726662998766,0.0,1.7448714925725064,1.5195577562943752,1.6243548429353665,1.362362126332888,19.80664937514737,0.801697712803584
2024-10-21,44.8176093492937,44.21780636110925,0.0,1.717406664363038,1.4956394374332764,1.598786984842468,1.3409181163194892,4.022754348958467,0.7890787376803148
2024-10-23,41.95891443853168,46.50848671255838,0.0,1.8063760191378218,1.5731202569068115,1.6816113091072813,1.410383678606107,4.231151035818321,0.8299565493335936
2024-10-24,41.48892323544565,47.557959814528594,0.0,1.7156105100463677,1.4940752189592994,1.5971148892323546,1.3395157135497167,4.01854714064915,0.7882534775888718
2024-10-25,50.11341297444427,39.170321084732095,0.0,1.678512021775291,1.461767226170674,1.5625787590100308,1.3105499269116387,3.931649780734916,0.7712082262210797
2024-10-30,50.12604618332157,39.18019562367652,0.0,1.6789351618432993,1.436926489865887,1.5629726731874558,1.310880306544318,3.9326409196329535,0.7714026419280025
2024-10-31,49.58976711002395,39.601488049737554,0.0,1.696988228099679,1.4523773123375632,1.579778830963665,1.324975793711461,3.9749273811343833,0.7796972939917444
2024-11-01,49.53927607799216,39.561166827877614,0.10181744132769943,1.6952603981061958,1.4508985389197169,1.5781703405793415,1.3236267372600927,3.9708802117802784,0.7789034261569007
2024-11-04,47.89465384008832,40.85054933501551,0.10513588813541504,1.7505125374546602,1.4981864059296641,1.629606266098933,1.3667665457603955,4.100299637281186,0.8042895442359249
2024-11-06,49.50636132315522,39.5470737913486,0.15267175572519084,1.6946564885496185,1.450381679389313,1.5776081424936386,1.3231552162849873,3.969465648854962,0.7786259541984732
2024-11-07,50.270378529941915,38.909473262567595,0.2002803925495694,1.667334267975165,1.426997796915682,1.5521730422591629,1.301822551572201,3.905467654716603,0.7660725015021029
2024-11-08,40.40919181616368,46.625067498650026,0.23999520009599806,1.9979600407991842,1.7099658006839862,1.859962800743985,1.5599688006239876,4.679906401871962,0.9179816403671927
2024-11-11,52.22111378440233,35.09770553371281,0.23472800891966433,1.9541106742562055,1.6724370635526085,1.8191420691273985,1.5257320579778182,4.577196173933454,0.8978346341177161
2024-11-12,46.637829335430595,39.199108664307246,0.26215755669157165,2.182461659457334,1.8678725914274479,2.0317210643596804,1.7040241184952156,5.112072355485647,1.0027526543452614
2024-11-14,45.53846153846154,40.0066889632107,0.26755852842809363,2.2274247491638794,1.906354515050167,2.0735785953177257,1.7391304347826086,5.217391304347826,1.0234113712374582
2024-11-15,49.61010025993316,37.01571976729793,0.24755539051862854,2.0608986260675826,1.7638321574452283,1.9185542765193713,1.6091100383710855,4.827330115113257,0.9468993687337541
2024-11-18,47.60617760617761,38.48777348777349,0.2574002574002574,2.142857142857143,1.833976833976834,1.9948519948519947,1.673101673101673,5.019305019305019,0.9845559845559846
2024-11-19,39.311034357389566,48.41278858389384,0.22723141247045991,1.891701508816579,1.6190238138520268,1.7610434466460643,1.4770041810579895,4.431012543173969,0.8691601526995092
2024-11-20,40.287160279134056,42.14991193454172,0.22295052727799702,1.856063139589325,1.5885225068557287,1.7278665864044769,1.4491784273069805,9.865560832051369,0.8527857668383385
2024-11-21,30.87531467348584,53.44822439577715,0.19900299499507468,1.6566999333339965,1.417896339339907,1.5422732112118287,1.2935194674679855,8.805882528532054,0.7611864558561606
2024-11-25,32.15788908311442,52.45651897930684,0.19531059266999345,1.6259606839776957,1.3915879727737035,1.5136570931924493,1.2695188523549574,8.64249372564721,0.7470630169627249
2024-11-26,32.165741970774405,52.46932874892553,0.19535828709853872,1.6263577400953348,1.3675080096897712,1.514026725013675,1.2698288661405015,8.644604204110339,0.7472454481519106
2024-11-27,42.11099867673387,42.43792325056434,0.3405464310734024,1.6200280221063283,1.3621857242936095,1.5081341947536389,1.2648867439869231,8.610959757141746,0.7443371993461508
2024-11-28,41.14177312742686,43.09413008467459,0.41991483139184477,1.6450781041586389,1.3832488563496064,1.5314540909584926,1.2844453666103488,8.744108841924298,0.7558466965053205
2024-11-29,44.99351634985575,38.96824519254933,0.42721725756677154,1.6736864325851166,1.4073039072787767,1.5580864687729314,1.3067821996160072,8.896171128155125,0.7689910636201888
2024-12-02,62.848402447314754,0.9970541581690461,0.9630636755041921,3.7729435757987764,3.1724450487196916,3.51234987536823,2.9458418309539995,20.054384772263766,1.733514615907546
2024-12-06,49.46696366711117,26.760584365757538,0.6332367336904292,2.480798027281329,2.0859562992155314,2.309451616988624,1.9369594207001364,13.186223748612466,1.1398261206427724
2024-12-11,47.077732092282965,28.025840478735443,0.6631765375943076,2.598091611987111,2.184581535604778,2.4186438429910044,2.0285399973472935,13.809676135787347,1.1937177676697537
2024-12-12,42.480588021939795,36.86018194334441,0.6291775539057122,2.464895593536496,2.0725848834541107,2.2946475495384795,1.9245431060645315,10.140861751186184,1.132519597030282
2024-12-13,44.36137796621263,36.214156370221154,0.6181503487095202,1.9853534729141062,2.036259972219596,2.2544306835288386,1.4544714087282828,9.963129149788738,1.1126706276771365
2024-12-19,44.55893968709464,36.085567077545164,0.6159554193207099,1.978303876171221,2.0290296165858677,2.246425646934354,1.4493068689899056,9.927752052580853,1.1087197547772776
2024-12-20,44.25191457114335,36.285404081989554,0.6193664973731573,1.989259456269082,2.0402661089939302,2.25886604924328,1.4573329349956645,9.9827306047203,1.1148596952716834
2024-12-23,72.60204410050281,7.650714862999493,1.251636067144911,1.952552264746061,2.0026177074318574,2.217183890370985,1.4304412195941838,9.79852235422016,1.0942875329895507
