date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-05-21,2.2983403048422897,29.661413290389554,10.78888286876075,19.604941441519532,15.42748846076574,0.0,9.883849722969847,7.240265166327213,5.094818744425076,0.0
2024-05-22,2.2982269548929315,29.659950443618214,10.788350780747399,19.6039745615867,15.426727605190058,0.0,9.888294087039329,7.239908089662711,5.0945674772626575,0.0
2024-05-24,2.298113616123447,29.658487741129637,10.787818745214677,19.60300777701867,15.42596682465869,0.0,9.892738012754581,7.23955104821721,5.094316234883092,0.0
2024-05-27,2.2974338181912928,29.649714554940847,10.784627633676939,19.597209071481522,15.421403716779558,0.0,9.919392365237943,7.237409538851542,5.092809300840355,0.0
2024-05-28,2.2973205576346336,29.64825286183409,10.784095965291332,19.59624295407225,15.420643461247666,0.0,9.923833224288662,7.237052743793222,5.092558231838146,0.0
2024-05-29,3.744627024827533,29.199348473752433,10.62434710351521,19.30109960656889,15.192211680900176,0.0,9.79139829059962,7.1298475647818655,5.0171202550542695,0.0
2024-05-31,0.481875,3.698125,1.3671875,2.4837499999999997,2.0181253125,0.0,1.26,0.9175000000000001,0.63625,0.0
2024-06-04,3.746082556031325,28.74911865633898,10.628476772138164,19.308601916560946,15.688848828101722,0.0,9.800062925441223,7.132618926399463,4.946189418988183,0.0
2024-06-05,3.7459005527535396,28.74772188150803,10.627960388000476,19.307663808874924,15.688086585981134,0.0,9.804445285935982,7.132272388381578,4.945949108564336,0.0
2024-06-06,3.745354649016185,28.743532371243536,10.626411536605582,19.30485003267227,15.685800303956663,0.0,9.817589812790803,7.131232976336912,4.945228317378049,0.0
2024-06-11,3.7451727164604787,28.742136139165563,10.625895353122305,19.303912289512244,15.685038358024958,0.0,9.82197047040608,7.130886572975334,4.944988100333032,0.0
2024-06-12,3.7451727164604787,28.737278587004138,10.625895353122305,19.303912289512244,15.685038358024958,0.0,9.826828022567508,7.130886572975334,4.944988100333032,0.0
2024-06-19,3.7459005527535396,28.742863385330658,10.627960388000476,19.307663808874924,15.688086585981134,0.0,9.809303782113354,7.132272388381578,4.945949108564336,0.0
2024-06-21,3.745354649016185,28.738674583112516,10.626411536605582,19.30485003267227,15.685800303956663,0.0,9.822447600921825,7.131232976336912,4.945228317378049,0.0
2024-06-25,3.745354649016185,28.694954489933338,10.626411536605582,19.30485003267227,15.685800303956663,0.0,9.866167694101001,7.131232976336912,4.945228317378049,0.0
2024-06-27,3.744445162952693,28.6879864819216,10.62383112056941,19.30016222772244,15.681991314392771,0.0,9.888054930961975,7.129501295998122,4.944027465480987,0.0
2024-06-28,3.739904350127226,28.653197141636216,10.644902848708426,19.276757311810112,15.740585585103792,0.0,9.88576532497962,7.1208554941462605,4.9380319434883475,0.0
2024-07-02,3.7341081551251203,28.608789717670668,10.613875514859535,19.246881723044396,15.885702484908522,0.0,9.87044412470168,7.10981941857805,4.930378861112026,0.0
2024-07-03,3.733565682826913,28.60463357776728,10.61233358484459,19.244085633662973,15.88339469060326,0.0,9.883537689558661,7.108786540064731,4.929662600671591,0.0
2024-07-04,3.73302336812106,28.600478645254345,10.615633897023896,19.241290356566918,15.881087566729912,0.0,9.891785656383043,7.107753961610527,4.928946548310297,0.0
2024-07-08,3.7308556838485476,28.583870978590625,10.609469632734033,19.230117363961256,15.871865769716054,0.0,9.944109507534066,7.1036266457712935,4.926084417844126,0.0
