date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-12-11,93.08113736086665,4.955502119536924,0.0,0.7461761570688416,0.7189072609633357,0.49827710156424304
2024-12-12,93.08113736086665,4.955502119536924,0.0,0.7461761570688416,0.7189072609633357,0.49827710156424304
2024-12-13,93.07882994546355,4.95785820525533,0.0,0.7461576598909271,0.7188894397620228,0.4982647496281607
2024-12-17,97.52120688779398,0.46731345557982423,0.0,0.7644638593996038,0.7365266419464621,0.510489155280134
2025-01-03,94.89891750284217,3.143690376155405,0.0,0.7439078641688498,0.7167218624882606,0.49676239434531166
2025-01-06,96.7381156150315,0.5290593635727068,1.1923286392281958,0.5854664280712675,0.5640706449856064,0.3909593091107134
2025-01-10,96.7939894471209,0.5199969411944636,1.1719048711478168,0.5754377915424027,0.5544085034793913,0.38426244551502636
2025-01-17,96.6980446318238,0.7487097477647743,1.1139783383005015,0.5469942574689249,0.5270044341062732,0.3652685905357273
2025-01-24,95.71012303043385,1.7627167422116699,1.1025973091589323,0.5414058565364415,0.5216202604503921,0.36153680120872006
2025-02-03,96.56467770034844,0.8855981416957027,1.1124419279907085,0.546239837398374,0.5262775842044135,0.36476480836236935
2025-02-04,94.61739023920765,2.9240380072444747,1.0726722312632335,0.5267118133935289,0.5074632089173535,0.3517244999737519
2025-02-05,94.88471259822212,2.6994962086693377,1.054007118416754,0.5175467253563506,0.49863305765229804,0.3456042916831445
2025-02-06,96.95573900773636,0.7655254066853723,0.994209903174011,0.488184634348087,0.47034399987024994,0.32599704818593184
2025-02-07,96.98328511732562,0.7585985213757634,0.9852137576342013,0.4837672774027644,0.46608807457409196,0.32304725168756027
2025-02-11,96.98570740324394,0.757989400995664,0.98442267544564,0.48337883410952304,0.4657138268829292,0.3227878593223061
2025-02-12,95.66904810936683,2.105279832718171,0.9710583427059737,0.4768165761084797,0.45939138561946546,0.3184057534810778
2025-02-17,95.72725709909825,2.2066982355791023,0.8282932470658102,0.47040805163548843,0.45321705971525467,0.3141263069060903
2025-02-18,95.52720637544641,2.4110665772523823,0.8265622806880741,0.46942499337190624,0.45226992716894626,0.31346984607226963
2025-02-19,94.30647719049745,3.658142291881572,0.8159997536604516,0.46342627519206786,0.4464904312481717,0.3094640575202845
2025-02-20,93.81394351528517,4.161306132451142,0.8117380383507934,0.46100594253507315,0.4441585492862832,0.3078478220915273
2025-02-27,93.76942271481714,4.206787808275799,0.8113528160066132,0.4607871653169634,0.44394776724890156,0.30770172833458354
2025-02-28,92.21238671604493,5.797428717670792,0.7978803480564839,0.4531358203113239,0.4365760395026044,0.30259235841387405
2025-03-11,92.20683426162879,5.803101008580461,0.7978323046816197,0.45310853530031614,0.4365497516182448,0.30257413819057655
2025-03-18,93.50143007677254,4.506999849465603,0.7978323046816197,0.45310853530031614,0.4365497516182448,0.3040794821616739
2025-03-21,95.93844601412714,2.098296432599276,0.786490176292515,0.4466670623849944,0.4303436813676026,0.299756633228468
2025-03-31,94.53559103936364,3.52985903959759,0.7749897642861321,0.44013569632099203,0.424051003099959,0.2953734573316956
2025-04-01,97.3835632945713,0.6236066759052841,0.7983370488642526,0.45339519190215094,0.43682593239742123,0.30427185635958304
2025-04-09,91.1201347451984,7.152463147449373,0.6920053793625716,0.39300682865685677,0.37864445285876563,0.26374544647403675
2025-04-10,92.03648626495865,6.414369686892579,0.6205943654715347,0.35245076227723005,0.3395705018617831,0.23652841853820752
2025-04-11,96.75598884341683,1.519693454630764,0.6907697521048927,0.3923050856293825,0.37796835492531866,0.26327450929280816
2025-04-15,96.75729218257175,1.518390115475849,0.6907697521048927,0.3923050856293825,0.37796835492531866,0.26327450929280816
2025-04-17,96.7585532746823,1.5171065493646139,0.6907787552948843,0.39231019876181167,0.37797328119908763,0.26327794069729554
2025-04-22,94.30041282946966,4.0190536678310576,0.6732295966973643,0.3823436011432201,0.3683709114004446,0.2565893934582407
