date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,INTERACTIVE BROKERS HONG KONG LTD,CENTALINE SECURITIES LTD,CITIBANK N.A.
2024-04-29,13.635104329290302,34.64463509676107,31.435481573885394,5.721868033411307,5.798609427924469,2.1708970055862706,2.542157996295218,2.5306123620620435,0.0,1.5206341747839227
2024-04-30,13.558985497464196,34.59447002626938,31.388271006257934,5.745313790367674,5.866473181130873,2.1588688999281023,2.6442468520994837,2.5249384341327548,0.0,1.5184323123496073
2024-05-02,13.577001114811656,34.68287612298159,31.469253386153518,5.751441310694059,5.754569572188343,2.164226740231854,2.5450263004343423,2.537179136008003,0.0,1.5184263164966394
2024-05-03,13.56724667242302,34.657958093281735,31.45724085215586,5.7579058257980815,5.712287214943487,2.162459911056213,2.6491643934142854,2.5210508033487704,0.0,1.5146862335785518
2024-05-06,13.531959552390155,34.6037621657976,31.408050004285197,5.738321888879471,5.796459467984865,2.159078392727536,2.7508226692270266,2.49615997057974,0.0,1.5153858881284117
2024-05-07,13.525543781145313,34.6640556572051,31.464365074692896,5.78732288432478,5.635605043304527,2.165489994918486,2.755615694395097,2.4919244694852893,0.0,1.5100774005285134
2024-05-08,13.521680821269284,34.67899865034253,31.47633491540145,5.797947940189604,5.7027787994690184,2.16137336524534,2.6509509950023795,2.499104522008643,0.0,1.510829991071756
2024-05-09,13.448169616821085,34.495632385977245,31.305212454974306,5.756830142752925,6.113975713647695,2.1454045027941224,2.742000544297654,2.4808777232330006,0.0,1.5118969155019681
2024-05-10,13.400501107732488,34.37861322845829,31.19424770311961,5.743990745469251,6.530730106159266,2.1394812855523972,2.627193483904412,2.473450121226326,0.0,1.511792218377955
2024-05-13,13.240172414789338,33.96210290032706,30.82310446557598,5.693541610737757,7.5295231833076555,2.110353482962431,2.699591171317255,2.443856823049778,0.0,1.4977539479327462
2024-05-14,13.202985537571713,33.889542080632864,30.7572501887632,5.691116434969619,7.781057179712644,2.109885399000916,2.5902148386870407,2.482669118584755,0.0,1.4952792220772548
2024-05-16,12.988576160770624,33.341491156792124,30.264765295627207,5.634519760906645,9.142983550738334,2.0739175254700255,2.6502435693610864,2.451169504324079,0.0,1.4523334760098754
2024-05-17,12.897799250271696,33.11366048138885,30.052537885756752,5.531342576674944,9.973431326331747,2.0559330701475163,2.5304414510480457,2.4010852840704695,0.0,1.4437686743099731
2024-05-20,12.727954821781292,32.69777032680792,29.730065160377173,5.4727865344700355,11.001102639333476,2.0105603048110585,2.5990437987912056,2.384822611836992,0.0,1.3758938017908522
2024-05-21,13.464491695494482,34.55578509965947,31.45146231439498,5.758046127618803,5.99297237920295,2.236531755459422,2.6437795586782142,2.4942473868393744,0.0,1.4026836826523132
2024-05-22,13.323974426700552,34.177753468195874,31.107105604920733,5.699813553497692,6.918378152176927,2.2139270297621003,2.719426596769245,2.452295230301989,0.0,1.3873259376748948
2024-05-23,13.192056768528143,33.85536880897879,30.835672295893072,5.669673964353579,7.920529551529608,2.128253190444845,2.592016844211094,2.4311044385224694,0.0,1.3753241375384064
2024-05-24,13.050284704614032,33.48299058593086,30.4923058198647,5.617715424015278,8.823759447278647,2.1068098890020615,2.6656799413136207,2.403418045548996,0.0,1.357036142431811
2024-05-27,13.844411304664787,35.541135858375156,32.36748916332996,6.19657276820388,3.1518298921009618,2.2367473981786534,2.720706707267374,2.555505396002099,0.0,1.385601511877128
2024-05-28,13.680168101695722,35.11949351749994,31.983497386773845,6.138652605649355,4.183680370970593,2.2054801045698027,2.7959667813552525,2.52368263172481,0.0,1.3693784997606842
2024-05-29,13.562223787695988,34.8170287224682,31.709882123883848,6.234448892505789,4.924584559706453,2.2077874470305985,2.665251155331738,2.521220982897611,0.0,1.3575723284797743
2024-05-30,13.56073053829041,34.804952003229126,31.69393375486026,6.273935870111893,4.775699227137177,2.2425865643501908,2.7704671041102804,2.520698839032031,0.0,1.3569960988786316
2024-05-31,13.595673336042175,34.89463613898972,31.743552232487154,6.384647753175056,4.583851038574371,2.2550955327918523,2.6707749452743528,2.511169434544757,0.0,1.3605995881205661
2024-06-03,13.614654131510829,34.94335222205059,31.758449576575533,6.393561301636179,4.594636697063809,2.2570670695053896,2.5675234462095626,2.5082564466595585,0.0,1.3624991087885414
2024-06-04,13.643671016975064,35.01782691963523,31.83096066419866,6.413191542621342,4.551468411003307,2.207737436262142,2.465787453699279,2.5038463470063768,0.0,1.3655102085985964
2024-06-05,13.639311787362237,34.98751980083223,31.802048623138944,6.338172885474414,4.622633188644709,2.184202884384937,2.5706585536111457,2.491182359995334,0.0,1.3642699165560486
2024-06-06,13.612454680538555,34.91862603467774,31.739427353796383,6.328364914608044,4.697447174110439,2.182039977651301,2.672496543272709,2.4874528826165063,0.0,1.3616904387283104
2024-06-07,13.597308685179263,34.87977357490573,31.704112252244975,6.338194999160194,4.6793000346327895,2.179612115215693,2.776303889653538,2.485219104915248,0.0,1.3601753440925681
2024-06-11,13.6133939544266,34.924954125575226,31.744110302379276,6.3876745604207805,4.656977733124582,2.149752655224381,2.672890852967102,2.4883544684782533,0.0,1.361891347403798
2024-06-12,13.596481133672706,34.87882526099766,31.702182694972585,6.317735656657157,4.725248569648535,2.1582313513497122,2.7761349198581367,2.4850678509530106,0.0,1.360092561890498
2024-06-13,13.427772637786573,34.45162900843149,31.308814182473387,6.083911015332937,6.1576729661991365,2.1365130614725825,2.6362384155182155,2.4542325153108377,0.0,1.3432161974748411
2024-06-14,13.41135941229731,34.42172414090411,31.31783738466232,6.079688807911344,6.10481192421682,2.134885526889237,2.738788360345397,2.449108822231942,0.0,1.3417956205415258
2024-06-17,13.412980865119037,34.42455548903205,31.317674409919675,6.077976610561747,6.209817978585285,2.1321114242336283,2.6336669601186182,2.449310272910315,0.0,1.3419059895196384
2024-06-18,13.398936107658702,34.388509472312485,31.28488161421436,6.050565075895286,6.224573413194057,2.128510813550014,2.73614561219719,2.4473770137406867,0.0,1.3405008772372233
2024-06-19,13.410593298252637,34.41842777373129,31.30999317396042,6.066361912600309,6.238941719767521,2.131310587750104,2.6331981563505114,2.4495062529635,0.0,1.3416671246237128
2024-06-20,13.396313917892714,34.38209524221369,31.278969552474962,6.028337817235096,6.26249552405518,2.129041203102403,2.7356101448313552,2.446898058776846,0.0,1.3402385394177616
2024-06-21,13.40753242249749,34.41655271545203,31.300738473361605,6.074648901323753,6.275698248356906,2.1038848140437,2.6322250200726898,2.44754811266439,0.0,1.3411712922274368
2024-06-24,13.40296888803702,34.40670143734212,31.29082178948645,6.031779888977926,6.231818238871525,2.1112176912211504,2.736646723090533,2.447298959945307,0.0,1.3407463830279696
2024-06-25,13.376450203867781,34.46176377714265,31.340897669766584,5.999263138338569,6.2488546661215185,2.1429554319932533,2.635602194117742,2.4512154646172646,0.0,1.3429974540346366
2024-06-26,13.133333607629554,33.835732739528595,30.771277759521553,5.827707867175316,7.901956593761578,2.121086100212365,2.6912082083506483,2.3990051017285756,0.0,1.3186920220918177
2024-06-27,13.150470266956091,33.88255273198359,30.813857330758328,5.846137046680345,7.869461010719274,2.123399232975667,2.591280914985437,2.402324710664699,0.0,1.3205167542765788
2024-06-28,13.48536307344009,34.746582570061015,31.59856988860693,5.995016075559821,5.4568123966371385,2.133682364114532,2.763561894339835,2.4662664090141226,0.0,1.3541453282265188
2024-07-02,13.499238028241434,34.783396982378505,31.6310813402159,5.990544267099836,5.4633844580105295,2.1498161151780075,2.6600050917817466,2.4669951223220634,0.0,1.355538594771978
2024-07-03,13.489555470050021,34.7502310204045,31.600921110567892,5.94231278391566,5.474757727208332,2.1583961410576986,2.763767528564401,2.465599531732742,0.0,1.3544586864987538
2024-07-04,13.501008811002041,34.79348955373939,31.641565349424784,5.939012413288404,5.464493814588602,2.1624467620012506,2.6607524879432654,2.480992049857819,0.0,1.3562387581544413
2024-07-05,13.484688581179233,34.75417035506393,31.605808056599777,5.910932618095001,5.483726583566579,2.161066136591701,2.7640554678957217,2.4808460922620985,0.0,1.3547061087459684
2024-07-08,13.538243008724837,34.89219650872576,31.731330492464544,5.953726379566921,5.20516125169247,2.160256389559974,2.6683008764327742,2.4906987700974086,0.0,1.3600863227353135
2024-07-09,13.52438555087449,34.856481597853346,31.698850976876635,5.926307714481132,5.216679759500577,2.1580451970259813,2.7721924467725056,2.488149343764738,0.0,1.3589074128505993
2024-07-10,13.548915251060864,34.919702144171765,31.756344406636565,5.915693253114032,5.1765787490346815,2.1631343048068374,2.6704043069562458,2.4931962771466294,0.0,1.3560313070723815
2024-07-11,13.537276828651617,34.87676747235813,31.731567566699283,5.927621317673919,5.142868166833984,2.1626206517944606,2.7750536445886866,2.4912510430132517,0.0,1.3549733083866684
2024-07-12,13.55512066195724,34.919141067588185,31.770119895298894,5.934823092511317,5.135117515818148,2.164072644299236,2.6715626935697445,2.493422893162514,0.0,1.3566195357947164
2024-07-15,13.685126324959887,35.2274616939031,32.049557164067195,5.9870234229179955,4.179230612888225,2.1848318006424368,2.802863118207103,2.5153540437356283,0.0,1.3685518186784298
2024-07-16,13.711235761263534,35.29382303443938,32.11185750024846,5.998540387935242,4.11609154930281,2.187630534908987,2.7002450564197034,2.5093917358319584,0.0,1.3711844396499253
2024-07-17,13.700300285168302,35.26599801089143,32.086246500905894,5.978538981207896,4.085611974548644,2.199592082027549,2.806015118625989,2.5076062031259556,0.0,1.3700908434983434
2024-07-18,13.711922271624614,35.30982181008772,32.12611893619567,5.951173696227205,4.110787764439181,2.20707997867307,2.701444282341579,2.509857853837914,0.0,1.3717934065730537
2024-07-19,13.695855522137093,35.274563670801705,32.09350009048088,5.944367634212551,4.0989106028196645,2.2083305250624004,2.8066966638129935,2.5073516696301694,0.0,1.370423621042537
2024-07-22,23.031954778519925,31.527727972848997,28.68455439994077,5.312961699287882,3.585761905226174,1.9790700318852477,2.412088084883541,2.2410227979036,0.0,1.224858329503862
2024-07-23,22.998758519734615,31.482286644626363,28.64321097511389,5.305304057842246,3.624334084551966,1.9779517725547764,2.5049559710873934,2.240105049375115,0.0,1.223092925113633
2024-07-24,23.020471711057844,31.512298464498834,28.670253109561305,5.356216069709963,3.583588406223346,1.9798191622762151,2.410885487428416,2.2422199387279242,0.0,1.2242476505161497
2024-07-25,22.957159811651202,31.498204267104395,28.657430045984082,5.338494073602134,3.5984686909101717,1.979126452507069,2.506199482037006,2.2412170829554774,0.0,1.2237000932484534
2024-07-26,22.82223501483846,31.301738243293105,28.48469773305088,5.279393394230635,4.302070387482248,1.9739040816656297,2.395282110554351,2.2243547791451928,0.0,1.2163242557394995
2024-07-29,22.61928477539132,31.26399078445551,28.454238713531705,5.279188736399781,4.502890932924439,1.9671825618486911,2.488287356266892,2.2095991723650004,0.0,1.2153369668166638
