date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,HGNH INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TIGER BROKERS (HK) GLOBAL LTD,UBS SECURITIES HONG KONG LTD,SINOMAX SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL
2024-04-10,39.66119299930156,13.352979894325884,6.1423577886870095,0.0,17.836396398201973,10.739894000201575,3.3992496265180536,0.0,1.7088723637518148,7.159056929012129
2024-04-11,39.5836461331763,13.338298977266987,6.152958230879756,0.0,17.81900228809861,10.728946407682056,3.395934667545823,0.0,1.8284268803139898,7.152786415036477
2024-04-12,39.60101289094954,13.382965956673434,5.834687143946407,0.0,17.850761551739648,10.748068883342759,3.4019873287818783,0.0,2.014743805904802,7.1657724386615245
2024-04-15,39.53754127303827,13.375244631311611,5.889444808167997,0.0,17.82749502217657,10.734059942508752,3.3975532076644734,0.0,2.072980804993473,7.16568031013885
2024-04-16,39.53585085356561,13.411665331194774,5.901239729588325,0.0,17.833042906207332,10.737400362442465,3.3986105200440875,0.0,2.0078758092688545,7.174314487688547
2024-04-17,39.606464810946164,13.481903448660178,5.887098941014987,0.0,17.801136115943336,10.71866259866617,3.3939503593737284,0.0,1.9249182418860495,7.185865483509389
2024-04-18,39.55559347548899,13.467848349267422,5.862559917734179,0.0,17.745492208511877,10.68704576497004,3.355253856789796,0.0,2.1434485748150784,7.182757852422612
2024-04-19,39.59357765085903,13.516616784503988,5.806235245099017,0.0,17.732060123200704,10.68084323017809,3.3564877757439437,0.0,2.130726063617384,7.183453126797845
2024-04-22,39.49137932586365,13.480710689843868,6.068279847713173,0.0,17.668924147750985,10.642578489514642,3.349002962109341,0.0,2.1388983821511687,7.160226155053177
2024-04-23,39.50425268780146,13.540686439434799,6.057274964662131,0.0,17.642347373602732,10.626570417800387,3.3446695195710716,0.0,2.1279374586771374,7.15626113845028
2024-04-24,39.53178731632822,13.559466825267613,6.03081481053925,0.0,17.623448269466827,10.615186861140915,3.3423055027216244,0.0,2.1458168496132517,7.151173564922296
2024-04-25,39.50001253788643,13.49765119451776,6.2572138278307,0.0,17.629353505541225,10.618743780503708,3.3438944059627493,0.0,2.055368291280515,7.097762456476921
2024-04-26,39.5343765468616,13.50521601678491,6.274270982171005,0.0,17.647204820576505,10.628087887424465,3.3491581770361787,0.0,1.9924137211555077,7.069271847989827
2024-04-29,39.38683934488622,13.597675849058676,6.269754844094166,0.0,17.77760487926621,10.64366857553864,3.3542388039354907,0.0,1.8333009689323805,7.136916734288212
2024-04-30,39.37696043554865,13.492900683918748,6.249231523518549,0.0,17.728280744723197,10.617419699224588,3.3400894872342315,0.0,2.0674525800779686,7.127664845754064
2024-05-02,39.42542648494416,13.555370142536399,6.191176866545226,0.0,17.723826501714203,10.614048938087027,3.332687769025753,0.0,1.9933391750996903,7.164124122047542
2024-05-03,39.281247922571715,13.625724712942876,6.483871007775551,0.0,17.70743332905525,10.598846107203507,3.334199018701028,0.0,1.7884666309668042,7.180211270783269
2024-05-06,39.1531490739926,13.581290288399531,6.674775596284068,0.0,17.64968817225131,10.56008142694133,3.3806175031980987,0.0,1.8342660197261014,7.1661319192069595
2024-05-07,39.134579093162685,13.574848806519633,6.682767812262655,0.0,17.64131708643154,10.509115816248368,3.3790537655850716,0.0,1.913718254897967,7.164599364892085
2024-05-08,38.99739925891741,13.763641682109675,6.6769168936136,0.0,17.634322590075897,10.473366407102512,3.3723849893449587,0.0,1.918008709995436,7.163959468840512
2024-05-09,39.0576517766334,13.788063941023177,6.664448222736624,0.0,17.642893524724286,10.478456851522216,3.379938388482944,0.0,1.828338917941607,7.160208376935742
2024-05-10,39.24867075550752,13.82513096504176,6.482577662197822,0.0,17.69092238446532,10.497389800173892,3.365001023688055,0.0,1.6736414164511104,7.216665992474518
2024-05-13,39.20178233703678,13.840356420645513,6.497830846651477,0.0,17.67958892037026,10.488092879683903,3.3623776602023954,0.0,1.704601082541365,7.2253698528683
2024-05-14,39.096852753949015,13.807393339739102,6.488331215587012,0.0,17.679294691996176,10.488152139409475,3.362594787252208,0.0,1.8822923531385962,7.195088718928417
2024-05-16,38.638121282933874,13.639325709101632,7.639443259617217,0.0,17.46705490183802,10.363396950073241,3.3168214991078098,0.0,1.8564614696538382,7.07937492767437
2024-05-17,38.370774245168526,13.598924503035615,7.542929336986397,0.0,17.250085780710283,10.293474607886456,3.3628158455297257,0.0,2.4973027729000634,7.0836929077829405
2024-05-20,38.428823674522455,13.601664977353717,7.643639275890505,0.0,17.238147489741,10.28658006968276,3.29216046107449,0.0,2.431110689804449,7.077873361930624
2024-05-21,38.22953777612582,13.556949148335859,7.607362140341347,0.0,17.17539664665737,10.247306967401212,3.2906847753721062,0.0,3.0250106168233164,6.8677519289429725
2024-05-22,38.96700183970648,13.053543661687444,7.882604424472005,0.0,17.17581648848637,10.234535686781062,3.310868998795244,0.0,2.7327344105178764,6.64289448955353
2024-05-23,38.88295821597701,13.29932536873383,7.749283970268632,0.0,17.062347770691584,10.166923201378548,3.291946638903867,0.0,2.9007742846054816,6.646440549441043
2024-05-24,38.74145400415376,13.219054470381195,7.687719717367991,0.0,16.971527813776223,10.11303214417063,3.2744241703707577,0.0,3.3178420202637517,6.674945659515695
2024-05-27,38.77838854667429,13.53925856960459,7.6566256526300265,0.0,16.904869594243547,10.07308684618536,3.2633621649098323,0.0,3.153442830672303,6.630965795080051
2024-05-28,38.87867512341734,13.561320906446712,7.592333441104534,0.0,16.91191355792878,10.07570953155914,3.2595482853748186,0.0,3.052354228802577,6.668144925366096
2024-05-29,39.04735600565139,14.05093089386367,7.2782895230366265,0.0,16.932679519544035,10.08808138981528,3.2615236869484923,0.0,2.6774185286512346,6.663720452489274
2024-05-30,39.233218650102295,14.150867739241379,7.253772414428594,0.0,16.938538544672728,10.091572055441768,3.271213487667178,0.0,2.470265081152786,6.590552027293272
2024-05-31,39.25883370919757,14.202508511888526,7.237588888437495,0.0,16.912304029960083,10.072343010605675,3.231280200001431,0.0,2.6588859239351934,6.426255725974034
2024-06-03,39.30779243472924,14.203546081240845,7.179584409645462,0.0,16.873451907099636,10.049652983458895,3.2238570780480535,0.0,2.8859537580894257,6.276161347688442
2024-06-04,39.56131214754119,14.59097281675448,5.965865336612666,0.0,16.90168744566486,10.096475300516577,3.5193965917919225,0.0,3.2666989062762344,6.0975914548420755
2024-06-05,39.342557292267664,14.328415563925779,5.928039900462552,0.0,16.853745806070332,10.063566088354134,3.535261937444946,0.0,4.166607309655348,5.781806101819249
2024-06-06,39.41334070498388,14.544530443291318,6.063807328783694,0.0,16.839045605705472,10.05456385892827,3.5333924321173447,0.0,3.920302580097004,5.631017046093014
2024-06-07,39.42821010232585,14.664760829890525,6.144735799682654,0.0,16.825745073033325,10.047744098728806,3.4801131598476984,0.0,3.7278185651814315,5.6808723713097145
2024-06-11,38.97486200260823,15.204162483843431,6.058627343259261,0.0,16.871268680324615,10.077629197240478,3.747512468549738,0.0,3.30624535476446,5.759692469409778
2024-06-12,39.028019979473335,14.94877677200958,6.233467738770162,0.0,16.875574481336482,10.078400700853727,3.867074102051867,0.0,3.184342891296014,5.784343334208836
2024-06-13,39.278274276143925,15.193503535914394,6.270751555609075,0.0,16.944698500288233,10.122620554426733,3.89353504102851,0.0,2.484286356557299,5.812330180031832
2024-06-14,39.6774867935749,15.307149207141526,6.304309043257722,0.0,16.968723129894517,10.135388569263103,3.8857037197220263,0.0,2.2075307224429124,5.513708814703289
2024-06-17,39.618834355492126,15.29156240252786,6.3016955895750755,0.0,16.96047111262672,10.127971568952795,3.906885405275526,0.0,2.188135831501428,5.604443734048464
2024-06-18,39.45571251270209,15.21528935588863,6.3384631716305595,0.0,16.91014166375658,10.088671009319716,4.055509585900002,0.0,2.340055727923722,5.596156972878697
2024-06-19,39.51555310254886,15.352520091779937,6.301910668496169,0.0,16.898602123928153,10.081786464929563,4.063559584678955,0.0,2.261113792847683,5.524954170790686
2024-06-20,39.903860721288645,16.209068959999325,6.24601317289253,0.0,16.89736351279718,10.226847603313399,4.111711540609711,0.0,0.8657123167529925,5.539422172346219
2024-06-21,39.72397234659753,15.945764919864688,6.2090578516967705,0.0,16.875319565326162,10.37081856777012,4.469359474733492,0.0,0.7942927331904835,5.611414540820759
2024-06-24,38.648504211321224,15.801666549234191,6.105249254821147,0.0,16.721405007265428,11.837238518397681,4.879628858788532,0.0,0.5395105687398819,5.466797031431915
2024-06-25,38.32510622615697,15.821162326985124,6.080843855650937,0.0,16.64361941385866,11.790608000172458,4.871801102720264,0.0,1.0459134836878987,5.420945590767694
2024-06-26,37.93620733285064,16.487198669031855,6.081041268770971,0.0,16.624740900539027,11.78055983947757,4.8480947237990835,0.0,0.7601817620975146,5.481975503433337
2024-06-27,37.916745236378055,16.560642130137484,5.8955691047023295,0.0,16.62835977435861,11.839451374693635,4.927875000791684,0.0,0.7251254769157087,5.506231902022493
2024-06-28,37.91227555487236,16.437196542040592,5.911695100323697,0.0,16.630679321542246,11.839993943854418,4.978909040963295,0.0,0.7920093300341488,5.497241166369245
2024-07-02,37.88557061006907,16.528215933214124,5.950592011366716,0.0,16.61604869766638,11.847970349468365,4.933976802075534,0.0,0.7394590544630195,5.498166541676796
2024-07-03,37.85760209504154,16.553672906034354,5.954185707107095,0.0,16.601354550674802,11.904798456889813,5.000461597392836,0.0,0.6193437465283056,5.508580940331254
2024-07-04,37.82593355061106,16.625833343343253,5.9397527989530925,0.0,16.562960603025907,11.877045344875455,4.954836509117685,0.0,0.6767113936897827,5.536926456383759
2024-07-05,37.75515480356818,16.577907261485166,5.92287891720517,0.0,16.48892744230501,11.82395729932725,4.965937944855391,0.0,0.9469016168182633,5.518334714435574
2024-07-08,37.73509472307697,16.624734998022202,5.913127574377537,0.0,16.46300276473515,11.805367110143788,4.951763160968278,0.0,0.989347157392585,5.517562511283488
2024-07-09,37.70945041432006,16.654736078457677,5.912835147057631,0.0,16.41100382628006,11.768079467872655,4.905701079024879,0.0,1.184895280023634,5.45329870696341
2024-07-10,37.79784733459248,16.67024337216352,5.906279066472823,0.0,16.398270292537596,11.756542835327032,4.8997077563711535,0.0,1.0783035548708635,5.492805787664534
2024-07-11,37.49603924451558,16.88683234346837,5.930346427794787,0.0,16.40132555988539,11.758733272538208,4.906504559785369,0.0,1.1147965758039287,5.505422016208375
2024-07-12,37.52112101368156,16.909539158858443,5.956803531923692,0.0,16.431467245240423,11.78034299165393,4.979289699326523,0.0,0.8984461275685451,5.522990231746883
2024-07-15,37.24707363132268,16.976356683076844,5.985583559388806,0.0,16.424452974993162,11.775314194887601,4.995563586437571,0.0,1.081594025485461,5.514061344407885
2024-07-16,37.00591395297052,16.975140916605135,5.996776062036976,0.0,16.441096050851407,11.785272881096489,4.954745738542392,0.0,1.3181166504264408,5.522937747470641
2024-07-17,37.12872099518899,17.166972133384633,5.9034659120581425,0.0,16.450528191244967,11.792034008703013,4.96329542116545,0.0,1.0462800747701582,5.548703263484651
2024-07-18,36.97590565009898,17.203610625398014,5.926710733057252,0.0,16.437113430482306,11.781979647519089,4.982266402114818,0.0,1.1379321329510792,5.554481378378464
2024-07-19,36.6870423451774,17.464992065062848,5.9329913021903815,0.0,16.421733042063995,11.777306257580467,4.984393588440781,0.0,1.027640040565641,5.703901358918487
2024-07-22,36.76185109379033,17.361582179085993,5.987222004457579,0.0,16.392126691487814,11.75760350275376,5.0079802245103044,0.0,0.983790615474236,5.747843688439989
2024-07-23,36.76981628050546,17.319290844135423,5.975745616634141,0.0,16.366862657601605,11.826474663127188,4.998928434386558,0.0,0.9777136086598387,5.765167894949787
2024-07-24,37.49645374732361,17.744960420088056,6.088245828348444,0.0,16.681688244113104,12.048403087356526,3.1861209253991567,0.0,0.9372253514098532,5.816902395961249
2024-07-25,37.567024630927875,17.783272969973794,6.119651932421321,0.0,16.682017775872026,12.044539696419019,3.1813320479297573,0.0,0.7922411325319839,5.829919813924224
2024-07-26,37.49595558497765,17.820336894492897,6.134952311351792,0.0,16.674046441508192,12.03856208316522,3.18181214062825,0.0,0.8054198872893376,5.8489146565866585
2024-07-29,37.491627865430935,17.850726534048885,6.113106022282548,0.0,16.66175217166919,12.029463606404873,3.1936796807877594,0.0,0.8112665578824033,5.848377561493409
2024-07-30,37.441812324350195,17.834975205839438,6.1287048726442945,0.0,16.61913676134112,11.998696102343374,3.181080889281346,0.0,0.9628391117231107,5.832754732477112
2024-07-31,37.42189271622007,17.83758927541401,6.125412029728511,0.0,16.60960725136368,11.993144333279872,3.181249368866146,0.0,0.9848690199826575,5.846236005145049
2024-08-01,37.43050467173739,17.90783646703679,6.135057010705474,0.0,16.583016465727628,11.973944172478822,3.186545193320594,0.0,0.948208756904165,5.8348872620891346
2024-08-02,37.34661816217167,17.911964761512298,6.1208985308524255,0.0,16.51143266004161,11.924016989980741,3.2165864952627197,0.0,1.0141876162842112,5.954294783894317
2024-08-05,37.309074323957596,17.82062030751514,6.104385044086823,0.0,16.466886696187057,11.891847350872306,3.2122983087849133,0.0,1.258193622618287,5.936694345977876
2024-08-06,37.29900390276626,17.874074040776428,6.128349793016179,0.0,16.466995126344646,11.891267181648308,3.2145143740646818,0.0,1.2035485704952191,5.922247010888279
2024-08-07,37.42605165089538,17.915475738033695,6.145557922590349,0.0,16.45019191505534,11.879133123587458,3.2011479294304377,0.0,1.0721580926646233,5.910283627742714
2024-08-08,37.42437154343311,17.87713063280884,6.139939352942072,0.0,16.45687744536106,11.884180284172688,3.1822681158038346,0.0,1.120572788483667,5.914659836994728
2024-08-09,37.32559487990752,18.0053835598622,6.191841012191526,0.0,16.457815428822347,11.858094627589345,3.1850810437546824,0.0,1.0651411375108681,5.9110483103615135
2024-08-12,35.59489045634374,17.243372154027323,10.508154333109049,0.0,15.707904788643523,11.317773138875646,3.0399508364757435,0.0,0.9443622312375283,5.643592061287443
2024-08-13,35.54618620473539,17.26714677699304,10.475709503612212,0.0,15.699062855058052,11.311611652950344,3.0376118908067906,0.0,1.0172336859988802,5.645437429845291
2024-08-14,35.57745068242907,17.29966532118735,10.478890898407984,0.0,15.704457945731512,11.316126947898072,3.038655786976453,0.0,0.9340256569575976,5.650726760411957
2024-08-15,35.57452717504929,17.379968951111742,10.470891931907946,0.0,15.695502599134855,11.309674013368246,3.0369230168385504,0.0,0.8799868446686663,5.6525254679206975
2024-08-16,35.44614519633831,17.440551596813233,10.474312854487657,0.0,15.696553429195967,11.30750210013873,3.0498888820036263,0.0,0.9308866988937401,5.654159242128738
2024-08-19,35.35547414977765,17.559648728029384,10.474460074455916,0.0,15.698655511499645,11.308388650764496,3.050297323097142,0.0,0.9088308646208203,5.644244697754946
