date,DBS BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UOB KAY HIAN (HONG KONG) LTD,DBS BANK LTD
2024-08-29,27.790281085608893,25.289536062192834,15.835527942740718,11.495238599412772,8.42775380100322,3.2991294391187633,2.535079802227856,2.840377864058474,2.4870754036364686
2024-08-30,27.775791414164562,25.276350262905957,15.826958252435098,11.492376549312775,8.482857980495568,3.2872319442645126,2.5337580281404946,2.8388969095513508,2.485778658729681
2024-09-02,27.778285055494184,25.278619510638194,15.824725421521135,11.490798494965267,8.481949271129455,3.2906588372829573,2.5298098045855477,2.8391517786407183,2.48600182574254
2024-09-03,27.788629116746538,25.2595546743216,15.792814523229456,11.47905501571589,8.465120913218879,3.242070397296419,2.527901851905765,2.8370105238971606,2.6078429836682906
2024-09-04,27.78562924963352,25.25682782849417,15.803104423533702,11.47781581678004,8.465615160832936,3.239112844467774,2.5276289572048922,2.8367042599740944,2.607561459078871
2024-09-05,27.785977027118957,25.257143954358853,15.80069462822985,11.477959478306909,8.467859347455022,3.2391533866671227,2.526878315921609,2.8367397654458473,2.6075940964958324
2024-09-09,27.780616424836364,25.252271226529217,15.797646283390005,11.481219987161579,8.484579608756624,3.2345135536733975,2.5258694003841744,2.836192488175484,2.607091027093158
2024-09-10,27.779298323335322,25.251073086930752,15.801954252159392,11.480675239951243,8.48125723915071,3.2369670536672475,2.5257495559503016,2.8360579199024576,2.606967328952569
2024-09-11,27.782526835557398,25.24453140707063,15.786914086034612,11.47770099399586,8.496365817253775,3.2452504892758007,2.5250952215802336,2.835323195365686,2.6062919538660094
2024-09-12,27.784119933178392,25.245978971691578,15.789278941883374,11.478359145007692,8.500554160198309,3.2454365774910516,2.5143450897953628,2.835485777648573,2.6064414031056664
2024-09-13,27.78326543082907,25.24520253002655,15.788793341620263,11.481394396967413,8.50060548847154,3.2447112371877314,2.514267760954593,2.8353985721058277,2.606361241837011
2024-09-16,27.783424740840168,25.245347286714903,15.78726792176142,11.481460231599899,8.501696781652836,3.2447298424515547,2.5142821778353555,2.835414830359528,2.6063761867843356
2024-09-17,27.79003047299749,25.251349570592797,15.791282170969097,11.474231316656185,8.50465664679204,3.2455013030062574,2.49986367236478,2.8360889729858947,2.6069958736354604
2024-09-19,27.791378080345886,25.252574071021865,15.787198681853987,11.474787730527503,8.50506905863894,3.2456586853959384,2.4999848969405547,2.8362265019585386,2.6071222933167904
2024-09-20,27.788103476666237,25.249598609649116,15.79665208467478,11.461965692304977,8.506465192892906,3.255703516190975,2.498804011479275,2.8358923149415154,2.606815101200217
2024-09-23,27.793841786460188,25.254812712119868,15.790162629320179,11.464332615619673,8.503893591621017,3.2498052961444888,2.4993200204809067,2.8364779334836046,2.607353414750071
2024-09-24,27.79656686426499,25.257288848024896,15.781280356969749,11.465456648727356,8.522459106804634,3.23301801147649,2.4995650690627915,2.8367560390841087,2.607609055584987
2024-09-25,27.791682396867817,25.25285058755476,15.778507239348219,11.469542649104675,8.572530967171943,3.194959070093869,2.4965186897315434,2.8362575587338448,2.6071508413933286
2024-09-26,27.791957736606605,25.2531007743979,15.778663561300943,11.469656280975963,8.643948251284899,3.1226676425627904,2.4965434234196335,2.836285658307099,2.607176671144166
2024-09-27,27.787422571942066,25.24897990708127,15.777704943294857,11.467784632336711,8.676529745080908,3.102868118388043,2.496136030906135,2.83582282576331,2.6067512252067027
2024-09-30,23.694139809362092,21.529627600878488,13.464029466738738,9.778499307690543,7.415353314390869,2.6141861983484636,2.1253257774234444,2.4180861803304725,2.222758437504008
2024-10-02,27.806529540166245,25.266341411392386,15.806344152011825,11.478800272298152,8.711815862719476,2.991217013675508,2.4926353169475965,2.837772771875836,2.608543658912975
2024-10-03,27.80448421641627,25.26448293250205,15.82724816425323,11.486250501850796,8.68159635131566,2.997570039652571,2.492451969859769,2.8375640380229123,2.6083517861267387
2024-10-04,27.84308426563042,25.3024051383132,15.963227987583952,11.480399022689078,8.585486989038666,3.007502933264919,2.489192286256166,2.841823246008276,2.4868781312153243
2024-10-07,27.954345957845117,25.405897817944744,16.110095074624095,11.541782740105397,8.511016690468152,3.025679726580743,2.499373657490031,2.4547582979210105,2.4970500370207076
2024-10-08,27.940553396656085,25.39336265075662,16.23637528626626,11.574888603174587,8.643248448993566,3.1048814883210407,2.4981404766401853,2.1127316465558494,2.4958180026358
2024-10-09,27.9365398424071,25.38971499077236,16.25957426938978,11.581928567277137,8.708849544074257,3.0187720216501495,2.496733115870256,2.1124281606886717,2.495459487870291
2024-10-10,27.926936562685,25.37622509655658,16.263039224443997,11.573155045899588,8.75310953095823,3.0066885547990387,2.4954065682650404,2.1113057994319,2.494133616960619
2024-10-14,27.922770323962393,25.37243938195113,16.26323254440194,11.571153788994398,8.76437729882312,3.006240006414374,2.4950342947272666,2.110990827399177,2.4937615333262033
2024-10-15,27.918280027623627,25.368359207586604,16.294141408118914,11.563531049421883,8.735572351444223,3.0214710261069295,2.49463306507746,2.1106513562695772,2.4933605083507824
2024-10-16,27.920503055714647,25.370379195031596,16.29030505154694,11.564451810096566,8.733439104869465,3.0217116145300196,2.4948317033666014,2.1108194195331698,2.4935590453109966
2024-10-17,27.91544325594825,25.365781532931166,16.28892418153264,11.562356081002774,8.745788485997522,3.0237828249912804,2.494379585836889,2.110436893344994,2.493107158414483
2024-10-18,27.916583744333167,25.36681785461688,16.286446966813294,11.562828462282615,8.745202985978997,3.023906361958212,2.4944814939785265,2.110523115467347,2.4932090145709638
2024-10-21,27.91051683211691,25.36130506485223,16.271386818669733,11.560315595167687,8.77655547142641,3.023249197936418,2.4939393860906978,2.1100644505178967,2.492667183222017
2024-10-22,27.91053144801309,25.361318345803063,16.271657174429706,11.564929943641152,8.771637570848851,3.0232507811208738,2.4939406920915634,2.1100655554950323,2.4926684885566686
2024-10-23,27.915106975881095,25.365475967060714,16.27432467723233,11.566825846603347,8.767209490110513,3.0132189098085678,2.4943495375898683,2.1104114702179557,2.493077125495608
2024-10-24,27.914946149147745,25.365329829464212,16.277268681849872,11.566759206886804,8.764697342164958,3.0132015498122566,2.4943351669450307,2.110399311547632,2.493062762181492
2024-10-25,27.91550174026525,25.365834675573183,16.277592648295965,11.566989420072215,8.763457625534144,3.0126853821407726,2.4943848116928806,2.110441314820918,2.4931123816046727
2024-10-28,27.915457877004528,25.36579481857079,16.277567071528733,11.566971245013878,8.762239202378929,3.014042430282089,2.494380892298834,2.1104379987122384,2.493108464209979
2024-10-29,27.94127328506601,25.38925237197831,16.204441809482958,11.573054675021284,8.775899282179584,3.0168297295481503,2.4914451571783753,2.112389670734429,2.495414018810899
