date,FUTU SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,TIGER BROKERS (HK) GLOBAL LTD,LONG BRIDGE HK LTD,HAFOO SECURITIES LTD
2024-05-10,22.52368846776057,0.3189276635082043,9.244280101687082,0.0,0.36977120406748326,8.546336954009707,48.18581003004391,5.172174716893922,2.1446729835914025,3.4943378784377166
2024-05-13,37.21543162719633,0.2635599694423224,7.639419404125286,0.0,0.30557677616501144,7.062643239113828,39.82047364400306,4.274255156608097,0.5538579067990833,2.864782276546982
2024-05-14,45.53852266331159,0.22845412707346952,6.621858755752739,0.0,0.2648743502301096,6.092110055292521,34.516438764361155,3.7049299738436576,0.5496142767274774,2.4831970334072775
2024-05-16,45.846892153962465,0.226802090523617,6.57397363836571,0.0,0.2629589455346284,6.048055747296453,34.266837589981265,3.6978601715807122,0.545639811984354,2.5309798507707986
2024-05-17,46.74320827943079,0.22315653298835705,6.468305304010349,0.0,0.258732212160414,5.950840879689522,33.716041397153944,3.6384217335058215,0.46895213454075035,2.5323415265200517
2024-05-20,46.73326221187729,0.223062748520997,6.4655869136520865,0.0,0.2586234765460835,5.980667895128181,33.701871787411505,3.636892638929299,0.4687550512397763,2.5312772766947917
2024-05-21,50.638887140429276,0.21715868320010073,6.294454585510166,0.0,0.25177818342040664,2.8325045634795742,33.04588657392837,3.7168754327437528,0.5381758670611192,2.46427897022723
2024-05-22,50.577091958349015,0.21640948438088067,6.398193451260821,0.0,0.25090954710826746,2.822732404968009,32.931878057960105,3.7667795759628655,0.5363191569439217,2.4996863630661146
2024-05-23,50.99065420560748,0.2149532710280374,6.355140186915888,0.0,0.24922118380062305,2.803738317757009,32.71028037383177,3.741433021806854,0.4517133956386293,2.4828660436137073
2024-05-24,49.166397415185784,0.22294022617124395,6.591276252019386,0.0,0.25848142164781907,2.9079159935379644,33.92891760904685,3.8804523424878834,0.4684975767366721,2.5751211631663975
2024-05-27,49.19775696087647,0.22365563514958994,6.612427473987877,0.0,0.2593108813328579,2.8848335548280444,34.1253119834041,3.89290460600953,0.7325532397653237,2.0712456646462027
2024-05-28,51.933906801163445,0.2135033108484436,6.312271798997463,0.0,0.24754007054892008,2.753883284856736,32.42156074014481,3.7471378179342785,0.5755306640262392,1.794665511479671
2024-05-29,51.945157995729005,0.21354956516356657,6.31363931787936,0.0,0.24759369874036707,2.7544798984865833,32.42858469251957,3.772708984556343,0.5292315310575345,1.7950543158676613
