date,BOCOM INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DONGXING SECURITIES (HONG KONG) CO LTD,TIGER FAITH SECURITIES LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD
2024-05-02,0.0,0.0,0.0,0.0,60.383793273174156,17.31489258178333,0.0,14.669662014370413,0.0,7.631652130672098
2024-05-06,0.0,0.0,0.0,0.0,60.79626511638886,16.7500840990021,0.0,14.769868082959551,0.0,7.683782701649496
2024-05-08,0.0,0.0,0.0,0.0,60.945738264534086,16.54540660789757,0.0,14.806181147188468,0.0,7.7026739803798705
2024-05-10,0.0,0.0,0.0,0.0,60.9507488054136,16.51228103295108,0.0,14.824675037037412,0.0,7.712295124597906
2024-05-21,0.0,0.0,0.0,0.0,60.939636747459645,16.532059654938195,0.0,14.817414517590446,0.0,7.71088908001171
2024-05-22,0.0,0.0,0.0,0.0,60.939636747459645,16.545733061137142,0.0,14.817414517590446,0.0,7.697215673812765
2024-05-23,0.0,0.0,0.0,0.0,60.94685912419139,16.547694010099892,0.0,14.819170631600118,0.0,7.6862762341085995
2024-05-29,0.0,0.0,0.0,0.0,60.946503085781956,16.547844871580505,0.0,14.819305734534796,0.0,7.686346308102738
2024-05-30,0.0,0.0,0.0,0.0,60.63217368151991,16.809525626916834,0.0,14.853973311526673,0.0,7.704327380036586
2024-05-31,0.0,0.0,0.0,0.0,60.64990886951512,16.785192032839085,0.0,14.858318166628512,0.0,7.70658093101728
2024-06-03,0.0,0.0,0.0,0.0,60.66931861504741,16.790563785445816,0.0,14.863073263215258,0.0,7.67704433629152
2024-06-06,81.76913082181596,0.0,0.0,7.907462772014294,6.263197593242455,1.7332795919747699,0.0,1.5343894873951576,0.0,0.7925397335573671
2024-06-07,81.77167803615234,0.0,0.0,7.907709099721767,6.263392699959877,1.7302184563543064,0.0,1.5344372856151045,0.0,0.7925644221966026
2024-06-11,81.7678958659272,0.0,0.0,7.907343345922599,6.263103000421516,1.7347637102944433,0.0,1.534366313572542,0.0,0.7925277638616983
2024-06-12,81.76017823668832,0.0,0.0,7.906597014571375,6.262511860019401,1.7440384342276454,0.0,1.5342214930387692,0.0,0.7924529614544915
2024-06-26,81.7611042752744,0.0,0.0,7.906686566894744,6.262394019659774,1.7431143311139086,0.0,1.5342388700593774,0.0,0.7924619369977913
2024-06-28,74.32721154196807,0.0,9.09221175423194,7.187793881489261,5.69300389450795,1.5846266850106685,0.0,1.3947426231778435,0.0,0.7204096196142641
2024-07-03,74.32753042161974,0.0,9.092250761767092,7.187824718663986,5.693028318713583,1.5846334833984301,0.0,1.3947486069223243,0.0,0.719983688914852
2024-07-04,74.32886974603572,0.0,9.092414597069737,7.187954237687273,5.693130902665786,1.5850052605772866,0.0,1.3947737392098198,0.0,0.7178515167543823
2024-07-05,74.33971367323966,0.0,9.093741100248591,7.189002896879389,5.658518503147182,1.5872961391987725,0.0,1.3949772244093883,0.0,0.7367504628770217
2024-07-08,74.34290366577765,0.0,9.094131321905614,7.1893113842875795,5.453646666180476,1.7650158520861687,0.0,1.3950370842974167,0.0,0.7599540254650927
2024-07-09,74.34258465420417,0.0,9.094092298232887,7.189280534355389,5.453623264129731,1.7654373865611164,0.0,1.3950310980774365,0.0,0.7599507644392587
2024-07-10,74.34232944691662,0.0,9.094061079535836,7.1892558546002645,5.453604542633739,1.7657746115363546,0.0,1.395026309138442,0.0,0.7599481556387419
2024-07-11,74.3332069372625,0.0,9.092945151899313,7.1883736646497,5.45293533357801,1.7778288836601703,0.0,1.3948551261654636,0.0,0.7598549027848426
2024-07-12,74.33314315137153,0.0,9.09293734917383,7.188367496251515,5.452930654372672,1.7779131688532308,0.0,1.394853929229657,0.0,0.7598542507475636
2024-07-15,74.38331265660658,0.0,9.099074425430814,7.193219125355912,5.481083562022123,1.6850010612016124,0.0,1.4408764106896528,0.0,0.717432758693316
2024-07-17,74.39295857432337,0.0,9.100254379913508,7.194151931348601,5.4817943408130905,1.6722517178849226,0.0,1.441063261406584,0.0,0.7175257943099153
2024-07-18,74.39231969447331,0.0,9.100176227770277,7.194090148636965,5.4817472636701225,1.673096147496065,0.0,1.4410508856885316,0.0,0.7175196322647341
2024-07-19,74.39295857432337,0.0,9.100254379913508,7.194151931348601,5.4775003501652755,1.676545708532737,0.0,1.441063261406584,0.0,0.7175257943099153
2024-07-23,74.39308628772145,0.0,9.100270002687926,7.194164281839925,5.4775097536114625,1.676376826805722,0.0,1.4410658212180758,0.0,0.7175270261154403
2024-07-24,74.39308625577708,0.0,9.100269998780272,7.194164278750752,5.477509751259421,1.676376826085886,0.0,1.4410658635392628,0.0,0.7175270258073343
2024-07-25,74.39295857432337,0.0,9.100254379913508,7.194151931348601,5.4775003501652755,1.676545708532737,0.0,1.441063261406584,0.0,0.7175257943099153
2024-07-26,74.39308635161021,0.0,9.100270010503236,7.19416428801827,5.477509758315547,1.6763768282453937,0.0,1.4410657365757022,0.0,0.7175270267316523
2024-07-29,74.39321412933596,0.0,9.100285641146657,7.194176644730386,5.477519166498135,1.676207947377912,0.0,1.4410682117533233,0.0,0.7175282591576227
2024-08-01,74.39321409739148,0.0,9.100285637238988,7.194176641641203,5.477519164146086,1.6762079466581474,0.0,1.4410682540745818,0.0,0.7175282588495157
2024-08-05,74.46173327812208,0.0,9.103412845549967,7.196648837556936,5.479401450498018,1.7183642121142872,0.0,1.3995536565711408,0.0,0.6408857195875651
2024-08-08,74.47984113167047,0.0,9.105626643958097,7.198398942710988,5.480733949684248,1.6944637549399302,0.0,1.3998940047141477,0.0,0.641041572322126
2024-08-09,74.47945712819994,0.0,9.10557969713088,7.1983618291761795,5.48070569209366,1.694197228411574,0.0,1.4006601577504196,0.0,0.6410382672373569
2024-08-12,74.47939312800648,0.0,9.105571872706744,7.198355643624252,5.480700982523558,1.6941957725879881,0.0,1.4007448841577743,0.0,0.6410377163932087
2024-08-15,74.43807197625526,0.0,9.100520103333608,7.194361997416659,5.477660290763184,1.6932558331272158,0.0,1.4000536335092204,0.0,0.6960761655948553
2024-08-16,74.43813590545379,0.0,9.100527919078173,7.194368176107002,5.477664995108998,1.693171404941501,0.0,1.4000548359088032,0.0,0.696076763401733
2024-08-19,74.43813590545379,0.0,9.100527919078173,7.194368176107002,5.477664995108998,1.6930855225471344,0.0,1.40014071830317,0.0,0.696076763401733
2024-08-20,74.43807197625526,0.0,9.100520103333608,7.194361997416659,5.477660290763184,1.6930840684859976,0.0,1.4002253981504384,0.0,0.6960761655948553
2024-08-22,74.43819983476213,0.0,9.100535734836162,7.194374354807959,5.477669699462892,1.6930010941426439,0.0,1.4001419207785761,0.0,0.6960773612096374
2024-08-23,74.44536061222912,0.0,9.101411184690836,7.195066436479511,5.4781966382368354,1.6835441950750256,0.0,1.4002766110953646,0.0,0.6961443221933057
2024-08-26,74.45629624284533,0.0,9.102748133964552,7.19612335376974,5.464311884126694,1.6837914988330032,0.0,1.4004823043400947,0.0,0.6962465821205928
2024-08-28,74.45636020335058,0.0,9.102755953536558,7.196129535485844,5.464316578157509,1.6837070418469922,0.0,1.4004835074022977,0.0,0.696247180220222
2024-08-29,74.45642416396572,0.0,9.102763773122,7.196135717212569,5.464321272196389,1.6836225847158783,0.0,1.4004847104665676,0.0,0.6962477783208788
2024-08-30,74.45674396868976,0.0,9.102802871250725,7.196166626005504,5.46434474251176,1.68328620074702,0.0,1.4004048219556529,0.0,0.6962507688395763
2024-09-02,74.47728118332559,0.0,9.105313674253782,7.198151526374175,5.4658519588475745,1.6565114614473124,0.0,1.400447381830274,0.0,0.6964428139212955
2024-09-03,74.48156919629047,0.0,9.105837910671442,7.198565958353671,5.466166654063233,1.6508493568811313,0.0,1.4005280122780364,0.0,0.6964829114620213
2024-09-05,74.46800287755646,0.0,9.104179343313511,7.197254787801377,5.465171028435545,1.6687630385993333,0.0,1.4002728725270006,0.0,0.6963560517667753
2024-09-09,74.4572556939436,0.0,9.102865432865183,7.1962160837174185,5.464382297782799,1.6829541517978748,0.0,1.4215468992880012,0.0,0.6747794406051365
2024-09-10,74.4479183986188,0.0,9.101723890082598,7.1953136438656085,5.46369703815556,1.6940810671834954,0.0,1.4213686305203306,0.0,0.675897331573614
2024-09-11,74.4272695508179,0.0,9.099199439226552,7.193317954267997,5.462181629115284,1.7213471614092906,0.0,1.4209744002295193,0.0,0.6757098649334593
2024-09-12,74.4240741585004,0.0,9.098808782520228,7.193009122934171,5.4619471208050925,1.7237633776161332,0.0,1.4209992595850256,0.0,0.6773981780389533
2024-09-13,74.4618612499106,0.0,9.10342849090191,7.196661205896787,5.464720297327141,1.673951815648787,0.0,1.4216348291175842,0.0,0.6777421111971964
2024-09-16,74.46589157878304,0.0,9.103921223826783,7.1970507329775835,5.465016081230799,1.6686298118167675,0.0,1.4217117766421519,0.0,0.6777787947228696
2024-09-20,74.4626928693507,0.0,9.10353016158241,7.196741581048069,5.464781329479141,1.6728536715550673,0.0,1.4216507064961614,0.0,0.6777496804884496
2024-09-23,74.46275684084627,0.0,9.103537982498052,7.196747763826377,5.468995653544506,1.6685595686885026,0.0,1.4216519278476647,0.0,0.6777502627486259
2024-09-24,74.47235381015062,0.0,9.104711272049576,7.197675300897401,5.469700513069448,1.657604773844009,0.0,1.4218351543422487,0.0,0.6761191756466992
2024-09-27,74.46793889704676,0.0,9.104171521295838,7.197248604151864,5.469376255123594,1.6634347645336545,0.0,1.4217508642891852,0.0,0.6760790935591108
2024-10-03,74.47312167456288,0.0,9.104805148278968,7.197749514191755,5.469756909680469,1.656590791854089,0.0,1.4218498145021508,0.0,0.6761261469296903
2024-10-04,74.48163323222576,0.0,9.105845739465245,7.198572147360011,5.470382050003472,1.6453510911484077,0.0,1.4220123181868622,0.0,0.6762034216102405
2024-10-07,74.48182524468584,0.0,9.105869214190026,7.198590705163956,5.4703961525609675,1.6450975344354635,0.0,1.4220159841118913,0.0,0.6762051648518541
2024-10-08,74.46832278175407,0.0,9.104218453603504,7.19728570620833,5.465108588829003,1.6586319751504333,0.0,1.4303499156852844,0.0,0.6760825787693744
2024-10-09,74.50628292285785,0.0,9.108859318393105,7.200954514243292,5.467894421588893,1.6385889333950774,0.0,1.4009926784426066,0.0,0.6764272110791835
2024-10-10,74.49315573241489,0.0,9.10725443721665,7.199685784982199,5.467360767886566,1.6554894065933758,0.0,1.400745838887906,0.0,0.676308032018408
2024-10-14,74.49840605346485,0.0,9.107896321819455,7.200193223034169,5.467746110661283,1.648558028146059,0.0,1.4008445642713487,0.0,0.6763556986028324
2024-10-16,74.49776573078616,0.0,9.107818038365096,7.2001313365153035,5.467699114731819,1.649403370511265,0.0,1.4008325238453672,0.0,0.6763498852449953
2024-10-17,74.49770169912368,0.0,9.107810210093675,7.200125147921928,5.467694415183306,1.649487903948546,0.0,1.4008313198141527,0.0,0.6763493039147078
2024-10-23,74.47565828026896,0.0,9.110370772320417,7.202149385148695,5.4692315982672675,1.6648253634238905,0.0,1.4012251483723699,0.0,0.676539452198405
2024-10-24,74.41372814475035,0.0,9.102795055507935,7.196160447316563,5.459185823408949,1.7548426121258536,0.0,1.2789356182362301,0.0,0.7943522986541248
2024-10-25,74.41283321653972,0.0,9.102685581781866,7.196073903514055,5.470287527465382,1.704224784192615,0.0,1.2814973199549085,0.0,0.8323976665514414
2024-10-28,74.42632334608346,0.0,9.10433578648966,7.197378463023061,5.47127922317427,1.6600280444558742,0.0,1.246503124525947,0.0,0.8941520122477231
2024-10-29,74.42491656389235,0.0,9.1041636992916,7.197242420512976,5.464732053918202,1.6683305875793357,0.0,1.2464795635287362,0.0,0.8941351112767973
2024-10-30,74.41820310870928,0.0,9.103342463638322,7.19659319755563,5.472830006568955,1.6686096415915361,0.0,1.2463671255835869,0.0,0.89405445635269
2024-10-31,74.42523628244776,0.0,9.104202809447184,7.197273338813671,5.473347237067267,1.6573403689353672,0.0,1.2484610109383008,0.0,0.8941389523504502
2024-11-01,74.4264512380107,0.0,9.104351431102984,7.1973908307790015,5.473436586782575,1.655734973140052,0.0,1.2484813914533803,0.0,0.8941535487313077
2024-11-04,74.42504445098488,0.0,9.104179343313511,7.197254787801377,5.473333129484144,1.6596558521661597,0.0,1.2463957885476253,0.0,0.8941366477022985
2024-11-05,74.4264512380107,0.0,9.104351431102984,7.1973908307790015,5.473436586782575,1.6620929404490843,0.0,1.2464193480018024,0.0,0.8898576248738534
2024-11-06,74.43284639482282,0.0,9.105133730327331,7.1980092727742235,5.47390689652718,1.662235757214007,0.0,1.246526447655911,0.0,0.8813415006785313
2024-11-07,74.43239869807311,0.0,9.10507896500565,7.197965978375153,5.473873972214268,1.6628272366421868,0.0,1.2465189500810359,0.0,0.8813361996085827
2024-11-08,74.42478867723933,0.0,9.104148055323453,7.197230053267075,5.47331431948644,1.6728812984023307,0.0,1.2463915051061891,0.0,0.8812460911751865
2024-11-11,74.40982897211616,0.0,9.102318082101817,7.195783378829512,5.47221415958379,1.6926454754665816,0.0,1.2461409750110988,0.0,0.8810689568910424
2024-11-13,74.42689886321735,0.0,9.104406187673032,7.197434118259519,5.473469505834101,1.6700934032556827,0.0,1.2464268443785465,0.0,0.8812710773817696
2024-11-14,74.44819925609305,0.0,9.107011797091932,7.199493967275903,5.475035969742288,1.6419521576316838,0.0,1.2467835619347205,0.0,0.8815232902304161
2024-11-15,74.44877511159808,0.0,9.107082239667173,7.199549655234455,5.475078319048716,1.641191359870564,0.0,1.2467932057835294,0.0,0.8815301087974811
2024-11-18,74.44877511159808,0.0,9.107082239667173,7.199549655234455,5.475078319048716,1.6386130324304657,0.0,1.2493715332236275,0.0,0.8815301087974811
2024-11-20,74.46304637686859,0.0,9.108827998227847,7.200929754273078,5.481285493389313,1.6362623597061958,0.0,1.2279489261047023,0.0,0.8816990914302744
2024-11-21,74.46215026203184,0.0,9.108718379345571,7.200843095718194,5.481219529646301,1.6383916605513762,0.0,1.2269885919575207,0.0,0.8816884807491938
2024-11-22,74.45888602608542,0.0,9.108319075728161,7.200527428620282,5.48097924657959,1.6426176335314981,0.0,1.2270207597416083,0.0,0.8816498297134358
2024-11-25,74.46811257183656,0.0,9.108553955969043,7.2007131117966,5.502610121184903,1.6096520679420214,0.0,1.2286856060644693,0.0,0.8816725652064125
2024-11-26,74.47137729645999,0.0,9.108953280181204,7.2010287951755725,5.503109244473555,1.604994731225058,0.0,1.228825434248953,0.0,0.8817112182356625
2024-11-27,74.46696038442762,0.0,9.108413026370867,7.200601700741636,5.508799830453981,1.604899538671924,0.0,1.2286665955640557,0.0,0.881658923769919
2024-11-28,74.47144131352974,0.0,9.108961110417715,7.201034985322437,5.509131313588926,1.5989787723765385,0.0,1.2287405285925619,0.0,0.8817119761720752
2024-11-29,74.47470633003398,0.0,9.109360470331227,7.201350696924898,5.509372847851533,1.5946646225135113,0.0,1.22879439968777,0.0,0.881750632657077
2024-12-03,74.47790760454654,0.0,9.109752033654352,7.201660244979238,5.5096096667091965,1.5904346965753362,0.0,1.228847219072857,0.0,0.8817885344624796
2024-12-04,74.50346363943372,0.0,9.112877915520176,7.204131392281651,5.511500210917351,1.5909804316248124,0.0,1.2292688805213552,0.0,0.847777529700929
2024-12-06,74.50666738672665,0.0,9.113269781300993,7.204441179442118,5.511737212702477,1.5910488458837198,0.0,1.229321740706048,0.0,0.8435138532380053
2024-12-09,74.5043606609031,0.0,9.112987634541799,7.2042181300011,5.524122566103506,1.590999587024237,0.0,1.2292836809148349,0.0,0.8340277405114194
2024-12-12,74.50920533506358,0.0,9.112854404644986,7.204112805899217,5.524041804633286,1.5865043934968217,0.0,1.2292657090548336,0.0,0.8340155472072843
2024-12-13,74.51433184481424,0.0,9.113481402836038,7.204608475586985,5.524421879203228,1.599428241858555,0.0,1.2274581850731463,0.0,0.8162699706278124
2024-12-16,74.51298606772097,0.0,9.11331680745944,7.204478355691761,5.524322104566128,1.603355497017566,0.0,1.2252859392806557,0.0,0.8162552282634752
2024-12-17,74.51176850176121,0.0,9.113167892955932,7.204360632217416,5.524231835380846,1.6049633295743275,0.0,1.2252659177175782,0.0,0.8162418903926845
2024-12-18,74.46220251373057,0.0,9.107105720767752,7.199568218078749,5.542043177445268,1.658556374268637,0.0,1.2244508583379246,0.0,0.8060731373710932
