date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,KAISA FINANCIAL GROUP CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PUBLIC BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-06-12,4.242269856312777,4.283483910543889,2.368996999689523,2.220813132739742,1.5383840537974023,1.734147855202615,1.7707441850512848,0.0,1.0035524241601896,0.8504738603247927,20.012866277822216
2024-06-13,4.2453018486847025,4.290457492999314,2.36869380045233,2.220813132739742,1.5380808545602098,1.7386958437605016,1.7746857751347864,0.0,1.004462021871767,0.8504738603247927,20.031664630528144
2024-06-14,4.246817844870664,4.292883086896855,2.368087401977945,2.220813132739742,1.5349080261426096,1.7386958437605016,1.7728665797116319,0.0,1.0044468619099074,0.8504738603247927,20.029992638334647
2024-06-17,4.230445086062272,4.295005481557201,2.3417090683422033,2.220813132739742,1.533088830719455,1.7426374338440034,1.7755953728463638,1.112932216015684,1.002930865723945,0.8504738603247927,21.105631348175663
2024-06-18,4.231051484536658,4.295005481557201,2.342618666053781,2.220813132739742,1.5309661328598705,1.7329350582538452,1.7710473842884773,1.1214217946570724,1.002930865723945,0.8504738603247927,21.099263860995386
2024-06-19,4.244695450210317,4.288335098338967,2.3398898729190485,2.220813132739742,1.5248415082685833,1.7305094643563057,1.7710473842884773,1.1271825801637287,1.0038404634355225,0.8504738603247927,21.101628815045487
2024-06-20,4.239541063178046,4.294095883845624,2.3380706774958937,2.220206734265357,1.5236907762036669,1.7305094643563057,1.7710473842884773,1.1332465649075774,1.0038404634355225,0.8504738603247927,21.104722872301263
2024-06-21,4.241966657075586,4.294095883845624,2.3383738767330864,2.220206734265357,1.5232019583934653,1.7335414567282301,1.7716537827628622,1.1332465649075774,1.0023244672495604,0.8504738603247927,21.10908524228614
2024-06-24,4.258339415883977,4.294702282320008,2.3192723247899627,2.220206734265357,1.5232535022637879,1.7335414567282301,1.7716537827628622,1.1332465649075774,1.0023244672495604,0.8504738603247927,21.107014391496115
2024-06-25,4.287446542654451,4.300766267063858,2.3186659263155778,2.219600335790972,1.5199789505021095,1.7305094643563057,1.7716537827628622,1.1332465649075774,1.0023244672495604,0.8504738603247927,21.134666161928067
2024-06-26,4.285324147994104,4.301372665538242,2.3192723247899627,2.2186907380793945,1.5197363911123558,1.7214134872405327,1.7725633804744394,1.1384009519398488,1.0023244672495604,0.8504738603247927,21.129572414743233
2024-06-27,4.285324147994104,4.300159868589472,2.317453129366808,2.2186907380793945,1.5197363911123558,1.7208070887661477,1.7762017713207487,1.1384009519398488,1.0023244672495604,0.8504738603247927,21.129572414743233
2024-06-28,4.28229215562218,4.300463067826666,2.3177563286040006,2.2186907380793945,1.5197363911123558,1.7205038895289553,1.7771113690323261,1.1384009519398488,1.0023244672495604,0.8504738603247927,21.127753219320077
2024-07-02,4.282079916156145,4.300159868589472,2.3044155621675335,2.2186907380793945,1.5158251209525733,1.7208070887661477,1.7771113690323261,1.1384009519398488,1.005659658858677,0.8504738603247927,21.113624134866914
2024-07-03,4.282079916156145,4.304707857147359,2.304112362930341,2.2186907380793945,1.5134904868261916,1.7205038895289553,1.7698345873397074,1.1384009519398488,1.0026276664867526,0.8504738603247927,21.104922316759488
2024-07-04,4.282383115393337,4.303495060198589,2.301686769032801,2.2186907380793945,1.5104584944542672,1.7205038895289553,1.7698345873397074,1.1414329443117732,1.002021268012368,0.8504738603247927,21.100980726675985
2024-07-05,4.281170318444568,4.306830251807706,2.301686769032801,2.219600335790972,1.50712330284515,1.7205038895289553,1.7698345873397074,1.1414329443117732,1.002021268012368,0.8504738603247927,21.100677527438794
2024-07-08,4.282079916156145,4.306830251807706,2.301686769032801,2.219600335790972,1.506887474478462,1.7205038895289553,1.7698345873397074,1.1414329443117732,1.005659658858677,0.8504738603247927,21.104989687629995
2024-07-09,4.281170318444568,4.3083462479936685,2.2922875926798354,2.219600335790972,1.506887474478462,1.7205038895289553,1.7698345873397074,1.1414329443117732,1.005659658858677,0.8504738603247927,21.09619690975141
2024-07-10,4.281430827229164,4.300766267063858,2.2786436270061756,2.219600335790972,1.5056395367381017,1.7205038895289553,1.7689249896281303,1.1414329443117732,1.005659658858677,0.8504738603247927,21.0730759364806
