date,HAO TIAN INTERNATIONAL SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-10-02,68.25444145466751,10.841336824812316,5.364529872202983,8.766490477868137,2.3388563371758235,2.7510629250410017,1.6832821082322278
2024-10-03,68.25476786070337,10.841388670197041,5.364139683402735,8.766532400933425,2.3388051455883905,2.7510760811598507,1.6832901580151938
2024-10-04,68.237883992996,10.838706885791222,5.36281278086366,8.789100403810082,2.3382266061264736,2.7503955601345362,1.6828737702780174
2024-10-07,68.14162134184843,10.823416806457214,5.359399039473875,8.776618657630797,2.4719288026715436,2.7465155985526346,1.6804997533655015
2024-10-08,68.25740760683495,10.841807959789552,5.306792240148854,8.78737329978914,2.3920423928772716,2.751182478744526,1.6633940218157026
2024-10-09,67.80191461631108,10.847944741388051,5.538644492735434,8.943537388601671,2.548831631938046,2.671521714674065,1.6476054143516439
2024-10-10,67.56664137595105,10.810302277675987,5.537537974356933,8.998949862833078,2.704215173790489,2.6622515108153624,1.7201018245771023
2024-10-14,67.5594244530713,10.8091476085041,5.515110767092112,9.022685066021252,2.7117468575047368,2.661967150612623,1.7199180971938774
2024-10-15,67.506491894046,10.800678681356892,5.564256637260371,8.99505161834019,2.7530126913321613,2.6598815092019112,1.7206269684624766
2024-10-16,67.49472186219889,10.798795539032602,5.563286486449855,9.005819667572082,2.757631726579126,2.659417748025845,1.72032697014161
2024-10-17,67.45588768220993,10.792582277342557,5.5600855595805525,9.058174641108979,2.756045078558977,2.6578876090069237,1.7193371521920713
2024-10-18,67.50027325257702,10.799683731886752,5.604868688534774,8.957210838382004,2.757858539725562,2.659636483146022,1.7204684657478708
2024-10-21,67.5308222304123,10.804571405418367,5.607405315441379,8.932464387050961,2.7467637078756706,2.660840169769178,1.717132784032158
2024-10-22,67.55027689021566,10.807684047232446,5.674868873501952,8.819803447731509,2.768132556398751,2.661606719599082,1.7176274653206012
2024-10-23,67.52598809664872,10.803797969797314,5.708784998550998,8.816632144887093,2.767137229609231,2.6606496958954815,1.7170098646111638
2024-10-28,67.53154463167863,10.804686985768312,5.70925475937519,8.817357642236184,2.759136194403813,2.66086863372452,1.7171511528133558
2024-10-29,67.50965717834346,10.801185109963576,5.748041128335942,8.806273805368567,2.758241938763286,2.6600062272984673,1.716594611926699
2024-10-30,65.44107233352202,10.470222566848348,8.648006348524836,8.536437973066677,2.6537907439769044,2.5864741427820515,1.663995891279176
2024-10-31,65.41499134036741,10.466049747037243,8.672457673501462,8.533035846964502,2.6088935159751956,2.6252974904206727,1.6792743857335288
