date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-09-02,20.693443782679317,3.5739268931774077,25.199049903765207,22.081279863413787,5.864986740545476,6.908353653957879,4.347362139218344,3.746635734526355,3.0194406130571045,4.56552067565912
2024-09-03,21.355262067577645,3.5682859363840476,24.49636384442068,22.01486029507511,5.85572965785019,6.897449758707635,4.419418609698257,3.7407221803517383,3.0935930267887795,4.5583146231459155
2024-09-04,21.627403099403477,3.5559382950528295,24.411597006767412,21.93868041383053,5.835466581729956,6.873581930501323,4.4041257220603445,3.727777843315363,3.082888005442241,4.542541101896527
2024-09-05,21.61720257677055,3.5542611436679286,24.447248130111976,21.928333077857303,5.832714295259544,6.87034001894453,4.402048524724185,3.7260196441415414,3.081433967306929,4.540398621215515
2024-09-09,22.22854847578453,3.5265397169564823,24.256572045845406,21.757303248097898,5.787222094397236,6.8167548659072565,4.367714788224329,3.696958588604164,3.05740035175703,4.504985824425665
2024-09-10,22.2821287835467,3.517759961410839,24.19618231822832,21.703135758382057,5.772814091268035,6.939825026160495,4.356840823598517,3.6877545542601733,3.049788576518962,4.493770106625899
2024-09-11,22.36137693284211,3.5106585347863053,24.14733662801306,21.659322869554753,5.76116030700307,6.925815355588598,4.425689184625001,3.6803099535302635,3.0436318603035093,4.484698373753334
2024-09-12,22.61264841962284,3.4895252501475995,24.048281477308244,21.528939173519277,5.726479565651927,6.945864702273227,4.399047644773043,3.719896429439662,3.025309959212339,4.504007378051839
2024-09-13,22.5380734103846,3.4803927228502043,24.216266977642817,21.50338494459775,5.711492647030524,6.9430813579805015,4.387534782759298,3.7101609917368092,3.017392341827447,4.492219823190045
2024-09-16,21.57584942213126,3.5320493541696774,24.419455760525256,21.79129544930808,5.796263675315494,7.0461318532811,4.452655384002469,3.7652278861213855,3.0621770360157328,4.5588941791295445
2024-09-17,21.224358063066003,3.4437712041864703,24.98987578140909,22.051047578064065,5.7018369597375,6.931343581783322,4.3801173410382415,3.7038886989130395,3.012291224012264,4.561469567790001
2024-09-19,21.21783619553903,3.4734412149938354,24.982196837297916,22.044271683560787,5.7000848867088925,6.929213703249894,4.378771408927316,3.7027505598297656,3.0113656005254525,4.560067909367114
2024-09-20,21.253169752979854,3.469177149389834,24.95152819497673,22.017209696662793,5.69308734899316,6.920707262522682,4.373395941948923,3.698204989507686,3.00766878814733,4.615850874871004
2024-09-23,20.87288719783415,3.482537249631258,25.04761868084893,21.96336076590402,5.715011919111785,7.240042053861291,4.3132165427258755,3.712447095703343,3.019251579908113,4.633626914471227
2024-09-24,20.52063926692,3.5172126779900976,24.721380592515956,22.337625968954562,5.771915972727308,7.3121307471208485,4.356162998284761,3.7494117235236692,3.0337563738054585,4.679763678157343
2024-09-25,19.780017377586116,3.620864314686463,25.40186668908936,23.01192807120806,5.942013317477287,5.925997109074383,4.484538352813047,3.8919386419056083,3.1231606385662287,4.817675487593444
2024-09-26,20.533464271366366,3.6858785766170103,25.695398637324647,23.38688536564581,6.0220673870963815,4.074228879140679,4.5936524812621995,3.8794450283451085,3.2463975132595047,4.882581859942295
2024-09-27,19.987838525400523,3.7241413543911612,26.11010684724112,23.789995325691734,6.138649083546021,3.6898079397055596,4.583304032728431,3.8552701791542394,3.1437825495249165,4.977104162616289
2024-09-30,19.4241805697002,3.830200142490613,24.634441642226175,24.875364421929568,6.486382530475946,3.636570259673845,4.668097400639022,3.9687569660863597,3.251933020669881,5.224073046108389
