date,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-07-03,51.11872162888922,43.003165217431814,1.0478618012463272,1.3164892113279327,1.0939664310895971,0.9137629981335895,0.7878304682873329,0.7182022435941807
2024-07-04,51.115398254633206,43.00760157735203,1.0479699024075664,1.3166250250510154,1.0940792885689106,0.9138572651839566,0.7879117436887076,0.7165569431146076
2024-07-08,51.11994535914809,43.00889568808836,1.0497208806363805,1.3166646426655337,1.0945420708505798,0.9138847634041544,0.7836368408681907,0.7127097543387055
2024-07-09,51.111376749414006,43.001686634172984,1.0701748045444988,1.3164439463131723,1.0943586061818136,0.9137315801050618,0.7796373877284017,0.7125902915400718
2024-07-10,51.112694810093,43.00279556208468,1.0800878059380408,1.3164778947824192,1.0943868275121564,0.9137551434239055,0.7796574930249128,0.7001444631408947
2024-07-11,51.13665141982726,43.022951047812654,1.087044069132064,1.325694962473953,1.0948997685383035,0.9141834220628038,0.7800229198597959,0.6385523902931626
2024-07-16,51.1236233288569,43.00982010058287,1.1146538686577252,1.3252903498155677,1.094565596410813,0.9139044060032101,0.7797848506537268,0.6383574990191755
2024-07-17,51.11703121972424,43.00427422160525,1.1274045884008532,1.325119460937793,1.0944244582168707,0.913786563072899,0.7796843017000182,0.6382751863420767
2024-07-18,51.1266808541164,43.01166904479029,1.1310375626602225,1.3253473225699226,1.0946126505652916,0.9139436937345622,0.7798183727349463,0.6168904988283616
2024-07-19,51.124359966928054,43.01333323049994,1.1315112296750307,1.3253986022371276,1.094655002763454,0.9139790555809709,0.7798485450723806,0.6169143672430354
2024-07-23,51.124799543560265,43.01370306703528,1.131520958616302,1.3258399074364267,1.0946644148081202,0.9139869141406755,0.7798552503533327,0.6156299440495989
2024-07-24,51.12556538005053,43.01832656039657,1.1316425844998528,1.325982420439797,1.0947820790242613,0.9140851575405347,0.7734897452565483,0.6161260727919031
2024-07-25,51.12535524088141,43.018511520805234,1.1316474500790517,1.325988121597187,1.094786786119049,0.9140890877158298,0.7734930709316923,0.6161287218705476
2024-07-26,51.13195060655635,43.02406107274349,1.1317934369130447,1.3261591791184766,1.0949280177869078,0.9189371484358574,0.7559623336220109,0.6162082048238575
