date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-08-06,33.80521985156297,31.65136895166209,9.528745804107434,7.713185054256464,4.669160915031763,1.8660409793691546,3.423960919514759,2.7165763747940623,2.458027336541896,2.1677138131594074
2024-08-07,33.83192052821939,31.671333502764874,9.519574127419425,7.630552118612089,4.6868813904718385,1.8936090827511192,3.420665264116687,2.719834439939867,2.467407105863836,2.158222439840871
2024-08-08,33.95728771671885,31.458337826376514,9.520360122785714,7.6258195401733,4.756726863377627,1.8682292196057597,3.420947695558602,2.7192929200819664,2.4699090893895703,2.203089005932099
2024-08-09,34.04980272697094,31.444303545414627,9.512248165876336,7.6134799365556605,4.724097640106258,1.8941929776403097,3.418032828900439,2.7042186818441194,2.463977400644852,2.1756460960464583
2024-08-12,32.27796688758773,35.0496617549064,8.99730703693151,7.196621760555705,4.508180657871007,1.832195564905652,3.232999211926641,2.568687019529368,2.340003093929608,1.9963770118563735
2024-08-13,32.36868230173899,35.02101953246949,8.992807716759277,7.158866493524335,4.4996547289498,1.8279023673734507,3.2313824727722116,2.5642667334134854,2.3381092838590773,1.9973083691398756
2024-08-14,32.42662459688628,34.88687105893028,8.988275437839263,7.2311063050219175,4.501244393417019,1.8486792372410705,3.2297538905623915,2.560563468945138,2.3376541722208963,1.9892274389357505
2024-08-15,32.572168128369036,34.887383211573706,8.99298076567074,7.091661349112415,4.511802133735717,1.8501294464656082,3.2314446543774507,2.5614214814217084,2.338154276177294,1.9628545530963235
2024-08-16,32.66542560560125,34.92191099514712,8.985457258910333,7.013322648290483,4.505617425036075,1.7953174159512715,3.2287412353068907,2.57711367920474,2.349453982249982,1.957639754301858
2024-08-19,32.68557856230869,34.873828577524826,8.990072205536126,6.930340967936748,4.514683391575015,1.8705101028265365,3.23039952247471,2.580848672714835,2.353554326019829,1.970183671082684
2024-08-20,32.68139582009816,34.84549724901925,8.989982934314813,6.952739509245356,4.512227201412906,1.8895412683909156,3.230367444677768,2.5774471417076703,2.3511195958223,1.9696818353108554
2024-08-21,32.78560735123677,34.84375925237273,8.981366383251734,6.924473779593848,4.5071903180099415,1.9022045175110611,3.229350142585849,2.5751890961780095,2.352548725106723,1.898310434153328
2024-08-22,32.87271482284995,34.785887292138796,8.97375606765151,6.917161227110845,4.502889461486762,1.8998701268483287,3.2266137689963545,2.573007022658693,2.3507961605315546,1.8973040497272025
2024-08-23,32.98752945728682,34.72865746423802,8.973998148821913,6.904100404996735,4.5015657605427855,1.9160591491626262,3.2267008119727576,2.5725947090785675,2.3503778524642622,1.8384162414355154
2024-08-26,33.09590204164871,34.70044483133073,8.971055975751332,6.874506753202185,4.5039424306546545,1.924339940174,3.2256429209326245,2.5717512702067236,2.3486441354687497,1.7837697006302884
2024-08-27,33.20995428067807,34.635084658968324,8.969408849825932,6.8645779566645055,4.501911791383488,1.920857014900546,3.225050678492546,2.569353172657492,2.348212913920748,1.7555886825083558
2024-08-28,33.41182690249085,34.72786269036162,8.993875351735179,6.528942812498747,4.502122192700367,1.916923636363294,3.233847881285269,2.5703268884784367,2.3538941160060367,1.7603775280801883
2024-08-29,33.424531917799726,34.6426072887064,8.96729871878725,6.724098027547308,4.484245589945733,1.9006691573286896,3.2242919574160576,2.5608061898707595,2.3430875103267805,1.728363642271296
2024-08-30,33.45078343291406,34.689379529512934,8.970724221295383,6.698255252955502,4.485717794587994,1.8823740364105817,3.22552363492937,2.5639513855789184,2.3463903120068794,1.686900399808372
2024-09-02,33.342509088266794,34.8627686488763,8.937698945317775,6.66723892742158,4.480718469851441,1.874484617932807,3.2280423081157603,2.5554718776996803,2.3377521925313904,1.7133149239864764
2024-09-03,33.514391597273814,34.851952005912665,8.94868469691393,6.613072878367575,4.494632333461378,1.8775091847745717,3.2320100487116123,2.5602942097483443,2.3427872806027867,1.5646657642333226
2024-09-04,33.59681075580448,34.81495688606611,8.93847024683269,6.625341701774932,4.4859033183612445,1.8768055594305806,3.2283208802558265,2.5573717693803446,2.3118038893123414,1.564214992781442
2024-09-05,33.60080101200027,34.83468773605806,8.93953185909531,6.604654209769533,4.486436104155703,1.8770284655589695,3.2287043043697414,2.557675505607627,2.315677517233646,1.554803286151141
2024-09-09,33.659600809735466,34.765902036092506,8.946040481781422,6.594306532656252,4.489942664445406,1.8807961959913677,3.2281736911997467,2.5568964470291573,2.3200047276104256,1.5583364134582538
2024-09-10,33.64887489308154,34.78106204862108,8.94376395595842,6.603430743734295,4.487839892203574,1.8759966704911912,3.227352208133119,2.5490442631740358,2.324935516455264,1.5576998081474736
2024-09-11,33.6810830510134,34.813216964757274,8.952452515351409,6.544848939007738,4.502291600728493,1.8300026290308908,3.230487469917815,2.5551248314751933,2.3336817783126476,1.5568102204051346
2024-09-12,33.68220314503832,34.8174903060643,8.952558631888138,6.535315045108471,4.501143533924379,1.8252185845529594,3.230525762010587,2.5635651564979263,2.335151161096187,1.5568286738187274
2024-09-13,33.69904496881078,34.644036587281796,8.956012836670084,6.676765859547085,4.508408958692708,1.815105738310521,3.231772209869146,2.5720060330835968,2.339417455911548,1.5574293518227362
2024-09-16,33.79746767307737,34.69673322021961,8.95699690124209,6.6039185632893505,4.508663925604731,1.7496743587484944,3.2321273090181215,2.5807028463054817,2.3401553171840472,1.5335598853106969
