date,UPBEST SECURITIES CO LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,EDDID SECURITIES AND FUTURES LTD,WATON SECURITIES INTERNATIONAL LIMITED,DBS BANK (HONG KONG) LTD
2024-06-25,84.259179103745,0.0,4.396224209219576,3.307431368121752,2.747000539339186,2.4164656415949803,0.012494344078171755,1.402936349349,1.4520212725132462,0.006247172039085877
2024-06-26,84.25993108415284,0.0,4.396263443811095,3.30746088566056,2.7470250552507802,2.4164872076111465,0.019634144491239156,1.4029488700103616,1.4440020812193162,0.006247227792667003
2024-06-27,84.26293914001161,0.0,4.396420389180486,3.3049014821630815,2.747123123273212,2.416573475525314,0.019634845424679394,1.4029989548907278,1.4431611387139354,0.006247450816943444
2024-06-28,84.26444324848251,0.0,4.396498866067436,3.304067966338134,2.7471721599102255,2.4166166117922443,0.019635195910167193,1.404809016481962,1.440509372682266,0.006247562335053199
2024-07-02,84.26669951187381,0.0,4.396616586651101,3.298801239192543,2.7472457181482564,2.4166813190801792,0.020528254464672213,1.4048466316258288,1.442333009343926,0.006247729619682847
2024-07-03,84.26594741065156,0.0,4.396577345756089,3.290739073041555,2.7472211982978956,2.416659749599182,0.022313120918372356,1.4048340930207235,1.4494603348574684,0.00624767385714426
2024-07-04,84.2651953228546,0.0,4.3965381055615405,3.294279770123355,2.747196678885223,2.4157456636324066,0.02320543864080391,1.4048215546394367,1.4467698475670436,0.006247618095601053
2024-07-05,84.27647804962523,0.0,4.381059327291376,3.2956134955908225,2.747564516037849,2.41517648462538,0.02767172761736606,1.405009653862393,1.4451782907263115,0.006248454623276207
2024-07-08,84.27647804962523,0.0,4.381059327291376,3.294720859216069,2.747564516037849,2.414283848250626,0.02767172761736606,1.405009653862393,1.446963563475819,0.006248454623276207
2024-07-09,84.24865278718454,0.0,4.371581773743204,3.288279003111595,2.7466573625176647,2.4125943911567753,0.027662591342322785,1.4045457668650343,1.4447011413942124,0.05532518268464557
2024-07-10,84.25015638566624,0.0,4.372552151607984,3.288337689525596,2.7467063825281146,2.411745091512757,0.027663085040785202,1.4045708340063197,1.4411574948667132,0.05711088524549203
2024-07-11,84.2028188006853,0.0,4.370095348345651,3.2802470798398584,2.7451630922556856,2.410390005740581,0.027647541999737794,1.403781648631848,1.440347752566985,0.11950872993435047
2024-07-12,84.20056595679786,0.0,4.36997842657589,3.2819429815916887,2.745089645499621,2.410325515828389,0.028538634622536425,1.4037440904960103,1.4367418867783182,0.12307286180968834
2024-07-15,84.20056595679786,0.0,4.36997842657589,3.2739164906041007,2.745089645499621,2.410325515828389,0.028538634622536425,1.4037440904960103,1.4420928807700437,0.12574835880555113
2024-07-16,84.20056595679786,0.0,4.36997842657589,3.2712409936082376,2.745089645499621,2.407650018832526,0.031214131618399213,1.4037440904960103,1.433174557450501,0.13734217912095653
2024-07-17,84.20056595679786,0.0,4.368194761911981,3.2676736642804203,2.745089645499621,2.407650018832526,0.03299779628230774,1.4037440904960103,1.4322827251185468,0.14180134078072787
2024-07-18,84.20131689136583,0.0,4.368233719232625,3.2632436052821916,2.7451141273149573,2.407671491225332,0.034781771141296935,1.4037566096513172,1.4331873390785685,0.14269444570788486
2024-07-19,84.20131689136583,0.0,4.368233719232625,3.259676244139494,2.7451141273149573,2.407671491225332,0.034781771141296935,1.4037566096513172,1.4367547002212655,0.14269444570788486
2024-07-22,84.2028188006853,0.0,4.368311635958571,3.2597343873884395,2.7451630922556856,2.4077144371599615,0.03478239154805723,1.403781648631848,1.4349966154057454,0.14269699096638863
