date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-11-04,28.93126512025046,23.70855272520279,24.960865234097053,22.399316920449692,0.0
2024-11-05,28.54535242909295,24.72620050547599,24.62791350744173,22.10053355798933,0.0
2024-11-07,28.54535242909295,24.75428250491435,24.62791350744173,22.072451558550966,0.0
2024-11-14,28.541344938930223,24.764846272637932,24.624455987645653,22.069352800786184,0.0
2024-11-26,28.53333333333333,24.785964912280704,24.617543859649125,22.063157894736843,0.0
2024-11-28,28.401788208996926,25.13271863649064,24.50405141100866,21.96144174350377,0.0
2024-12-03,28.381962864721483,25.18497836102192,24.486946809995814,21.946111964260783,0.0
2024-12-11,28.397820924710153,25.143176421287887,24.50062857941053,21.958374074591426,0.0
2024-12-18,28.29899777282851,25.403674832962135,24.41536748329621,21.88195991091314,0.0
2024-12-20,28.302937491298902,25.393289711819573,24.418766532089656,21.88500626479187,0.0
2025-01-06,24.22833988797521,21.749493504945775,20.903348826123228,18.73435824097247,14.384459539983316
2025-01-07,24.168752234537003,21.809081158383982,20.903348826123228,18.73435824097247,14.384459539983316
2025-01-09,23.966354697310745,22.331477313114558,20.779528491884847,18.623385854756545,14.299253642933301
2025-02-03,23.960677484306526,22.349875636622055,20.774606182636504,18.618974298235223,14.295866398199692
2025-02-04,23.957839886309806,22.35907153008053,20.772145902415918,18.61676930364756,14.294173377546187
2025-02-05,23.96919431279621,22.322274881516588,20.781990521327014,18.62559241706161,14.300947867298577
2025-02-06,23.960677484306526,22.349875636622055,20.774606182636504,18.618974298235223,14.295866398199692
2025-02-07,23.87776856567571,22.432784555252873,20.774606182636504,18.618974298235223,14.295866398199692
2025-02-10,23.883426134344273,22.414405876081034,20.779528491884847,18.623385854756545,14.299253642933301
2025-02-12,23.874940786357175,22.441970630033158,20.772145902415918,18.61676930364756,14.294173377546187
2025-02-25,23.81852551984877,22.62523629489603,20.723062381852554,18.572778827977316,14.26039697542533
2025-02-27,23.81571175428234,22.634376845835792,20.72061429415239,18.57058476077968,14.258712344949792
2025-03-06,23.81008621707807,22.65265147041455,20.71571985354907,18.56619818117397,14.25534427778434
2025-03-07,23.706491063029162,22.989181561618064,20.625587958607714,18.485418626528695,14.193320790216369
2025-03-18,23.709279077972482,22.98012466188404,20.628013642243914,18.487592614371398,14.194990003528165
2025-03-20,23.70091699976487,23.007288972490006,20.620738302374793,18.481072184340466,14.18998354102986
2025-03-24,23.677404185280977,23.0308017869739,20.620738302374793,18.481072184340466,14.18998354102986
2025-03-27,23.671838269863656,23.048895157498826,20.61589092618712,18.47672778561354,14.18664786083686
2025-03-31,23.669056293336467,23.05793865319074,20.613468092607825,18.47455635209778,14.184980608767187
2025-04-09,23.674620900434938,23.039849535676503,20.61831432937581,18.478899729634417,14.188315504878336
2025-04-10,23.671838269863656,23.048895157498826,20.61589092618712,18.47672778561354,14.18664786083686
2025-04-11,23.624633431085044,23.20234604105572,20.574780058651026,18.439882697947212,14.158357771260995
2025-04-16,23.635723506630676,23.224973594648514,20.58443844619176,18.389860345029927,14.16500410749912
2025-04-23,23.663494301492186,23.13476677241217,20.608624133474326,18.411467512630715,14.1816472799906
