date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS BANK CO LTD
2024-03-27,36.6097887406804,18.110222771560082,9.958359838860646,7.454687027291161,3.487766856439383,3.0347010157020824,2.82224223227865,0.9075656149684794,2.065555522043604
2024-03-28,37.340048481888786,17.903280304970234,10.039524324618277,7.668202300391931,3.555886557364067,0.0,2.4661977647329305,0.8954862545284772,2.0732500145772024
2024-04-02,37.90720704444591,17.76494154770638,10.060291180811104,7.846444254673806,3.5598027506965795,3.0750663786909898,2.289076007217112,0.9471138173345531,2.0751253747646023
2024-04-03,37.79948414897555,17.789518529065827,10.069199141701256,7.973665380327881,3.555886557364067,3.0347185558356,2.4423632053770827,0.9269261164937157,2.0779108362194174
2024-04-05,37.19156408116875,17.719275258517175,10.072370706724065,7.972782857886751,3.554093933655523,0.0,3.152486597519169,0.9274776930194217,2.0767801043417204
2024-04-08,37.00036007853278,17.62760737676879,10.082540067970852,7.975430425210139,3.536664115443215,0.0,3.518204393542109,0.9362643070739172,2.0736361181451968
2024-04-09,0.0,17.65755798211462,10.085739211819947,8.05394734364438,3.53892557919861,0.0,3.389948179379894,0.9400150274487177,2.0738843275817644
2024-04-10,37.03293067237572,17.595119519404708,10.086263209519368,8.052816611766684,3.5418213559585654,0.0,3.4556768512232954,0.9368727511394235,2.0745186405863256
2024-04-11,36.84528433833056,17.706708635374362,10.084001745763974,8.050830936274142,3.5406630452545826,3.0346913079552302,3.5471314383291896,0.945784352434644,2.0751529535908877
2024-04-12,37.0022078598939,17.349562834979768,10.06326246839743,8.058553007634025,3.541407673564286,0.0,3.8106498262101787,0.9424748932804085,2.0771110502571437
2024-04-15,36.991093592900924,17.07082810548413,10.047128855020532,8.066578446083046,3.544606817413381,3.034713040070343,3.8972295248242306,0.9412338460975701,2.0777177844354204
2024-04-16,37.11555683592647,16.957225404249733,10.047597695067381,8.205079311687808,3.5411043064751477,3.05068118048953,3.7798288882644346,0.9368212338919225,2.072670859225211
2024-04-17,37.17755403741581,16.800412804725713,10.049804001170205,8.320386384386635,3.545461761028225,3.0381879721822904,3.753043615126671,0.9649792155292108,2.07443590410747
2024-04-18,37.16009664037722,16.150352345512626,10.036042166853841,8.33707157428924,3.542841772531122,3.0382430746772084,4.250028185146782,0.9931482286970131,2.0744083252811847
2024-04-19,37.22680982116135,16.074035831312386,10.036428270421837,8.369945535221314,3.538098214410051,3.0350163520018283,4.232473931270274,1.003606505727966,2.0742980099760437
2024-04-22,37.38580175469609,16.03801490567055,10.04050993671206,8.384203788410813,3.538153372062621,3.0346913079552302,4.464666633526846,0.9700074422951988,0.0
