date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHIEF SECURITIES LTD,TOTAL_CCASS_PCT
2024-04-12,1.845413,3.1870000000000003,1.2415,1.3285,1.2815,0.0,0.0,0.624,9.507913
2024-04-15,1.846913,3.1870000000000003,1.2415,1.3285,1.28,0.0,0.0,0.624,9.507913
2024-04-16,1.858413,3.1870000000000003,1.2415,1.3285,1.28,0.0,0.0,0.624,9.519413
2024-04-17,1.880413,3.167,1.2415,1.3285,1.2815,0.0,0.0,0.624,9.522912999999999
2024-04-22,1.890913,3.167,1.2415,1.3285,1.2710000000000001,0.0,0.0,0.624,9.522912999999999
2024-04-25,1.898413,3.167,1.2415,1.3285,1.2670000000000001,0.0,0.0,0.624,9.526413
2024-04-26,1.897913,3.167,1.2415,1.3285,1.2665,0.0,0.0,0.624,9.525413
2024-04-29,1.9084130000000001,3.167,1.2415,1.3285,1.2665,0.0,0.0,0.624,9.535913
2024-04-30,1.922913,3.167,1.2415,1.3285,1.266,0.0,0.0,0.624,9.549913
2024-05-02,1.9234129999999998,3.1675,1.2415,1.3285,1.265,0.0,0.0,0.624,9.549913
2024-05-08,1.9234129999999998,3.163,1.2415,1.3285,1.265,0.0,0.0,0.624,9.545413
2024-05-14,1.9344130000000002,3.163,1.2415,1.3285,1.265,0.0,0.0,0.624,9.556413
2024-05-17,2.0369129999999998,3.163,1.2415,1.3285,1.265,0.0,0.0,0.624,9.658913
2024-05-20,2.035913,3.163,1.244,1.3295,1.262,0.0,0.0,0.624,9.658413000000001
2024-05-21,2.041913,3.163,1.244,1.3295,1.262,0.0,0.0,0.624,9.664413
2024-05-23,2.047413,3.163,1.244,1.3295,1.262,0.0,0.0,0.624,9.669913
2024-05-30,2.048913,3.163,1.244,1.3285,1.2614999999999998,0.0,0.0,0.624,9.669913
2024-06-03,2.142913,3.163,1.244,1.3285,1.189,0.0,0.0,0.624,9.691413
2024-06-06,2.143413,3.163,1.244,1.3285,1.189,0.0,0.0,0.624,9.691913000000001
2024-06-07,2.155913,3.163,1.244,1.3285,1.189,0.0,0.0,0.624,9.704413
2024-06-19,2.156413,3.163,1.244,1.3285,1.189,0.0,0.0,0.624,9.704913
2024-06-20,2.161413,3.163,1.244,1.3285,1.189,0.0,0.2705,0.624,9.980413
2024-06-26,2.167913,3.163,1.244,1.3285,1.189,0.0,0.2705,0.624,9.986913
2024-07-31,2.168413,3.163,1.244,1.3285,1.189,0.0,0.2705,0.624,9.987413
2024-08-01,2.168413,3.163,1.244,1.3285,1.189,0.0,0.2705,0.594,9.957412999999999
2024-08-07,2.208913,3.163,1.244,1.3285,1.189,0.0,0.2705,0.594,9.997913
2024-08-09,2.2134129999999996,3.163,1.244,1.3285,1.189,0.0,0.2705,0.594,10.002413
2024-08-13,2.212913,3.163,1.244,1.329,1.189,0.0,0.2705,0.594,10.002413
2024-08-20,2.212913,3.163,1.244,1.3285,1.189,0.0,0.2705,0.594,10.001913
2024-08-30,2.222913,3.163,1.244,1.3185,1.189,0.0,0.2705,0.594,10.001913
2024-09-03,2.230413,3.163,1.244,1.3185,1.189,0.0,0.2705,0.594,10.009413
2024-09-13,2.240413,3.163,1.244,1.3185,1.189,0.0,0.2705,0.5780000000000001,10.003413
2024-09-19,2.286913,3.163,1.244,1.3185,1.189,0.0,0.27499999999999997,0.5780000000000001,10.054413
2024-09-23,2.287413,3.163,1.244,1.3185,1.189,0.0,0.2745,0.5780000000000001,10.054413
2024-09-25,2.287413,3.163,1.244,1.319,1.189,0.0,0.2745,0.5780000000000001,10.054913
2024-09-26,2.306913,3.1614999999999998,1.244,1.319,1.189,0.0,0.2745,0.608,10.102913
2024-10-03,2.321913,3.1614999999999998,1.244,1.319,1.189,0.0,0.2515,0.616,10.102913
2024-10-04,2.337413,3.1614999999999998,1.244,1.319,1.189,0.0,0.251,0.616,10.117913000000001
2024-10-07,2.387413,3.1614999999999998,1.244,1.319,1.189,0.0,0.251,0.616,10.167913
2024-10-08,2.408413,3.1614999999999998,1.25,1.3185,1.189,0.0,0.251,0.6910000000000001,10.269413
2024-10-09,2.383413,3.1574999999999998,1.25,1.3185,1.189,0.0,0.251,0.705,10.254413
2024-10-10,2.417413,3.1574999999999998,1.25,1.3185,1.189,1.352,0.251,0.705,11.640412999999999
2024-10-14,2.484913,3.164,1.25,1.3185,1.189,1.282,0.251,0.705,11.644413
2024-10-15,2.487413,3.164,1.2494999999999998,1.3185,1.189,1.282,0.249,0.705,11.644413
2024-10-18,2.476913,3.164,1.2494999999999998,1.3185,1.189,1.282,0.249,0.752,11.680913
2024-11-01,2.4744129999999998,3.164,1.2494999999999998,1.3185,1.189,1.282,0.249,0.752,11.678413
2024-11-05,2.4744129999999998,3.164,1.2515,1.3185,1.189,1.282,0.249,0.752,11.680413000000001
2024-11-06,2.4759130000000003,3.164,1.2515,1.3175,1.189,1.282,0.249,0.752,11.680913
2024-11-07,2.478413,3.164,1.2515,1.317,1.189,1.282,0.24750000000000003,0.752,11.681413000000001
2024-11-13,2.543913,3.163,1.2455,1.2585000000000002,1.189,1.282,0.24750000000000003,0.752,11.681413000000001
2024-11-15,2.5499129999999997,3.163,1.2455,1.2585000000000002,1.189,1.282,0.24750000000000003,0.752,11.687413000000001
2024-11-18,2.5499129999999997,3.163,1.2925,1.2585000000000002,1.189,1.282,0.24750000000000003,0.752,11.734413
2024-12-04,2.550413,3.163,1.2919999999999998,1.2585000000000002,1.189,1.282,0.24750000000000003,0.752,11.734413
2024-12-05,2.5544130000000003,3.163,1.2919999999999998,1.2585000000000002,1.189,1.282,0.24750000000000003,0.748,11.734413
2024-12-09,2.561913,3.163,1.2919999999999998,1.2585000000000002,1.189,1.282,0.24750000000000003,0.748,11.741913
2024-12-10,2.571913,3.163,1.2919999999999998,1.2585000000000002,1.189,1.282,0.24750000000000003,0.748,11.751913
2024-12-11,2.738913,3.163,1.2919999999999998,1.2585000000000002,1.189,1.038,0.24750000000000003,0.748,11.674913
2024-12-12,2.7899130000000003,3.163,1.2935,1.2585000000000002,1.189,0.988,0.24750000000000003,0.748,11.677413
2024-12-13,2.916913,3.163,1.2935,1.2585000000000002,1.189,0.856,0.24750000000000003,0.748,11.672412999999999
2025-01-08,2.945913,3.163,1.2935,1.2585000000000002,1.189,0.856,0.24750000000000003,0.748,11.701412999999999
2025-01-09,2.938413,3.163,1.2935,1.2585000000000002,1.189,0.856,0.24750000000000003,0.7555000000000001,11.701412999999999
2025-01-13,2.960413,3.163,1.2935,1.2585000000000002,1.189,0.856,0.24550000000000002,0.756,11.721913
2025-01-23,2.960913,3.163,1.2935,1.2585000000000002,1.189,0.885,0.24550000000000002,0.756,11.751413
2025-01-24,2.961413,3.163,1.2935,1.2585000000000002,1.189,0.8845000000000001,0.24550000000000002,0.756,11.751413
2025-01-27,2.715913,3.18,1.2935,1.2485,1.189,0.8845000000000001,0.24550000000000002,0.7055,11.462413
2025-02-03,2.687913,3.18,1.3005,1.2485,1.189,0.8845000000000001,0.24550000000000002,0.7055,11.441413
2025-02-10,2.687913,3.18,1.3005,1.2485,1.188,0.8845000000000001,0.24550000000000002,0.7055,11.440413000000001
2025-02-11,2.7209130000000004,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.24550000000000002,0.6835,11.426413
2025-02-12,2.727913,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.2525,0.6835,11.440413000000001
2025-02-13,2.727913,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.258,0.6835,11.445913000000001
2025-02-19,2.711413,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.3295,0.6835,11.500913
2025-02-21,2.740913,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.367,0.6835,11.567913
2025-02-25,2.7404129999999998,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.3675,0.6835,11.567913
2025-03-06,2.744913,3.1550000000000002,1.3005,1.2485,1.188,0.8845000000000001,0.3675,0.6795,11.568413
2025-03-07,2.7209130000000004,3.175,1.3005,1.2485,1.188,0.8845000000000001,0.39449999999999996,0.6795,11.591413000000001
2025-03-10,2.712413,3.175,1.3195000000000001,1.2485,1.188,0.8845000000000001,0.4115,0.6795,11.618913000000001
2025-03-11,2.7604130000000002,3.175,1.3195000000000001,1.2485,1.188,0.8845000000000001,0.4115,0.6695000000000001,11.656913000000001
2025-03-12,3.076413,3.1690000000000005,1.3195000000000001,1.2485,1.188,0.8845000000000001,0.45849999999999996,0.6799999999999999,12.024413000000001
2025-03-13,3.057913,3.2935,1.3195000000000001,1.238,1.188,0.9514999999999999,0.46649999999999997,0.6799999999999999,12.194913
2025-03-17,3.051913,3.2994999999999997,1.3195000000000001,1.238,1.188,0.9514999999999999,0.46649999999999997,0.6799999999999999,12.194913
2025-03-18,3.047913,3.2994999999999997,1.3195000000000001,1.238,1.188,0.9514999999999999,0.471,0.6799999999999999,12.195412999999999
2025-03-19,3.097913,3.2994999999999997,1.3195000000000001,1.238,1.188,0.9514999999999999,0.471,0.6799999999999999,12.245413
2025-03-20,3.125913,3.2835,1.3195000000000001,1.238,1.1875,0.9514999999999999,0.471,0.6799999999999999,12.256912999999999
2025-03-21,3.1234129999999998,3.2835,1.3185,1.238,1.185,0.9514999999999999,0.477,0.6799999999999999,12.256912999999999
2025-03-24,3.1234129999999998,3.2835,1.3165,1.238,1.185,0.9514999999999999,0.483,0.6799999999999999,12.260913
2025-03-28,3.1234129999999998,3.2835,1.3135000000000001,1.238,1.185,0.9514999999999999,0.5275,0.6799999999999999,12.302413
2025-03-31,3.1234129999999998,3.2835,1.3135000000000001,1.238,1.184,0.9514999999999999,0.5285,0.6799999999999999,12.302413
2025-04-02,3.205913,3.2835,1.306,1.238,1.184,0.9514999999999999,0.553,0.6799999999999999,12.401913
2025-04-09,3.218413,3.2835,1.3055,1.238,1.184,0.9455,0.553,0.6799999999999999,12.407912999999999
2025-04-14,3.223413,3.2835,1.3055,1.238,1.179,0.9455,0.553,0.6799999999999999,12.407912999999999
2025-04-16,3.225913,3.2815,1.3055,1.238,1.179,0.9455,0.553,0.6799999999999999,12.408413
2025-04-22,3.324413,3.2815,1.3055,1.238,1.179,0.9455,0.553,0.683,12.509913000000001
2025-04-23,3.324913,3.2815,1.3055,1.238,1.179,0.9455,0.553,0.683,12.510413000000002
2025-04-24,3.319913,3.2515,1.304,1.238,1.179,0.9384999999999999,0.7355,0.683,12.649413000000001
2025-04-25,3.460913,3.2515,1.304,1.218,1.179,0.9384999999999999,0.7355,0.683,12.770413
2025-04-28,3.591913,3.2515,1.304,1.218,1.179,0.9384999999999999,0.7605,0.683,12.926413
2025-05-02,3.591913,3.2415,1.2985,1.218,1.179,0.9384999999999999,0.7605,0.683,12.910912999999999
