date,CMB WING LUNG BANK LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,DAH SING SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-05-16,0.0,75.53799296608975,6.653195210977373,8.100178643216749,4.763597251397064,4.945035928319077,0.0,0.0
2024-05-17,0.0,75.53749019931499,6.653150928552506,8.100124729940378,4.763565545783342,4.945668596408789,0.0,0.0
2024-05-20,0.0,75.53095484022107,6.649913215704231,8.100754970131295,4.763153411208484,4.95522356273493,0.0,0.0
2024-05-21,0.0,75.57042888158534,6.579183821796966,8.131298811420692,4.7635021358220415,4.955586349374961,0.0,0.0
2024-05-24,0.0,75.55986786240014,6.578264376352587,8.130827936294983,4.776146022163127,4.954893802789157,0.0,0.0
2024-05-27,0.0,75.57797427438702,6.529917806906137,8.132110687764758,4.803916086895168,4.956081144046925,0.0,0.0
2024-05-28,0.0,75.56741114629631,6.529005155318443,8.130974106271704,4.816555587058061,4.956054005055487,0.0,0.0
2024-05-30,0.0,75.57394987739585,6.520917254838271,8.131677666873447,4.816972356156433,4.9564828447360085,0.0,0.0
2024-06-17,0.0,75.59860603792781,6.523044717845192,8.134330643861865,4.81854390354656,4.925474696818576,0.0,0.0
2024-06-18,0.0,75.59206303976735,6.525808968626584,8.13895272816364,4.818126862472004,4.925048400970415,0.0,0.0
2024-06-19,0.0,75.59256630710787,6.5251866479009015,8.139006914660598,4.818158939991718,4.925081190338916,0.0,0.0
2024-06-21,0.0,75.59323207454464,6.52452088046412,8.139006914660598,4.818158939991718,4.925081190338916,0.0,0.0
2024-06-27,0.0,75.59121902765924,6.524347132549435,8.138790173001718,4.818030632475537,4.927613034314071,0.0,0.0
2024-07-04,0.0,75.58769645358343,6.517385909132063,8.149728120489756,4.817806110764938,4.927383406029814,0.0,0.0
2024-07-05,0.0,72.47613661461,6.249098380851588,7.8142453910505765,4.619481612075888,4.724548169122688,4.116489832289264,0.0
2024-07-11,0.0,72.4900180422211,6.2311421760221055,7.815742061358874,4.620366386052456,4.725453066602993,4.117278267742475,0.0
2024-07-23,0.0,72.49332182422735,6.231261524003126,7.815891759922773,4.620454882091252,4.7255435754161415,4.1135264343393585,0.0
2024-07-24,0.0,72.49702467603447,6.226471955336939,7.816290984129903,4.6206908881022795,4.725784949202408,4.113736547194001,0.0
2024-07-29,45.58209056865474,39.45136522862446,3.388315869423368,4.253462148634216,2.5144833825899213,2.5716733735771125,2.2386094284961815,0.0
2024-07-30,45.58681701070326,39.44793869876625,3.3880215788347314,4.253092716170507,2.514264988312854,2.5714500120901507,2.2384149951222496,0.0
2024-08-07,45.594578798465264,39.45465525736599,3.376784208964497,4.253816864184335,2.514693076793174,2.5718878371137706,2.2335839571129643,0.0
2024-08-08,45.605037629995,39.46370566649961,3.3546200402749036,4.254792637074738,2.515269916231815,2.572477796321874,2.2340963136020595,0.0
2024-08-20,45.60345265013419,39.46233412550403,3.3579789012437242,4.25464476392317,2.515182499306648,2.5723883911659646,2.234018668722279,0.0
2024-08-21,45.613915553630484,39.45192107808136,3.355273083493183,4.255620916714001,2.515759563327825,2.572978580064561,2.2345312246885807,0.0
2024-08-27,45.61217140298724,39.45041254515472,3.3551447870810938,4.255458193477699,2.515663367603178,2.572880196442128,2.238269507253954,0.0
2024-09-25,45.61011030600235,39.44862988224155,3.3602071113898053,4.25526590024144,2.5155496912307873,2.5720687432957487,2.2381683655983196,0.0
2024-09-26,45.61756284513196,39.45507565612446,3.360756157967707,4.25596119642502,2.5159607236176993,2.5561493459266957,2.238534074806462,0.0
2024-09-30,30.70996430870049,26.561348077935754,2.26271136855655,2.8651336960973612,1.69375694810134,1.7208121233397693,1.506991984085191,0.0016382891580363932
2024-10-03,45.6164527381483,39.45828724153539,3.3568502899003163,4.25550998329223,2.5158994975153885,2.5560871418310964,2.238479599903494,0.0024335078737885477
2024-10-04,45.5924635285309,39.437536545964775,3.3550849578671373,4.3088658411879015,2.5143512577704823,2.554048000341568,2.23521764021948,0.002432228117757867
2024-10-07,45.6007026545047,39.4446633999786,3.3556912635036684,4.292268309396625,2.5148056323568038,2.5538145007231834,2.2356215718847454,0.002432667651670017
2024-10-08,45.572037006983535,39.41986757991896,3.364348269164199,4.298600033802549,2.5479553167316307,2.5522091143573893,2.242551540620753,0.0024311384209919885
2024-10-09,45.57425295333079,39.42178437621137,3.3599966701509123,4.2984617314231635,2.5480792113970416,2.552333215864275,2.242660584987021,0.002431256635420342
2024-10-10,45.50707903926516,39.36367885863518,3.5024386600531856,4.292126037906548,2.54432348436068,2.548571218661931,2.2393550280189545,0.002427673098363432
2024-10-14,45.50692121651026,39.363542341759754,3.502426513272292,4.2921111524168625,2.544314660411745,2.5489091892213134,2.239347261728804,0.0024276646789688134
