date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-27,6.29627808110583,87.27606468623223,1.3501376178568654,0.36011529979424256,0.6360857791888654,0.1833050547301406,0.1694062788350783,0.0
2024-03-28,6.2951676003796395,87.2669240607481,1.3587410875922186,0.0,0.6361181944448197,0.1809502413109238,0.16884218982214988,0.0
2024-04-02,6.267223822416517,87.27030859482566,1.3692404525551087,0.0,0.632741605282924,0.17764976444119515,0.1692394356059023,0.0
2024-04-03,6.339816358041121,87.27031653974134,1.36552360251714,0.0,0.6481007162659278,0.18182678399506272,0.1681390647849081,0.0
2024-04-05,6.350915643586634,0.7412730265504781,1.3694658100882315,0.0,0.6472008751165718,0.17682667117726011,0.16683212615636261,0.0
2024-04-08,6.375034580245476,0.7426713317092866,1.3897134276860925,0.0,0.6468910234052448,0.18292228855520595,0.16675664945744964,0.0
2024-04-09,6.380488466922059,0.0,1.3911216242649165,0.0,0.6478642755754384,0.1837426209609439,0.16653021936071077,0.0
2024-04-10,6.3590216424269945,87.24082501275556,1.4155859065458636,0.360068027545976,0.6455507161308642,0.18267573795952002,0.1662084502758713,0.2025238454726613
2024-04-11,6.399606436684663,87.20677310417231,1.4023879715247867,0.0,0.6446966376957965,0.18271468790861695,0.165545288164475,0.0
2024-04-12,6.4438063661973715,87.14982335274487,1.398811190350169,0.0,0.6446886927801214,0.1823540483238373,0.16311414396791019,0.0
2024-04-15,6.448369786725094,87.14891936037708,1.3901123021775585,0.0,0.0,0.18588693383935032,0.16311589184935868,0.0
2024-04-16,6.460716324720145,0.726389955052434,1.4064183080730037,0.3621456229950012,0.650262051126168,0.17707562510993777,0.16312780922287123,0.0
2024-04-17,6.445312881107673,0.7272122538248016,1.4130761076841158,0.3695304221149588,0.65017862951158,0.17492890889453966,0.1631675338012465,0.0
2024-04-18,6.384209726388226,87.15512831197714,1.4744714168152235,0.36574069733796066,0.6509612037055722,0.18163016719439445,0.1634019088136604,0.0
2024-04-19,6.387385487944147,87.15850490113904,1.4591601540868726,0.3638180277445989,0.6510525702358353,0.18137598947966044,0.16405736435685192,0.0
2024-04-22,6.415983648886845,87.15534282470036,1.5081530128788672,0.0,0.6472032585912743,0.17996395947902327,0.0,0.0
2024-04-23,6.424822844270278,0.7265409084502601,1.4897358244033805,0.0,0.6513584494893246,0.17333488073807632,0.1640692817303645,0.20222591113484698
2024-04-24,6.423186012880615,87.13828509074604,1.4895123339254415,0.363750495961361,0.6512432482120365,0.18529545472963213,0.1632509554158345,0.0
2024-04-25,6.439201373898378,87.13241777052001,1.4916337257221253,0.0,0.6486571781598082,0.18567120951648355,0.1631993134639467,0.0
