date,ABCI SECURITIES CO LTD,CHINA INDUSTRIAL SECURITIES,CHINA GALAXY INTERNATIONAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CLSA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-06-27,0.0,30.512769551631074,25.398026197759823,8.322240562776544,9.160203609669475,12.932446014028255,7.8166706981021905,2.0470240145527283,0.0,3.810619351479907
2024-06-28,0.0,30.512769551631074,25.398026197759823,8.368011653573218,9.160203609669475,12.886674923231583,7.8166706981021905,2.0470240145527283,0.0,3.810619351479907
2024-07-02,0.0,30.528714073517783,25.404555734573965,8.373684730245163,9.197776174446439,12.823426705277019,7.812693284000918,2.0475502805923953,0.0,3.8115990173463183
2024-07-03,0.0,30.51065568050361,25.382208233889685,8.366318692153643,9.21959382478066,12.863518825506645,7.803709534293306,2.0457491221004025,0.0,3.808246086772043
2024-07-04,0.0,30.514091479656347,25.38506651954758,8.345090765284342,9.231893022538138,12.8646154782656,7.80458830854473,2.0459794935212603,0.0,3.8086749326420017
2024-07-05,0.0,30.819502371824985,25.63914178240324,8.428615507207365,11.395016157589106,9.921768167002996,7.882703243734943,2.0664573905247368,0.0,3.8467953797126295
2024-07-08,0.0,30.719316182799794,25.555795598741177,8.439123419064178,11.727834333768547,8.99604002432392,8.667860118353277,2.059739874834773,0.0,3.834290448114336
2024-07-09,0.0,30.91813310821757,25.718524560590204,8.496425623869152,11.833530396619572,8.378771645460727,8.723053542993977,2.0728554646122803,0.0,3.8587056576365173
2024-07-10,0.0,30.951238083965176,25.746062158958853,8.508735192824375,11.711645831264223,8.412012930722018,8.732393578984349,2.0750749333507095,0.0,3.862837289930294
2024-07-11,0.0,30.97872045834449,25.762981081198273,8.509326650224992,11.635413117505248,8.411826538322668,8.759917855747684,2.0764385605812183,0.0,3.865375738075426
2024-07-12,0.0,31.000170638322423,25.774579697859938,8.513157589569854,11.588127547424222,8.41561358265325,8.763861612445572,2.0773733831007775,0.0,3.867115948623962
2024-07-15,0.0,31.044119410499967,25.808145553189725,8.524244149250006,11.48336541838653,8.42657311221059,8.761321603878933,2.080078715845695,0.0,3.8721520367385547
2024-07-16,0.0,31.042786666643913,25.80703759303253,8.52387819800922,11.52508755766251,8.388289290380271,8.760945474751736,2.0799894167390915,0.0,3.8719858027807343
2024-07-17,0.0,31.042786666643913,25.80703759303253,8.52387819800922,11.523656536391965,8.389004801015544,8.761660985387008,2.0799894167390915,0.0,3.8719858027807343
2024-07-18,0.0,31.0444526143448,25.808422558094023,8.524335641970003,11.518550574717715,8.389455006836661,8.762488964758077,2.0801010418204315,0.0,3.8721935974582955
2024-07-19,0.0,31.059787727106684,25.821171214836387,8.528546431250579,11.470547737321615,8.397894583736937,8.76681739528377,2.0811285549941605,0.0,3.8741063554698654
2024-07-22,0.0,31.059787727106684,25.821171214836387,8.528546431250579,11.492024812192556,8.376417508865996,8.76681739528377,2.0811285549941605,0.0,3.8741063554698654
2024-07-23,0.0,31.010170150024273,25.779922254464637,8.514922197444749,11.45865652718337,8.538152217496629,8.752455147515095,2.077803981194652,0.0,3.8679175246765936
2024-07-24,0.0,31.01061345223336,25.78029078828532,8.515043921505018,11.4534595650295,8.542205503519554,8.752580267199477,2.0778336841950047,0.0,3.8679728180327713
2024-07-25,0.0,31.016044933077374,25.78480618285452,8.516535323731448,11.467976277649461,8.54370166307246,8.724087714766254,2.0781976148818364,0.0,3.8686502899666526
2024-07-26,0.0,31.04156508529644,25.80602204645497,8.548584657065653,11.46596446449662,8.450563915207127,8.731265936455504,2.079907565959981,0.0,3.8761263290637076
2024-07-29,0.0,31.0191494907479,25.78738711856024,8.602468720486769,11.469839133012716,8.444461632222707,8.724960954197385,2.0784056325178724,0.0,3.873327318254411
2024-07-30,0.0,30.984037734059488,25.758197392955196,8.592731258512723,11.462926315690469,8.542026502612726,8.715084838598823,2.0760530060253064,0.0,3.8689429515452693
2024-07-31,0.0,30.993112646793353,25.765741709662045,8.595247982994724,11.441280892257605,8.544528376182173,8.71763739921269,2.0766610610510026,0.0,3.8657899318464057
2024-08-01,0.0,30.992448448538664,25.765189536639948,8.597564008767607,11.440678524566293,8.544345262569179,8.717450575784802,2.076616557142407,0.0,3.865707085991102
2024-08-02,0.0,31.1931314735332,25.944969869495438,8.652636847314584,11.522230962727834,7.934070422772812,8.772572437418036,2.089918600402434,0.0,3.8904693863356625
2024-08-05,0.0,31.203114041799374,25.953272897138103,8.774785852956775,11.532390766546314,7.778035551370481,8.776099032399262,2.090587425689083,0.0,3.89171443210061
2024-08-06,0.0,31.214899447732215,25.963075439793588,8.778100086693586,11.528113411398436,7.751836481020648,8.779413762123516,2.0913770398736427,0.0,3.893184331364368
2024-08-07,0.0,31.20522559749902,25.953832843026547,8.936429247750608,11.57938574907714,7.569283945017688,8.77341169074879,2.090632530437069,0.0,3.891798396443137
2024-08-08,0.0,31.24797214650521,25.94394402146833,8.948480629763694,11.558439169740161,7.562086540970042,8.758925965648626,2.0898359663163735,0.0,3.890315559587566
