date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG BANK LTD,DBS BANK (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-06-20,5.319230769230769,4.708559046587216,2.9729144095341278,0.0,0.0,0.281148429035753,0.49133261105092096,0.0,13.773185265438787
2024-06-24,5.319230769230769,4.706933911159263,2.9729144095341278,0.0,0.0,0.281148429035753,0.49133261105092096,0.0,13.771560130010835
2024-07-03,5.319230769230769,4.705850487540628,2.9729144095341278,0.0,0.0,0.281148429035753,0.4924160346695558,0.0,13.771560130010835
2024-07-04,5.319230769230769,4.703141928494041,2.9729144095341278,0.0,0.0,0.281148429035753,0.4924160346695558,0.0,13.768851570964246
2024-07-05,5.319230769230769,4.6950162513542795,2.9729144095341278,0.0,0.0,0.281148429035753,0.508667388949079,0.0,13.776977248104009
2024-07-09,5.327356446370531,4.6950162513542795,2.9729144095341278,0.0,0.0,0.281148429035753,0.5092091007583965,0.0,13.785644637053087
2024-07-10,5.381527627302275,4.640845070422536,2.9729144095341278,0.0,0.0,0.281148429035753,0.5092091007583965,0.0,13.785644637053087
2024-07-15,5.462784398699892,4.5752979414951245,2.9729144095341278,0.0,0.0,0.281148429035753,0.5092091007583965,0.0,13.801354279523292
2024-07-17,5.462784398699892,4.5752979414951245,2.9729144095341278,0.0,0.0,0.281148429035753,0.5097508125677139,0.0,13.80189599133261
2024-07-18,5.462784398699892,4.5752979414951245,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5097508125677139,0.0,14.44626218851571
2024-07-19,5.516955579631636,4.52112676056338,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5097508125677139,0.0,14.44626218851571
2024-07-22,5.598212351029252,4.4534127843987,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5097508125677139,0.0,14.459804983748645
2024-07-30,5.598212621885157,4.450704225352112,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5119176598049837,0.0,14.459263542795235
2024-07-31,5.598212351029252,4.450704225352112,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5119176598049837,0.0,14.45926327193933
2024-08-01,5.598212621885157,4.450704225352112,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5119176598049837,0.0,14.459263542795235
2024-08-02,5.599295774647888,4.449620801733477,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5151679306608884,0.0,14.462513542795232
2024-08-05,5.642632990249187,4.425243770314193,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5151679306608884,0.0,14.481473726977248
2024-08-06,5.642632719393283,4.425243770314193,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5151679306608884,0.0,14.481473456121345
2024-08-08,5.695178764897075,4.3710725893824485,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.5167930660888408,0.0,14.481473456121345
2024-08-12,5.749349945828818,4.370530877573131,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.490249187432286,0.0,14.508559046587216
2024-08-13,5.749349945828818,4.365113759479956,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.490249187432286,0.0,14.50314192849404
2024-08-22,5.749349945828818,4.365113759479956,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.49133261105092096,0.0,14.504225352112677
2024-08-23,5.817063921993499,4.236186348862405,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.49295774647887325,0.0,14.444637053087758
2024-09-04,5.817063921993499,4.232394366197183,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.49295774647887325,0.0,14.440845070422533
2024-09-09,5.817063921993499,4.232394366197183,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.495124593716143,0.0,14.443011917659804
2024-09-30,5.857692307692307,4.1923076923076925,2.9729144095341278,0.0,0.6443661971830986,0.281148429035753,0.495124593716143,0.0,14.443553629469122
2024-10-04,5.857692307692307,4.1923076923076925,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.495124593716143,0.0,14.308125677139763
2024-10-07,5.966034669555796,4.138136511375948,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.49187432286023836,0.0,14.359046587215602
2024-10-08,5.966034669555796,4.125135427952329,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.48645720476706394,0.0,14.340628385698809
2024-10-09,5.966034669555796,4.125135427952329,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.48104008667388953,0.0,14.335211267605633
2024-10-14,5.966034669555796,4.125135427952329,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.48049837486457203,0.0,14.334669555796317
2024-10-15,6.020205850487541,4.07638136511376,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.47778981581798485,0.0,14.337378114842902
