date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,MERRILL LYNCH FAR EAST LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-06-25,36.645583274495955,14.360607340135395,9.589925920944985,6.094439917647454,4.544998724366188,0.3986438067813616,0.503921667513793,0.17248892967401128,0.8989427731553907
2024-06-26,36.49658100472479,14.367397535620508,9.60283207187323,6.094373993419444,4.542526565815782,0.41538856069610713,0.4886979503498269,0.14829572685746456,0.9436393997467192
2024-06-27,36.558824353464615,14.44327632206095,9.437044834408228,6.0939168088981885,4.553811639977242,0.4263979067739122,0.4887355271597931,0.1461002852541346,0.9826006185011072
2024-06-28,36.559812557642495,14.477952465994635,9.352980071765113,6.08154299611113,4.547861319156987,0.42461795261762036,0.5028116683246611,0.1482098605504805,1.01543088405049
2024-07-02,36.55091014989192,14.30463767055422,9.332417151374553,6.135972181294265,4.541933247763685,0.42521127066971764,0.49099475045372354,0.3295239018177287,0.0
2024-07-03,36.511611399090114,14.325733423517677,9.383246708897728,6.199259440184641,4.53458269634048,0.4231676196013826,0.4919836138738857,0.33875329373924196,0.0
2024-07-04,36.31786009296635,14.191709467971702,9.536651728236599,6.269205046104109,4.552837279887243,0.4228379984613285,0.47800767753559414,0.30803260348620504,0.0
2024-07-05,36.40551294652952,14.16461461025926,9.599096805114138,6.347654877436971,4.576219285078117,0.42290392268933935,0.47787582907957254,0.1270864194112571,1.0083769916533334
2024-07-08,36.47317675010696,14.141343357771445,9.573524632258176,6.404151940842234,4.5583950219296945,0.0,0.472535966610697,0.14145658263305322,1.0112776576858091
2024-07-09,36.42136030689046,14.166154765036163,9.501728368447873,6.448321173609477,4.548927808355632,0.42118989276105834,0.49204953810189644,0.13723743204036146,1.0593364199056887
2024-07-10,36.46562315206148,14.129303121578122,9.588089601573744,6.485238741295529,4.549835090543631,0.4231016953733718,0.4914722066750918,0.11719251127139489,0.0
2024-07-11,36.447394938205925,14.156397979290563,9.68266812491059,6.515702327059325,4.5411212260851626,0.4207943473929935,0.48560495038212975,0.1150512923456038,0.0
2024-07-12,36.440622542262375,14.233858947203263,9.649050229647047,6.611681410620261,4.54019383700762,0.4167729694843341,0.0,0.11353503510135521,0.0
2024-07-15,36.30040813689561,14.18138326170666,9.689694493942552,6.659146854788044,4.54421966480167,0.41855292364062596,0.49212040664700807,0.12118224555060905,1.0743671438921532
2024-07-16,36.43011801096056,14.196677682605166,9.630924692776617,6.731202036003858,4.541846392593281,0.41756406022046383,0.51835808458474,0.14636530065073805,0.0
2024-07-17,36.31272525484658,14.193051850064572,9.678802328180037,6.796005552138483,4.5493617545865135,0.4181573782725611,0.5162493333412442,0.1460191984536813,0.0
2024-07-18,36.24876078932397,14.185140942703278,9.71553646170165,6.840652735558804,4.542176013733335,0.41631149988825844,0.5123202493518,0.1541938027270216,0.0
2024-07-19,36.182764868715196,14.172087945557136,9.63485377676606,7.024317634796917,4.54250563487339,0.4164433483442801,0.504934428466609,0.1504361217304055,0.0
2024-07-22,41.69245671909621,14.166418461948204,9.620461364117311,7.097361679432894,4.543373527335151,0.4165751968003017,0.508319143143254,0.14228788714826954,0.0
2024-07-23,41.47171834137279,14.149937404945502,9.709606247770937,7.140278351867931,4.553251284039151,0.4143337730479342,0.5065365520178418,0.16355504310455649,0.0
2024-07-24,41.52825627779942,14.11374500376757,9.622049643580661,7.167373209580373,4.625737939327296,0.4151907880120747,0.5070777899298105,0.1719893888362594,1.0780589006607586
2024-07-25,41.522236901350325,14.078079996413722,9.707842774671647,7.153331349014071,4.611923846968772,0.41413600036390175,0.5052050474225934,0.1685240817908712,1.0908482008948555
