date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,ABCI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCOM INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,TOTAL_CCASS_PCT
2024-06-27,26.86287754954955,24.498213801801803,12.009836144144144,8.964648648648648,1.8557837837837838,5.081081081081082,2.5933693693693693,0.830631063063063,0.9556756756756758,0.9847927927927929,84.6369099099099
2024-06-28,26.78013881081081,24.5076058018018,12.006016324324325,8.959675675675676,1.9742702702702704,5.081081081081082,2.60381981981982,0.8137661981981983,0.9556756756756758,0.9846486486486487,84.66669830630632
2024-07-02,27.252442079816465,25.013927284755777,12.172550622401769,9.03852330302737,2.051886861645793,5.170790096726781,2.6540455381582304,0.8175720316731062,0.9725486054269092,1.0019597661189297,86.14624618975112
2024-07-03,27.274335425119624,25.09138051294238,12.084903896648742,9.038093504020747,2.1873542277259963,5.170790096726781,2.665047219215096,0.7836868540179607,0.9725486054269092,1.0019597661189297,86.27010010796316
2024-07-04,27.281009778294123,25.17258395749537,12.002537977803009,9.029743228098587,2.404380722707763,5.170790096726781,2.6709147824454242,0.7756922991166384,0.9725486054269092,1.0019597661189297,86.48216121423353
2024-07-05,27.301619594140654,25.340111725738357,11.911951749560666,9.037812447742015,2.371669057698683,5.170790096726781,2.676268933893099,0.7774525680857369,0.9725486054269092,1.0019597661189297,86.56218454513183
2024-07-08,27.2958253754507,25.18290166404093,11.858328052526426,9.05299476760049,2.4152357146838703,5.170790096726781,2.6638003620286512,0.7758389881973965,0.9725486054269092,1.0019597661189297,86.39022339280109
2024-07-09,27.260033239745702,25.160548961881375,11.73034182956489,9.037868116248163,2.5630249635477633,5.170790096726781,2.663653672947893,0.7607300128793013,0.9725486054269092,1.002913245143858,86.32245274411264
2024-07-10,27.26172016417442,25.08395555174164,11.660614128505502,9.033485779960511,2.6363695039268666,5.170790096726781,2.6794960936697794,0.7615368028234714,0.9725486054269092,1.002913245143858,86.26342997209974
2024-07-11,27.282184427780564,25.0998358915909,11.415554250022737,9.04995162927562,2.773597138976169,5.170790096726781,2.6908644974285405,0.7430539786479373,0.9725486054269092,1.002913245143858,86.20129376102001
2024-07-12,27.301840764602165,25.066756550400903,11.377246799977703,9.048851461169933,2.802054820643261,5.170790096726781,2.6908644974285405,0.7433473568094537,0.9725486054269092,1.002913245143858,86.1772141983295
2024-07-15,27.2595943093438,25.092007242039916,11.305155314398707,9.044432305923012,2.8528092425856006,5.170790096726781,2.695631892553182,0.739240062548224,0.9725486054269092,1.002913245143858,86.13512231668999
2024-07-16,27.255919821215347,25.097435581490185,11.145630939074156,9.063868609123475,3.0048524747914813,5.170790096726781,2.6959986152550774,0.734986079206236,0.9395435622563129,1.002913245143858,86.11193902428292
2024-07-17,27.194823819079556,25.090175902211193,11.125387845929524,9.059614625781485,3.152568379114996,5.170790096726781,2.696365337956973,0.7461344493438598,0.9484182516421842,1.002913245143858,86.1871919529304
2024-07-18,27.156574641271852,25.099135891297525,11.098543744150772,9.060348071185278,3.1526417236553743,5.170790096726781,2.6959986152550774,0.7603632901774058,0.9521588232015186,1.002913245143858,86.14946814206544
2024-07-19,27.161972726099215,25.03868572451204,11.05791086878075,9.057560978650871,3.1576291524011535,5.170790096726781,2.695265169851287,0.8037832580818348,0.9533323358475843,1.002913245143858,86.09984355609537
2024-07-22,31.22874412876954,25.077427960992438,11.042387863532214,9.06489543268878,3.1583625978049445,5.170790096726781,2.695265169851287,0.8105309557967124,0.8965636615941583,1.002913245143858,90.14788111290072
2024-07-23,31.18797164206691,25.0853829831865,10.762651786526314,9.040307812367063,3.1700243797252217,5.170790096726781,2.7014994557835106,0.8122178802254317,0.9673411430599929,1.0036466905476489,89.90183387021537
2024-07-24,31.182397456998096,25.10615415702186,10.745562508617985,9.055240760788248,3.2028093892746816,5.170790096726781,2.7066335736100475,0.8143448718964257,0.9673411430599929,1.0036466905476489,89.95492064854176
