date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CITIBANK N.A.,BNP PARIBAS,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,VALUABLE CAPITAL LTD,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-05-10,40.10453285655517,18.83790450347674,0.0,10.530854583457158,10.295514240516834,7.455005520496033,5.792291606546823,3.1540559261925893,3.829840762758651,0.0
2024-05-13,40.11128233243446,18.841074867847208,0.0,10.533195171424335,10.297246945527506,7.438774764995483,5.793266432325845,3.1546741716592663,3.830485313785893,0.0
2024-05-14,40.15811781862747,18.77112507566752,0.0,10.543349673999517,10.309270409727585,7.421201824674098,5.800030874503357,3.1619901506313197,3.8349141721691358,0.0
2024-05-16,40.16045543333776,18.77221774784662,0.0,10.543963405185947,10.309870515097835,7.415769021112283,5.800368495841927,3.1622179780353967,3.8351374035422303,0.0
2024-05-17,40.16043785627189,18.77220953179169,0.0,10.543958790399156,10.309866002766709,7.415765775445392,5.800365957188966,3.162260361122308,3.8351357250138864,0.0
2024-05-20,40.166186377013915,18.758744194296224,0.0,10.545468041021037,10.311341745605382,7.416827259972296,5.80119621516911,3.164551484814044,3.8356846821079955,0.0
2024-05-21,40.16805016508152,18.752085268247694,0.0,10.548583894592907,10.311820211634645,7.417171414979119,5.801465401797439,3.164960978434405,3.835862665232271,0.0
2024-05-22,40.17512006553783,18.75516687084375,0.0,10.550440530346531,10.313635175072504,7.4009636574212205,5.802486506449592,3.1656493863623147,3.836537807966255,0.0
2024-05-23,40.178603170160486,18.756792907264295,0.0,10.551355232981454,10.314529347144573,7.401605306548471,5.802989570722717,3.1659676288900105,3.8281568362879916,0.0
2024-05-27,40.186451164125344,18.74000415445366,0.0,10.554292113831652,10.316544060391918,7.403051045055857,5.804123055302464,3.1666298254983447,3.828904581340762,0.0
2024-05-28,40.22342721091386,18.682726297161192,0.0,10.56400324750272,10.326036439161939,7.409862683155022,5.80946350014002,3.1695873161982697,3.814893305766974,0.0
2024-05-29,40.222492723976885,18.68229225250408,0.0,10.563757820304657,10.325796540505056,7.409690534226838,5.809328532333244,3.171836919527203,3.8148046766220363,0.0
2024-05-30,40.22247509256525,18.6822840631761,0.0,10.563753189712418,10.325792014222447,7.4096872862107395,5.809325985831131,3.171879363868319,3.814803004413602,0.0
2024-05-31,17.414747152933884,8.088693011824015,0.0,4.573688972681963,4.470661158161946,3.2081026907148322,2.515209293793993,1.377777781995267,1.650254993082738,0.0
2024-06-03,40.2192488044541,18.68078553702067,0.0,10.563782483484843,10.324963771307583,7.409092947201421,5.808860013527866,3.1820129361499645,3.81125350685356,0.0
2024-06-04,40.21241008016539,18.43977770507264,0.0,10.562249201515506,10.323208154715484,7.4078331339179435,5.807872297614589,3.4360439708346115,3.8106054561638394,0.0
2024-06-05,40.21189903180895,18.439543359056806,0.0,10.562114968822565,10.323076959928846,7.407738989823115,5.807798486977868,3.4372711753449012,3.8105570282369503,0.0
2024-06-06,40.21260392949173,18.439866596498916,0.0,10.562300118257086,10.323257919127578,7.407868844372994,5.807900295243433,3.435578471308772,3.810623825699492,0.0
2024-06-07,40.21510651586736,18.363616270778707,0.0,10.56295745117732,10.323900375524229,7.408329864795221,5.808261743414643,3.506966802836354,3.8108609756061624,0.0
