date,KGI ASIA LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),UPBEST SECURITIES CO LTD,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-05-06,58.358718729807066,0.0,15.886642665928182,10.60648019939075,0.0,6.397119911381889,0.0,4.412443459798763,4.338595033693345
2024-05-07,50.350430073271745,13.722523096527556,13.706594456833388,9.151003504300732,0.0,5.519273654029946,0.0,3.806944886906658,3.7432303281299775
2024-05-08,50.33460803059273,13.726896112173359,13.710962396430848,9.153919694072659,0.0,5.5210325047801145,0.0,3.808158062460166,3.744423199490121
2024-05-09,50.34647550776583,13.723616089207487,13.70768618080446,9.15173237753883,0.0,5.519713261648746,0.0,3.8072481083233773,3.7435284747112703
2024-05-13,50.34230218118134,13.715968794777902,13.70004776309505,9.146632701799076,0.0,5.548479541474287,0.0,3.8051265722018788,3.7414424454704664
2024-05-14,50.46281519310565,13.748803064155762,13.764762208745612,8.889243536546442,0.0,5.561761889562719,0.0,3.8142355569741464,3.758378550909671
2024-05-16,50.47467092142003,13.745512564818508,13.761467889908257,8.887116074990029,0.0,5.5604307937774236,0.0,3.8133226964499403,3.7574790586358193
2024-05-17,50.30704202886993,13.741127681633303,13.725177446367335,8.884281043145387,0.0,5.7660100486482175,0.0,3.8121062285668716,3.764255522768961
2024-05-20,50.3793626707132,13.760881718712564,13.425445251976678,9.07275776695152,0.0,5.774299177381998,0.0,3.8175864547560097,3.7696669595080263
2024-05-21,47.96228710462287,13.10066909975669,12.819343065693431,8.637469586374696,0.0,5.497262773722627,4.7749391727493915,3.6268248175182483,3.581204379562044
2024-05-22,47.9149259399924,13.087732624382834,12.806684390429169,8.628940372199011,0.0,5.590581086213445,4.770224078997341,3.62324344853779,3.577668059248006
2024-05-24,47.94655735215972,13.079784407500188,12.79890685493054,8.623699992408715,0.0,5.58718591057466,4.767327108479465,3.6210430425871096,3.575495331359599
2024-05-27,47.808281510693156,13.066889124829364,12.74836948278477,8.615197937206128,0.0,5.64993174579099,4.921886849689064,3.617473077506446,3.571970271500076
2024-05-28,47.96057619408643,13.06292645943897,12.744503411675511,8.612585291887793,0.0,5.648218347232752,4.783927217589082,3.616376042456406,3.570887035633055
2024-05-31,47.79445202364711,13.0589661967561,12.710322874033652,8.609974230710929,0.0,5.7147188115810215,4.93406093678945,3.6152796725784446,3.5622252539032893
2024-06-03,47.76549007726102,13.051052870777156,12.702620815028027,8.544159975761248,0.0,5.9081957279200115,4.855324950765036,3.613088925920315,3.560066656567187
