date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-06-28,45.017572700630936,9.425991318465982,4.621567360914926,2.382325937514344,0.0,2.9650471957263345,0.0,0.0,0.0
2024-07-02,45.11022746792692,9.42485561141026,4.6244066285542305,2.3835562868247098,0.0,0.0,0.0,0.5674276377151278,0.0
2024-07-03,45.17250207148235,9.41378246761697,4.627245896193536,2.3891401798486767,6.301470598673778,2.9669400408192046,0.0,0.5972399479278314,0.0
2024-07-04,45.274431779733405,9.413971752126256,4.63169408216178,2.393493723562278,6.299956322599481,2.9682650323842137,0.0,0.0,0.0
2024-07-05,45.28881740243922,9.412646760561246,4.628097676485328,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,45.27234965013125,9.406873583027995,4.620999507387064,0.0,0.0,2.966372187291343,0.0,0.0,2.10550661762305
2024-07-09,45.287587053128846,9.397030788545068,4.619579873567412,0.0,0.0,2.9635329196520384,1.9026405662256811,0.0,2.164184815502023
2024-07-10,45.33689566779812,9.388039774353937,4.628570887758545,2.393209796798347,0.0,0.0,0.0,0.0,0.0
2024-07-11,45.372859724562645,9.421921701516311,4.6110620706494965,2.401443672952332,6.290492097135132,0.0,0.0,0.0,0.0
2024-07-12,45.39245067127385,9.411132484486952,4.6113459974134265,2.4169650027138667,0.0,0.0,0.0,0.0,2.1045601950766155
2024-07-15,45.34200634954887,9.344693621727211,4.617970955238473,2.424725667594634,6.288599252042261,2.9067475668659357,0.0,0.0,0.0
2024-07-16,45.31635829854048,9.340245435758968,4.617687028474542,2.420182839371746,0.0,2.9048547217730656,0.0,0.0,0.0
2024-07-17,45.35326877785144,9.33087585254926,4.62222985669743,2.4270917239607215,6.294277787320872,2.9086404119588063,0.0,0.0,0.0
2024-07-18,45.45510384384785,9.314786669259863,4.615604898872385,2.4238738873028423,6.2923849422280025,2.8499622140798335,0.0,0.0,0.0
2024-07-19,45.479805472309806,9.299359981752973,4.6095477945752,2.416681075949936,6.296170632413742,0.0,0.0,0.0,2.108061958498425
2024-07-22,45.486430430134845,9.384882130170011,0.0,2.418479278788163,0.0,0.0,0.0,0.0,2.1045601950766155
2024-07-23,45.476966204670504,9.386585690753593,4.60897994104734,2.4312559831650358,0.0,0.0,0.0,0.0,0.0
2024-07-24,45.46863768626187,0.0,4.608696014283408,2.4324863324754014,0.0,0.0,0.0,0.0,0.0
2024-07-25,45.49835535421993,9.383651780859644,4.608601372028766,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26,45.50904992899465,9.392548152796135,0.0,0.0,6.286990333713321,0.0,0.0,0.0,2.106263755660198
