date,CHINA CONSTRUCTION BANK (ASIA),EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD
2024-10-04,27.637841089747088,20.773230773960663,17.84927707621725,0.0,9.952669881323702,7.558224459918647,7.27648356609249,4.5631962625058,4.389076890234355
2024-10-07,27.651450348099182,20.783459802468805,17.858066309151162,0.0,10.004076476196959,7.492461156185863,7.28553787411977,4.5337099008790975,4.391238132899164
2024-10-08,27.649937546452954,20.78232274629968,17.855995106942434,0.0,9.996416899765865,7.490409956113382,7.279668318046969,4.55425153665641,4.390997889722303
2024-10-09,27.73612781596041,20.847105315717247,17.58182569032867,0.0,10.080262688286242,7.456683614388323,7.2996164592395125,4.579972874140097,4.418405541939502
2024-10-10,27.678860700470903,20.804062047541578,17.501710767225998,0.0,10.131194483037003,7.4412877103693,7.284544853658007,4.530536715089129,4.627802722608086
2024-10-14,27.645702582326905,20.779139650817502,17.643754286563844,0.0,10.132733057448117,7.384783238462064,7.27581827341698,4.478613226958437,4.6594556840061525
2024-10-15,27.638899107157254,20.774026003940925,17.639412243028126,0.0,10.124223779455635,7.430544287204974,7.274027729341833,4.460557835621662,4.6583090142495855
2024-10-16,27.629681963004295,20.76709818848875,17.635169860297278,0.0,10.099526368380754,7.482189208460515,7.273242041571707,4.45633682934964,4.656755540447068
2024-10-17,27.63451641944736,20.77127866759018,17.638255544043833,0.0,10.087623727238114,7.440301859988526,7.267406374647796,4.489377270213548,4.671240136830646
2024-10-18,27.642224832154216,20.77707263865118,17.643175585020806,0.0,10.043947338409657,7.442377268746539,7.279825492902026,4.498833704681917,4.6725431394336585
2024-10-21,27.652055515109552,20.78446179835489,17.654921591129543,0.0,10.044783675713415,7.420402840299227,7.274754550487275,4.494415145872644,4.674204883033453
