date,KOALA SECURITIES LTD,SUPREME CHINA SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-05-07,0.0,39.85808687227072,0.0,18.201587808346726,17.30825521667374,14.247423633722999,5.717792631023538,0.719370010193777,3.9474838277685,0.0
2024-05-08,0.0,39.92820913156272,0.0,18.16594451423934,17.338705598401422,14.177757660128021,5.727851933135438,0.7206355965362261,3.9408955659968394,0.0
2024-05-09,0.0,39.92820913156272,0.0,18.16594451423934,17.32517253555567,14.19129072297377,5.727851933135438,0.7206355965362261,3.9408955659968394,0.0
2024-05-10,0.0,39.949834876605216,0.0,18.1351622973456,17.321015728486152,14.198976948869548,5.730954227684612,0.7210259040911653,3.943030016917705,0.0
2024-05-13,47.42123844621799,21.0051284208999,0.0,9.53524374171272,9.107175558573813,7.465646233022592,3.0132647581306817,0.3791064908530948,2.073196350589211,0.0
2024-05-14,47.424403745387835,21.006530482881658,0.0,9.535880205459529,9.10110859383025,7.466144554125077,3.0134658892008512,0.3791317956637682,2.073334733451035,0.0
2024-05-16,48.7924833414069,20.46060825494928,0.0,9.28632599821314,8.86458702810824,7.272112785177098,2.935151290158835,0.36927883709274506,2.019452464893762,0.0
2024-05-17,48.7924833414069,20.46060825494928,0.0,9.28632599821314,8.86458702810824,7.279047599019216,2.935151290158835,0.36927883709274506,2.0125176510516445,0.0
2024-05-20,48.79261022928271,20.460661464028654,0.0,9.27941531600269,8.864610081016,7.286001360509991,2.935158923201609,0.3692797974252391,2.012262828533109,0.0
2024-05-21,48.7811929629799,20.455873754997132,0.0,9.231311461057524,8.862535799408809,7.339762139966899,2.9344721083148917,0.36919338750030095,2.0256583857745385,0.0
2024-05-22,48.77442969652993,20.453037651239335,0.0,9.167641355163653,8.861307053505048,7.352609014754094,2.9340652585526565,0.43846467970302455,2.0184452905522594,0.0
2024-05-24,48.73726522802939,20.4374531271709,0.0,9.16065592200763,8.854555036743138,7.430130164094104,2.931829599897938,0.43813058442238656,2.0099803376345116,0.0
2024-05-27,48.72376491397594,20.43179191424936,0.0,9.158118403102865,8.852102308358804,7.455772191992565,2.9310174775893794,0.43800922142718257,2.0094235693039053,0.0
