date,SPDB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-08-05,53.89492753623188,11.949275362318842,5.013405797101449,2.529166666666667,0.7260869565217392,6.012884057971014,1.7184782608695652,1.4173913043478261,1.627626811594203,1.4561594202898551,86.34540217391304
2024-08-06,53.89492753623188,11.943840579710145,5.013405797101449,2.529166666666667,0.7260869565217392,6.010710144927536,1.7184782608695652,1.4195652173913043,1.628713768115942,1.4561594202898551,86.34105434782609
2024-08-07,53.89492753623188,11.943115942028985,5.013405797101449,2.529166666666667,0.7260869565217392,6.009985507246377,1.7184782608695652,1.4253623188405797,1.628713768115942,1.4561594202898551,86.34540217391304
2024-08-08,53.89492753623188,11.942753623188405,5.013405797101449,2.521920289855072,0.7260869565217392,6.010710144927536,1.7184782608695652,1.4355072463768115,1.628713768115942,1.4561594202898551,86.34866304347825
2024-08-12,53.89492753623188,11.941666666666666,5.013405797101449,2.521920289855072,0.7260869565217392,6.008173913043478,1.7184782608695652,1.4576086956521739,1.628713768115942,1.4561594202898551,86.36714130434783
2024-08-13,53.89492753623188,11.941304347826087,5.013405797101449,2.521920289855072,0.7260869565217392,6.008173913043478,1.7184782608695652,1.4597826086956522,1.628713768115942,1.4561594202898551,86.36895289855072
2024-08-14,53.89492753623188,11.932246376811593,5.013405797101449,2.5110507246376814,0.7260869565217392,6.007811594202899,1.7184782608695652,1.4597826086956522,1.628713768115942,1.4561594202898551,86.34866304347825
2024-08-15,53.89492753623188,11.932246376811593,5.013405797101449,2.507427536231884,0.7260869565217392,6.009260869565217,1.7184782608695652,1.4597826086956522,1.628713768115942,1.4561594202898551,86.34648913043478
2024-08-16,53.89492753623188,11.9231884057971,5.013405797101449,2.507427536231884,0.7260869565217392,6.009260869565217,1.7184782608695652,1.4597826086956522,1.628713768115942,1.4561594202898551,86.33743115942029
2024-08-19,53.89492753623188,11.9231884057971,5.013405797101449,2.5063405797101446,0.7260869565217392,6.009260869565217,1.7184782608695652,1.461231884057971,1.628713768115942,1.4561594202898551,86.33779347826088
2024-08-21,53.89492753623188,11.9231884057971,5.013405797101449,2.5048913043478263,0.7260869565217392,6.0103478260869565,1.7184782608695652,1.4615942028985507,1.628713768115942,1.4561594202898551,86.33779347826088
2024-08-26,53.89492753623188,11.914130434782608,5.013405797101449,2.5048913043478263,0.7260869565217392,6.008536231884058,1.7184782608695652,1.4615942028985507,1.628713768115942,1.4561594202898551,86.32692391304347
2024-08-27,53.89492753623188,11.908333333333333,5.020652173913043,2.5048913043478263,0.7260869565217392,6.00672463768116,1.7184782608695652,1.4615942028985507,1.628713768115942,1.4561594202898551,86.3265615942029
2024-08-28,53.89492753623188,11.908333333333333,5.020652173913043,2.5048913043478263,0.7260869565217392,6.006,1.7184782608695652,1.4615942028985507,1.628713768115942,1.4561594202898551,86.32583695652174
2024-08-29,53.89492753623188,11.888405797101449,5.020652173913043,2.501268115942029,0.7260869565217392,6.003463768115942,1.7184782608695652,1.4659420289855072,1.628713768115942,1.4561594202898551,86.30409782608696
2024-08-30,53.89492753623188,11.888405797101449,5.020652173913043,2.4980072463768117,0.7260869565217392,6.003463768115942,1.7184782608695652,1.4659420289855072,1.628713768115942,1.4561594202898551,86.30083695652175
2024-09-02,53.89492753623188,11.888405797101449,5.021376811594203,2.4965579710144925,0.7260869565217392,6.003463768115942,1.7184782608695652,1.4659420289855072,1.628713768115942,1.4561594202898551,86.30011231884058
2024-09-03,53.89492753623188,11.888405797101449,5.022101449275363,2.4929347826086956,0.7260869565217392,5.999478260869565,1.7184782608695652,1.4659420289855072,1.6269021739130436,1.4561594202898551,86.29141666666666
