date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-08-06,425553520.0,337836554.0,51190530.0,0.0,59645096.0,0.0,0.0,0.0,15542761.0
2024-08-07,425716670.0,337832554.0,51342530.0,80170400.0,59381096.0,0.0,0.0,0.0,0.0
2024-08-09,425387673.0,337672554.0,48486000.0,80162400.0,59593376.0,0.0,0.0,0.0,0.0
2024-08-19,445625521.0,337792113.0,51648530.0,0.0,59593376.0,19370000.0,0.0,0.0,0.0
2024-08-20,445347346.0,337802113.0,51636530.0,0.0,60497900.0,19190000.0,0.0,0.0,0.0
2024-08-21,445112246.0,0.0,51660530.0,80142400.0,60575000.0,19854000.0,0.0,0.0,15544761.0
2024-08-22,0.0,337844113.0,51618530.0,80132400.0,60627000.0,18900000.0,0.0,0.0,15534761.0
2024-08-23,445100246.0,337838113.0,51618530.0,0.0,60773000.0,19618000.0,0.0,0.0,15532761.0
2024-08-26,444976246.0,337850113.0,51748530.0,0.0,61245022.0,18904000.0,0.0,0.0,15542761.0
2024-08-27,445338642.0,337858113.0,51762530.0,0.0,60853801.0,20586000.0,0.0,0.0,0.0
2024-08-28,445373642.0,337821113.0,51952530.0,0.0,59637801.0,20072000.0,0.0,0.0,16742761.0
2024-08-29,445301292.0,337809463.0,52030530.0,0.0,59659801.0,20596000.0,0.0,0.0,0.0
2024-08-30,445008851.0,337795904.0,52218530.0,0.0,59513801.0,19838000.0,0.0,0.0,16764761.0
2024-09-02,447519397.0,337771904.0,52252530.0,0.0,59445801.0,20236000.0,0.0,0.0,0.0
2024-09-04,446912986.0,337829904.0,52500530.0,0.0,59365801.0,20242000.0,0.0,0.0,0.0
2024-09-05,447165038.0,337667904.0,52718530.0,0.0,59371138.0,20692000.0,0.0,0.0,0.0
2024-09-09,446978416.0,337669324.0,52794530.0,0.0,59138571.0,20238000.0,0.0,0.0,0.0
2024-09-10,446926711.0,337671324.0,52816530.0,0.0,59156571.0,20680000.0,0.0,0.0,0.0
2024-09-11,445880815.0,337773220.0,54006530.0,0.0,59334656.0,20596000.0,0.0,0.0,0.0
2024-09-13,445085991.0,0.0,54668530.0,0.0,58799756.0,20524000.0,0.0,0.0,16774761.0
2024-09-16,444827991.0,337767220.0,54788530.0,0.0,58709756.0,20482000.0,0.0,0.0,16784761.0
2024-09-17,444543991.0,337775220.0,54742530.0,0.0,58713756.0,21380000.0,0.0,0.0,0.0
2024-09-20,444166149.0,337780549.0,0.0,0.0,58228456.0,20846000.0,0.0,0.0,16884761.0
2024-09-23,443787098.0,337771600.0,55062530.0,0.0,58188456.0,21420000.0,0.0,0.0,17094761.0
2024-09-25,443140130.0,337777600.0,55944530.0,0.0,57835424.0,22000000.0,0.0,0.0,0.0
2024-09-26,442792183.0,337771600.0,57314530.0,0.0,58288075.0,20698000.0,0.0,0.0,17074761.0
2024-09-27,441858183.0,0.0,58660530.0,0.0,58433907.0,21238000.0,0.0,253941998.0,17870761.0
